Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
This song is the best song i have heard all day😌😌😌,0.9001,Positive,1.0,Positive,0.926555871963501,Positive
you are not alone,0.1877,Positive,0.0,Netural,-0.35101690888404846,Negative
hola alan walker,0.0,Neutral,0.0,Netural,0.2677901089191437,Netural
Imagine if this happened rn,0.0,Neutral,0.0,Netural,-0.40289950370788574,Negative
"5 yrs later, I'm still here.",0.0,Neutral,0.0,Netural,0.27865511178970337,Netural
Ambiguity in ameliorative and peyoraive meaning..♥️,0.6369,Positive,0.0,Netural,-0.34031301736831665,Negative
This Song will never be Getting Old 🔥,-0.34,Negative,0.1,Netural,0.600674569606781,Positive
Old but gold 6 years 2016-->2022,0.0,Neutral,0.1,Netural,0.3317694365978241,Positive
Mãi nhớ 🥰,0.8074,Positive,0.0,Netural,0.3590697944164276,Positive
hay qué,0.0,Neutral,0.0,Netural,-0.2660592198371887,Negative
me,0.0,Neutral,0.0,Netural,0.2765241265296936,Netural
Who is watching this masterpiece in 2022?,0.7073,Positive,0.0,Netural,0.5126319527626038,Positive
OMG!!!,0.0,Neutral,0.0,Netural,-0.40782779455184937,Negative
"This song is such a big inspiration to me, sometimes when I feel discouraged I listen to this song and it motivates me to continue creating better music and chasing my dreams. I hope one day my music will be recognised and successful as well, It would a dream come true.

To everyone reading this, God bless you and your family. May you achieve what you aspire and may all your dreams come true as well.",0.9847,Positive,0.325,Netural,0.8539297580718994,Positive
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times ❤️ I hope everyone is doing well. I love you ❤️,0.8271,Positive,0.037037037037037035,Netural,0.749571681022644,Positive
Когда 2?,0.0,Neutral,0.0,Netural,-0.3457793891429901,Negative
Your not alone. We are all together.,0.1877,Positive,0.0,Netural,0.41037285327911377,Positive
Me,0.0,Neutral,0.0,Netural,0.2765241265296936,Netural
Alguien que hable español que está eschuchando está joyita en abril 2022,0.0,Neutral,0.0,Netural,-0.7805016040802002,Negative
April 2022 and still addicted to this who is with me,0.0,Neutral,-0.4,Negative,0.6308794021606445,Positive
Alan Walker is the BEST,0.7125,Positive,1.0,Positive,0.7137835025787354,Positive
7oooooooo,0.0,Neutral,0.0,Netural,0.24718841910362244,Netural
Mister walker if u hear me I would love to marry you. You're like you listen my heart. So deep words. 🥺🥺🥺🤗❤️,0.9287,Positive,0.25,Netural,0.7080928683280945,Positive
Love you from India 🤗🤗🤗🤗 Alan Walker,0.9371,Positive,0.5,Positive,0.7186758518218994,Positive
This  song  is  mega wow 😎😎😎😎😎😎😎😎😎😎😎💖💖💖💖💖,0.9966,Positive,0.1,Netural,0.7958223223686218,Positive
I know I am not alone,0.1877,Positive,0.0,Netural,-0.3167216181755066,Negative
Still Here,0.0,Neutral,0.0,Netural,0.34501078724861145,Positive
amo,0.0,Neutral,0.0,Netural,0.4348050653934479,Positive
hi dan tdm,0.0,Neutral,0.0,Netural,0.32058045268058777,Netural
KFSIKGKK?,0.0,Neutral,0.0,Netural,-0.35953086614608765,Negative
JFKHFLDORGPTUFF?,0.0,Neutral,0.0,Netural,-0.4136151671409607,Negative
"They already knew the pandemic was coming, because of the face masks 😷",0.0,Neutral,0.0,Netural,-0.28661417961120605,Negative
Alguém 2022 escutando essa música do Alan warker?,0.0,Neutral,0.0,Netural,-0.47551438212394714,Negative
10m yess!,0.0,Neutral,0.0,Netural,-0.3458266854286194,Negative
❤🥳😍😍🔥🔥🤘💙,0.9217,Positive,0.0,Netural,0.30857792496681213,Netural
"I now know why he's called Alan WALKER 
(Sorry if it sounds like an insult)",-0.2732,Negative,-0.5,Negative,-0.31107744574546814,Negative
Not even lying I would trade everything I have to go back in time where life was better,0.6884,Positive,0.25,Netural,0.3602416515350342,Positive
Corona virus inter this song 😂,0.4404,Positive,0.0,Netural,-0.2617383599281311,Negative
2022,0.0,Neutral,0.0,Netural,0.2900533974170685,Netural
"Roblox removed this song..., we will never forget this song on roblox...",0.1695,Positive,0.0,Netural,-0.8097633123397827,Negative
Yessir,0.0,Neutral,0.0,Netural,0.28351765871047974,Netural
Matap bang 🗿🤙,0.4939,Positive,0.0,Netural,-0.4095187783241272,Negative
caminantes,0.0,Neutral,0.0,Netural,0.25809308886528015,Netural
I hape i can back to this time my first time i hear this song✨,0.6369,Positive,0.125,Netural,0.4333367347717285,Positive
MASTERPEICE. 10000000000000/10000,0.7034,Positive,0.0,Netural,0.519375205039978,Positive
Wow,0.5859,Positive,0.1,Netural,0.6995608806610107,Positive
"Old, But Gold :)",0.6124,Positive,0.3,Netural,0.4195840656757355,Positive
Who is  listening this song 2022,0.0,Neutral,0.0,Netural,0.46614569425582886,Positive
"Why you saying ""send my mint""?",0.0,Neutral,0.0,Netural,-0.4323328137397766,Negative
5 years ago,0.0,Neutral,0.0,Netural,0.46966487169265747,Positive
🔥🇬🇺🇬🇱🫂💍👰💘🖥,0.6369,Positive,0.0,Netural,0.30857792496681213,Netural
"Over a billion views, that's a lot of Walkers.",0.0,Neutral,0.0,Netural,0.33179688453674316,Positive
"Whenever I’m going through a rough patch and scared, I come back to this song and it calms me down.",-0.1531,Negative,-0.0851851851851852,Negative,0.5708120465278625,Positive
I still Love it,0.6369,Positive,0.5,Positive,0.7366629838943481,Positive
Who is also listieng this in 2022 its so awsome the pretty old time the songs,0.8659,Positive,0.45,Positive,-0.47000131011009216,Negative
(wow(⊙o⊙)...）,0.0,Neutral,0.0,Netural,0.32921263575553894,Netural
Please face reaveal,0.3182,Positive,0.0,Netural,-0.31382909417152405,Negative
Revisiting for nostalgia,0.0,Neutral,0.0,Netural,0.38154539465904236,Positive
WoW 🤩🤩🤩,0.5859,Positive,0.1,Netural,0.6722603440284729,Positive
"1:39 😶‍🌫️😶‍🌫️😶‍🌫️
IDK HOW HE HAS THE GUTS TO DO THAT…",0.2116,Positive,0.0,Netural,0.39007580280303955,Positive
Remember 2017?,0.0,Neutral,0.0,Netural,-0.3753163516521454,Negative
Reminds me of good times,0.4404,Positive,0.7,Positive,0.45252227783203125,Positive
Quem nunca escutou essa música é a pessoa mais azarada do mundo,0.0,Neutral,0.0,Netural,-0.7757915258407593,Negative
I love your music Alan can i get a sponsor on my tiktok pleas,0.6369,Positive,0.5,Positive,0.7492184042930603,Positive
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
Es una joyita de canción desde 2017,0.0,Neutral,0.0,Netural,0.5319467782974243,Positive
One of the songs i'll never forget,0.1695,Positive,0.0,Netural,0.48840391635894775,Positive
What a beautiful video,0.5994,Positive,0.85,Positive,0.8424575328826904,Positive
Many Thanxxx from France !!!,0.0,Neutral,0.9765625,Positive,-0.4484703242778778,Negative
Best song 🎵 ❤,0.8555,Positive,1.0,Positive,0.8428578972816467,Positive
Quanto mi manca il 2016 😭,-0.5719,Negative,0.2,Netural,-0.3230251967906952,Negative
Isso sim é musica,0.0,Neutral,0.0,Netural,-0.31779423356056213,Negative
hi alan walker,0.0,Neutral,0.0,Netural,0.27976691722869873,Netural
Iam,0.0,Neutral,0.0,Netural,0.2579135298728943,Netural
It's 2022 in this song is still mad good,-0.0772,Negative,0.03749999999999998,Netural,0.26058265566825867,Netural
Its so cooll 😭❤,0.5314,Positive,0.35,Positive,0.4731380045413971,Positive
Каждый 7й на планете посмотрел это клип :),0.4588,Positive,0.5,Positive,0.5127078890800476,Positive
WOWWWWW,0.0,Neutral,0.0,Netural,0.48584508895874023,Positive
♥😆,0.7717,Positive,0.0,Netural,0.30857792496681213,Netural
good chope,0.4404,Positive,0.7,Positive,0.5221336483955383,Positive
"Omg 1,2T 😱😱😱😱",-0.969,Negative,0.0,Netural,0.2527608871459961,Netural
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times ❤️ I hope everyone is doing well. I love you ❤️ 💕,0.9186,Positive,0.037037037037037035,Netural,0.7534577250480652,Positive
im back from 2022:D,0.0,Neutral,0.0,Netural,-0.3985685408115387,Negative
"from Thailand, like it very much",0.3612,Positive,0.26,Netural,0.5268172025680542,Positive
🤮🤮🤮🤮,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Я хочу знать кто слушает этот шедевр,0.7331,Positive,0.0,Netural,0.3005463778972626,Netural
It's interesting song,0.4019,Positive,0.5,Positive,0.44058310985565186,Positive
This song legend 🥺,0.0,Neutral,0.0,Netural,0.610130786895752,Positive
2022 viewers,0.0,Neutral,0.0,Netural,-0.2866077721118927,Negative
Cc,0.0,Neutral,0.0,Netural,0.28684431314468384,Netural
It ok 加油,0.296,Positive,0.5,Positive,0.6628094911575317,Positive
2022?,0.0,Neutral,0.0,Netural,-0.3836294710636139,Negative
Hi,0.0,Neutral,0.0,Netural,0.23648656904697418,Netural
Walaupun sudah 5 tahun lagu ini masih yang terbaik daripada lagu yang lain salam hangat dari Indonesia,0.836,Positive,0.4916666666666667,Positive,0.33555907011032104,Positive
this song bring back the memories of the past or like a nostalgic,0.3612,Positive,-0.25,Negative,0.492903470993042,Positive
"*""I know I'm not alone:))""*",0.1877,Positive,0.5,Positive,0.26541566848754883,Netural
Trulli Tales & Alan Walker - Alone,-0.25,Negative,0.0,Netural,0.32693547010421753,Netural
2022 listen this amazing music?,0.6705,Positive,0.6000000000000001,Positive,0.4345017373561859,Positive
Alanwalker is a best singer in a world. Gd bless you alanwalkerloveyouforever👍,0.8442,Positive,1.0,Positive,0.8581692576408386,Positive
dulu suka kli mutar nih lagu abis tu kayak berasa kayak mereka🙂,0.7506,Positive,0.0,Netural,-0.4155670404434204,Negative
Ja lubię to,0.3612,Positive,0.0,Netural,0.28363990783691406,Netural
*Действительно классная песня переслушиваю уже 12 раз!🤩*,0.4376,Positive,0.35,Positive,0.3861102759838104,Positive
For my stalker lol.,0.4215,Positive,0.8,Positive,0.39773616194725037,Positive
У меня одного название на русском языке?,0.0,Neutral,0.0,Netural,-0.3635728657245636,Negative
It is so catchy that it stays in my head all the time. Very cool and I will never forget it!,0.5501,Positive,0.56875,Positive,0.8252440094947815,Positive
💙,0.6369,Positive,0.0,Netural,0.30857792496681213,Netural
Hezké,0.4215,Positive,0.6,Positive,0.571112871170044,Positive
2022 anyone??,0.0,Neutral,0.0,Netural,-0.6295204758644104,Negative
Alan i want meet you,0.0772,Positive,0.0,Netural,0.49245110154151917,Positive
About Minecraft trailer,0.0,Neutral,0.0,Netural,0.28944966197013855,Netural
Love this song,0.6369,Positive,0.5,Positive,0.8493074774742126,Positive
Let's see who who are still listening in 2022,0.0,Neutral,0.0,Netural,0.30140018463134766,Netural
"I know I'm not alone....
Jai shree Krishna ❤️",0.1877,Positive,0.0,Netural,-0.3265096843242645,Negative
Alone? The name is like Music of Marshmallow xd,0.6486,Positive,0.0,Netural,-0.3838057219982147,Negative
This song is one of my favoirite song,0.4588,Positive,0.5,Positive,0.4544881582260132,Positive
Wow Lagu Nya Sangat Keren Sampe Gue Geleng Geleng Kepala,0.7262,Positive,0.22499999999999998,Netural,0.5477237105369568,Positive
Alan walker or Marsmello who is better,0.4404,Positive,0.5,Positive,0.36483845114707947,Positive
"It's 2022, let's see how many people are listening to this masterpiece. ❤❤❤",0.9611,Positive,0.5,Positive,0.6732966303825378,Positive
cara todas as suas músicas são perfeitas vey,0.5719,Positive,1.0,Positive,0.6628526449203491,Positive
only ogs are here again,0.0,Neutral,0.0,Netural,0.3181208670139313,Netural
"I'm from Indonesia, I like Alan Walker's music from 2019",0.3612,Positive,0.0,Netural,0.373773992061615,Positive
Meng nostalgia,0.0,Neutral,0.0,Netural,0.2917758822441101,Netural
I still listen to it to this day :),0.4588,Positive,0.5,Positive,0.5862631797790527,Positive
I love alan walker,0.6369,Positive,0.5,Positive,0.7378500699996948,Positive
Alan Walker is a legend.,0.0,Neutral,0.0,Netural,0.5761104226112366,Positive
This and marshmello alone 💓💓💓,0.9081,Positive,0.0,Netural,0.42608845233917236,Positive
Possibly one of the best songs out there!,0.6696,Positive,0.5,Positive,0.5579197406768799,Positive
i will never forget this song,0.1695,Positive,0.0,Netural,0.5189903378486633,Positive
"yeah, great song but does anybody else realize he just summon hundreds of people to a random location for seemingly no reason at all, what do you do now everyone's here.",0.09,Positive,0.15000000000000002,Netural,0.30406755208969116,Netural
Where did all the walkers come from!,0.0,Neutral,0.0,Netural,0.3631526529788971,Positive
Alan Walker pubg era is my all time favourite ❤️❤️,0.0,Neutral,0.0,Netural,0.8670765161514282,Positive
Me gusta😁😁😁 y soy de🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪,0.8885,Positive,0.0,Netural,0.5985331535339355,Positive
Lots of love from India 🇮🇳....❤️❤️❤️,0.6369,Positive,0.5,Positive,0.6943728923797607,Positive
This song still running in my head after all this years,0.0,Neutral,0.0,Netural,0.6440137624740601,Positive
"THIS ISN,T SONG THIS IS MASTERPIECE💙🤍🖤",0.876,Positive,0.0,Netural,-0.7488301396369934,Negative
Idolo,0.0,Neutral,0.0,Netural,0.588365912437439,Positive
"Мне сегодня хреново, я не счастлив .  26 апрель . Надеюсь в будущем",-0.5571,Negative,-0.36666666666666664,Negative,0.2535008192062378,Netural
Si alguien da un like esta canción se sigue escuchando 😱,-0.5106,Negative,0.0,Netural,-0.23745682835578918,Negative
Fantastic song,0.5574,Positive,0.4,Positive,0.8310635089874268,Positive
Wat,0.0,Neutral,0.0,Netural,0.2606094181537628,Netural
Nostalagia man.....Hits different,0.0,Neutral,0.0,Netural,0.24936248362064362,Netural
5 anos desde quando essa música foi lançada,0.0,Neutral,0.0,Netural,0.6431360840797424,Positive
Still obsessed with this 😌,0.2263,Positive,-0.5,Negative,0.43521326780319214,Positive
We still here ❤️❤️❤️,0.0,Neutral,0.0,Netural,0.5354150533676147,Positive
Any legends from April 2023?,0.0,Neutral,0.0,Netural,-0.5178765058517456,Negative
fly or stay home,0.0,Neutral,0.8,Positive,-0.376356840133667,Negative
dont you just love it when the view count doesn't even say ' 1 B ' and instead it just says ' 1250 M ' ?,-0.5216,Negative,0.5,Positive,-0.43791520595550537,Negative
Very nice song,0.4754,Positive,0.78,Positive,0.5901896953582764,Positive
❤❤,0.8555,Positive,0.0,Netural,0.30857792496681213,Netural
