Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"The only reason I watch this video is to hear Drake say ""Off his rocker""",0.0,Neutral,0.0,Netural,0.2927326261997223,Netural
"ПАТРИОТЫ РОССИИ АМЕРИКАНСКОЙ НАРУЖНОСТИ.
ГНИЛЬ НА РАСПРОДАЖЕ СОВЕСТИ 25.04.2022 г.
https://youtu.be/vngK-oCjQAo",0.0,Neutral,0.0,Netural,-0.7180426120758057,Negative
Justin salvou o clipe,0.4215,Positive,0.0,Netural,-0.5822805762290955,Negative
Is this justin?,0.0,Neutral,0.0,Netural,-0.30549490451812744,Negative
This shit needs timestamps,-0.5574,Negative,-0.2,Negative,-0.4250546395778656,Negative
Total PR move from bieber,0.0,Neutral,0.0,Netural,-0.4227016568183899,Negative
Is that Adam,0.0,Neutral,0.0,Netural,-0.265569269657135,Negative
Hey my guy i want that urus,0.0772,Positive,0.0,Netural,0.5723286271095276,Positive
Drake Diiiiiiidddd,0.0,Neutral,0.0,Netural,0.25874602794647217,Netural
Giọng hát của ah Đức phúc hát đúng tâm trạng hay quá,0.0,Neutral,0.2857142857142857,Netural,-0.28364238142967224,Negative
Не люблю Дрейка но тут он раздал стиля 🔥,-0.5654,Negative,0.0,Netural,-0.44683587551116943,Negative
Apu's father,0.0,Neutral,0.0,Netural,0.3740063011646271,Positive
Drake sounds like my mom trying to sleep,0.3612,Positive,0.0,Netural,0.24399645626544952,Netural
Goa didddd,0.0,Neutral,0.0,Netural,0.27221423387527466,Netural
its a Big tune frr,0.5106,Positive,0.2,Netural,0.4144688844680786,Positive
DAMN THIS SONG !!!,-0.6496,Negative,0.0,Netural,0.48868486285209656,Positive
òmöWw,0.0,Neutral,0.0,Netural,0.25382518768310547,Netural
"I wrote a guitar lick for this that's hidden from the world, and I'll keep it secret until DJ Khaled replies. But ill also annoy him with how passionate I am about said riff, u til he gives me the chance to hear me out! 
#onelove",-0.1882,Negative,-0.28229166666666666,Negative,0.26743075251579285,Netural
If you dont mind 😂,0.4404,Positive,0.0,Netural,0.24743033945560455,Netural
I Just realized that Adam W is also there😆🤣,0.6908,Positive,0.0,Netural,0.24501585960388184,Netural
I can't stop listening to this song. So pure! Definitely a great vibe,0.8503,Positive,0.5339285714285714,Positive,0.9151854515075684,Positive
"Ariana, selena",0.0,Neutral,0.0,Netural,0.3138158619403839,Netural
I am mad at this move@3:40 🔥,-0.6808,Negative,-0.625,Negative,-0.614575982093811,Negative
SO FUNNY!!!!!!!🤣🤣🤣🤣🤣,0.9713,Positive,0.0,Netural,0.8025751113891602,Positive
JUSTIN TAKES OVER,0.0,Neutral,0.0,Netural,0.26241534948349,Netural
Adam and Bach🔥🤣🤣🤣🤣,0.886,Positive,0.0,Netural,0.36345264315605164,Positive
WIRO PEACHE'SS M UISCA!!,0.6351,Positive,0.0,Netural,-0.33678799867630005,Negative
4:08 is that Adam W at Mercedes,0.0,Neutral,0.0,Netural,-0.2754409909248352,Negative
8:06 best part,0.6369,Positive,1.0,Positive,0.5371057391166687,Positive
I forgive thee. I am a gracious god. He could of done movies.,0.7783,Positive,0.0,Netural,0.73531574010849,Positive
https://youtu.be/3CxtK7-XtE0,0.0,Neutral,0.0,Netural,0.22663924098014832,Netural
"Shit, watched this like 1000 times but never noticed vines at the end",-0.1406,Negative,-0.2,Negative,-0.7009912729263306,Negative
TEMON,0.0,Neutral,0.0,Netural,-0.28291940689086914,Negative
"i tell ya what tho, this the best look I ever seen for Justin. #real #talk",0.6369,Positive,0.6,Positive,0.9309903979301453,Positive
4:16 xxx tentacion spotted in everybody,0.0,Neutral,0.0,Netural,-0.3132341802120209,Negative
This song will never gets old,0.0,Neutral,0.1,Netural,0.5081880688667297,Positive
"eu só consigo reparar nos caras dançando no fundo.As minas mó dançando bonitinho e os caras tipo ""foda-se""",0.25,Positive,0.033333333333333326,Netural,-0.40245407819747925,Negative
3.51 adam what are you doing there,0.0,Neutral,0.0,Netural,0.40812039375305176,Positive
"For whosoever shall call upon the name of the Lord shall be saved. (Romans 10:13)
I tell you, Nay: but, except ye repent, ye shall all likewise perish. (Luke 13:5)
The LORD is righteous in all his ways, and holy in all his works. The LORD is nigh unto all them that call upon him, to all that call upon him in truth. He will fulfil the desire of them that fear him: he also will hear their cry, and will save them. The LORD preserveth all them that love him: but all the wicked will he destroy. (Psalms 145:17-20)",-0.0772,Negative,0.15,Netural,0.5240851640701294,Positive
"Jesus Christ Saves

Jesus Christ, the Son of God, is returning very soon, and is the reason for all of the things that are happening on the Earth right now. This planet is on borrowed time.

Jesus Christ died on a cross, was buried in a tomb, and rose from the dead 3 days later, to pay for the sins of mankind, to give us eternal life and forgiveness from God.

EXACTLY how to be Saved by Jesus Christ, the Son of God:

1. Confess with your mouth that Jesus Christ is Lord.

2. Believe in your heart that God has raised Jesus Christ from the dead.

Biblical References:
1. Romans 5:9
2. Romans 3:23
3. Romans 6:23
4. Romans 10:9
5. Romans 10:13
6. Ephesians 2: 8 & 9
7. John 3:16

God bless you, peace be with you always. Thank you for your time.",0.8316,Positive,0.11696428571428572,Netural,0.6699942946434021,Positive
https://www.youtube.com/watch?v=F6k9bqj7qHY :),0.4588,Positive,0.5,Positive,0.3852570950984955,Positive
This song makes Justin Bieber look cool,0.3182,Positive,0.35,Positive,0.5890659689903259,Positive
I'm ON ONE! jaha a khaled!  Champgapapi!! JustB ?? Bieber ? Justin!! my girlfriend ? jahaha  love us!!,0.8089,Positive,0.78125,Positive,0.4638415575027466,Positive
"There really is nothing to dislike about this song, its so perfectly made. This is a true fight song.",0.8294,Positive,0.5166666666666666,Positive,0.9075220823287964,Positive
Eminem rey no está mierda,0.4449,Positive,-0.2,Negative,0.40764835476875305,Positive
This is the entire reason I’m alive,0.3818,Positive,0.05,Netural,0.6435268521308899,Positive
I’m always wanted to listen to this song it’s straight up fire 🔥 through it’s very too catchy the entire song was going out good I’m supporting this song,0.4404,Positive,0.27,Netural,-0.40388840436935425,Negative
Thr ringtone at the end is fire,-0.34,Negative,0.0,Netural,-0.37282976508140564,Negative
");’ . 										
  !KNM,ñ?",0.0,Neutral,0.0,Netural,-0.32825687527656555,Negative
"Adam, 👑",0.0,Neutral,0.0,Netural,0.30087727308273315,Netural
Aww that throw back pic of him with his dog that passed away :(,-0.4404,Negative,-0.15,Negative,-0.5056912302970886,Negative
8,0.0,Neutral,0.0,Netural,0.3862052261829376,Positive
Holla Brooooooos best Hannys,0.6369,Positive,1.0,Positive,0.33928152918815613,Positive
Es tan blanco Justin Bieber que me cuesta creerlo que rapea regular 🤣,0.4215,Positive,-0.09722222222222222,Negative,-0.2734203040599823,Negative
táo mặc đồ gì kì vậy,0.0,Neutral,0.0,Netural,0.34676021337509155,Positive
