Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
❤❤❤,0.9274,Positive,0.0,Netural,0.30857792496681213,Netural
Me Talal,0.0,Neutral,0.0,Netural,0.258514404296875,Netural
КолдубаМикола💜💛,0.8555,Positive,0.0,Netural,0.30857792496681213,Netural
"Back when life felt normal,Everything was good...oh the nostalgia this song brings!!",0.0,Neutral,0.0,Netural,0.7075441479682922,Positive
This song never gets old,0.0,Neutral,0.1,Netural,0.4263049066066742,Positive
Pubg 💔😭,-0.25,Negative,0.0,Netural,0.32067298889160156,Netural
I remember when this song first came out... Now it's been 6 years lets see who's still listening to this,0.0,Neutral,0.25,Netural,0.4061185121536255,Positive
y porque el ase videos de gacha life???? Nome estaré jodi endo no!!!,0.0,Neutral,0.0,Netural,-0.6217514872550964,Negative
World best song 💯💯💯👈,0.6369,Positive,1.0,Positive,0.9233438968658447,Positive
Love you Alan❤️💗,0.8779,Positive,0.5,Positive,0.856530487537384,Positive
The pinnacle of awesomeness 🎵🔥❤️,-0.34,Negative,0.0,Netural,0.8590148091316223,Positive
I remember watching this with only 100 plays... 3.2 billions views later still one of my favorites,0.5859,Positive,0.0,Netural,0.8163432478904724,Positive
nice song btw but but i hava problem with your mask can you plz show ur face (GOD GIFTED FACE),0.3715,Positive,0.55,Positive,0.4750523865222931,Positive
hi,0.0,Neutral,0.0,Netural,0.23648656904697418,Netural
Esh song ware mere kol koe likhn nu akhar nhi❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️so beautiful song,0.5994,Positive,0.175,Netural,0.3146286904811859,Netural
ONE OF MY FAVE SONG !!!!!!!! 😩 CANT BELIEVE THIS WAS ALMOST 7 YRS AGO,0.572,Positive,0.0,Netural,-0.5667387247085571,Negative
Big fen from banglades,0.0,Neutral,0.0,Netural,0.3056776523590088,Netural
Sad music 😭,-0.7351,Negative,-0.5,Negative,-0.610209584236145,Negative
That’s a sad ending,-0.4767,Negative,-0.5,Negative,-0.36532798409461975,Negative
Everytime everyday I'm faded,0.0,Neutral,-0.2,Negative,0.42450055480003357,Positive
This song neme is faded but our love for it never fades 😉😉🔵,0.7783,Positive,0.5,Positive,0.28033214807510376,Netural
I says fada,0.0,Neutral,0.0,Netural,-0.3777901530265808,Negative
this song will never die for more joys Alan brought us and all of his works continued to listen to this magnificent song.,0.9055,Positive,0.75,Positive,0.8688797354698181,Positive
It's april lets see how many legends are here,0.0,Neutral,0.5,Positive,0.4743179976940155,Positive
♥♥♥♥♥,0.9719,Positive,0.0,Netural,0.28061437606811523,Netural
3.2B views❤️🥺,0.0,Neutral,0.0,Netural,0.4794161021709442,Positive
"Coooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooool
💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💸",0.0,Neutral,0.0,Netural,-0.21849079430103302,Negative
if u look at this song in 2024 ur not alone,0.1877,Positive,0.0,Netural,-0.5588992834091187,Negative
this song is perfect,0.5719,Positive,1.0,Positive,0.8227277398109436,Positive
