Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I love you song 💗💗💗,0.9678,Positive,0.5,Positive,0.7372417449951172,Positive
Se o amar é você? Sorrir. Freire,0.7717,Positive,0.4,Positive,-0.26943281292915344,Negative
te quiero mucho taylor,0.6369,Positive,0.35,Positive,0.42612022161483765,Positive
This is the best songgg 😭💙,0.743,Positive,1.0,Positive,0.8344507813453674,Positive
"April 28, 2022",0.0,Neutral,0.0,Netural,-0.5354094505310059,Negative
PLEASE RELEASE SPEAK NOW TV!!!!!!!!!!!!!!!!!!!!!!,0.5374,Positive,0.0,Netural,-0.7413121461868286,Negative
any one is April 2022 or is it just me!!??,0.0,Neutral,0.0,Netural,-0.7451484203338623,Negative
🍕,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
So pretty,0.5413,Positive,0.25,Netural,0.40619227290153503,Positive
This song Is just a yes,0.4019,Positive,0.0,Netural,0.48721596598625183,Positive
Love story Starting me Kayla and Hayes,0.6369,Positive,0.25,Netural,0.5561814904212952,Positive
Durante i momenti più intensi si ha la necessità di trovare le parole giuste per porre una serie di istanze ma basta scegliere la più semplice per trovare un equilibrio che faccia un momento una parte della vita. Ciao con affetto. VD Ciao VD,0.7962,Positive,0.37142857142857144,Positive,0.5397520065307617,Positive
Ok,0.296,Positive,0.5,Positive,0.49511444568634033,Positive
Ever after romance❤💯,0.8316,Positive,0.0,Netural,0.5199668407440186,Positive
How did she become famous??¿,0.0,Neutral,0.0,Netural,-0.30888694524765015,Negative
why do you ask,0.0,Neutral,0.0,Netural,-0.30465611815452576,Negative
I told u I’m the girl wanna ¿ ‘,0.0,Neutral,0.0,Netural,-0.2932949364185333,Negative
Im 17 n listening this song,0.0,Neutral,0.0,Netural,0.3187086880207062,Netural
"No one compares to him(Dr Ajit Singh , childhood sweet heart) he was so caring…….",0.7184,Positive,0.35,Positive,0.6016941666603088,Positive
Back when Taylor still happy songs,0.5719,Positive,0.4,Positive,0.4595227539539337,Positive
This song never gets old 🥰 2022 ✌️,0.4253,Positive,0.1,Netural,0.32557031512260437,Netural
ny future ex wife,0.0,Neutral,0.0,Netural,0.4651051163673401,Positive
❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
The only one to give Romeo and Juilet a happy ending..,0.5719,Positive,0.4,Positive,0.4499225914478302,Positive
ありがとう御座います様に🎀🎀🎀🌈,0.3612,Positive,0.26,Netural,0.5682819485664368,Positive
💗😍🤩🥰🤪,0.9451,Positive,0.0,Netural,0.30857792496681213,Netural
That time I'm 17 year old listen this song....,0.0,Neutral,0.1,Netural,0.28774362802505493,Netural
"Alright, who’s here listening to this banger in 2022",0.25,Positive,0.0,Netural,0.2423247992992401,Netural
Little do people know is that this song is talking about true love 💘,0.9042,Positive,0.22083333333333333,Netural,0.5505495071411133,Positive
"I can remember That day when my crush performed this song🤩 not for me obviously 😑 but in Annual culture meeting, I was just I don't know what I should say 😫😫but it was something like butterflies🦋 in my stomach experience And let me tell you she is my girlfriend now🤗 we've been in a relationship since 2015😄 and whenever I listen to this song my feelings come to be more promising ❤️❤️❤️",0.8804,Positive,0.2333333333333333,Netural,0.27340012788772583,Netural
🥹🥹🫶🏻,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Tutte le poesie cantano Amore tutte le parole si inchinano al sentimento quando un raggio illumina una voce che legge il diario di un giorno che è speciale e si fa un racconto di tante storie che tutti vorrebbero vivere VD Ciao VD,0.872,Positive,0.37337662337662336,Positive,0.6675112247467041,Positive
2:45,0.0,Neutral,0.0,Netural,-0.27022653818130493,Negative
This song never gets old 😌❤,0.4617,Positive,0.1,Netural,0.4383101165294647,Positive
Never get old song,0.0,Neutral,0.1,Netural,0.3088599145412445,Netural
Diidi8iodoodioodieidikidi cii9di,0.0,Neutral,0.0,Netural,0.28234630823135376,Netural
Enchanting. 🕊💜🦋,0.6369,Positive,0.0,Netural,0.792163074016571,Positive
Why is this dislike button even there... like this song deserves billions of likes ♥️♥️,0.8934,Positive,0.0,Netural,-0.7672197818756104,Negative
"super nice
🗻🗻🌋🌋🌏🌍🌍🏡🏝🏝🏞🏞🐷🌎🌎🏕🗻🗻🌋🏝🗻",0.7717,Positive,0.4666666666666667,Positive,0.7393701672554016,Positive
為什麼這首都特別小聲,0.0,Neutral,0.0,Netural,0.2456214725971222,Netural
"12 years ago, who's watching this in 2022?? Anyone?",0.0,Neutral,0.0,Netural,-0.4805215001106262,Negative
"this is a wholesome love song
Not like the modern day songs
It what makes this song amazing!
Love<3 Taylor",0.801,Positive,0.4833333333333334,Positive,0.685255229473114,Positive
😞,-0.4767,Negative,0.0,Netural,0.30857792496681213,Netural
Love this song xx,0.6369,Positive,0.5,Positive,0.8919745683670044,Positive
Music just talks to me,0.0,Neutral,0.0,Netural,0.36639052629470825,Positive
She really is a stunningly beautiful.maiden. She moves angelically through the waiting world.,0.0,Neutral,0.5,Positive,0.9393796920776367,Positive
My mom liked to play this song first in 2014.,0.6369,Positive,0.425,Positive,0.4804200530052185,Positive
"""This love is difficult is difficult, but its real""😘",0.5859,Positive,-0.075,Negative,0.29906174540519714,Netural
i love your songs Taylor swift😍😍😍😍😍😍,0.9719,Positive,0.5,Positive,0.7756573557853699,Positive
Yes,0.4019,Positive,0.0,Netural,0.3790786862373352,Positive
This song made me a swiftie when i was 7 years old.❤️,0.0,Neutral,0.0,Netural,0.5303828716278076,Positive
"Wonderful Look, Beautiful Golden Hair,",0.8225,Positive,0.7166666666666667,Positive,0.8716446757316589,Positive
"Beautiful, Everybody, Presented Song, Great,",0.8402,Positive,0.825,Positive,0.8183691501617432,Positive
"Great, Amazing, today Every One of Our Choice, Beautifuls, Excellent, Wonderful,",0.946,Positive,0.8500000000000001,Positive,0.959926187992096,Positive
old but gold <3<3 still lsiten 2k22,0.0,Neutral,0.1,Netural,0.3002825677394867,Netural
This song never gets old.❤ I Love U Taylar. ❤(  Love from Myanmar)😍,0.9674,Positive,0.5,Positive,0.8220915198326111,Positive
me a highschooler doing a whole semester on Romeo and Juliet in 2022,0.0,Neutral,0.18,Netural,0.3754338324069977,Positive
