Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
2:03 when your mom tells you to do the dishes and you just did thrm,0.0,Neutral,0.0,Netural,-0.2704470455646515,Negative
You are the bald guy.,0.0,Neutral,0.0,Netural,0.40308403968811035,Positive
"White shirt, now red my bloody nose
Sleeping, you're on your tippy toes
Creeping around like no one knows
Think you're so criminal
Bruises, on both my knees for you
Don't say thank you or please
I do what I want when I'm wanting to
My soul? So cynical

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy, duh

I'm the bad guy

I like it when you take control
Even if you know that you don't
Own me, I'll let you play the role
I'll be your animal
My mommy likes to sing along with me
But she won't sing this song
If she reads all the lyrics
She'll pity the men I know

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy, duh

I'm the bad guy, duh

I'm only good at being bad, bad

I like when you get mad
I guess I'm pretty glad that you're alone
You said she's scared of me?
I mean, I don't see what she sees
But maybe it's 'cause I'm wearing your cologne

I'm a bad guy
I'm a bad guy
Bad guy, bad guy
I'm a bad-",-0.9967,Negative,-0.35054684475416176,Negative,-0.5756821036338806,Negative
Blood it looks real but not🔻🎚,0.0,Neutral,0.2,Netural,0.3378877341747284,Positive
IS THIS BLOOPERS🤣,0.4939,Positive,0.0,Netural,0.4598459303379059,Positive
Make this more liked than Seth’s comment pls,0.5256,Positive,0.55,Positive,0.4969937205314636,Positive
2022 : Always a masterpiece 🔥,0.4019,Positive,0.0,Netural,0.8837937712669373,Positive
i'm the bald guy,0.0,Neutral,0.0,Netural,0.27013683319091797,Netural
i'm the bald guy,0.0,Neutral,0.0,Netural,0.27013683319091797,Netural
Trying to find the bald guy comment to 😂,0.4404,Positive,0.0,Netural,0.28110185265541077,Netural
No i'm the bold guy.,0.1027,Positive,0.3333333333333333,Positive,-0.30614012479782104,Negative
Beatfull,0.5994,Positive,0.85,Positive,0.35914456844329834,Positive
POV: Your trying to find the most popular comment on youtube,0.4754,Positive,0.55,Positive,0.3579479157924652,Positive
Let see how many coming for the bald guy not for may and bad guy itself😂😂,0.3182,Positive,-0.09999999999999992,Negative,-0.3009183704853058,Negative
"Ignore me, I'm just here to look for the bald guy",-0.3612,Negative,0.0,Netural,-0.36166030168533325,Negative
Is anyone else listening to this song in 2022,0.0,Neutral,0.0,Netural,-0.5794327855110168,Negative
Australian Pedestrian Crossing,0.0,Neutral,0.0,Netural,0.2918567359447479,Netural
i'm the bald guy,0.0,Neutral,0.0,Netural,0.27013683319091797,Netural
I can't get enough of this song,0.0,Neutral,0.0,Netural,-0.3894751965999603,Negative
Seth Everman's comment should be pinned.,0.0,Neutral,0.0,Netural,-0.3926286995410919,Negative
I am the PRo guy,0.0,Neutral,0.0,Netural,0.5383718609809875,Positive
I’m the hairy guy,0.0,Neutral,0.0,Netural,0.4378088116645813,Positive
"Behold this is what u call the ultimate bad guy without all da fancy bs from nicki minaj, rihanna, and cardi b. T.T",-0.5423,Negative,-0.3499999999999999,Negative,-0.6504479646682739,Negative
Billie eilish is trash 🗑,0.0,Neutral,0.0,Netural,-0.30989208817481995,Negative
"Director: How weird do you want it to be?
Billie: y e s",-0.1027,Negative,-0.5,Negative,-0.30376961827278137,Negative
"White shirt now red, my bloody nose
Sleeping, you're on your tippy toes
Creeping around like no one knows
Think you're so criminal 😾",-0.7886,Negative,-0.30000000000000004,Negative,-0.5742725133895874,Negative
-I’m the bald man-,0.0,Neutral,0.0,Netural,0.3164924085140228,Netural
"𝐈,𝐚𝐦 𝐭𝐡𝐞 𝐁𝐚𝐥𝐝 𝐆𝐮𝐲",0.0,Neutral,0.0,Netural,0.4258463382720947,Positive
Where is the bald guy?,0.0,Neutral,0.0,Netural,-0.2882847487926483,Negative
pourquoi ton nez cool du sang ??? (french),0.4291,Positive,0.175,Netural,-0.31793415546417236,Negative
pefect,0.0,Neutral,0.0,Netural,0.25796642899513245,Netural
I’m the bald guy,0.0,Neutral,0.0,Netural,0.33716776967048645,Positive
Wow 1.1 billion at the time I am watching and not even 1 million comments,0.5859,Positive,0.1,Netural,-0.5190404653549194,Negative
Im the bald guy,0.0,Neutral,0.0,Netural,0.2703900933265686,Netural
im the guy,0.0,Neutral,0.0,Netural,0.34694212675094604,Positive
i love this sing !!!,0.7249,Positive,0.9765625,Positive,0.9066941142082214,Positive
Still vibing this song in 2022 🔥,-0.34,Negative,0.0,Netural,0.3910263180732727,Positive
