Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
https://www.youtube.com/watch?v=g_yjcLAkaso,0.0,Neutral,0.0,Netural,0.28148359060287476,Netural
This is my favourite song ❤,0.6369,Positive,0.0,Netural,0.8319080471992493,Positive
This a masterpiece that will haunt Selena Gomez always...,0.34,Positive,0.0,Netural,0.8888310790061951,Positive
❤,0.6369,Positive,0.0,Netural,0.30857792496681213,Netural
"hermoso como siempre, te amo amor de mi VIDAAAAAAAAA!!!!!!!❤",0.9621,Positive,0.6166666666666667,Positive,0.9140569567680359,Positive
My little sister just passed away and this song hits a lot different with me now. Hardest time of my life.,0.0,Neutral,-0.09375,Negative,0.8867694735527039,Positive
My dog karmel died and all of her puppy's did and now we have no part of her and I miss her and this song makes me thank of her and it makes my heart broken and crying I miss her so much she was only a year old,-0.7579,Negative,-0.06000000000000001,Negative,0.49011531472206116,Positive
subrekernya banyak kok ga bikin konten vlog apa prank ya,0.0,Neutral,0.5,Positive,0.2251097410917282,Netural
Mom we Miss u,-0.1531,Negative,0.0,Netural,0.25108522176742554,Netural
You need to bring back your puppy dog hair,0.0,Neutral,0.0,Netural,0.2434886246919632,Netural
Why this song got only 100 million views.this is the best song from justin.,0.6369,Positive,0.5,Positive,0.6824365258216858,Positive
I miss my grandpa more than life,-0.1531,Negative,0.5,Positive,0.2524760663509369,Netural
https://youtu.be/aiF68Rf181w,0.0,Neutral,0.0,Netural,0.23318727314472198,Netural
"N O N S T O P 4 D 
Situs Taruhan Online yang Aman & Terpercaya 
Minimal Deposit 20 Rb Melalui : Pulsa, Ovo, Dana, Gopay, Link Aja ❤",0.9153,Positive,0.5,Positive,0.2921772003173828,Netural
A good son masking his own aching and broken heart to help his Mother put hers back together ❤️,0.5423,Positive,0.22499999999999995,Netural,0.5429750680923462,Positive
2:53,0.0,Neutral,0.0,Netural,0.23475958406925201,Netural
amei lindo de mais perfeito,0.8357,Positive,0.7333333333333334,Positive,0.5603702664375305,Positive
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
Nice song,0.4215,Positive,0.6,Positive,0.46624240279197693,Positive
Award winning!,0.8016,Positive,0.625,Positive,0.8289327025413513,Positive
My Best Friend was murder April 21 2016 6 years ago this song reminds me of her RIP Merindaj I love you ✝️😇🙏👏,0.872,Positive,0.75,Positive,0.7618737816810608,Positive
My niece passed away from a heart condition this song reminds me that I have to remember her longer than I ever got to know her 😢🥺💔,0.4939,Positive,0.0,Netural,0.5343281030654907,Positive
I am in love with your  song 🎵,0.6369,Positive,0.5,Positive,0.7250062823295593,Positive
💞,0.6486,Positive,0.0,Netural,0.30857792496681213,Netural
savage..https://youtu.be/WPdWvnAAurg,0.0,Neutral,0.0,Netural,0.30648723244667053,Netural
I like song,0.3612,Positive,0.0,Netural,0.4713875353336334,Positive
I recently lost my little brother we where extremely close all we had was each other I always took care of him I'm the oldest  and I'm very strong emotionally but it's tearing me apart inside every single day just wondering if there was anything I could have done to save him see he called me and messaged me begging for me to answer the phone  4 times that night at 3am but I was sleeping and didn't get those messages till the early morning when I woke up but it was too late he overdosed in a hotel room and im really having a hard time like really badly trying to accept that he is gone it's like I can't accept it I don't believe it for some reason but I really like this song it makes me think of him and all the good times we had together.  sorry for saying all that I just can't stop crying,0.9654,Positive,-0.04607886904761904,Negative,0.3596974313259125,Positive
Damn 😩😞🖤,-0.4019,Negative,0.0,Netural,0.2940843105316162,Netural
My fav love it it made me upset because my grandma died  it reminded me of her love that so much,0.7351,Positive,0.39999999999999997,Positive,0.6893517374992371,Positive
"I really love this song is touching,Justin u the best can't lie 😫🇬🇧🇳🇬",0.9022,Positive,0.75,Positive,0.8589074611663818,Positive
*HAPPY.........SATURDAY..........MAKE  TIME  FOR  THE..........LITTLE  THINGS  THAT...........BRING  YOU............JOY  TODAY 🥰*,0.8074,Positive,0.0,Netural,0.6870163083076477,Positive
"WiT      Psy  *

                              You    Live   and  You   Learn    💊

How   Can   We    Educate   The   Disabled    AND   Mentally    Slow",0.0,Neutral,-0.12121212121212123,Negative,0.5497956871986389,Positive
I so much love this song every day 😍,0.8166,Positive,0.5,Positive,0.8912962079048157,Positive
Not a huge fan of JB but this song hits hard. My husband had stage 4 colon cancer and passed away in February. My heart and life has been completely shattered. The chorus is so spot on.,-0.8152,Negative,-0.13055555555555556,Negative,-0.5527989268302917,Negative
"Atenção Justin Bieber acaba de lançar Honest, é sua nova musica, ela é um trap um som novo de JB, vão conferir",0.25,Positive,0.3181818181818182,Netural,0.3891889750957489,Positive
"Atención Justin Bieber acaba de lanzar Honest, es su nueva canción, es una trampa, un nuevo sonido de JB, vayan a verlo",0.25,Positive,0.3181818181818182,Netural,-0.37763306498527527,Negative
"Attention Justin Bieber just released Honest, it's his new song, it's a trap a new sound by JB, go check it out",0.25,Positive,0.3181818181818182,Netural,-0.43734171986579895,Negative
"Whenever I listen to this song,I feel comforted. Cos I just lost my lovely beautiful puppy",0.8481,Positive,0.675,Positive,0.31427109241485596,Netural
V,0.0,Neutral,0.0,Netural,0.3491922616958618,Positive
