Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
💛💙,0.8555,Positive,0.0,Netural,0.30857792496681213,Netural
Imagine Dragons dont miss. Just sometimes its also a critical hit,-0.049,Neutral,-0.0875,Negative,0.4064105153083801,Positive
"Wow, 🎶 love them",0.8402,Positive,0.3,Netural,0.9241696000099182,Positive
POV:You click the like button a million times because it's satisfying 😂😂,0.8834,Positive,0.5,Positive,0.39491769671440125,Positive
Boy this band has been creating what I call legendary stuff. Keep up the good work. Imagine dragons will always be loved by india. ♥️🇮🇳,0.9217,Positive,0.7999999999999999,Positive,0.7390919327735901,Positive
bullshit,-0.5859,Negative,0.0,Netural,-0.7358127236366272,Negative
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Su ptm que canción tan god,0.2732,Positive,0.0,Netural,0.37271595001220703,Positive
"PICK UP YOUR PHONE AND START DIALING >""<",0.0,Neutral,0.0,Netural,0.3796388506889343,Positive
đỉnh caoo,0.0,Neutral,0.0,Netural,0.271119087934494,Netural
Imagine dragons is the best that’s has ever done it,0.6369,Positive,1.0,Positive,0.8614600896835327,Positive
0:29,0.0,Neutral,0.0,Netural,-0.48808911442756653,Negative
"ซบ
สาาา",0.0,Neutral,0.0,Netural,0.3206331133842468,Netural
Trhiller in 2022,0.1027,Positive,0.0,Netural,0.24438491463661194,Netural
Man que pieza!!,0.0,Neutral,0.0,Netural,-0.2843455970287323,Negative
damn dan you really know how to throw it back at 0:35 sheeesh 🥵,-0.4019,Negative,0.1,Netural,-0.48508328199386597,Negative
"Love the video Imagine dragons! Do you have any advice for young budding artists, Rico and Tsoysauce (local teens from Tampa). Check out their recent work: https://youtu.be/8IDHyxDiQkY",0.6696,Positive,0.16499999999999998,Netural,0.6351041197776794,Positive
"Bones X enemy mashup
Just hear it
Trust me",-0.0516,Negative,0.0,Netural,0.46486103534698486,Positive
"I've always wondered what Wallstreet would be like if it was crossed with the movie Zombi, and now i know.",0.3612,Positive,0.0,Netural,0.26309332251548767,Netural
Imagine dragons never disappoint,0.3089,Positive,0.0,Netural,0.46106797456741333,Positive
This si art,0.0,Neutral,0.0,Netural,0.5808781981468201,Positive
god music,0.2732,Positive,0.0,Netural,0.4052683711051941,Positive
Erra nunca,0.2584,Positive,0.0,Netural,-0.589350700378418,Negative
savage.https://youtu.be/WPdWvnAAurg.,0.0,Neutral,0.0,Netural,0.3504151403903961,Positive
saben como se llama la cancion¿¿,0.0,Neutral,0.0,Netural,-0.37370792031288147,Negative
It’s entertaining,0.4404,Positive,0.5,Positive,0.4992760121822357,Positive
Triller version moderna y mejorada,0.5423,Positive,0.2,Netural,0.45446813106536865,Positive
Imagine Dragons es simplemente perfecto las canciones que sacan son tan adictivas!,0.6114,Positive,1.0,Positive,0.9009976387023926,Positive
The reaper is his friend. Oh I like this one.,0.6908,Positive,0.0,Netural,0.5307642221450806,Positive
Todos os clipes dessa banda são incríveis kkk,0.765,Positive,0.7000000000000001,Positive,-0.35090330243110657,Negative
This man can twerk daaaamn,0.0,Neutral,0.0,Netural,0.4974518418312073,Positive
"do you feel bad, don't worry go to your room and turn on the last sound imagine dragons and dance wildly.",-0.2718,Negative,-0.049999999999999954,Negative,0.6708515286445618,Positive
:D,0.5106,Positive,1.0,Positive,0.28720948100090027,Netural
Is anyone going to talk about 0:36?,0.0,Neutral,0.0,Netural,-0.6071480512619019,Negative
EY yo BOYS WHO W8 FORRRRRR BOYS NEW SEASONNNNN!,0.0,Neutral,0.17045454545454544,Netural,0.6617524027824402,Positive
The song is so good that even the zombies are grooving to it,0.5777,Positive,0.7,Positive,0.5067228674888611,Positive
new scp the zombie plage contain metod vibe,0.0,Neutral,0.13636363636363635,Netural,0.3554989993572235,Positive
Senti uma forte referência de M.J 🫶🏽😻,0.743,Positive,0.4333333333333333,Positive,0.4195050001144409,Positive
"Eu te amo cara, eu te amo 🤌🏽🫶🏽🫂❤️😍 o melhor kkkkk ta muito fofo nesse Clipe e ficou uma obra de arte 🖼",0.9709,Positive,0.6599999999999999,Positive,0.6177411079406738,Positive
"a different take on their usual style, but very good.",0.6474,Positive,0.21999999999999997,Netural,0.7180989980697632,Positive
Great job as I expected. ;),0.7184,Positive,0.3166666666666667,Netural,0.6677384376525879,Positive
"I loved this song the moment I heard it, then I saw the music video and mind blown!!! Love the kinda Wolf Of Wall Street homeage....",0.8743,Positive,0.75,Positive,0.6521051526069641,Positive
That haircut is actually fire on Dan,-0.34,Negative,0.0,Netural,-0.4414871335029602,Negative
Bring OwO back,0.0,Neutral,0.0,Netural,-0.5118356943130493,Negative
My favourite song 👏👏,0.0,Neutral,0.0,Netural,0.8612696528434753,Positive
Very very good 👏👏,0.5379,Positive,0.9099999999999999,Positive,0.7171639800071716,Positive
East or west ImagineDragons the best,0.6369,Positive,1.0,Positive,0.8124039173126221,Positive
hi\,0.0,Neutral,0.0,Netural,0.2759968936443329,Netural
It was entertaining,0.4404,Positive,0.5,Positive,0.48266440629959106,Positive
Temaaazo,0.0,Neutral,0.0,Netural,0.2872021496295929,Netural
❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
It's not hollowen,0.0,Neutral,0.0,Netural,0.3193395137786865,Netural
Thriller by Micheal jackson film  theory???,0.2359,Positive,0.0,Netural,0.32783424854278564,Netural
this song is now in my head everyday,0.0,Neutral,-0.2,Negative,0.6441571712493896,Positive
"Hi guys!im your big fan and i have 12 years old. I will be on your concert in Gdynia. One of my biggest dream is get autograph from you.
Julia wysocka.❤",0.8313,Positive,0.05,Netural,0.721094012260437,Positive
Great movie reference lol,0.7845,Positive,0.8,Positive,0.6465712189674377,Positive
they never disappoint with their songs🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩,0.3089,Positive,0.0,Netural,0.45437362790107727,Positive
I'm sorry are we ignoging the fact that Dan Reynolds is twerking?,-0.0772,Negative,-0.5,Negative,-0.5466044545173645,Negative
"Lyrics:
Gimme, gimme, gimme some time to think
I'm in the bathroom, looking at me
Face in the mirror is all I need (ooh)
Wait until the reaper takes my life
Never gonna get me out alive
I will live a thousand million lives (ooh)
My patience is waning
Is this entertaining?
Our patience is waning
Is this entertaining?
I-I-I got this feeling, yeah, you know
Where I'm losing all control
'Cause there's magic in my bones
I-I-I got this feeling in my soul
Go ahead and throw your stones
'Cause there's magic in my bones
Playing with a stick of dynamite
There was never gray in black and white
There was never wrong 'til there was right (ooh, oh)
Feeling like a boulder hurtling
Seeing all the vultures circling
Burning in the flames I'm working in
Turning in a bed that's darkening
My patience is waning
Is this entertaining?
Our patience is waning
Is this entertaining?
I-I-I got this feeling, yeah, you know
Where I'm losing all control
'Cause there's magic in my bones (in my bones)
I-I-I got this feeling in my soul
Go ahead and throw your stones
'Cause there's magic in my bones
'Cause there's magic in my bones
Look in the mirror of my mind
Turning the pages of my life
Walking the path so many paced a million times
Drown out the voices in the air
Leaving the ones that never cared
Picking the pieces up and building to the sky
My patience is waning
Is this entertaining?
My patience is waning
Is this entertaining?
I-I-I got this feeling, yeah, you know
Where I'm losing all control
'Cause there's magic in my bones (magic in my bones)
I-I-I got this feeling in my soul (soul)
Go ahead and throw your stones
'Cause there's magic in
There goes my mind (I-I-I)
Don't mind
There goes my mind (there it goes, there it goes)
There goes my mind (I-I-I)
Don't mind (there it goes)
There goes my mind
'Cause there's magic in my bones",0.9768,Positive,0.39115505706414794,Positive,-0.31627726554870605,Negative
Toto wolf? Hahaha,0.5574,Positive,0.2,Netural,-0.4171178936958313,Negative
It’s too short :(,-0.4404,Negative,-0.375,Negative,-0.3891013562679291,Negative
"I say whichever song of Imagine Dragons I listen to is the best, but I say this in every song. How come all their songs are perfect.",0.8248,Positive,1.0,Positive,0.7954530715942383,Positive
This is the best song ever end make hiepi er,0.6369,Positive,1.0,Positive,0.8385231494903564,Positive
My babies at the top where they belong 🥰,0.8442,Positive,0.5,Positive,0.6468738317489624,Positive
Kings,0.0,Neutral,0.0,Netural,0.5080899596214294,Positive
This is my favourite song! :),0.5093,Positive,0.5,Positive,0.8818517923355103,Positive
Beat gives chils,0.0,Neutral,0.0,Netural,0.3146040439605713,Netural
You are great,0.6249,Positive,0.8,Positive,0.754112958908081,Positive
Why is this still not popular? Literally a fire song ! 🔥,-0.7524,Negative,-0.375,Negative,-0.8234723210334778,Negative
I've been a fan since radioactive and I loved Evolve. Its nice to see them making more music,0.8402,Positive,0.6,Positive,0.5058045387268066,Positive
hahaha,0.5574,Positive,0.2,Netural,-0.2434743046760559,Negative
