Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
criminaaaaaaal que buen rolon,0.4404,Positive,0.7,Positive,0.32219618558883667,Netural
2022?,0.0,Neutral,0.0,Netural,-0.3836294710636139,Negative
desde Colombia 😎,0.4588,Positive,0.0,Netural,0.4142894744873047,Positive
"*Did anyone just suddenly remember this song*
.
.
👇
*You’re amazing stay blessed, stay safe and have a amazing rest of your day*",0.9371,Positive,0.42500000000000004,Positive,0.8227500319480896,Positive
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you ❤️,0.8271,Positive,0.037037037037037035,Netural,0.7419810891151428,Positive
Duro🔥🔥🔥,-0.7351,Negative,0.0,Netural,0.30857792496681213,Netural
👍👍👍👍👍😄😄😄,0.9382,Positive,0.0,Netural,0.30857792496681213,Netural
Ñzmdkxbkañkcljfnbduyywouuwounvxlhjdkhhhhisljywlbghlhlcbmmalhkgkhcljkwkhio,0.0,Neutral,0.0,Netural,-0.31397104263305664,Negative
Aquí los que nunca se fueron temazo 🛐👏,-0.2718,Negative,0.4,Positive,0.30387985706329346,Netural
Alguien la escucha en 2022?,0.0,Neutral,0.0,Netural,-0.517694354057312,Negative
2022,0.0,Neutral,0.0,Netural,0.2900533974170685,Netural
Alguien que lo anda escuchando en 2022 🤠,0.0,Neutral,0.0,Netural,-0.32215043902397156,Negative
Miami beach 🇺🇸🇨🇺😍🤟,0.4588,Positive,0.0,Netural,0.3817465901374817,Positive
2022 jajaja,0.4215,Positive,0.8,Positive,0.2827119827270508,Netural
"Mayores becky g y criminal nati Nathacha
Revuelve sin pijama que tal les pareció 😀",-0.2263,Negative,-0.11666666666666668,Negative,-0.36428943276405334,Negative
2022??,0.0,Neutral,0.0,Netural,-0.4259990453720093,Negative
Quién está escuchando está música en el 2022,0.0,Neutral,0.0,Netural,0.3977328836917877,Positive
España Murcia,0.0,Neutral,0.0,Netural,0.2602965533733368,Netural
Vamos 2022,0.0,Neutral,0.0,Netural,0.4392988383769989,Positive
PEACE AND LOVE FOR EVERBODY WHO IS READING THIS ❤ stay save and have a nice day.,0.9655,Positive,0.55,Positive,0.7589603662490845,Positive
Vamos apoyar a Natti Natasha en todas las plataformas 🙏 vamos a demostrar que ella es la verdadera reina ♥️,0.8658,Positive,0.35,Positive,0.7591332793235779,Positive
Todavía 2022,0.0,Neutral,0.0,Netural,0.30817338824272156,Netural
Quien en el 2022😌,0.3818,Positive,0.0,Netural,0.35729655623435974,Positive
💙💙,0.8555,Positive,0.0,Netural,0.30857792496681213,Netural
Imadomm 😍,0.0,Neutral,0.0,Netural,0.2476416677236557,Netural
Alguien en 2022 que la este escuchando? O soy el unico jajajajja,0.4215,Positive,0.4,Positive,-0.5863901376724243,Negative
Yo 2022,0.0,Neutral,0.0,Netural,0.3020428717136383,Netural
Estamos en el 2022 y todavía la vivo🤣 quien mas en el 2022?,0.4939,Positive,0.13636363636363635,Netural,0.2758486866950989,Netural
❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
I will listen this song at rehab center,0.0,Neutral,-0.1,Negative,0.4734590947628021,Positive
Like el q este viendo o escuchando ente tema en 2022,0.3612,Positive,0.0,Netural,0.4059126675128937,Positive
LA FORMULA +-B +.RAIZ CUADRADA DE -B-4AC SOBRE 2 A,0.0,Neutral,0.0,Netural,0.33581840991973877,Positive
CRIMINAL CRI CRIMINAL TU ESTILO TU FLOW BABY MUY CRIMINAAAAAAAL,-0.7783,Negative,-0.20000000000000004,Negative,-0.6558007001876831,Negative
Acabo de descubrir esta cancion haha 5 años tarde!!! No escucho reaguetton pero juego Just Dance y ahi la descubri hahaha es pegajosa.,0.8974,Positive,-0.06197916666666666,Negative,-0.5272872447967529,Negative
*lejitimo M1 x criminal cungx GT 👣🥾🌎 🥅 ^,-0.5267,Negative,-0.4,Negative,-0.3380884826183319,Negative
Nckzkfk,0.0,Neutral,0.0,Netural,0.26215311884880066,Netural
Saludos   desde   aya   nati     me   admiras  nati   abrazos,0.8442,Positive,0.0,Netural,0.645835280418396,Positive
https://youtu.be/mAq-n2EjzKM.,0.0,Neutral,0.0,Netural,-0.2772085666656494,Negative
