Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
nul,0.0,Neutral,0.0,Netural,-0.810704231262207,Negative
A veces quisiera pensar que Rauw Alejandro pudo estar a la altura de lo que fue Ozuna. Pero llegó a la conclusión que no lo igualara nadie por muchos años. Ozuna marco la vida de muchos adolescentes... Que nostalgia 🥺,0.1901,Positive,0.3090909090909091,Netural,0.32280418276786804,Netural
Esto y las canciones antiguas de Nicky Jam son lo mejor del regueton de estos tiempoa,0.6369,Positive,0.55,Positive,0.6135066747665405,Positive
Esto es musica,0.0,Neutral,0.0,Netural,0.39156490564346313,Positive
Claudia te amo  💐,0.6369,Positive,0.5,Positive,0.5396217703819275,Positive
"5 años y aun la sigo escuchando, saludos y bendiciones a los que lean este comentario 🤍",0.743,Positive,0.0,Netural,0.6758424639701843,Positive
Alguien en 2022,0.0,Neutral,0.0,Netural,-0.3778897225856781,Negative
A 4 años asta oy la escucho de nuevo,0.0,Neutral,0.0,Netural,-0.22288675606250763,Negative
"Onde esTa.mi Vida con la que stoY n  el Corazon
Where u at my love.",0.8555,Positive,0.5,Positive,0.6478039026260376,Positive
Quien en abril de 2022?? 🙏❤️😭,-0.5362,Negative,0.0,Netural,-0.6424508690834045,Negative
EL NEGRITO DE OJOS CLAROS TATITO,0.0,Neutral,0.11666666666666668,Netural,-0.2983959913253784,Negative
somebody to looooove,0.0,Neutral,0.0,Netural,-0.42733871936798096,Negative
aguante freddie mercury loco,-0.34,Negative,-0.6,Negative,0.6132947206497192,Positive
buen tema,0.4404,Positive,0.7,Positive,0.4815501868724823,Positive
El claro ejemplo  que  se puede hacer reguetón  sin letras vulgares . El problema  no es el género .el problema  es la letra,-0.4215,Negative,-0.3,Negative,-0.36047276854515076,Negative
Mis recuerdos,0.0,Neutral,0.0,Netural,0.49171680212020874,Positive
ozunaaa te amoooo,0.6369,Positive,0.5,Positive,-0.32044535875320435,Negative
