Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Good,0.4404,Positive,0.7,Positive,0.49696317315101624,Positive
Fake views,-0.4767,Negative,-0.5,Negative,-0.7613027691841125,Negative
April 2022 Attendence 💖💖,0.9153,Positive,0.0,Netural,-0.4216667413711548,Negative
What car is he driving ?,0.0,Neutral,0.0,Netural,-0.24190671741962433,Negative
1 billion,0.0,Neutral,0.0,Netural,-0.40556493401527405,Negative
Nice song,0.4215,Positive,0.6,Positive,0.46624240279197693,Positive
"Lahore ch bamb milde ne praaava , kudi ni mildi , kudiyan ta punjab ch mildiyan ne , lahore naalo  vadiyan kudiyann ta gudgava ch mil jaaniya ne tenu",-0.4939,Negative,0.0,Netural,-0.45574963092803955,Negative
fire fire op,-0.5859,Negative,0.0,Netural,0.32230284810066223,Netural
Only guru can break the record of Guru's song ❤,0.6369,Positive,0.0,Netural,-0.3824613392353058,Negative
Congratulations 1billon 😯 views ❤,0.8442,Positive,0.0,Netural,0.34242573380470276,Positive
Koun koun ye song 2022 mai sun rehe ho like koro...,0.5859,Positive,0.0,Netural,-0.4082488715648651,Negative
last part of the video.... oooohhhhhooooooooooooooooooo,0.0,Neutral,0.0,Netural,-0.3693588972091675,Negative
Congratulations 1 billion view,0.5994,Positive,0.0,Netural,0.41567379236221313,Positive
Congratulations Bhai 💪💪💪🎉🎉🎊🎊,0.8519,Positive,0.0,Netural,0.43779078125953674,Positive
It's may 2022 let's see how many people are listening to this masterpiece🥰,0.9213,Positive,0.5,Positive,-0.37368929386138916,Negative
Legend are watching in 2022 😂,0.4404,Positive,0.0,Netural,0.4894396662712097,Positive
Bhai ap tension mat lo agar hoeny singh kisi tarah 2011 ka form mei wapas a gaye na toh 1b views unko 1 yrs lagenge unke songs mei😏😏😏,-0.3182,Negative,0.0,Netural,-0.308267742395401,Negative
What a nice song ❤️❤️❤️👍👍👍,0.4215,Positive,0.6,Positive,0.6053979992866516,Positive
Congratulations 1billons views bro,0.5994,Positive,0.0,Netural,-0.2702849805355072,Negative
Legend Listening 2022🔥,-0.34,Negative,0.0,Netural,0.5113641023635864,Positive
You are  indian,0.0,Neutral,0.0,Netural,-0.2944786846637726,Negative
Yah video April 2022 mein कौन-कौन dekh raha hai,0.0,Neutral,0.0,Netural,-0.46952590346336365,Negative
"*Did anyone just suddenly remember this song*
.
.
👇
*You’re amazing stay blessed, stay safe and have a amazing rest of your day*",0.9371,Positive,0.42500000000000004,Positive,0.8227500319480896,Positive
"Ok guys tell me
The girl said that Lagdi, I think of Lahore",0.296,Positive,0.5,Positive,0.5576373934745789,Positive
Me dekh dekhkar kar dunga 2 billon ok 😘😘😘😘😘😘😘😘 i love ❤️ this song,0.7506,Positive,0.5,Positive,0.7118525505065918,Positive
Who is listing 2022,0.0,Neutral,0.0,Netural,0.3021877706050873,Netural
Kon kon hai jo 2022 mai bhi a song sun ta hai.,0.0,Neutral,0.0,Netural,-0.5849819779396057,Negative
My favorite singer,0.4588,Positive,0.5,Positive,0.9030351638793945,Positive
😇😅😅😍😍🤟👌👯‍♂️👯‍♀️👯,0.9592,Positive,0.0,Netural,0.30857792496681213,Netural
एक बिलियन की बहुत-बहुत शुभकामनाएं,0.5719,Positive,0.8,Positive,0.2955209016799927,Netural
वन मिलियन के आपको शुभकामनाएं,0.1531,Positive,0.0,Netural,0.4146954417228699,Positive
"it's April 2022 , let's see how many legends still listening this masterpiece...😍🔥
Love you all...❤️",0.8928,Positive,0.5,Positive,0.8712531924247742,Positive
"*5 year ago, i was listen this song many times in a every day and now I suddenly remembered this song and come here to listen this masterpiece ❤️❤️ never getting old this song ❤️❤️*",0.7073,Positive,0.19999999999999998,Netural,0.8477410674095154,Positive
All.time fav song,0.4588,Positive,0.0,Netural,0.43399497866630554,Positive
