Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
This beautiful song was made for generations and generations to listen too... it will never get old..,0.5994,Positive,0.475,Positive,0.8081026077270508,Positive
Mama? Mama? Mama! Mama! Mama? Mama? Mama Mama Mama Mama Mama! Mama! Mama! Mama! Mama! Mama! Mama! Dada? Dada!,0.0,Neutral,0.0,Netural,-0.5037975907325745,Negative
Perfect song to test your new earbuds with!,0.6114,Positive,0.5852272727272727,Positive,0.899656355381012,Positive
It’s crazy to think that at least hundreds of people around the globe are listening to this legend even at this single moment.,-0.34,Negative,-0.32380952380952377,Negative,-0.3179102838039398,Negative
Because it is! Freddie was for the first time FREE in the music industry and this is the result! Regaining freedom gives you incredible power!,0.8781,Positive,0.5833333333333334,Positive,0.8932153582572937,Positive
"3:05 ""I see a little selaweto of a man"" sorry for my spelling.",-0.0772,Negative,-0.34375,Negative,-0.36019644141197205,Negative
Legendary,0.0,Neutral,1.0,Positive,0.7853575348854065,Positive
I love this song more than I love my life😅,0.9035,Positive,0.5,Positive,0.8975121378898621,Positive
Is This the real life?,0.0,Neutral,0.2,Netural,-0.2846005856990814,Negative
This is are class song! It gives so much energy it keeps coming in my brain like a karaoke machine!-,0.6665,Positive,0.25,Netural,0.8082283139228821,Positive
This is the worst part. 6:01,-0.6249,Negative,-1.0,Negative,-0.9041445851325989,Negative
"Mannnnnnn! I’m 25y old and hearing this for the first time! Woah! Since few months I’m playing guitar and in a trans with Bohemian, eagles and many more. 

Mamamaaaaaaaa ooohhhhhhhhh",0.3971,Positive,0.258125,Netural,0.3542806804180145,Positive
MAMA! Ooh~ I don't wanna die ! I sometimes wish I'd never been born at all..,0.7529,Positive,0.0,Netural,-0.37804508209228516,Negative
2:39,0.0,Neutral,0.0,Netural,0.24731537699699402,Netural
Forever and always an absolute masterpiece to live on with humanity as long as we are alive. Nothing but love to all <3,0.3915,Positive,0.3143939393939394,Netural,0.9351105093955994,Positive
QUEEEEN,0.0,Neutral,0.0,Netural,0.28385549783706665,Netural
if you can make 60.000 plus poeple sing your song 27 years after your death you are definetly a legend.,-0.296,Negative,0.0,Netural,0.5366675853729248,Positive
68 in May,0.0,Neutral,0.0,Netural,-0.3630046248435974,Negative
You'll SIng,0.0,Neutral,0.0,Netural,0.39130130410194397,Positive
Crow and wings,0.0,Neutral,0.0,Netural,0.2729365825653076,Netural
WHO LISTEN THIS BC OF KIT CONNOR ??,0.0,Neutral,0.0,Netural,-0.4436805546283722,Negative
3:05 genshin impact community as enter  the chat,0.0,Neutral,0.0,Netural,0.3172186315059662,Netural
Day 389 listening to Bohemian Rhapsody by Freddy Mercury everyday until my first child is conceived.  - April 30th,0.0,Neutral,0.024999999999999994,Netural,0.32916101813316345,Netural
Yes...just found out myself....,0.0,Neutral,0.0,Netural,0.2591358721256256,Netural
I miss freddy,-0.1531,Negative,0.0,Netural,0.27528756856918335,Netural
"Oh That 
BISMILLAH💌🇧🇩💌",0.8555,Positive,0.0,Netural,0.23560750484466553,Netural
1:35,0.0,Neutral,0.0,Netural,0.21657168865203857,Netural
"I was listening to this song, my father came in and told me how back then in the Soviet Union my grandpa was secretly listening to queens songs cause they were illegal to watch western things back then. Tells you people would even break the law to listen to them cause they’re that good.",-0.1779,Negative,-0.03333333333333335,Negative,0.29580405354499817,Netural
a beautiful powerful evergreen song,0.7717,Positive,0.575,Positive,0.84798264503479,Positive
RIP Freddie,0.0,Neutral,0.0,Netural,-0.5060114860534668,Negative
Bismillah ....,0.0,Neutral,0.0,Netural,0.2716708779335022,Netural
Me gustaba mucho la música de Freddy Mercury lo malo qué jugaba free fire,0.4391,Positive,0.10000000000000005,Netural,0.37723198533058167,Positive
I love it,0.6369,Positive,0.5,Positive,0.8333382606506348,Positive
I deserve to blast this in my house and invite the police to listen too,0.1531,Positive,0.0,Netural,0.698162853717804,Positive
Who is listening to this in 2022,0.0,Neutral,0.0,Netural,0.3493861258029938,Positive
2:24 is my favorite part I literally scream it,0.0772,Positive,0.5,Positive,0.7718231081962585,Positive
Tiktok ruined this song,-0.4767,Negative,0.0,Netural,-0.7523214817047119,Negative
