Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Floppa mob,-0.34,Negative,0.0,Netural,-0.47842541337013245,Negative
bruh fortnites way better,0.4404,Positive,0.5,Positive,-0.39983221888542175,Negative
We Don't Need Rats We Have The Allay And The Straw Golem,0.0,Neutral,0.0,Netural,0.35338035225868225,Positive
They Need Crabs In 1.19,0.0,Neutral,0.0,Netural,0.3104071617126465,Netural
i have the good idea of added buterflys.they are attract to glow stone and they are benefits for farming:),0.7906,Positive,0.6,Positive,0.46743473410606384,Positive
I'd use the ocelot plushie to keep as an item for going to sleep. I like cats.,0.3612,Positive,0.0,Netural,0.3890189230442047,Positive
Not caracal its called a floppa lol,0.4215,Positive,0.8,Positive,-0.4482402801513672,Negative
Yo a floppa,-0.34,Negative,0.0,Netural,-0.4751044809818268,Negative
Yo the tree stalker be like Groot,0.3612,Positive,0.0,Netural,0.24785427749156952,Netural
The bald eagle kinda reminded me of the owl from farcry-,0.0,Neutral,0.0,Netural,0.5136964917182922,Positive
"The souls in the nether are DEFINITELY something we need, just because it fits the atmosphere of the nether. When I first joined, I expected little ghouls in the nether, and I was kinda surprised when there wasn’t. Good idea!",0.8037,Positive,0.15625,Netural,0.6661263704299927,Positive
(seeing as they are extremely dangerous to keep as pets because they are wildcats).,-0.5256,Negative,-0.6,Negative,-0.3813681900501251,Negative
Mm,0.0,Neutral,0.0,Netural,0.28942328691482544,Netural
I like the kangaroo is so cute,0.7481,Positive,0.5,Positive,0.5823509097099304,Positive
"Him: ""Minecraft doesnt have friendly cave mobs but here is the stoneling""
New toretoise and bats: ""Am i a joke to you?""",0.2467,Positive,0.2556818181818182,Netural,-0.385192334651947,Negative
im Just waching the video looping the move up NO NEW MOBS AND IM IN MOJANG,-0.4466,Negative,-0.06818181818181818,Negative,-0.6085453033447266,Negative
"Him: *only talks that shiba is only new family added*
Caracal who is in cat family: ""Really man?""",0.0,Neutral,0.08409090909090909,Netural,0.3003685176372528,Netural
I got 1.19,0.0,Neutral,0.0,Netural,0.2290971577167511,Netural
FLOPPAA,0.0,Neutral,0.0,Netural,-0.5461002588272095,Negative
wow!🤯,0.6239,Positive,0.0,Netural,0.7755075693130493,Positive
I really like the snuffle and toretoise,0.4201,Positive,0.2,Netural,0.5311214327812195,Positive
Alex's Mobs,0.0,Neutral,0.0,Netural,0.30146780610084534,Netural
"These mods are great and all but i mostly prefer the one with terraria logic. If there was even one. Because, if that existed the mod contains literally. Every mob drops an item. Either a material. Or a weapon.",-0.0644,Negative,0.5,Positive,0.3713955879211426,Positive
hecker,0.0,Neutral,0.0,Netural,0.28051337599754333,Netural
Can you do for bedrock edition,0.0,Neutral,0.0,Netural,0.3103012144565582,Netural
"0:51 

Jorato: cheesy cheesy daze",-0.1779,Negative,-0.5,Negative,-0.7314452528953552,Negative
caracal = floppa,0.0,Neutral,0.0,Netural,-0.37671589851379395,Negative
The Caracal shold be called floppa in minecraft lol,0.4215,Positive,0.8,Positive,-0.2992725074291229,Negative
"Shibas: *growls at dark spaces*
Shibas mind: *sees future* yeah bro I sense your unborn bones",0.296,Positive,-0.075,Negative,0.23469096422195435,Netural
Rats in Minecraft world war smps should be exterminated,-0.5994,Negative,0.0,Netural,-0.5084422826766968,Negative
We need a floppa mob,0.0,Neutral,0.0,Netural,-0.372299462556839,Negative
Floppa + Doge,0.0,Neutral,0.0,Netural,-0.49256184697151184,Negative
I dont like fortnit that mach,-0.2755,Negative,0.0,Netural,-0.38457682728767395,Negative
aww the pig with mud on it is so cuteeeeeeeeeeeeeeeeee,0.0,Neutral,0.3,Netural,-0.31578320264816284,Negative
Question. Will we ever get more random one block Skyblock?,-0.4877,Negative,0.0,Netural,-0.4916691780090332,Negative
Nice cat,0.4215,Positive,0.6,Positive,0.45461151003837585,Positive
FLOPAA,0.0,Neutral,0.0,Netural,-0.2974492907524109,Negative
Big flopper,0.0,Neutral,0.0,Netural,-0.533466637134552,Negative
I play bedrock😭,-0.1779,Negative,0.0,Netural,0.5595670342445374,Positive
i only need rats dragons snails soul vultures lizards more reptiles crocodiles n o t s e a turtles and caracals. thank you for your business,0.0516,Positive,0.25,Netural,0.5348221659660339,Positive
i’m going to name my caracal “Floppa”,0.0,Neutral,0.0,Netural,-0.483844131231308,Negative
Yeah but like what if he put them in the game but you couldn't tame all of them that would help a lot because the game is pretty dead even though that the warden just got added we need more reptiles we need more land animals because they ant guna cut it,0.4767,Positive,0.004761904761904777,Netural,0.5196529626846313,Positive
"Ayo, I wanted to thank you. As 1 I get to learn many things about minecraft. 2 you got me back into playing the game. And finally 3, I have some pretty intense insomnia,but your voice is so soothing. I want to thank you for helping me fall asleep at night. You got my full respect my guy",0.9528,Positive,0.1285714285714286,Netural,0.3975284993648529,Positive
"It’d be cool if they added crabs to Minecraft.
the crabs would drop crab legs, and on occasions it could drop something called a crab scale.
which could be crafted into armor, if all the pieces of armor are equipped it would have water breathing and depth strider.

If anyone would want to see this in Minecraft, get this comment up to the top👍🏻",0.0516,Positive,0.35,Positive,0.3147376775741577,Netural
Floppa,-0.34,Negative,0.0,Netural,-0.4411766529083252,Negative
BIG FLOPPA,-0.34,Negative,0.0,Netural,-0.4893190562725067,Negative
I have minecraft dungeon mod,0.0,Neutral,0.2,Netural,0.27964818477630615,Netural
i want caracal so floppa is in minecraft,0.0772,Positive,0.0,Netural,-0.42057469487190247,Negative
The soul vulture is having its revenge for the mob vote when fox won,-0.4019,Negative,0.0,Netural,0.2954949736595154,Netural
0:51 *jorato*,0.0,Neutral,0.0,Netural,-0.5797435641288757,Negative
A caracall is also known as a floopa,0.0,Neutral,0.0,Netural,0.282909631729126,Netural
WE NEED PLAUSHES IN THE GAME,0.0,Neutral,-0.4,Negative,0.38373324275016785,Positive
I WANT DAT GOBLIN😫😫😫😫😫😫,-0.9368,Negative,0.0,Netural,0.24839302897453308,Netural
floppa minecraft,-0.34,Negative,0.0,Netural,-0.5123227834701538,Negative
The snuffles look a lot like poros from league of legends. I honestly would’t mind them roaming my world haha,0.8176,Positive,0.4,Positive,-0.3862815797328949,Negative
7:23 no way big floppa in minecraft,-0.296,Negative,0.0,Netural,-0.6105179786682129,Negative
"I love the rat idea
I also like how they can have cloths",0.7717,Positive,0.5,Positive,0.4876094162464142,Positive
FLOPPA,-0.34,Negative,0.0,Netural,-0.4411766529083252,Negative
floppa?????????????????????,-0.5204,Negative,0.0,Netural,-0.5609540343284607,Negative
