Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
😍😍😍,0.8402,Positive,0.0,Netural,0.30857792496681213,Netural
This the first song I came across that has reached a billion views 🥺❤️😎👏🏾👏🏾👏🏾🙌🏾🙏🏾,0.5267,Positive,0.25,Netural,0.6801137924194336,Positive
Neymar,0.0,Neutral,0.0,Netural,-0.25262680649757385,Negative
Teresita Paramount mujer 10 ******,0.0,Neutral,0.0,Netural,0.6881402134895325,Positive
Gracias sensacional!!,0.5399,Positive,0.6,Positive,0.7837569117546082,Positive
"CHEGAMOS DE NOVOOO "" BRASIL  . MALUMA BABY ,  Felices los 4 "" DURO """,0.0,Neutral,0.0,Netural,0.30870944261550903,Netural
✨✨✨,0.7096,Positive,0.0,Netural,0.30857792496681213,Netural
Es tremendo ritmo! Súper pegajoso  . Uno no se da cuenta y la sigue cantando ❤️,0.6673,Positive,0.375,Positive,0.7298147082328796,Positive
5 años de este temazo !,0.0,Neutral,0.0,Netural,0.8200803995132446,Positive
"I like her dress,she was putting on herself. Interesting what is the brand?",0.6369,Positive,0.5,Positive,0.5277382731437683,Positive
4:53,0.0,Neutral,0.0,Netural,0.3584150969982147,Positive
Hace 5 años :'),0.5106,Positive,0.0,Netural,0.5015539526939392,Positive
Assistenza wcosce,0.0,Neutral,0.0,Netural,0.33825182914733887,Positive
Since 5 years ago this amazing latin art!,0.6996,Positive,0.7500000000000001,Positive,0.9170718789100647,Positive
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times ❤️ I hope everyone is doing well. I love you ❤️,0.8271,Positive,0.037037037037037035,Netural,0.749571681022644,Positive
😜❤️❤️❤️✨✨🎶🎶🎶,0.5574,Positive,0.0,Netural,0.30857792496681213,Netural
bamos hacer feliz los cuatro ♥️♥️♥️♥️,0.9702,Positive,0.8,Positive,0.40215378999710083,Positive
"5 años 
De esta gran cancion",0.7073,Positive,0.8,Positive,0.8438845872879028,Positive
"OMG Duc Phuc , i like your cover version. Love it !",0.7901,Positive,0.625,Positive,0.7902165651321411,Positive
