Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Fun Fact (well sad fact): All of Alan Walkers Videos On NCS Have Been Privated After A Contrast or something,0.3182,Positive,-0.1,Negative,0.4612670838832855,Positive
is so good i love pupular songs,0.8874,Positive,0.6,Positive,0.6609854698181152,Positive
I love the song MATAFAKA its so powerful,0.8323,Positive,0.4,Positive,0.7373753786087036,Positive
No copyright sounds matlab...mai iss songs ko mere videos me use karr sakta hu kya....would that be legal and valid,-0.1779,Negative,-0.15,Negative,-0.5802789926528931,Negative
हाई चूतियों…its 2030🎉…still listening this song😅,0.6369,Positive,0.0,Netural,0.46774446964263916,Positive
😍😍🥰🥺,0.9231,Positive,0.0,Netural,0.30857792496681213,Netural
Good,0.4404,Positive,0.7,Positive,0.49696317315101624,Positive
Jerzvq,0.0,Neutral,0.0,Netural,0.2461690455675125,Netural
Gif me a few,0.0,Neutral,-0.2,Negative,0.41941866278648376,Positive
"Circle color meaning:
Red  = Drumstep
Orange  = Indie Dance/melodic
dubstep
Yellow  = House/Electro/big room
Green  = Trap
Mint  = Glitch Hop
Turquoise  = Melodic Dubstep/
Chillstep
Blue  = Dubstep/Brostep
Purple  = Future House/Deep House/
Future Bounce
Magenta  = Drum & Bass
White  = EDM/Hardstyle/
Miscellaneous Genere/tropical
house
Black  = Miscellaneous Genre/trap
Rainbow  = Stepmom
pink= step sister
cyan = step bro/kinda sus
Light Black = Progressive Vegetarian
Metal.

Don't need likes, just sharing this to
help some people.
(I saw someone else post this,
spread it around!)
edit:l'm really grateful because we
reached 1700 likes",0.825,Positive,-0.01607142857142857,Negative,0.3027802109718323,Netural
I like the one with the astronauts in it 😍❤️💯💕😎👌👍,0.958,Positive,0.0,Netural,0.5396018028259277,Positive
👍👍👍,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Why,0.0,Neutral,0.0,Netural,-0.2811063528060913,Negative
"Circle color meaning:
Red  = Drumstep
Orange  = Indie Dance/melodic
dubstep
Yellow  = House/Electro/big room
Green  = Trap
Mint  = Glitch Hop
Turquoise  = Melodic Dubstep/
Chillstep
Blue  = Dubstep/Brostep
Purple  = Future House/Deep House/
Future Bounce
Magenta  = Drum & Bass
White  = EDM/Hardstyle/
Miscellaneous Genere/tropical
house
Black  = Miscellaneous Genre/trap
Rainbow  = Stepmom
pink= step sister
cyan = step bro/kinda sus
Light Black = Progressive Vegetarian
Metal.

Don't need likes, just sharing this to
help some people.
(I saw someone else post this,
spread it around!)
edit:l'm really grateful because we
reached 10000 likes",0.825,Positive,-0.01607142857142857,Negative,0.30393269658088684,Netural
1:44:21 🔥 fire af,-0.5859,Negative,0.0,Netural,-0.6754747629165649,Negative
Such cool music! 😎😎😎,0.8908,Positive,0.21875,Netural,0.8468626141548157,Positive
This is cool,0.3182,Positive,0.35,Positive,0.5875470042228699,Positive
Thank you very much,0.3612,Positive,0.26,Netural,0.7401473522186279,Positive
I know these from roblox,0.0,Neutral,0.0,Netural,0.33349043130874634,Positive
Yes,0.4019,Positive,0.0,Netural,0.3790786862373352,Positive
"These legendary masterpieces that will not be forgotten even in 2022, I will listen to them later. 🥰",0.9094,Positive,0.5,Positive,0.8976054787635803,Positive
POV: you’ve heard these songs in a gaming montage before,0.0,Neutral,0.0,Netural,-0.22229401767253876,Negative
サイコーすぎるんだけど❕❕,0.2382,Positive,0.7,Positive,0.30857792496681213,Netural
1:47:33,0.0,Neutral,0.0,Netural,0.21703922748565674,Netural
Started with a banger I see,0.0,Neutral,0.0,Netural,-0.35642677545547485,Negative
pov you play a roblox game,0.34,Positive,-0.4,Negative,-0.26976278424263,Negative
"when you know them all but never knew about the artist and feel nostalgia now hearing this



this is a gold mine",0.0,Neutral,0.0,Netural,0.6448861360549927,Positive
