Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
🔥🔥🎙2022,-0.5859,Negative,0.0,Netural,0.30857792496681213,Netural
"Este es el trap mas erótico que existe, hasta el 2022 todo un clásico del genero.",-0.3774,Negative,0.45555555555555555,Positive,0.7706205248832703,Positive
Quien no estraña esa época en que salio este TEMAZO😕,-0.2158,Negative,0.0,Netural,-0.44537585973739624,Negative
Siempre será unas de mis canciones favoritas..! ❤,0.8172,Positive,0.625,Positive,0.859003484249115,Positive
"neitagohelaerjtiymnboadejktpa,eyaurpopaemeuajmfjaf",0.0,Neutral,0.0,Netural,-0.4641711711883545,Negative
A,0.0,Neutral,0.0,Netural,0.31870728731155396,Netural
"2022, quien aquí?🤩",0.0,Neutral,0.0,Netural,-0.3804735243320465,Negative
WoW Ozuna eres mi cantante bueno 😌,0.8519,Positive,0.39999999999999997,Positive,0.6968753933906555,Positive
la vieja escuelaaa,0.0,Neutral,0.1,Netural,0.39623013138771057,Positive
Top Ozuna 🌎🇧🇷🇧🇷🇧🇷🌎,0.2023,Positive,0.5,Positive,0.8406139612197876,Positive
Anyone knows where was this filmed ??,0.0,Neutral,0.0,Netural,-0.6426183581352234,Negative
"Llevo 3 años haciendo música mi más grande sueño es vivir de ella ,trabajo de 8 am a 7 pm, y la Plata que ganó la invierto a la música , me estoy esforzando demasiado y primeramente Dios se que todo se cumplirá 🙌🏻❤️",0.6705,Positive,0.11117424242424241,Netural,0.5615389347076416,Positive
No ah existido uno como este artista diablo con ese talento ni Jordan me llega,-0.7804,Negative,0.0,Netural,-0.5865001678466797,Negative
¿Que piensan de este remix? Dejen sus comentarios y dale like,0.3182,Positive,0.0,Netural,-0.3206622004508972,Negative
ME ENCANTA ESTA MSICA JAJAJ <3,0.9075,Positive,0.7666666666666666,Positive,0.769218385219574,Positive
jelty te gana,0.0,Neutral,0.0,Netural,-0.3178834021091461,Negative
Que tiempos esos 🥺🥺🥺😍😍 Damn la pandemia nos cambió la vida 🥺 éramos felices ✨🥺,0.8519,Positive,0.8,Positive,0.6422081589698792,Positive
Yvvvvvvvvvvvvyv,0.0,Neutral,0.0,Netural,0.23682160675525665,Netural
2022 y la se guimos escuchando verda raza,0.0,Neutral,-0.2,Negative,-0.4241415858268738,Negative
🗑,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
2022 escuchando este súper tema,0.6833,Positive,0.3333333333333333,Positive,0.7354474067687988,Positive
Porque lo hizo,0.0,Neutral,0.0,Netural,0.45478343963623047,Positive
Extraño a Ozuna de antes:(,-0.5423,Negative,-0.75,Negative,0.2505514919757843,Netural
la época dorada de ozuna 🥺... quien más en 2022,0.0,Neutral,0.3,Netural,0.36020898818969727,Positive
Esta canción Siempre va aser mi favorita extraño a ozuna de antes,0.34,Positive,0.5,Positive,0.6070718169212341,Positive
"Ufff, ¡Qué tema!😮‍💨",0.0,Neutral,0.0,Netural,0.3901655972003937,Positive
Uuy esta rola trae recuerdos ...,0.5859,Positive,0.05,Netural,0.29798945784568787,Netural
