Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
So amazing dance good,0.8051,Positive,0.65,Positive,0.7141823768615723,Positive
🙋🙋,0.7506,Positive,0.0,Netural,0.30857792496681213,Netural
Face boys and nice,0.4215,Positive,0.6,Positive,0.5095312595367432,Positive
😘🇲🇨😗,0.5719,Positive,0.0,Netural,0.30857792496681213,Netural
Fish boys good bles you,0.5994,Positive,0.0,Netural,0.3841622471809387,Positive
Mantapp kompak bnget,0.0,Neutral,0.2,Netural,0.3127792179584503,Netural
the best choreo..its so cool dudd..love so much..,0.7778,Positive,0.5166666666666667,Positive,0.9351730346679688,Positive
Good songs,0.4404,Positive,0.7,Positive,0.4783841073513031,Positive
Kereeeeeennnn,0.0,Neutral,0.0,Netural,0.25901052355766296,Netural
Super👍👍👍👍,0.5994,Positive,0.0,Netural,0.30857792496681213,Netural
You guys rock! Subscribed!,0.0,Neutral,0.0,Netural,0.6006019711494446,Positive
R.I.P my bones,0.0,Neutral,0.0,Netural,0.2554554045200348,Netural
🔥🔥🔥,-0.7351,Negative,0.0,Netural,0.30857792496681213,Netural
Nakakamiss mag school😭😭😭,-0.8519,Negative,0.0,Netural,0.33243894577026367,Positive
Wow,0.5859,Positive,0.1,Netural,0.6995608806610107,Positive
…@是必毋u@:上孙o一凸母凶口.一一G,-0.3612,Negative,0.0,Netural,-0.5747750401496887,Negative
…@是必毋u@:上孙o一凸母,0.4019,Positive,0.2,Netural,-0.4587605893611908,Negative
…@是必毋u,0.0,Neutral,0.0,Netural,-0.4590793251991272,Negative
La mejor de las coreografías 👍🇦🇷,0.6369,Positive,1.0,Positive,0.8349453210830688,Positive
love,0.6369,Positive,0.5,Positive,0.6595039963722229,Positive
KAYA KO RIN 'YAN. HINAHAMON KITA SA ISANG DANCE BATTLE. 😂🤣😂🤣,0.774,Positive,0.0,Netural,0.33380892872810364,Positive
SANA AY MAPANSIN AKO NI LODI MARK KRAMER PASTRANA. 🏳‍🌈🇵🇭,0.5622,Positive,0.0,Netural,0.2819978594779968,Netural
😍😍😍😘🤩🤩🤩🤩🤩🤩🤩😍😍😍😍😍🤩😘🤩😘😍😘😘😎🤩😄🤩😍,0.9938,Positive,0.0,Netural,0.30857792496681213,Netural
I like,0.3612,Positive,0.0,Netural,0.4338597059249878,Positive
👍👍👍👍👍👍❤️❤️😍,0.4588,Positive,0.0,Netural,0.30857792496681213,Netural
Wow amazing!!!,0.8582,Positive,0.55,Positive,0.9374430775642395,Positive
"https://youtu.be/uJ1_q7YHmfg

Takitaki dance challenge girls",0.0772,Positive,0.0,Netural,0.3022415041923523,Netural
😍💃🔥 perfecto,0.6486,Positive,1.0,Positive,0.8404497504234314,Positive
I love ❤️ it i could dance it is easy and simple,0.7964,Positive,0.3111111111111111,Netural,0.7859377861022949,Positive
Semang,0.0,Neutral,0.0,Netural,0.264364093542099,Netural
Very nice,0.4754,Positive,0.78,Positive,0.6515336632728577,Positive
"No doubt, they are my favourite dancers.✌",0.6497,Positive,0.0,Netural,0.8373723030090332,Positive
Keren banget 👍👍👍👍👍,0.3804,Positive,0.45499999999999996,Positive,0.3330576717853546,Positive
Tml crew good😉😉😉,0.4404,Positive,0.0,Netural,0.3136698007583618,Netural
"This is the TML Crew Youtube video I watched for the first time about a year ago.  Since then, I've become a fan of TML Crew❤️ At that time I thought I couldn't dance this choreography, but now that I've taken Mark Kramer's virtual classes several times, I feel like I can dance.  Even now, watching this video reminds me of the excitement at that time.💗💗💗",0.987,Positive,0.125,Netural,0.7056437134742737,Positive
hope soon i gonna dance this😍😍,0.8555,Positive,0.0,Netural,0.5813115239143372,Positive
So full of energy.amazing moves,0.0,Neutral,0.35,Positive,0.909340500831604,Positive
"Hi, i'm a big fan of your channel! I always watch your videos to dance. This channel is a big inspiration. Thank you 🤗 Can i make a request? Please make a choreo for my fav song https://youtu.be/LtfDX_ztHk4 I would be super happy if you did.",0.9726,Positive,0.2833333333333333,Netural,0.7094408869743347,Positive
AMAZING DANCE! YOU ARE PERFECT! Thank you GOD BLESS YOU❤❤❤😘,0.988,Positive,0.875,Positive,0.967409610748291,Positive
👏👏,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
👏👏,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Good ❤️,0.4404,Positive,0.7,Positive,0.5060494542121887,Positive
good,0.4404,Positive,0.7,Positive,0.49696317315101624,Positive
🥰🥰🥰🥰🥰🥰,0.9927,Positive,0.0,Netural,0.30857792496681213,Netural
👍,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Wow,0.5859,Positive,0.1,Netural,0.6995608806610107,Positive
Sacred Heart...Padanthalumoodu...Annual day 11th class boys dance 🔥 ❤,0.4215,Positive,0.0,Netural,0.5796304941177368,Positive
I also perform dance on this song with my friends,0.4767,Positive,0.0,Netural,0.5259536504745483,Positive
this is the one my and ny classmate was dancing whens its P.E in school,0.0,Neutral,0.0,Netural,0.6352835893630981,Positive
Wow 😍😍😍 Amazing❤️❤️❤️ dance 😘😘😘 keep👌👌👌 it up guy👍👍👍God bless u all🙏🙏🙏,0.9924,Positive,0.1,Netural,0.6862581372261047,Positive
;,0.0,Neutral,0.0,Netural,0.2667533755302429,Netural
👌👌👌👌👌👌🙏🇮🇳🙏🕴️👌👌👌👌💞💞💞💞,0.9975,Positive,0.0,Netural,0.30857792496681213,Netural
💃💃💃💃,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
What is the best,0.6369,Positive,1.0,Positive,0.8966012001037598,Positive
I like you,0.3612,Positive,0.0,Netural,0.4749952554702759,Positive
I love it very smooth moves po🥰🥰🥰,0.9727,Positive,0.51,Positive,0.7929267287254333,Positive
kggojfhuhiifvhxy,0.0,Neutral,0.0,Netural,-0.274283766746521,Negative
I am a 12 year old cildren I live in India  and I can do this Dance I like hard danceokkk,0.2732,Positive,-0.018434343434343442,Negative,0.5637327432632446,Positive
