Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Can you do a Walmart makeup routine if you haven’t already plz and can you use the maybelline instant age eraser multi-use concealer love your videos I can watch them all day long❤️❤️❤️❤️❤️❤️♾,0.6705,Positive,0.25,Netural,0.6828194260597229,Positive
Can you send me makeup,0.0,Neutral,0.0,Netural,0.23627600073814392,Netural
Huh interesting,0.4019,Positive,0.5,Positive,0.5369009971618652,Positive
We love the Twice Fancy cameo,0.6369,Positive,0.5,Positive,0.6181262135505676,Positive
I LOVE JAMES CHARLES ❤️❤️❤️❤️,0.7125,Positive,0.5,Positive,0.7957971692085266,Positive
i don't get it. you have the exact same shade at the beginning of your video when you started to do your face like your neck. I don't understand what is wrong?,-0.1531,Negative,-0.08333333333333333,Negative,-0.5454591512680054,Negative
Why does that Dollar Tree look so much nicer than the one I work at?????? Not sure if it exists in Cali but Dollar General has their own makeup line too,0.3753,Positive,0.15,Netural,0.32083389163017273,Netural
Do a Walmart one!!!,0.0,Neutral,0.0,Netural,0.4693375527858734,Positive
Trying A FULL FACE Of Makeup From The DOLLAR STORE ft. tWiCe,0.0,Neutral,0.35,Positive,-0.31974679231643677,Negative
"James, PLEASE, do a video using make-up products by brazilians influencers! Like Bruna Tavares, Boca Rosa, Niina Secrets, Mari Maria Makeup, Fran by FR",0.7027,Positive,0.0,Netural,-0.2556966543197632,Negative
"James, PLEASE, do a video using make-up products by brazilians influencers! Like Bruna Tavares, Boca Rosa, Niina Secrets, Mari Maria Makeup, Fran by FR",0.7027,Positive,0.0,Netural,-0.2556966543197632,Negative
Why did the foundation somewhat match?,0.0,Neutral,0.0,Netural,0.40808743238449097,Positive
Full Face makeup From target,0.0,Neutral,0.35,Positive,0.35793858766555786,Positive
I wonder if he wipes it off immediately or walk around with it for a few hours.,0.0,Neutral,-0.2,Negative,0.42627739906311035,Positive
"I’m in the middle of watching the video, 
right... and I think... do dollar store employees have to use the makeup?!? I hope not",0.5502,Positive,0.17857142857142855,Netural,-0.4374508261680603,Negative
7:22 I died 🤣🤣,0.4215,Positive,0.0,Netural,-0.41379672288894653,Negative
When you can’t just duplicate your makeup,0.0,Neutral,0.0,Netural,0.26600900292396545,Netural
💗💗💗💗💗💗💗💗💗,0.994,Positive,0.0,Netural,0.30857792496681213,Netural
ayo ayo ayo did u know that $1 is actually 50 pesos in the philipines so its expensive here xD,0.5859,Positive,-0.25,Negative,-0.3518425226211548,Negative
Human i think not vampire i think so,0.0,Neutral,0.0,Netural,-0.33347201347351074,Negative
At my dollar tree they have elf products and other products like that,0.3612,Positive,-0.125,Negative,0.42350253462791443,Positive
I’m really sorry. But his hair! AAAH it’s so scary,-0.8054,Negative,-0.5625,Negative,-0.33669382333755493,Negative
Are      You,0.0,Neutral,0.0,Netural,0.2459254264831543,Netural
Hi sisters,0.0,Neutral,0.0,Netural,0.3697890639305115,Positive
Are you Hailey Sandford uncle,0.0,Neutral,0.0,Netural,0.26578056812286377,Netural
For me it's just simple I don't use Dollar Tree makeup if I don't have money to buy something better I just have my face natural I don't want to damage my skin,0.7786,Positive,0.19999999999999998,Netural,0.39593270421028137,Positive
I have some makeup at from Dollar Tree Ulta and Walmart makeup,0.0,Neutral,0.0,Netural,0.40746283531188965,Positive
Your the best  youtuber.,0.6369,Positive,1.0,Positive,0.9500121474266052,Positive
I want that hoodie….dose anyone know where it’s from?,0.0772,Positive,0.0,Netural,0.30096304416656494,Netural
To get good,0.4404,Positive,0.7,Positive,0.38736674189567566,Positive
My makeup is so bad but I watch your videos because they are so cool,0.3052,Positive,-0.17499999999999993,Negative,0.3444143831729889,Positive
So pretty,0.5413,Positive,0.25,Netural,0.40619227290153503,Positive
