Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
i didnt know there 2 Boys in twice hehehehe,0.0,Neutral,0.0,Netural,-0.44142061471939087,Negative
1:44 i dont know why i love this part,0.6369,Positive,0.5,Positive,0.34911710023880005,Positive
lets go 1bi!,0.0,Neutral,0.0,Netural,0.35177749395370483,Positive
I wanna know,0.0,Neutral,0.0,Netural,0.3927564024925232,Positive
What is love?,0.6369,Positive,0.5,Positive,0.563937246799469,Positive
Estás canciones de twice valen oro,0.2263,Positive,0.3,Netural,0.3761095702648163,Positive
very giod song i now know what is love,0.8122,Positive,0.705,Positive,0.6096480488777161,Positive
Im watching light switch and this is glitch,0.0,Neutral,0.4,Positive,-0.4066105782985687,Negative
Smsr,0.0,Neutral,0.0,Netural,0.259602427482605,Netural
dando stream pq visualização não cai do céu😭😭😭,-0.8519,Negative,0.0,Netural,-0.4602237045764923,Negative
LOVE YOU TWICE,0.6369,Positive,0.5,Positive,0.8128834962844849,Positive
Lets go 640M,0.0,Neutral,0.0,Netural,0.36443814635276794,Positive
amo vocês amores,0.836,Positive,0.5,Positive,0.6423894762992859,Positive
"This song made me start paying attention to TWICE. Time flies so fast, four years have passed !",0.0,Neutral,0.25,Netural,0.6704626083374023,Positive
😍♥️♥️♥️♥️♥️♥️😀😀😀😀😀,0.991,Positive,0.0,Netural,0.30857792496681213,Netural
i love this song hihihih,0.6369,Positive,0.5,Positive,0.8265473246574402,Positive
very nice song,0.4754,Positive,0.78,Positive,0.5901896953582764,Positive
600k comments,0.0,Neutral,0.0,Netural,0.24747270345687866,Netural
Another copy cat K pop 2 compete wit BTS. Blackpink then other.,0.0,Neutral,-0.125,Negative,-0.2268335074186325,Negative
😍😍😍😍😍aaaaaaaaaaaaaaaaaaaa,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
MIS NIÑAS,0.0,Neutral,0.0,Netural,-0.22166137397289276,Negative
What is love? Siempre será iconica. ¡Vamos por el billon Once! hagamos stream,0.6696,Positive,0.5625,Positive,0.8119980096817017,Positive
E eu não gostava... Quem diria q eu ouviria isso por mais de 10 vezes lol 😆,0.4922,Positive,0.65,Positive,-0.5856726169586182,Negative
"TENEMOS QUE LLEGAR A LAS 800 MILLONES DE VISTAS!, DIFUNDAN, NO SEAMOS UN FANDOM FLOJO!",0.6211,Positive,-0.3125,Negative,-0.6446971297264099,Negative
las amoooo por ustedes sigo estudiando,0.6369,Positive,0.5,Positive,0.3369576930999756,Positive
VAMOS ONCE!! vayan a hacer stream a scientist en spotify y what is love para llegar a los 700m y próximamente el billón 💋💋💋,0.9229,Positive,0.5,Positive,0.33143457770347595,Positive
q lindas uwu,0.0,Neutral,0.0,Netural,0.2724713385105133,Netural
2022: I wanna knowew,0.0,Neutral,0.0,Netural,0.261292427778244,Netural
VAMOS POR EL BILLON ONCE!!,0.0,Neutral,0.0,Netural,-0.4282848834991455,Negative
"Once let's get to 1B views, we can do it",0.0,Neutral,0.0,Netural,0.3264254033565521,Netural
ونس حبايبي شدو حيلكم خلونا نوصلوها مليار مشاهده,0.4215,Positive,0.7,Positive,-0.5613605380058289,Negative
"\__( * = * )__/
       /     \",0.0,Neutral,0.25,Netural,-0.2493925839662552,Negative
This song is beautiful like twice 😍😍,0.9081,Positive,0.85,Positive,0.742939293384552,Positive
how?  just how? so many likes?,0.5601,Positive,0.5,Positive,-0.3556681275367737,Negative
Let's go for 640m.,0.0,Neutral,0.0,Netural,0.253841370344162,Netural
Let's go for 1 Billion views!,0.0,Neutral,0.0,Netural,0.5118923187255859,Positive
"Onces que hagan Stream los voy a amar por toda mi vida si What is love llega a 1B este año,hagan stream que ellas trabajan muy duro y se lo merecen,vamos!",0.8481,Positive,0.1753472222222222,Netural,0.720759928226471,Positive
LOONA AND TWICE BEST GG ᕦ(ò_óˇ)ᕤ,0.8345,Positive,1.0,Positive,0.48328232765197754,Positive
♥️♥️♥️♥️♥️,0.9719,Positive,0.0,Netural,0.28061437606811523,Netural
♥️♥️♥️♥️♥️♥️,0.9803,Positive,0.0,Netural,0.28857794404029846,Netural
"100M🔒
200M🔒
300M🔒
400M🔒
500M🔒
600M🔒
700M🔓
800M🔓
900M🔓
1.B 🔓",0.0,Neutral,0.0,Netural,0.5493178963661194,Positive
the popcorn flying 🧚,0.0,Neutral,0.0,Netural,0.402178019285202,Positive
635M ✨,0.3182,Positive,0.0,Netural,0.24583153426647186,Netural
650M,0.0,Neutral,0.0,Netural,0.2540988624095917,Netural
"Onces, dont sleep on #SCIENTIST ✨ sleep on your bed instead",0.3182,Positive,0.0,Netural,-0.5214953422546387,Negative
one of my fav songs 🤗❤ keep streaming until hit 1 billion 👍,0.875,Positive,0.0,Netural,0.34283193945884705,Positive
"I don,t I can,t stop listening to this song it offically became my favourite💙",0.4588,Positive,0.0,Netural,0.40762200951576233,Positive
streamm,0.0,Neutral,0.0,Netural,0.25247427821159363,Netural
VAMOS POR EL BILLON,0.0,Neutral,0.0,Netural,0.2748347222805023,Netural
Aku gak akan melukapakan MV ini,0.1695,Positive,0.0,Netural,0.2490500658750534,Netural
"Excelente cancion, vamos once hay que llegar al billion TWICE se lo merece.",0.5859,Positive,1.0,Positive,0.8086087107658386,Positive
"vamos once  hay que llegar al  billon por lo menos que twice tenga un mv con un billon, animo nosotros podemos.",0.5267,Positive,-0.3,Negative,-0.48894646763801575,Negative
"*64,8M => 700M*",0.0,Neutral,0.0,Netural,-0.23787641525268555,Negative
Let's reach 700M,0.0258,Neutral,0.0,Netural,0.353900671005249,Positive
gay gay homosexual gay,0.0,Neutral,0.4166666666666667,Positive,-0.29246100783348083,Negative
이시절 그느낌 다시느끼고 싶다,0.2023,Positive,0.0,Netural,0.43705618381500244,Positive
"Our QUEENS is so gorgeous, they slayed it well.",0.8029,Positive,0.7,Positive,0.903394341468811,Positive
This has such a youthful energy. Truly captures the feeling of first love ❤️,0.9001,Positive,0.25,Netural,0.8699242472648621,Positive
I have a question: What is love ?,0.6369,Positive,0.5,Positive,0.35773131251335144,Positive
サナちゃんの笑顔が早く見たい🥺,0.4215,Positive,0.3,Netural,0.35206177830696106,Positive
LoveLollyPopSweet.,0.0,Neutral,0.0,Netural,0.43770670890808105,Positive
#GetWellSoonSana,0.0,Neutral,0.0,Netural,-0.27019229531288147,Negative
635M達成おめでとう！,0.636,Positive,0.0,Netural,0.6754984855651855,Positive
"365M left!!!
#Roadto1BILLION!",0.0,Neutral,0.0,Netural,-0.6738303303718567,Negative
"6,2M likes💛",0.7906,Positive,0.0,Netural,0.3570404350757599,Positive
635M💟,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
yea i wanna know too🥲,0.0,Neutral,0.0,Netural,0.3029729425907135,Netural
Fav song,0.4588,Positive,0.0,Netural,0.31530818343162537,Netural
what is love?,0.6369,Positive,0.5,Positive,0.563937246799469,Positive
twice iconic song,0.0,Neutral,0.5,Positive,0.496289998292923,Positive
I will never get tired of twice songs it's so meaningful to me,0.6594,Positive,0.04999999999999999,Netural,0.7422504425048828,Positive
TWICE!,0.0,Neutral,0.0,Netural,-0.41495567560195923,Negative
"365M left!!!!
#Roadto1B",0.0,Neutral,0.0,Netural,-0.707320511341095,Negative
070,0.0,Neutral,0.0,Netural,0.27522119879722595,Netural
What is love?,0.6369,Positive,0.5,Positive,0.563937246799469,Positive
Twice,0.0,Neutral,0.0,Netural,-0.2542644739151001,Negative
Can't believe it's been 4 years already,0.0,Neutral,0.0,Netural,-0.3086366653442383,Negative
dis song will be always my favourite,0.0,Neutral,0.0,Netural,0.7714777588844299,Positive
Man Dahyun will be 4ever iconic,0.0,Neutral,0.5,Positive,0.7060787677764893,Positive
Tzuyu is really a fairy in the FAIRY DRESS AND WINGSSS!!,0.0,Neutral,0.3125,Netural,0.5998808741569519,Positive
احب توايس,0.6369,Positive,0.5,Positive,0.4771655201911926,Positive
احب مومو,0.6369,Positive,0.5,Positive,0.4787386357784271,Positive
احب جويو,0.0,Neutral,0.0,Netural,0.46593040227890015,Positive
احب سانا,0.6369,Positive,0.5,Positive,0.5187960863113403,Positive
jihyo,0.0,Neutral,0.0,Netural,0.2559908926486969,Netural
Mina,0.0,Neutral,0.0,Netural,0.25567078590393066,Netural
Nayeon,0.0,Neutral,0.0,Netural,0.286628395318985,Netural
Momo,0.0,Neutral,0.0,Netural,0.32013067603111267,Netural
Chaeyoung,0.0,Neutral,0.0,Netural,0.28484201431274414,Netural
Once,0.0,Neutral,0.0,Netural,0.2072235643863678,Netural
Twice,0.0,Neutral,0.0,Netural,-0.2542644739151001,Negative
"650M
Fightng Once",0.0,Neutral,0.0,Netural,-0.26982733607292175,Negative
ONCE,0.0,Neutral,0.0,Netural,0.2072235643863678,Netural
TWICE,0.0,Neutral,0.0,Netural,-0.2542644739151001,Negative
"DAHYUN 
CHAEYOUNG 
TZUYU",0.0,Neutral,0.1,Netural,0.2698136866092682,Netural
"JIHYO 
SANA 
MINA",0.0,Neutral,0.0,Netural,0.2629944086074829,Netural
"NAYEON 
JEONGYEON 
MOMO",0.0,Neutral,0.0,Netural,0.2686731219291687,Netural
What is love ?,0.6369,Positive,0.5,Positive,0.563937246799469,Positive
635.056M,0.0,Neutral,0.0,Netural,0.22554421424865723,Netural
The best song 😍,0.802,Positive,1.0,Positive,0.8863090872764587,Positive
ドレス👗可愛すぎ☺️,0.7184,Positive,0.5,Positive,0.6301983594894409,Positive
629M!!!,0.0,Neutral,0.0,Netural,-0.5608469247817993,Negative
"Let's go once, if we can reach the long-awaited 1b you just have to listen to the song every day to join 1M in two days, so we will be much closer",0.3182,Positive,0.2,Netural,0.3559286296367645,Positive
",635M YOO JEONGYEON💚",0.6369,Positive,0.0,Netural,0.23383912444114685,Netural
Stream more for 700M,0.0,Neutral,0.5,Positive,0.27140143513679504,Netural
016,0.0,Neutral,0.0,Netural,0.24264316260814667,Netural
What is love?,0.6369,Positive,0.5,Positive,0.563937246799469,Positive
Twice,0.0,Neutral,0.0,Netural,-0.2542644739151001,Negative
Twice jjang,0.0,Neutral,0.0,Netural,-0.3163066804409027,Negative
"We can once let's go to 700M
We can just this",0.0,Neutral,0.0,Netural,0.43972253799438477,Positive
TWICE,0.0,Neutral,0.0,Netural,-0.2542644739151001,Negative
700M fighting ONCE,-0.3612,Negative,0.0,Netural,0.290507972240448,Netural
나는이 노래를 좋아한다.,0.3612,Positive,0.0,Netural,0.4522975981235504,Positive
Amo a Twice <3,0.4404,Positive,1.0,Positive,-0.31304165720939636,Negative
Representan mí vida💖😂😂😂😂😭😭😭😭😭😭😭😭😭😭😭🎤,0.0,Neutral,0.0,Netural,0.5990844368934631,Positive
Se ven ermi😍😍😍😘✌️💞💞💞💓💓💓💓💓💓💓💓💓💓💓,0.9924,Positive,0.0,Netural,0.35689684748649597,Positive
1b GOOOOO,0.0,Neutral,0.0,Netural,-0.2594980001449585,Negative
635에 도달하기까지는 그리 오래 걸리지 않습니다.,0.0,Neutral,-0.05,Negative,0.2965596616268158,Netural
Did u also see the la la land movie's background,0.0,Neutral,0.0,Netural,0.33109477162361145,Positive
Semoga cepat2 1 Billions😭,0.4019,Positive,0.0,Netural,0.32592135667800903,Netural
Lets go 700M!!! Fighting!,-0.5673,Negative,0.0,Netural,0.4944453835487366,Positive
They look so cute,0.5949,Positive,0.5,Positive,0.5528950095176697,Positive
If you wanna put a rang on ma fingah,0.0,Neutral,0.0,Netural,-0.304294615983963,Negative
ME PONE TRISTE T_T,-0.4767,Negative,-0.5,Negative,-0.5165523290634155,Negative
CELEBRATE,0.5719,Positive,0.0,Netural,0.6200827360153198,Positive
"i am an ARMY but this song is the most cheerful and light song, i mean it makes me feel every emotions in  4 minutes;",0.7343,Positive,0.246875,Netural,0.6321833729743958,Positive
Las amoooooooo,0.6369,Positive,0.5,Positive,0.22609201073646545,Netural
Queens✨,0.3182,Positive,0.0,Netural,0.30857792496681213,Netural
"Nunca me canso de está canción,hay que hacer stream para que llegué al billón antes de octubre!!!!",0.6043,Positive,-0.9765625,Negative,-0.4186505377292633,Negative
Me waiting this mv for 1 billion. it is masterpiece.,0.6249,Positive,0.0,Netural,0.8921010494232178,Positive
What is love?,0.6369,Positive,0.5,Positive,0.563937246799469,Positive
Love is what?,0.6369,Positive,0.5,Positive,0.39556440711021423,Positive
What is loge,0.0,Neutral,0.0,Netural,0.45562249422073364,Positive
let's once give a gift to our queen with 7m viewers!! they deserve it and keep streaming ;),0.658,Positive,0.25,Netural,0.8187440037727356,Positive
This song is a masterpiece no matter how much time has passed,0.6157,Positive,0.2,Netural,0.6817765235900879,Positive
"give them views, the group is about to end",0.0,Neutral,0.0,Netural,0.40491726994514465,Positive
2022 âm nhạc không lỗi thời,0.0,Neutral,0.20000000000000004,Netural,-0.3950072228908539,Negative
"634,877,079",0.0,Neutral,0.0,Netural,-0.33380958437919617,Negative
super cool song,0.7351,Positive,0.3416666666666667,Positive,0.7693266272544861,Positive
this song and album made me a once <33,0.0,Neutral,0.0,Netural,0.589378833770752,Positive
وانس نقدر نوصلها 640M قبل العيد؟,0.0,Neutral,0.0,Netural,0.33290156722068787,Positive
"700M ?
We can do it!!!",0.0,Neutral,0.0,Netural,0.46998947858810425,Positive
I can't help myself dancing this song 🔥,-0.5659,Negative,0.0,Netural,-0.5262767672538757,Negative
This is my life no cap,-0.296,Negative,0.0,Netural,0.6570929288864136,Positive
musiknya para lelaki😎💪,0.0,Neutral,0.0,Netural,0.3633274734020233,Positive
