Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
How you like that 🤩🤩🤩,0.3612,Positive,0.0,Netural,0.685585081577301,Positive
I love this song it always helps me fell 2 dance every time,0.7783,Positive,0.5,Positive,0.8670603036880493,Positive
I can't believe we let the dance practice surpass it-,0.0,Neutral,0.0,Netural,0.2513628304004669,Netural
Bruh,0.0,Neutral,0.0,Netural,-0.38692593574523926,Negative
I know your all stories . Pla give my 10000 dolers.,0.0,Neutral,0.0,Netural,0.46156734228134155,Positive
Let's go 1.1 bilion view,0.0,Neutral,0.0,Netural,-0.35867616534233093,Negative
"👍👍👌👌me gusta mucho amo 
A blackpin",0.9582,Positive,0.5,Positive,0.5527770519256592,Positive
Espectacular,0.0,Neutral,0.6,Positive,0.8134649991989136,Positive
Ai loviu blackping,0.0,Neutral,0.0,Netural,0.2865076959133148,Netural
rr,0.0,Neutral,0.0,Netural,0.27012497186660767,Netural
Song name?,0.0,Neutral,0.0,Netural,-0.308718204498291,Negative
Assalamualaikum,0.0,Neutral,0.0,Netural,0.28597554564476013,Netural
🌿❣❣❣❣❣,0.9719,Positive,0.0,Netural,0.30857792496681213,Netural
"Hace unos dos o tres años yo quería mucho a estas chicas. Era parte del fandom también, pero después con el tiempo me dejé llevar por muchos que decían cosas malas de ellas. Me  hacían creer tantas cosas que no eran ciertas y me alejé. Las dejé de seguir y muchas cosas más. Pero yo hace un mes volví a ver vídeos de ellas. Volví a ver sus ig y sus fotos. Me hizo recordar las veces que era feliz con tan sólo una foto de ellas. Era re felíz. Me arrepiento sinceramente por dejarme llevar. Pero decidí volver a ser parte de este lugar. Y aprendí a no dejarme llevar. Voy a volver a darles el apoyo a estas chicas. Darle ese apoyo que se merecen <3",0.9531,Positive,0.3603846153846154,Positive,0.6389533877372742,Positive
Blackpink  in your  área!,0.0,Neutral,0.0,Netural,0.6530924439430237,Positive
Aracely jara ♥️♥️♥️♥️♥️♥️♥️🥰♥️🥰♥️♥️😍😍♥️🥰🥰♥️😍🥰♥️😍🥰😍😍🥰😍🥰😍😍🥰😍🥰🥰♥️♥️♥️🥰😍🥰😍🥰😍😍🥰😍🥰😍😍🥰🥰😍🥰,0.9998,Positive,0.0,Netural,0.2608761489391327,Netural
They are beautiful I love them very much the song is very beautiful ❤,0.9569,Positive,0.6525000000000001,Positive,0.8252695798873901,Positive
What! BP dance video surpassed bp mv.,0.0,Neutral,0.0,Netural,0.4277587831020355,Positive
Oh my gosh,0.0,Neutral,0.0,Netural,0.3780466616153717,Positive
EL BEST GG,0.7506,Positive,1.0,Positive,0.8173031210899353,Positive
"Why are they the best ??? 
Answer: bcz they are blackpink",0.6946,Positive,1.0,Positive,-0.2634546160697937,Negative
0:21,0.0,Neutral,0.0,Netural,-0.4617278575897217,Negative
"There is news that YG confirmed that Black Pink is preparing for a comeback and the Blinks are expecting it in June I hope
I hope that",0.7003,Positive,0.04444444444444445,Netural,0.3543579578399658,Positive
BLACKPINK,0.0,Neutral,0.0,Netural,0.24101245403289795,Netural
Cuándo están en la nieve a jiso magicamente le cambian las zapatos asombroso😱,-0.25,Negative,0.5,Positive,0.32120996713638306,Netural
How You Like That the dance performance beat this?!?!,0.5337,Positive,0.0,Netural,-0.4019564390182495,Negative
1090B!!!!!,0.0,Neutral,0.0,Netural,-0.48495224118232727,Negative
Canción culera alv,-0.5423,Negative,0.0,Netural,-0.317748486995697,Negative
اناحبك,0.6369,Positive,0.5,Positive,0.5112143158912659,Positive
BLACKPINK IN YOUR AREA,0.0,Neutral,0.0,Netural,0.4502510726451874,Positive
Rose 2:20 looks like the daughter of Daenerys Targaryen 😍,0.6705,Positive,0.6,Positive,0.3070867955684662,Netural
Wow,0.5859,Positive,0.1,Netural,0.6995608806610107,Positive
멕시코에서 BLACKPINK에게 인사,0.0,Neutral,0.0,Netural,0.23840592801570892,Netural
Att,0.0,Neutral,0.0,Netural,0.3247377872467041,Netural
Don’t worry if you are looking at this video at May 2022 you are not the only one!😃,-0.1759,Negative,0.0,Netural,-0.29885783791542053,Negative
🤍,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
🤍,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
🤍,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
