Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
.,0.0,Neutral,0.0,Netural,0.2539338767528534,Netural
I never met anyone so creative,0.5777,Positive,0.5,Positive,0.42104989290237427,Positive
King of Pop,0.0,Neutral,0.0,Netural,0.614092230796814,Positive
Супермаркет приятного музыкальный и нежный танцевать песня хорошо.👋🤝🎤🌎❣️❤️❤️💝💞💓💗🕊️💘👍,0.9924,Positive,0.3111111111111111,Netural,0.5443542003631592,Positive
"canta, dança, produz, interpreta...um artista completo.",0.0,Neutral,0.1,Netural,0.655380129814148,Positive
I loved the music video,0.5994,Positive,0.7,Positive,0.4827607274055481,Positive
💥Rock star MJ😎,0.4588,Positive,0.0,Netural,-0.8806611895561218,Negative
hi how are you doing  I need help with the notification site  to much  videos send with it 741 please help me with this I don't want you to loose them lets restart with I don't  understand is that the site is lock and still they keep coming in agenda this  The one and only  😎💞💕🌹💖🖐💏🌻unconditional  😘🥰,0.9901,Positive,0.041025641025641026,Netural,-0.31261444091796875,Negative
"Ce gars était excellent, j'aimerais danser comme lui pour fédérer les gens avec un gel génie ☀️👍 sa chorégraphie de fin est juste magique à partir de 6 minutes 25 tout le monde danse. ☀️",0.8271,Positive,0.75,Positive,0.8178198337554932,Positive
On ne peut t oublier,0.1695,Positive,0.0,Netural,0.32475996017456055,Netural
"Michael devoted all his time in being excellent, matchless dang.",0.7506,Positive,1.0,Positive,0.7415244579315186,Positive
"Eddie played his part and so did iman , oh yes Michael we will alway remember you yea.",0.6249,Positive,0.0,Netural,0.38836538791656494,Positive
🥰😎❤️🎵🙏🖖 no one moves like the king 👑,0.891,Positive,0.0,Netural,-0.34167760610580444,Negative
I am listening till date🐨,0.0,Neutral,0.0,Netural,0.4300999343395233,Positive
"Timeless classic.  This dudes dancing is top notch,  hell Janet can't  top her brother  moves the real king  of pop. Rip Mike🙏🏾💯",-0.6588,Negative,0.3416666666666666,Positive,0.548721969127655,Positive
Mj forever,0.0,Neutral,0.0,Netural,0.6048403978347778,Positive
Enjoying M J getting house cleaned.  Blast it on a  Thursday afternoon,0.5267,Positive,0.5,Positive,0.5110210180282593,Positive
michael jackson wearing a skirt.. is that how no homo started?,-0.296,Negative,0.0,Netural,-0.31243687868118286,Negative
magic? debo? eddie murphy? i dont rember that shhhiiii,0.0,Neutral,0.5,Positive,-0.3057830333709717,Negative
8:56.....MJ style😎,0.4588,Positive,0.0,Netural,-0.22943179309368134,Negative
Michael is still alive,0.3818,Positive,0.1,Netural,0.39661848545074463,Positive
Mike was fine in this video,0.2023,Positive,0.4166666666666667,Positive,0.4087908864021301,Positive
3:29 :))),0.0,Neutral,0.5,Positive,0.3399038314819336,Positive
This is one of my favorite music videos of all time this was back when music videos were like movies 🍿 and were a art form 🎨 not like the videos of today. The 90’s millennial generation,0.5252,Positive,0.25,Netural,0.8829978108406067,Positive
I only watch for Magic Johnson saying “behooold…. Great Pharaoh Ramses”. So bad but so good.  1:30,0.6241,Positive,0.26000000000000006,Netural,0.31592127680778503,Netural
I don’t remember this part of Egypt’s history.,0.0,Neutral,0.0,Netural,-0.33528539538383484,Negative
Thes Song was my shett black Man your spirit now It s in hell,-0.5994,Negative,-0.16666666666666666,Negative,0.4763590097427368,Positive
Blaq Ron,0.0,Neutral,0.0,Netural,-0.28028175234794617,Negative
Who's here after watching any comedian talk about this man,0.3818,Positive,0.0,Netural,0.3241760730743408,Netural
🔥,-0.34,Negative,0.0,Netural,0.30857792496681213,Netural
"I don't know, bet you wanna try
Every time you see
Do you remember
When we fell in love?
We were young and innocent then
Do you remember
How it all began?
It just seemed like heaven, so why did it end?
Do you remember
Back in the fall?
We'd be together all day long
Do you remember
Us holding hands?
In each other's eyes, we'd stare
Tell me
Do you remember the time
When we fell in love?
Do you remember the time
When we first met, girl?
Do you remember the time
When we fell in love?
Do you remember the time
Do you remember
How we used to talk?
You know
We'd stay on the phone at night 'til dawn
Do you remember
All the things we said? 
Like, I love you so, I'll never let you go
Do you remember
Back in the Spring?
Every morning birds would sing
Do you remember
Those special times?
They'll just go on and on
In the back of my mind
Do you remember the time
When we fell in love?
Do you remember the time
When we first met, girl?
Do you remember the time
When we fell in love?
Do you remember the time
Those sweet memories
Will always be dear to me
And girl, no matter what was said
I will never forget what we had
Now baby
Do you remember the time
When we fell in love?
Do you remember the time
When we first met, girl?
Do you remember the time (oh, I)
When we fell in love?
Do you remember the time
(Remember, my baby)
Do you remember the time ('cause I remember)
When we fell in love?
Do you remember the time
(All in my mind, girl)
Do you remember the time (oh, I)
When we fell in love?
Do you remember the time
(Remember, my baby)
Remember the time
Woo
Remember the time
Do you remember, girl?
Remember the time
On the phone, you and me
Remember the time?
'Til dawn, two or three
What about us, girl?
Remember the time
Do you, do you, do you, do you, do you
Remember the time
In the park, on the beach
Remember the time
You and me in Spain
What about, what about
Remember the time
Remember the time
Ooh, in the park
Remember the time
After dark
Do you, do you, do you
Remember the time
Do you, do you, do you, do you
Remember the time
Yeah, yeah, woo
Remember the time",0.9973,Positive,0.2927018633540372,Netural,-0.3144295811653137,Negative
Moonscape Part I Apollo 13 ..... View:.,0.0,Neutral,0.0,Netural,0.3168955147266388,Netural
Me,0.0,Neutral,0.0,Netural,0.2765241265296936,Netural
que música...,0.0,Neutral,0.0,Netural,-0.23727883398532867,Negative
Yeah I Darryl Drivs  had to  invite my friends. Yeah I  was  surprised.,0.8402,Positive,0.1,Netural,0.3460313379764557,Positive
Yeah from Darryl  Yeah am made to  watch this  death   situation  again  over and  over.???.,-0.4147,Negative,0.0,Netural,-0.4058045446872711,Negative
Yeah  my  Camden  Dieing  female  friend is dying.,0.6597,Positive,0.0,Netural,-0.6541010737419128,Negative
Yeah from Darryl Drivs raised in  CAMDEN NJ. YEAH I  won't  run  away from a steet  CAMDEN NJ  fight. Yeah  so what  my  Fairview white  neighbors  rejected  us  with  such  hate.,-0.5052,Negative,-0.26666666666666666,Negative,-0.6563844084739685,Negative
Yeah I Darryl Drivs  remember time I  had  one  choice and  yes  I  had to invite my  friends to a  Camden  streets  situation. Yeah I  remember.,0.8689,Positive,0.0,Netural,-0.2486248016357422,Negative
