Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Free Pooh frfr!!!!!,0.6671,Positive,1.0,Positive,-0.37533506751060486,Negative
🔥 Shiesty lil dude,-0.34,Negative,0.0,Netural,0.2607708275318146,Netural
FREE SHIESTY,0.5106,Positive,0.4,Positive,0.2868470847606659,Netural
"I hope he don’t come out like Bobby, while new character 😭",0.3182,Positive,0.13636363636363635,Netural,0.3963354229927063,Positive
They bout to Clone this nigga 👽,0.0,Neutral,0.0,Netural,-0.414824515581131,Negative
Gucci really the most influence rapper alive after Wayne.,0.4336,Positive,0.26666666666666666,Netural,0.8296307325363159,Positive
Damm free homie💔,0.6597,Positive,0.4,Positive,0.2520654499530792,Netural
Anybody seeing this comment I hope you all become successful 🗣️💯,0.7717,Positive,0.75,Positive,0.6300380825996399,Positive
DAMN #FREETHEMAINSLIME 🐍,-0.5319,Negative,0.0,Netural,0.3808462619781494,Positive
"Get free soon Pooh take care of yourself and stay strong it’ll go by fast. I’m sure it’ll only be 2 years and he’ll get parole, just got hope the best for him",0.9595,Positive,0.4222222222222222,Positive,-0.23218685388565063,Negative
Bad flow,-0.5423,Negative,-0.6999999999999998,Negative,-0.5925978422164917,Negative
2 1/2 Years Ain’t Nun To a South Memphis Steppa,0.0,Neutral,0.0,Netural,-0.32383477687835693,Negative
I thought pooh looked weird man mouth iced out,-0.1779,Negative,-0.5,Negative,-0.47393864393234253,Negative
Bro finna get cloned,0.0,Neutral,0.0,Netural,0.2628391683101654,Netural
The real Pooh shiesty really gone now 😕,-0.3744,Negative,0.2,Netural,0.4160953164100647,Positive
Yeah they DEFINITELY couldn’t show this video before the trial😂😂,0.8868,Positive,0.0,Netural,-0.491118460893631,Negative
Why he in the same green mclaren,0.0,Neutral,-0.1,Negative,-0.3178871273994446,Negative
Biggest slime,0.0,Neutral,0.0,Netural,-0.483280211687088,Negative
Free pooh Shiesty till it’s backwards,0.5106,Positive,0.4,Positive,-0.36584043502807617,Negative
"https://youtu.be/EBw2TMEp4eg
💜",0.6369,Positive,0.0,Netural,-0.2375989556312561,Negative
Пушистый,0.0,Neutral,-0.2,Negative,-0.30453765392303467,Negative
#FREE SHEISTY,0.5106,Positive,0.4,Positive,-0.2388688027858734,Negative
Pooh to clean wit it,0.4019,Positive,0.3666666666666667,Positive,0.26144081354141235,Netural
Ewwwwwwwww shiiitttttt 🔥,-0.34,Negative,0.0,Netural,-0.2891601324081421,Negative
2027 shiesty year,0.0,Neutral,0.0,Netural,-0.29077139496803284,Negative
💪🏾,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
3 yr supervised release $ different in da South💯,0.0,Neutral,0.0,Netural,0.4246010184288025,Positive
anotha criminal off the streets,-0.5267,Negative,-0.4,Negative,-0.49280235171318054,Negative
He got that fire,-0.34,Negative,0.0,Netural,0.33296099305152893,Positive
"We will wait on you Mr. Shiesty. Stay safe in there 🙏
Hey guys just do *authentic views* to get views",0.4404,Positive,0.5,Positive,0.27837449312210083,Netural
Fuck the law.,-0.5423,Negative,-0.4,Negative,-0.7229639291763306,Negative
Yuuuzzz,0.0,Neutral,0.0,Netural,-0.24551594257354736,Negative
Free Pooh Shiesty,0.5106,Positive,0.4,Positive,0.2467547059059143,Netural
Boy you crazy🔥,-0.5859,Negative,0.0,Netural,0.43618619441986084,Positive
Free Pooh 🫡🔥,0.2263,Positive,0.4,Positive,0.25575190782546997,Netural
This is awful i can feel myself losing brain cells,-0.6808,Negative,-1.0,Negative,-0.9276857972145081,Negative
"so fuckin icy after the news lady says a green mclaren sports car, and then it cuts to him whippin it on the freeway. and then the slime coated mclaren bar   fire.",-0.5267,Negative,-0.15000000000000002,Negative,-0.7736395001411438,Negative
brr brr 😂😂,0.7003,Positive,0.0,Netural,0.3055967390537262,Netural
Free shiesty 💯💯,0.5106,Positive,0.4,Positive,0.36601313948631287,Positive
Free shiesty main slime 🐍,0.5106,Positive,0.2833333333333333,Netural,0.3878801763057709,Positive
100k Likes 😈👈,0.7003,Positive,0.0,Netural,-0.24218034744262695,Negative
🇱🇨🧨🔥,-0.34,Negative,0.0,Netural,0.30857792496681213,Netural
FREE MY BRO,0.5106,Positive,0.4,Positive,0.42308828234672546,Positive
5 years and still going drop💥💥💥,-0.8225,Negative,0.0,Netural,0.7389406561851501,Positive
"Great flow!
🔥🔥🔥🔥beat!
But he self destructed.🤷🏾‍♂️.",-0.717,Negative,1.0,Positive,0.27014127373695374,Netural
💯,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Free Shiesty,0.5106,Positive,0.4,Positive,0.2868470847606659,Netural
#freeshiesty,0.0,Neutral,0.0,Netural,0.25500285625457764,Netural
#FREESHIESTY,0.0,Neutral,0.0,Netural,0.25500285625457764,Netural
ПУШИСТЫЙ,0.0,Neutral,-0.2,Negative,-0.30453765392303467,Negative
Free shiesty you be out soon it isnt allat💚💚🐍,0.6288,Positive,0.4,Positive,-0.3918569087982178,Negative
"This man is a huge inspiration to me, one day we gonna do a song together🙏",0.6908,Positive,0.4000000000000001,Positive,0.7803463935852051,Positive
"Just another rapper with the same flow , same garbage 🗑️",0.0,Neutral,0.0,Netural,-0.8983993530273438,Negative
🔥🔥,-0.5859,Negative,0.0,Netural,0.30857792496681213,Netural
At least his music is out free. Bless.,0.7269,Positive,0.05000000000000002,Netural,-0.6937371492385864,Negative
this Lil Way From Topeka Kansas .FREE SHIESTY BLRRDDD,0.6166,Positive,0.0,Netural,0.408499538898468,Positive
Shiesty got his toes out 😂,0.4404,Positive,0.0,Netural,-0.5149305462837219,Negative
#freeshiesty,0.0,Neutral,0.0,Netural,0.25500285625457764,Netural
Memphis only birth the real,0.0,Neutral,0.1,Netural,-0.33749592304229736,Negative
DUKEEE SHIESTYYY,0.0,Neutral,0.0,Netural,-0.3312564194202423,Negative
BLLRRRRRRRDD BLRRRRRRRRD,0.0,Neutral,0.0,Netural,-0.2794737219810486,Negative
Stay strong 💪✨,0.6808,Positive,0.4333333333333333,Positive,0.6003446578979492,Positive
FREE POOH💯✊🏽,0.6166,Positive,0.4,Positive,0.36748072504997253,Positive
#freeshiesty,0.0,Neutral,0.0,Netural,0.25500285625457764,Netural
It's January 2022 💟 let's see how many legend and fans are still listening to this masterpiece...💙💜❣️💖♥️❤️,0.9875,Positive,0.5,Positive,0.5510892868041992,Positive
Free Shiesty!!! Big BLRRR,0.6341,Positive,0.390625,Positive,0.4807230830192566,Positive
Pooh shiesty Damm,0.0,Neutral,0.0,Netural,-0.4469309449195862,Negative
https://youtu.be/EU5Y7SUV_7w‼️🔥🔥🔥,-0.7351,Negative,0.0,Netural,0.26914018392562866,Netural
This was trash 🗑️ he could have done much better. Free Mr Pooh 🩸,0.7351,Positive,0.45,Positive,-0.8536755442619324,Negative
Free my lil bra!!!!!Big 💯💯🎯👆🏾👆🏾,0.6671,Positive,0.4,Positive,0.7609980702400208,Positive
🗣🗣🔥🔥👆🏾👆🏾💯,-0.5859,Negative,0.0,Netural,0.30857792496681213,Netural
They shot a nigga then shot a video 😭,-0.4767,Negative,0.0,Netural,-0.5292446613311768,Negative
Gone be right back Blrddddd,0.0,Neutral,0.14285714285714285,Netural,-0.29220762848854065,Negative
Free shiesty 💪✅,0.5106,Positive,0.4,Positive,0.36601313948631287,Positive
#FreeShiesty 🎉🎉🎉🎉🎉,0.91,Positive,0.0,Netural,0.31609413027763367,Netural
Back in Blood flow,0.0,Neutral,0.0,Netural,0.3664649724960327,Positive
That’s the same whip gaaadaannmmm,0.0,Neutral,0.0,Netural,-0.35869768261909485,Negative
Free Pooh shiesty,0.5106,Positive,0.4,Positive,0.2467547059059143,Netural
