Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
thank you queen Charli XCX for writing this song 💋💋,0.7964,Positive,0.0,Netural,0.664803147315979,Positive
eloolha pessoas para c,0.0,Neutral,0.0,Netural,0.2875620424747467,Netural
My frt,0.0,Neutral,0.0,Netural,0.47521331906318665,Positive
and i have to study la la la,0.0,Neutral,0.0,Netural,0.3158385157585144,Netural
스와누네들,0.0,Neutral,0.0,Netural,0.27112746238708496,Netural
블랙,0.0,Neutral,-0.16666666666666666,Negative,0.2860712707042694,Netural
"Yes, Your kiss is DEADLY",0.6705,Positive,-0.2,Negative,0.6279522776603699,Positive
lmao I love it how she calls him Señorita as well🙃🤘,0.8807,Positive,0.55,Positive,0.7960876226425171,Positive
"Love
Shawn  Mendes  Camila  Cabello",0.6369,Positive,0.5,Positive,0.5855966210365295,Positive
"Camilla: You say we're just friends
But friends don't know the way you taste, la-la-la

Me: 🙄 🙄

Ok so they have to.know it now by doin' this collab?! 🤔😁",0.923,Positive,0.625,Positive,0.4139021933078766,Positive
Who miss shawmila 🤍,-0.1531,Negative,0.0,Netural,-0.24027208983898163,Negative
Shawn Mendez killed this song. 😍🔥🔥🙌🏽 His vocals.,-0.743,Negative,-0.2,Negative,-0.4912930130958557,Negative
I love this songgggg,0.6369,Positive,0.5,Positive,0.8486537337303162,Positive
Hello...still listening?,0.0,Neutral,0.0,Netural,-0.42466315627098083,Negative
Katherine Cajulao favorite song Senorita it's remind me thinking about my favorite people is Filipino it's part of me about Jodi sta Maria this song for her!,0.7424,Positive,0.5625,Positive,0.6434082984924316,Positive
Time flies. Life is too short enjoi the moment live in the moment,0.4939,Positive,0.1787878787878788,Netural,-0.3176504969596863,Negative
"Señorita.
When I was in 9th standard my friends and I sung this song in our class. We loved this song. Now I am in 12th. Grinding my ass",0.5423,Positive,0.35,Positive,0.7603140473365784,Positive
"Always be our song M.T. it was released when we met and it was meant for us. Love always Narcisa,B",0.6369,Positive,0.5,Positive,0.5599091053009033,Positive
"shawn and camila - oh we are just friends
the song - hehehehe lets see",0.4767,Positive,0.0,Netural,0.344289094209671,Positive
"Hduvfg
Bfhfb",0.0,Neutral,0.0,Netural,0.2450033724308014,Netural
"I love you so much Shawn Mendes, and Camila Cabello💋❤👍🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌",0.9042,Positive,0.35,Positive,0.8554897904396057,Positive
Quien en ABRIL del 2022? O solo yo,0.0,Neutral,0.0,Netural,-0.6358361840248108,Negative
Everyday thousands of legends come here and left but this masterpiece never gets old,0.8322,Positive,-0.03333333333333333,Negative,0.5831631422042847,Positive
I hope one day they can get back together~~,0.4404,Positive,0.0,Netural,0.2986953854560852,Netural
I think is different feeling when u hearing the music after they broke up. it let me feel so frustrating😭,-0.8557,Negative,0.0,Netural,0.40188324451446533,Positive
I miss their this relationship way too much :')))),-0.1531,Negative,0.2,Netural,-0.4229675829410553,Negative
Son increíblemente sensuales sus voces,0.0,Neutral,0.9,Positive,0.5648949146270752,Positive
I miss them...🖤,0.5574,Positive,0.0,Netural,0.3825632333755493,Positive
"I think of agusto non stop when i hear this song, i smile but am also sad cause hes not a part of my life anymore, but he was a great memory and this song was popular when me and him were together. I couldnt listen to it for months after he left me, i would just cry non stop, now i can its been years and i realize he didnt love me like i love him, he used me.",-0.254,Negative,0.31428571428571433,Netural,-0.29438307881355286,Negative
I love this song so much I'm such a fan of you😇😇🥳🥳🥳🥳🥳🥳🥳,0.9812,Positive,0.25,Netural,0.8943438529968262,Positive
Its may 1 i love it,0.6369,Positive,0.5,Positive,0.6998193860054016,Positive
"Camila : this so just shooting nothing else ok 

Staff: yeah right it’s more then that",-0.5978,Negative,0.42857142857142855,Positive,0.33589011430740356,Positive
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you! 💓💗,0.9806,Positive,0.0787037037037037,Netural,0.8224565982818604,Positive
Why is it so dark in the end and so purpley,0.0,Neutral,-0.15,Negative,-0.3824605345726013,Negative
Already 1.3 billion,0.0,Neutral,0.0,Netural,-0.47072428464889526,Negative
love from india,0.6369,Positive,0.5,Positive,0.5484558939933777,Positive
Every touch is pure ...🙃🌹😌🙃,0.3818,Positive,0.21428571428571427,Netural,0.7824690937995911,Positive
Camilla 😘😘,0.6808,Positive,0.0,Netural,0.38304004073143005,Positive
Ģggggģggģgģf,0.0,Neutral,0.0,Netural,0.26519906520843506,Netural
I'm here again 🎶💕,0.6486,Positive,0.0,Netural,0.6333134770393372,Positive
O my Camille 😚🖤,0.836,Positive,0.0,Netural,0.49824416637420654,Positive
Hi,0.0,Neutral,0.0,Netural,0.23648656904697418,Netural
que música top daaaa s top 2022,0.3818,Positive,0.5,Positive,0.8662776350975037,Positive
"انه عام 2022دعونا عدد مشاهدين هذا الفيديو الرائع والجميل 
Love anjed MICHE",0.9297,Positive,0.7833333333333333,Positive,0.40433788299560547,Positive
🎶🎶🎶,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
👍👍🇹🇯🇹🇯,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Hey addicted ones.,0.0,Neutral,-0.4,Negative,0.5978811383247375,Positive
This song always remind me the movie baby driver ❤️❤️❤️❤️,0.0,Neutral,0.0,Netural,0.6631072759628296,Positive
Shawn Mendes is HOT! Thats all. LOL!,0.627,Positive,0.65625,Positive,0.3291394114494324,Netural
😍 camila and shaun is love,0.802,Positive,0.5,Positive,0.6081730127334595,Positive
"Ghnta gaana ha 
Yahan time waste mt krna😑",-0.4215,Negative,-0.2,Negative,-0.6399010419845581,Negative
Did the thumbnail change?,0.0,Neutral,0.0,Netural,-0.323440283536911,Negative
best songs ever ╰(*°▽°*)╯,0.6369,Positive,1.0,Positive,0.9516193270683289,Positive
Omg it's one of the most most most beautiful and romantic videos!💔 I want this love!😢😢😢😢😳😳😳😳💖💖💖💖,0.9832,Positive,0.47000000000000003,Positive,0.9585719704627991,Positive
Bad song 😔,-0.4939,Negative,-0.6999999999999998,Negative,-0.7411926984786987,Negative
"I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la
Ooh, I should be running
Ooh, you keep me coming for ya
Land in Miami
The air was hot from summer rain
Sweat dripping off me
Before I even knew her name, la-la-la
It felt like ooh, la-la-la
Yeah, no
Sapphire moonlight
We danced for hours in the sand
Tequila sunrise
Her body fit right in my hands, la-la-la
It felt like ooh, la-la-la, yeah
I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la
Ooh, I should be running
Ooh, you know I love it when you call me señorita
I wish it wasn't so damn hard to leave ya
But every touch is ooh, la-la-la
It's true, la-la-la
Ooh, I should be running
Ooh, you keep me coming for ya
Locked in the hotel
There's just some things that never change
You say we're just friends
But friends don't know the way you taste, la-la-la
'Cause you know it's been a long time coming
Don't you let me fall, oh
Ooh, when your lips undress me
Hooked on your tongue
Ooh, love, your kiss is deadly
Don't stop
I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la
Ooh, I should be running
Ooh, you know I love it when you call me señorita
I wish it wasn't so damn hard to leave ya
But every touch is ooh, la-la-la
It's true, la-la-la (true, la-la)
Ooh, I should be running
Ooh, you keep me coming for ya
All along I've been coming for ya (for ya)
And I hope it meant something to ya (ooh)
Call my name, I'll be coming for ya
Coming for ya, coming for ya, coming for ya
For ya
For ya (oh, she loves it when I call)
For ya
Ooh, I should be running
Ooh, you keep me coming for ya",0.9987,Positive,0.2738095238095238,Netural,0.41731834411621094,Positive
she loves it when i come?,0.5719,Positive,0.0,Netural,0.3600635528564453,Positive
Wow beautiful nice.😍.,0.926,Positive,0.475,Positive,0.8307502865791321,Positive
Thanks ae song ta torir gono,0.4404,Positive,0.2,Netural,0.33484771847724915,Positive
"It’s a steamy video, I’ll rate it pg-13 lol, love the vid and the song and him 😍😍😍",0.9432,Positive,0.65,Positive,0.4357566237449646,Positive
This song lyrics video https://youtu.be/n-5xIotVFdo,0.0,Neutral,0.0,Netural,-0.24454450607299805,Negative
This song lyrics video https://youtu.be/n-5xIotVFdo,0.0,Neutral,0.0,Netural,-0.24454450607299805,Negative
This song lyrics video https://youtu.be/n-5xIotVFdo,0.0,Neutral,0.0,Netural,-0.24454450607299805,Negative
This song lyrics video https://youtu.be/n-5xIotVFdo,0.0,Neutral,0.0,Netural,-0.24454450607299805,Negative
Is there any magic present in this song that it compels me to come back here again?,0.0,Neutral,0.16666666666666666,Netural,0.2283177524805069,Netural
70% of the viewers are Indians 🤣😉😂,0.7269,Positive,0.0,Netural,-0.3264806568622589,Negative
camilla is thr,0.0,Neutral,0.0,Netural,0.25102779269218445,Netural
"I love it when you call me señorita
I wish I could pretend I didn't need ya",0.7579,Positive,0.5,Positive,0.7018210887908936,Positive
Shaun you changed thumnail,0.0,Neutral,0.0,Netural,-0.24243618547916412,Negative
This Song Is So Good. I also Make Music Please check it out on my channel,0.722,Positive,0.7,Positive,0.5871515870094299,Positive
👍👍👍👍,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
"wait , when he change the thumbnail pict? It's already different",0.0,Neutral,0.0,Netural,-0.32668614387512207,Negative
Camila parece una barbie real,0.3612,Positive,0.2,Netural,0.3242843747138977,Netural
Imy both,0.0,Neutral,0.0,Netural,0.25703656673431396,Netural
Shawn,0.0,Neutral,0.0,Netural,0.2739136219024658,Netural
KANGEN BGT BOMAT GW KANGEN 😤😤,-0.3535,Negative,0.2,Netural,-0.44080379605293274,Negative
✋,0.4939,Positive,0.0,Netural,0.30857792496681213,Netural
Asome 😍😍😍😍😍😍,0.9517,Positive,0.0,Netural,0.3800249993801117,Positive
I am. I love this song.,0.6369,Positive,0.5,Positive,0.8841124176979065,Positive
"Sweat dripping in full throttle, that's today's pop, still better than WAP I guess?",0.4404,Positive,0.425,Positive,0.32655343413352966,Netural
Lol can we just sit there and appreciate Shawn mendes’ angelic voice. Like it gave me butterflies,0.7906,Positive,0.8,Positive,0.4527609944343567,Positive
❤️❤️❤️❤️❤️❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
เพลงจะใหม่อีกครั้ง เมื่อเปิดมันอีกครั้ง,0.0,Neutral,0.13636363636363635,Netural,0.283538281917572,Netural
It's April 28 2022 but still listening to this song☺️💛,0.8957,Positive,0.0,Netural,0.2724629044532776,Netural
"Press ""F"" for their relationship.",0.0,Neutral,0.0,Netural,0.37325918674468994,Positive
pensé que está canción tenía más años de Aver salido,0.0,Neutral,0.16666666666666666,Netural,-0.27323198318481445,Negative
💝💝💖💖💘💘❣❣,0.9906,Positive,0.0,Netural,0.30857792496681213,Netural
Adoooor aceasta melodie,0.0,Neutral,0.0,Netural,0.5024546384811401,Positive
Most cringiest song I’ve heard 💀💀,0.0,Neutral,0.5,Positive,-0.5960374474525452,Negative
Lalalalalala hennn,-0.5563,Negative,-0.65,Negative,-0.243352472782135,Negative
I can remembered time when comments weren't dates,0.0,Neutral,0.0,Netural,0.292589396238327,Netural
https://youtube.com/shorts/Z1e1JnaOwx8?feature=share,0.0,Neutral,0.0,Netural,0.23778514564037323,Netural
❤️❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
I am shy person keeping my self to myself all the time  loving your music when my emotions getting to strong in different drums echoes of the past echoes in my heat hurting all time a ha ha shall a shall loving all the good times rolling on and passing me bye 📫,0.9337,Positive,0.22619047619047614,Netural,0.696761429309845,Positive
This song is just awesome!!  I listen this everyday. 🤎🤎,0.6892,Positive,0.4,Positive,0.9125884771347046,Positive
But... Didn't it come out yesterday..,0.0,Neutral,0.0,Netural,0.42255693674087524,Positive
Is it normal if I still listen to this at 2022,0.0,Neutral,0.15,Netural,0.391530305147171,Positive
Me literally crying while watching them,-0.4767,Negative,-0.2,Negative,-0.562192440032959,Negative
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you! 💓💗,0.9806,Positive,0.0787037037037037,Netural,0.8224565982818604,Positive
this song they creathed is to amazing to me i m steel lissening,0.7003,Positive,0.6000000000000001,Positive,0.8045729398727417,Positive
A song that never gets old,0.0,Neutral,0.1,Netural,0.4901542067527771,Positive
OOOOO NICE SONG I LOVE IT'S,0.7906,Positive,0.55,Positive,0.6119093894958496,Positive
"These two though, I hope they still don't leave them in a room cox the old flame never dies.",0.4675,Positive,0.1,Netural,0.4551376700401306,Positive
