Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
My Naija brother @Omos big ups to you,0.0,Neutral,0.0,Netural,-0.26711517572402954,Negative
Bobby Lashley FTW!!,0.6505,Positive,0.0,Netural,0.39780062437057495,Positive
Boooooooooooooòoooooo omos,0.0,Neutral,0.0,Netural,0.2742629051208496,Netural
Boooooooooooooòoooooo omos,0.0,Neutral,0.0,Netural,0.2742629051208496,Netural
Stupid omos,0.0,Neutral,0.0,Netural,-0.7916419506072998,Negative
can't mvp stop talking,0.2235,Positive,0.0,Netural,-0.5087923407554626,Negative
Omos omo oguun   🤣🤣🤣,0.8625,Positive,0.0,Netural,0.26223838329315186,Netural
Omos my home boy 😅😅🤞,0.6124,Positive,0.0,Netural,0.5051918029785156,Positive
"How dare he use the ""Almighty"" name for himself.",0.0,Neutral,0.0,Netural,-0.3705897033214569,Negative
Is how bobby Lashley does say Omos name different from everyome else. It sounds like he is saying almost🤣🤣🤣😂😂😂😂😂,0.9766,Positive,0.0,Netural,0.5044177770614624,Positive
Omos🙄,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
arm wrestling like HHH & Scot Steiner!!!,0.5229,Positive,0.0,Netural,0.5503075122833252,Positive
omos = tall and useless,-0.4215,Negative,-0.5,Negative,-0.6234307289123535,Negative
i use vpn to watch this from India,0.0,Neutral,0.0,Netural,0.4234784245491028,Positive
Every time Lashley says Omos' name he says it differently.,0.0,Neutral,0.0,Netural,-0.30733147263526917,Negative
Wrestlmania Backlash omas vs bobby.......awesome but needs 1 more thing *no holds barred*,0.0,Neutral,0.5,Positive,0.3208649754524231,Netural
Bobby lashley should use his old ECW theme when him and Omas Fight it'll be EPIC ! YES ! YES ! YES ! YES ! YES !,0.9496,Positive,0.24073486328125,Netural,0.5939136743545532,Positive
I wish Brock would just run out nd show him who a real monster is,0.4019,Positive,0.2,Netural,0.2731797397136688,Netural
Dudes tall but he has nothing on Bobby.,0.0,Neutral,0.0,Netural,0.37993478775024414,Positive
MVP at this point just needs to do like Elsa and let that hairline go.,0.3612,Positive,0.0,Netural,0.39895251393318176,Positive
Omos is a less intimidating and less talented braun,0.1027,Positive,0.12222222222222222,Netural,-0.42809998989105225,Negative
Someone heard that Omos entrance song,0.0,Neutral,0.0,Netural,-0.37711983919143677,Negative
Does bobby lashley not have eyebrows? Those look drawn ✍️,0.0,Neutral,0.0,Netural,0.28079286217689514,Netural
Omos is really tall. He doesn't really even look all that impressive outside of any other well put together basketball player. No way he is stronger than Bobby Lashley.,0.7003,Positive,0.255,Netural,0.44154584407806396,Positive
Solo por la espalda,0.0,Neutral,-0.2,Negative,-0.35434654355049133,Negative
"If Omos was on the same Juice Lashley is on, he'd be unstoppable.",-0.2023,Negative,0.0,Netural,-0.35111695528030396,Negative
im mad how mvp actually made the crowd shut up😂,-0.0772,Negative,-0.3125,Negative,-0.6709353923797607,Negative
"a
omos lost",-0.3182,Negative,0.0,Netural,-0.4225810766220093,Negative
Bobby Who ? Heel > Bobby Who ? Face,0.0,Neutral,0.0,Netural,-0.2528144121170044,Negative
"I LOOKING FOR  BOBBY IS NEXT HE IS DOWN  CRY JAXX READY TO DIE MUSIC  AKA D,K🦍",-0.7378,Negative,0.014814814814814808,Netural,-0.320599228143692,Negative
"I’m really glad they got AJ away from this guy. I like MVP, but not even he is going to get this goober over. Heel or face, he stinks.",0.1018,Positive,-0.04999999999999999,Negative,-0.35603469610214233,Negative
"I love you my dear long life and prosperity in peace of mind in Jesus Christ name Amen, ILO .",0.8834,Positive,0.225,Netural,0.9177165031433105,Positive
