Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
My twin halo said he heated a bannnnnmnnnnnnnine and it meant imp te frin 😢,-0.4767,Negative,0.0,Netural,-0.40008196234703064,Negative
bro pewds is to funny,0.4404,Positive,0.25,Netural,0.299630343914032,Netural
8:17 pewds looks like the youtuber Kwite,0.3612,Positive,0.0,Netural,-0.37625768780708313,Negative
OI! YOU GOT A LOISENCE FOR THAT SWISS ARMY KNOIFE?!,0.0,Neutral,0.0,Netural,-0.4301992654800415,Negative
هاي,0.0,Neutral,0.0,Netural,0.23694255948066711,Netural
hahahahahahaha you are so funny,0.5777,Positive,0.25,Netural,0.5967862010002136,Positive
Pewdiepie: The mother of all man childs.,0.0,Neutral,0.0,Netural,0.5104267001152039,Positive
Egg,0.0,Neutral,0.0,Netural,-0.222767174243927,Negative
The light saber is honestly sick,-0.0772,Negative,-0.15714285714285714,Negative,-0.6161148548126221,Negative
The lightsaber looks really good for wish it can be really useful for making short films.,0.8537,Positive,0.3333333333333333,Positive,0.5726985931396484,Positive
@PweDiePie don't think u will see this but try buying stuff from a site called vova its a bit like wish but sells some errmmm kinda stuff xxxxx,0.7783,Positive,0.0,Netural,0.33329638838768005,Positive
"PEWDS! I'M A MESSENGER FROM THE FUTURE!
DONT buy illegal items. The cops will come to your house and tell you it was bad and you will be stressed out, which will cause you to buy MORE items off of Wish that relieve stress. Heed my warning! Also I foresee a pink cat costume? But I'm not sure what that means! Stay safe Pewdiepie!",0.3792,Positive,-0.05178571428571425,Negative,-0.6685465574264526,Negative
"""Even as a meme I look good""
Such a power move",0.4404,Positive,0.35,Positive,0.5609453320503235,Positive
8:20 man turned into Kwite,0.0,Neutral,0.0,Netural,-0.5596885085105896,Negative
Tbh I like the smiley hoodie not the color,0.6369,Positive,0.0,Netural,0.40481290221214294,Positive
8:13 hey wait a minute,0.0,Neutral,0.0,Netural,-0.3450055718421936,Negative
it's so funny and wholesome,0.4927,Positive,0.25,Netural,0.7180770039558411,Positive
Pewds: “you can hear music in your ears”,0.0,Neutral,0.0,Netural,0.4073311984539032,Positive
🤣,0.4939,Positive,0.0,Netural,0.30857792496681213,Netural
Yoooo a bunch of CRAAAAAP LETS GOOO,0.0,Neutral,0.0,Netural,-0.37309369444847107,Negative
"Pewdie saying its not legal knife to shop to England
Pewdie opening the box with the same knife ok wish page on 11:17",0.5469,Positive,0.13333333333333333,Netural,-0.5426338911056519,Negative
😂🤣,0.7269,Positive,0.0,Netural,0.30857792496681213,Netural
He looks fresh,0.3182,Positive,0.3,Netural,0.4363071918487549,Positive
I was dying with laughter when I saw the box just said MASK.,0.4939,Positive,0.0,Netural,-0.5082472562789917,Negative
3:55 Is literally the training mask for jjba battle tendency,-0.3818,Negative,0.0,Netural,0.3312709629535675,Positive
Came half way through. Why is Pewds wearing a single breasted woman's bra?,0.0,Neutral,-0.11904761904761904,Negative,-0.48459747433662415,Negative
"""its not a kink I just like it"" alright. Ill trust you this once.",0.7783,Positive,0.0,Netural,0.4336062967777252,Positive
"expectation: looks like dream

reality: looks like kwite",0.7184,Positive,0.0,Netural,-0.314167320728302,Negative
8:13 @lifeofBoris has entered chat. 😂,0.4404,Positive,0.0,Netural,-0.44935062527656555,Negative
bro said nuts burnt kink.....,-0.3182,Negative,0.0,Netural,-0.7396191954612732,Negative
8:13 he becomes Kwite,0.0,Neutral,0.0,Netural,-0.31767526268959045,Negative
its beautiful to see pewdiepie making fun of dream,0.8481,Positive,0.575,Positive,0.4564158320426941,Positive
"These knifes are illegal in the Uk 



(Buys knife anyway then displayed to 3 million people he bought it and it arrived also showing the link where to buy it and how much it is 😅😂)",0.2023,Positive,-0.15,Negative,-0.7894721627235413,Negative
Did he write of instead of off on purpose? If this is an in joke I missed its oddly specific.,0.0,Neutral,0.0,Netural,-0.40168923139572144,Negative
oi do you have a loicense for that knoife?,0.0,Neutral,0.0,Netural,-0.33631882071495056,Negative
Shrek wipes after poop,0.0,Neutral,0.0,Netural,-0.31610241532325745,Negative
Ryan Toy Review but better,0.5927,Positive,0.5,Positive,0.5106023550033569,Positive
"The knives are illegal, yet we have the worst stabbing problem on europet",-0.886,Negative,-0.7000000000000001,Negative,-0.61634761095047,Negative
"U should do a bleach tie dye or just a bleach dye on the dream hoodie, would look dope asf",0.25,Positive,0.0,Netural,-0.37236958742141724,Negative
bri ish,0.6249,Positive,0.8,Positive,0.24844840168952942,Netural
He got the knife lmao 8:40,0.5994,Positive,0.6,Positive,0.23447957634925842,Netural
We became Kwite,0.0,Neutral,0.0,Netural,-0.3202782869338989,Negative
Why bullshit fuck say,-0.8074,Negative,-0.4,Negative,-0.8082029819488525,Negative
8:13 Felix cosplaying as Kwite LMAOOO,0.0,Neutral,0.0,Netural,0.24989338219165802,Netural
Did the glasses actually play music you never said.,0.34,Positive,0.0,Netural,-0.3006901144981384,Negative
"Laser aiming...

Sup, I'm Zero~",0.0,Neutral,0.0,Netural,-0.7823177576065063,Negative
Do more vlogs! Dog vlog was great!,0.6892,Positive,0.8125,Positive,0.6161419749259949,Positive
Me wearing the whole costume PewDiePie wore in the video on Halloween,0.0,Neutral,0.2,Netural,0.4153499901294708,Positive
I like the sunglasses,0.3612,Positive,0.0,Netural,0.5143222808837891,Positive
Yo it’s kwite,0.0,Neutral,0.0,Netural,0.25560423731803894,Netural
I buyed a alie express lightsaber and it was actually good if u want you can ask me for footage,0.4939,Positive,0.7,Positive,0.3400607109069824,Positive
