Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Hizo muy bien la primera chica en dejar a ese vago 👏👏👏,0.2944,Positive,0.225,Netural,0.6277579665184021,Positive
Me gustaría ver una pareja fieken este programa,0.3612,Positive,0.0,Netural,0.34354260563850403,Positive
Los dos pinches brujos,0.0,Neutral,-0.6,Negative,-0.39507609605789185,Negative
No puede ser nononononononononononono por favor no,-0.4874,Negative,0.0,Netural,-0.6606318354606628,Negative
Si badabun no hiciese eso de ¨exponiendo infieles¨ ahora estubieran en banca rota jajahshjshasa,-0.6908,Negative,0.0,Netural,-0.6341291666030884,Negative
Wtffff? 😳🤣🤣🤣🤣,0.9153,Positive,0.0,Netural,-0.36625319719314575,Negative
Estaba viendo matemáticas y no se cómo vergas llegué aquí.,-0.6808,Negative,0.0,Netural,-0.46830296516418457,Negative
Le dijo no te agas de mmdas amiga xd,0.0351,Neutral,0.0,Netural,-0.38248276710510254,Negative
la ultima pareja lizbeth savia que entre los dos se eran infiel xD,0.5859,Positive,-0.3,Negative,-0.3056590259075165,Negative
me da risa que la segunda pareja decian osea osea a cada rato xD,0.8126,Positive,-0.08125,Negative,-0.34057095646858215,Negative
✨*le pega*-cAlLeSe lA bOcA-👆✨,0.3182,Positive,0.0,Netural,-0.38722363114356995,Negative
Ese man es el macho,0.0,Neutral,0.0,Netural,0.33096665143966675,Positive
"Badabun:
 Empieza:😘🥰😍😍🥰✨❤️🥰
 Revisando:🧐🧐🧐🧐😡😡😡
Termina:😢😩😭😔😓😭😭😓
 Nosotros:🤣😂😹😆🤣😂😅",0.9349,Positive,0.0,Netural,-0.2753671705722809,Negative
la señora del video 2 tiene mas amigos que la popular de mi escuela,0.7346,Positive,0.55,Positive,0.41085779666900635,Positive
9:14 JAJAJAJ como la agarro,0.0,Neutral,0.2,Netural,-0.3184892535209656,Negative
💥 CallEsE lA bOca☝️🏃‍♀️,-0.3612,Negative,0.0,Netural,0.27000996470451355,Netural
Contexto: osea que tiene de malo,-0.4767,Negative,-0.40625,Negative,-0.4804002642631531,Negative
Chequile Archivó textos donde se pude secretamente esconder mensajes.,-0.1779,Negative,-0.4,Negative,-0.2845044732093811,Negative
Antes pensaba que las arruinabas pero ya entendí que realmente te salva de cosas peores,-0.7351,Negative,-0.1,Negative,-0.35749921202659607,Negative
