Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Did you know klon berrys are in the game now,0.0,Neutral,-0.4,Negative,0.27928608655929565,Netural
you  talk to much,0.0,Neutral,0.2,Netural,0.308422714471817,Netural
NLE CHOPPA😂,0.4404,Positive,0.0,Netural,0.2866806089878082,Netural
Hey peter wheres stewie,0.0,Neutral,0.0,Netural,0.43020859360694885,Positive
Peter,0.0,Neutral,0.0,Netural,0.28876587748527527,Netural
You can see a Family Guy file as well a few files down below vader.,0.2732,Positive,-0.1777777777777778,Negative,0.37209615111351013,Positive
TOP5Gaming can you plass give me a battle pass my username is Khaingmyae12,-0.3818,Negative,0.0,Netural,0.7658547759056091,Positive
They all ready have a dark verdar skin,0.3612,Positive,0.02500000000000001,Netural,0.3228253722190857,Netural
No peter griffin?,-0.296,Negative,0.0,Netural,-0.40378338098526,Negative
Tommy 🧑🏻‍🦱 your thumbnail is good yea not good great if your thumb nail is accurate to next season I am gonna jump,-0.4215,Negative,0.31,Netural,-0.36967071890830994,Negative
Man this makes me want to press the like button lol,0.6808,Positive,0.8,Positive,0.400200217962265,Positive
and if u go to the foundation as a default he says dont be intimidated,0.3412,Positive,0.0,Netural,-0.4196581542491913,Negative
"Imagine if next season, it’s called Crossover, and all the battle pass skins, are just collabs. The POI’s could also change to fit the the theme. We could have Darth Vader, Indiana Jones, Doom, Peter Griffen, Owen Grady, and a whole bunch of other guys.",-0.4215,Negative,0.11875000000000002,Netural,0.4129542410373688,Positive
Luv your work  can you make another storyline vid plz,0.0772,Positive,0.0,Netural,0.33042746782302856,Positive
Here’s a instant karma clip,0.0,Neutral,0.0,Netural,0.7045354843139648,Positive
The rock family is on land now,0.0,Neutral,0.0,Netural,0.296956330537796,Netural
1:56 I learned this from accidentally doing this to my friend in a duo match,0.2023,Positive,0.0,Netural,0.3113402724266052,Netural
What if klombo is hibernating?,0.0,Neutral,0.0,Netural,-0.32139331102371216,Negative
"An Easter Egg I found
The imagined wingspan glider looks like the wings that vulture used in Spider-Man homecoming
Please blowup so T5G can see this",0.2023,Positive,0.0,Netural,0.2997686266899109,Netural
Is family guy actually coming to Fortnite? 🥹🥹🥹,0.0,Neutral,0.0,Netural,-0.30567461252212524,Negative
This is perfect for my brother he wants another meme skin,0.5719,Positive,0.6,Positive,0.811012327671051,Positive
click bate,0.0,Neutral,0.0,Netural,-0.47143861651420593,Negative
