Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I watch this again after 2 years i Miss that,-0.1531,Negative,0.0,Netural,0.34666135907173157,Positive
Queens together 👑🤘,0.0,Neutral,0.0,Netural,0.5049769878387451,Positive
❤️❤️❤️🥰🥰🥰,0.9716,Positive,0.0,Netural,0.30857792496681213,Netural
Hiiiiii,0.0,Neutral,0.0,Netural,0.2603015899658203,Netural
I love you,0.6369,Positive,0.5,Positive,0.8546807765960693,Positive
Hola me gusta monstruos vídeos son muy divertidos,0.6901,Positive,0.325,Netural,0.4802646040916443,Positive
May 1 2022 but still into this,0.0,Neutral,0.0,Netural,0.3275117874145508,Netural
Udah ngina nabi nih,0.0772,Positive,0.0,Netural,-0.4099210500717163,Negative
Ice Cream 💗,0.7096,Positive,0.0,Netural,0.4332580864429474,Positive
stop hating them they have been through a lot I am crying while writing this 😭,-0.8934,Negative,-0.2,Negative,-0.5398697853088379,Negative
Selena is looking gorgeous 😍 💖 💕,0.9565,Positive,0.7,Positive,0.6403802037239075,Positive
"Blink Comment 💬
Army Like 👍",0.3612,Positive,0.0,Netural,0.29076436161994934,Netural
Selena Gomez can totally pass as another blackpink member so Easily🖤💗 they all look so beautiful I can't stop watching this video🔥,0.9581,Positive,0.425,Positive,0.5953928828239441,Positive
ฉันรักเพลงนี้,0.6369,Positive,0.5,Positive,0.30857792496681213,Netural
It's may 2022 lets see how many blinks and selenastans are coming and striking this masterpiece,0.7073,Positive,0.5,Positive,0.6660827398300171,Positive
I like your songs and dances my name is V.Hashini,0.3612,Positive,0.0,Netural,0.5377468466758728,Positive
Amar ata khub bhalo laglo.ami army💜,0.6369,Positive,0.0,Netural,-0.3422542214393616,Negative
May 1 and will try to stream every day!!!,0.0,Neutral,0.0,Netural,0.32473263144493103,Netural
🖤BLACKPINK💓,0.296,Positive,0.0,Netural,0.30857792496681213,Netural
Queen girls,0.0,Neutral,0.0,Netural,0.4228232204914093,Positive
Me encanto la ropa de lisa 😍😍😍😍😍😍😍😍😍😍,0.986,Positive,0.7,Positive,0.7784621715545654,Positive
Its may 2022 let's see how many blinks watching this MV,0.0,Neutral,0.5,Positive,-0.415153443813324,Negative
😴😴😴😴😴😴😴😴,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
It's May let's see how many people are streaming this masterpiece!,0.7325,Positive,0.625,Positive,0.6708540916442871,Positive
I love black pink Lisa,0.6369,Positive,0.07777777777777779,Netural,0.6555802226066589,Positive
💩💩💩💩💩👹👹👹👹👹🚮🚮🚮🚮♿♿♿,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
"Love it, selena love your voice ❤️",0.8555,Positive,0.5,Positive,0.8576990365982056,Positive
