Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
buenaso,0.4404,Positive,0.7,Positive,0.27568569779396057,Netural
paulo volvio,0.0,Neutral,0.0,Netural,-0.31876689195632935,Negative
los anuncios aburren,-0.3182,Negative,-1.0,Negative,-0.3831762671470642,Negative
Y yo un verdadero cantante,0.0,Neutral,0.2,Netural,0.8071848750114441,Positive
estaba escuchando a paulo y de repente con calma en brazileño,0.3182,Positive,0.30000000000000004,Netural,-0.23481568694114685,Negative
Que grande te amo paulo,0.6369,Positive,0.25,Netural,0.5631402134895325,Positive
Brrrrr,0.0,Neutral,0.0,Netural,0.2664813995361328,Netural
Alguien en Abril 2022?😎✌,0.7351,Positive,0.0,Netural,-0.6889594793319702,Negative
ergrdwtik,0.0,Neutral,0.0,Netural,-0.3304455280303955,Negative
No SOS el único,0.0,Neutral,0.0,Netural,-0.37701353430747986,Negative
Falto Plan A 😕,-0.5423,Negative,-0.2,Negative,-0.32010987401008606,Negative
Por2,0.0,Neutral,0.0,Netural,-0.24862006306648254,Negative
Solo te pido una chance,0.25,Positive,0.0,Netural,-0.3523479998111725,Negative
Tu plan A no el tercero,0.0,Neutral,0.0,Netural,-0.3399805426597595,Negative
agrega las nuevas canciones porfa :),0.6486,Positive,0.3181818181818182,Netural,0.4854435324668884,Positive
escuchen la nueva cancion de poulo londra se llama plan a  esta un chida,0.0,Neutral,0.13636363636363635,Netural,0.24031196534633636,Netural
Paulo Londra es muy bonito😬😬,0.0296,Neutral,0.2,Netural,0.3567184507846832,Positive
bigliaslos bobosjajajaja,0.0,Neutral,0.0,Netural,0.25781047344207764,Netural
"estaba tranqui escuchando a paulo y de repente ES QUE ME NIEGO A PERDERTE
edit: mama me hago famosa xd",-0.0685,Negative,0.26666666666666666,Netural,-0.39530301094055176,Negative
P.A.U.L.O L.O.N.D.R.A Exitos    Sin duda son los mejores temas💖👌🌈,0.97,Positive,1.0,Positive,0.7568296194076538,Positive
