Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"he song is called *TETEMA*, Swahili for *SHAKE*, originally composed and sang by a Tanzanian artist, Rayvanny  who featured his fellow Tanzanian artist, Diamond Platnumz which was released in 2019...the song was a hit and still is in Tanzania and the whole of East Africa. I guess Maluma loved it too deciding to do a remix with the owner of the original song, Rayvanny",0.7325,Positive,0.4125,Positive,0.2713756263256073,Netural
I ❤️ ❤️ ❤️ ❤️ ❤️ u,0.0,Neutral,0.0,Netural,0.428456574678421,Positive
I ❤️u,0.0,Neutral,0.0,Netural,0.3422314524650574,Positive
niiice,0.0,Neutral,0.0,Netural,0.2675168514251709,Netural
Maluma and raywany ❤️❤️❤️❤️❤️,0.0,Neutral,0.0,Netural,-0.42505133152008057,Negative
Every fan of Maluma must comment this video: https://www.youtube.com/watch?v=sEjt7eL6tZk,0.3182,Positive,0.0,Netural,0.44027993083000183,Positive
Tem até Pepe  e neném,0.0,Neutral,0.0,Netural,0.25030115246772766,Netural
This song by goudi Rachid,0.0,Neutral,0.0,Netural,0.3989429175853729,Positive
wooo mama tetema,0.0,Neutral,0.0,Netural,-0.2928065359592438,Negative
XD Mamula,0.6739,Positive,0.0,Netural,0.2994086742401123,Netural
Top,0.2023,Positive,0.5,Positive,0.8256890773773193,Positive
From 🇹🇿🇹🇿🇹🇿🇹🇿🇹🇿,0.0,Neutral,0.0,Netural,0.3240436315536499,Netural
Idk how I'm just now hearing omg! 🔥,-0.4753,Negative,0.0,Netural,0.4976826310157776,Positive
Maluma 👍,0.0,Neutral,0.0,Netural,-0.5309234261512756,Negative
"Que yo
🆗👍
Andrés
Hola",0.4466,Positive,0.0,Netural,0.3977929353713989,Positive
"Andrés 👍
Yi
Hola",0.0,Neutral,0.0,Netural,0.2646248936653137,Netural
Muy lindo Maluma saludos,0.7316,Positive,0.78,Positive,-0.529526948928833,Negative
Aa,0.0,Neutral,0.0,Netural,0.32111895084381104,Netural
A,0.0,Neutral,0.0,Netural,0.31870728731155396,Netural
Aaa,0.0,Neutral,0.0,Netural,0.2881118655204773,Netural
Primer comentario dame encorazona juanchoooo,0.6369,Positive,0.25,Netural,0.2562987804412842,Netural
Sigue Adelante Juan Luis !!...,0.0,Neutral,0.0,Netural,0.46168601512908936,Positive
"Andrés
🆗
Hola
Soy
El
Yo
Que yo
Ti
To
Yo
Si",0.6841,Positive,0.0,Netural,0.33032894134521484,Positive
Top,0.2023,Positive,0.5,Positive,0.8256890773773193,Positive
El meyor del mundo 🔥🔥🔥,-0.25,Negative,1.0,Positive,0.9179052114486694,Positive
Hit,0.0,Neutral,0.0,Netural,0.5321211814880371,Positive
Very high rythm 😂😂💃,0.7003,Positive,0.20800000000000002,Netural,0.34469348192214966,Positive
Oleee,0.0,Neutral,0.0,Netural,-0.35125645995140076,Negative
