Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
gunna,0.0,Neutral,0.0,Netural,0.24878613650798798,Netural
"https://youtu.be/Cn1iufiL9Tw
https://youtu.be/xWGNU1XFQwo

Since August 26, 2017 I have remained discreet because I wanted to resolve this issue without anyone knowing. This post is not for fame or anything like that, but definitely for the truth to come out and clarify things.
Billboard published the first news about the lawsuit that I, Newton Canga (My Partner) filed against Luis Fonsi, Erika Ender and Daddy Yankee for having used my DESPACITO composition without my authorization and having made changes to my lyrics to hide plagiarism. The corruption in this dirty business covers the truth with money, and due to little resources, I had to litigate this case without a lawyer. I had to let all the impostors involved in this case know where the story of this expression came from.
To the court I presented the registration of the song Despacito, which was registered in 2006 with the library of Congress. I presented my DIARY ... one of my notebooks from 2009 where I wrote about the people who wanted to arrange my song and who are connected with Luis Fonsi, Erika Ender and Zuleyka Rivera, the female lead of the music video. In addition, I submitted photographs and specific dates that show how these impostors had access to my work. Few of you will enter the judicial page (PACER), and read the motions full of arguments explaining what happened, but here I leave the case number (1: 19-cv-22813) for those who want to investigate further.
The non-Spanish speaking judge wrongly implied that I am litigating this case because of the title of both songs. I must emphasize that although the titles and other elements are not protected by the copyright law, it is a lot of coincidence that both works have this amount of similarities that you will see below.
1] The same title and theme [2] Root of the same genre (Rap - Reguetton / Pop - Reguetton) [3] Vulgar words are not used in both lyrics [4] The word Despacito is used almost in the same amount: ( Plaintiff = Nine, Defendants = Ten) [5] The total number of words used is roughly the same (Plaintiff = 457, Defendants = 453) [6] SIMILAR EXPRESSIONS GROUPED IN THE CHORUS AREA AND SIMLAR MODIFICATIONS IN THE LAST CHORUS OF BOTH SONGS [7] Too many similar expressions scattered in the stanzas [8] The length of both songs in MP3 format is approximately the same (Plaintiff = 3:50, Defendants = 3:48 [9] Expressions written by me (plaintiff), which They were not said by the defendants, but they were shown in the music video that already has 6.9 Billion views.
Consequently, if the court had analyzed in detail both compositions as a whole, it would have identified the existence of a real problem for the trial. The judge on August 11, 2020 closed the case arguing that ""the works are only similar in terms of unprotected elements and do not share any similarity in the level of protectable expression."" She never argued about the 17 USC 101 code which clearly explains how my chorus area is protected by copyright law by me pointing out the same choice of words grouped in the defendant's chorus.
The words used in my chorus and the defendant's chorus are naturally not supposed to flow into a ""specific area"", in this case the heart of both songs (the chorus). Title 17 of the United States Code, section 101, explains that ""copyright may protect an author's original contribution to a compilation of unprotected elements,"" specifically, the original way in which the author has selected, coordinated and ordered the elements of his work. ""
In other words; ""The defendants are free to use the same elements in the public domain, as long as they are not selected and ordered in the same way."" (Now I ask !!); After I used my love letters and elements from my other 2 songs to complete the full expression of my song Despacito, how is it possible that 3 composers (Defendants) have concluded with elements similar to mine in the chorus area? When a LOT OF ELEMENTS are seen in the same area of 2 compositions, and those words, however brief, create the same situation, this cannot be considered a coincidence, especially when there is evidence that clearly shows with dates and photos how the accused had access to my composition.
I used approximately 457 words and the defendant 453. How is it possible that only in the CHORUS, which is the heart of both compositions, Luis Fonsi, Erika Ender and Daddy Yankee have placed the same words that I select to give life to my choir? ? The 17 USC 101 code protects my expression regardless of how common the words I group and select to build my chorus area. Luis Fonsi himself admitted that Despacito is a song that he felt he had heard before. Look on youtube >>> How I wrote that Song: Luis Fonsi ""Despacito"" https://youtu.be/E6W-7trFIsI
It is common practice that arranger pirates never copy a song word for word. The 12 elements that are in the zone of both chorus and that are forming the same scene, should have been enough to demonstrate plagiarism in this case. There was no song that the court or the defendants could track down, and that the chorus area will use the amount of elements that I and the defendants are using in the chorus. Case closed can be opened, but if the court had been more diligent and considered my proof of access and then scrutinized the chorus of both compositions, the case would not have been closed.",0.9882,Positive,-0.017806799336650088,Negative,-0.5368401408195496,Negative
Despaseto     and man in his own life of the year 5th and  wawwwwwwww     oh twwwwwoooooo,0.0,Neutral,0.6,Positive,0.5794538259506226,Positive
This ain’t Justin,0.0,Neutral,0.0,Netural,-0.3469322919845581,Negative
vic mignogna,0.0,Neutral,0.0,Netural,0.24825993180274963,Netural
i like this my dad puts thats song,0.3612,Positive,0.0,Netural,0.5235778093338013,Positive
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
Fantástica preciosa. Bravo,0.8074,Positive,0.45,Positive,0.9143248796463013,Positive
It’s so frustrating I watch Despacito and JUSTIN BIEBER IS NOT IN IT!,-0.54,Negative,-0.5,Negative,-0.6471869945526123,Negative
Don’t forget that Lil mosey woke up like the man,0.1531,Positive,0.0,Netural,0.2693893611431122,Netural
I JUST WANNA COVER MY EYES AND UNSEE WHAT I JUST SAW,0.0,Neutral,0.0,Netural,0.394182413816452,Positive
Fake channel of justin,-0.4767,Negative,-0.5,Negative,-0.6806991100311279,Negative
"Ay soy mexicana
I still love this",0.6369,Positive,0.5,Positive,0.8324043154716492,Positive
Are these people actually subscribed to this game Justin bieber,0.0,Neutral,-0.2,Negative,-0.47073855996131897,Negative
I like thi song  and beat,0.3612,Positive,0.0,Netural,0.4688268005847931,Positive
fake channel,-0.4767,Negative,-0.5,Negative,-0.763354480266571,Negative
This doesn't hit like the original.,0.049,Neutral,0.375,Positive,-0.4149881899356842,Negative
My life line is justin beiber 😭😭😭😭😭❤❤❤,-0.2263,Negative,0.0,Netural,0.5765876770019531,Positive
Kyaganna hai1like to banti hai!,0.4199,Positive,0.0,Netural,-0.6654180884361267,Negative
Who came here after watching Alternatino 😅🤙,0.6908,Positive,0.0,Netural,0.3707107603549957,Positive
Eu prefiro o começo do Luís fonsi,0.0,Neutral,0.0,Netural,0.3053048849105835,Netural
Oky,0.2263,Positive,0.5,Positive,0.7285057902336121,Positive
someone in quarantine 2020?,0.0,Neutral,0.0,Netural,-0.4314679801464081,Negative
Justin el mejor pero lejos.,0.3818,Positive,0.55,Positive,0.3522025942802429,Positive
😍😍😍😍😍😍😍😍,0.9719,Positive,0.0,Netural,0.30857792496681213,Netural
"Pfft... Screw justin Bieber, I wish Daddy Yankee would friggin Quiero Quiero & la bomba MEEE! 
(and ok, I took 5 years of Spanish in high school then in college & only got an A- ONE semester, the rest were straight HIGH As... But I only understand about 12% of the words in this damn song. Is that MY fault, or my ""teachers""?!)",-0.8032,Negative,0.1457142857142857,Netural,-0.5797876119613647,Negative
"Sucesso meu amigo tmj abraços 

#mexicoforro10colado",0.8779,Positive,0.3,Netural,0.6338740587234497,Positive
despacito aku betek sama kamu,-0.25,Negative,0.0,Netural,-0.24744750559329987,Negative
Who here in corona,0.0,Neutral,0.0,Netural,0.4085903465747833,Positive
is this real lol,0.4215,Positive,1.0,Positive,0.5670759677886963,Positive
"じゃあー
すてんッっ(つ✧ω✧)つ",0.2732,Positive,0.0,Netural,0.27785202860832214,Netural
Pura cabreada,-0.6369,Negative,0.21428571428571427,Netural,0.31633612513542175,Netural
Corona virus time?,0.0,Neutral,0.0,Netural,-0.33834049105644226,Negative
Yg orang indo like,0.3612,Positive,0.0,Netural,0.3090301752090454,Netural
"It's the top song , you know . You will rise 💪",0.2023,Positive,0.5,Positive,0.8391455411911011,Positive
Robin Torres our friendship song is Despatcito it's remind me thinking about my best Spanish friendship with my special dreams with Robin torres!,0.9402,Positive,0.48214285714285715,Positive,0.5619615316390991,Positive
Hope you have a good time in the whole world and where do you live 🤔✨,0.7964,Positive,0.3454545454545454,Positive,0.5708180665969849,Positive
"Porque la palabra de Dios es viva y eficaz y más cortante que una espada de dos filos y penetra hasta partir el alma y el espíritu las coyunturas y
 Los tuétanos y discierne los pensamientos y las intenciones del corazón y no hay cosa creada que sea manifiesta en su presencia antes bien todas las cosas están desnudas y abiertas ante los ojos de aquel y más cortante con espada de dos filos y penetra hasta partir el alma y el espíritu las coyunturas y los tuétanos y discierne los pensamientos y las intenciones del corazón y no hay cosa creada que no sea manifiesta en su presencia antes bien todas las cosas están desnudas y abiertas ante los ojos de aquel A quién tenemos que dar cuenta hebreos 4: 12. Amén",0.9444,Positive,0.11666666666666665,Netural,0.5799939632415771,Positive
ok but justin beiber was so famous when i was born how does he not even have 1 M subs,0.1531,Positive,0.5,Positive,0.5966726541519165,Positive
"Preciosa canción,la pena que cante este tío...... De la sencillez de Luis y Daddy ,al egocentrismo de Justin,no pegais!!!",0.3971,Positive,1.0,Positive,0.8849963545799255,Positive
I hate justin beaber,-0.5719,Negative,-0.8,Negative,-0.6180538535118103,Negative
Yo bro,0.0,Neutral,0.0,Netural,0.22390270233154297,Netural
Bu süper,0.5994,Positive,0.3333333333333333,Positive,0.7484303712844849,Positive
كلزق,0.3612,Positive,0.0,Netural,0.24378013610839844,Netural
Robin torres our friendship song is Despatcito it's remind me thinking about my best friendship with my special friend all my whole life with Robin Torres!,0.945,Positive,0.5357142857142857,Positive,0.6630979180335999,Positive
People don't understand the lyrics  but they like this music.,0.5023,Positive,0.0,Netural,0.4953781068325043,Positive
I like despacito,0.3612,Positive,0.0,Netural,0.4177590310573578,Positive
🎖️👍👍👍👍👍👍👍👍👍😀,0.3612,Positive,0.0,Netural,0.30857792496681213,Netural
Very nice song,0.4754,Positive,0.78,Positive,0.5901896953582764,Positive
"Dog coronavirus 😂🐶
https://youtu.be/RUR1s7co8nQ",0.4404,Positive,0.0,Netural,0.22801586985588074,Netural
i love jasten babir,0.6369,Positive,0.5,Positive,0.7532978653907776,Positive
Come on like we like this kind of shxxt,0.6124,Positive,0.6,Positive,0.4992939531803131,Positive
Shit,-0.5574,Negative,-0.2,Negative,-0.7219341993331909,Negative
Robin Torres our special song is Despatcito it's remind me thinking about my best friendship with my special lady all my birthday life Robin!,0.9151,Positive,0.6011904761904762,Positive,0.6941254734992981,Positive
Los amo mucho😻😎,0.888,Positive,0.5,Positive,0.5149483680725098,Positive
Love itt,0.6369,Positive,0.5,Positive,0.7020367980003357,Positive
.,0.0,Neutral,0.0,Netural,0.2539338767528534,Netural
I would listen to Fonsi and Bieber sing the phone book.,0.0,Neutral,0.0,Netural,0.24829839169979095,Netural
Soft,0.0,Neutral,0.1,Netural,0.27426812052726746,Netural
melhor música ❤Justin,0.6369,Positive,1.0,Positive,0.8160144090652466,Positive
muito gato,0.0,Neutral,0.325,Netural,-0.323825478553772,Negative
"This one sounds awesome than original one
Live long justin☺",0.8555,Positive,0.36534090909090905,Positive,0.7801215052604675,Positive
One of your best song ever. love you Justin Bieber.,0.8555,Positive,0.75,Positive,0.9591966271400452,Positive
#JustinBeiber ;#HappyBirthdayJustinBeiber ; #NetNeutrality ; #BroadcastYourself ; #USMCA,0.0,Neutral,0.0,Netural,-0.31498193740844727,Negative
its 2020 despacito 9 is better,0.4404,Positive,0.5,Positive,0.5054476857185364,Positive
Robin torres our friendship song is Despacito it's remind me thinking about my best Spanish lady also I always thinking about my best Spanish woman my whole life!,0.9117,Positive,0.45,Positive,0.6406930088996887,Positive
Daddy Yanki is best,0.6369,Positive,1.0,Positive,0.5992760062217712,Positive
justin sing how lady....,0.0,Neutral,0.0,Netural,0.4376995265483856,Positive
Not bad for a white boy,0.431,Positive,0.17499999999999996,Netural,0.4487776756286621,Positive
"muy buena ciencia, medicamento contra el virus corona.  https://www.facebook.com/2356326164608362/posts/2575228129384830/",0.4927,Positive,0.9099999999999999,Positive,0.6079639792442322,Positive
2020 alguien?,0.0,Neutral,0.0,Netural,-0.45412519574165344,Negative
"[Justin Bieber]
Come and move that in my direction
So thankful for that
It's such a blessin', yeah
Turn every situation into Heaven, yeah
…
Oh, you are
My sunrise on the darkest day
Got me feelin' some kind of way
Make me wanna savor every moment slowly, slowly
…
You fit me tailor-made, love how you put it on
you've got the only key, know how to turn it on
The way you nibble on my ear, the only words I wanna hear
Baby, take it slow so we can last long
…
[Luis Fonsi]
Oh, tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Solo con pensarlo se acelera el pulso
…
[Daddy Yankee]
Oh, yeah
Ya, ya me estas gustando mas de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro
…
[Justin Bieber]
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
…
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
…
[Daddy Yankee]
Sube, sube, sube
Sube, sube
…
[Luis Fonsi (Daddy Yankee)]
Quiero ver bailar tu pelo, quiero ser tu ritmo
Que le enseñes a mi boca
Tus lugares favoritos (favoritos, favoritos, baby)
…
Déjame sobrepasar tus zonas de peligro
Hasta provocar tus gritos
Y que olvides tu apellido
…
[Daddy Yankee]
Si te pido un beso ven dámelo
Yo sé que estás pensandolo
Llevo tiempo intentandolo
Mami, esto es dando y dandolo
…
Sabes que tu corazón conmigo te hace bam bam
Sabes que esa beba está buscando de mi bam bam
…
Ven, prueba de mi boca para ver como te sabe
Quiero, quiero, quiero ver cuanto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empezamos lento, después salvaje
…
[Daddy Yankee & Justin Bieber]
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
…
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Y es que esa belleza es un rompecabezas
Pero pa montarlo aquí tengo la pieza, oye
…
[Justin Bieber]
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oido
Para que te acuerdes si no estás conmigo
…
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
…
[Daddy Yankee]
Sube, sube, sube
Sube, sube
…
[Luis Fonsi (Daddy Yankee)]
Quiero ver bailar tu pelo, quiero ser tu ritmo
Que le enseñes a mi boca
Tus lugares favoritos (favorito, favorito baby)
…
Déjame sobrepasar tus zonas de peligro
Hasta provocar tus gritos
Y que olvides tu apellido
…
[Luis Fonsi]
Despacito
This is how we do it down in Puerto Rico
I just wanna hear you screaming: ¡Ay, Bendito!
I can move forever cuando esté contigo
¡Bailalo!
…
[Daddy Yankee, Luis Fonsi y Justin Bieber]
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Que le enseñes a mi boca
Tus lugares favoritos (favorito, favorito, baby)
…
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Hasta provocar tus gritos (Fonsi)
Y que olvides tu apellido (Daddy Y)
Despacito",0.9894,Positive,0.0373989898989899,Netural,0.41920068860054016,Positive
I love him a lot,0.6369,Positive,0.5,Positive,0.6998807191848755,Positive
😄😄😄😄😍😍😍😍,0.9849,Positive,0.0,Netural,0.30857792496681213,Netural
"https://youtu.be/3fSlGG_qnzs
Watch this",0.0,Neutral,0.0,Netural,0.47303566336631775,Positive
Love this song,0.6369,Positive,0.5,Positive,0.8493074774742126,Positive
Samajjh nahi aata par sunne me achcha lagta hai,0.5927,Positive,0.7,Positive,-0.32006052136421204,Negative
https://youtu.be/ybqoApD7Rss support him guy's Subscribe if you like His content,0.6369,Positive,0.0,Netural,0.2538728415966034,Netural
Justin bieber,0.0,Neutral,0.0,Netural,0.3661932945251465,Positive
to me 2017 was the best year,0.6369,Positive,1.0,Positive,0.7407100796699524,Positive
"When ur no longer relevant 
Sing the most popular song",0.2247,Positive,0.5,Positive,-0.35942018032073975,Negative
"Hey the fact is by mistake if u listen any song of Justin bieber u will hear more because he the most sweetest voice. Even I too addicted to him like that. I love very much. I love u Justin
If can visit my home to surprise me.❤❤❤❤❤❤


Love from India🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳",0.9919,Positive,0.35000000000000003,Positive,0.7584285140037537,Positive
"I veally Like and Love Justin bieber somucs 
😱Oh my god😱  
😊So Amazing😊
Who Like Justin bieber ??
Tell me 👇👇",0.9618,Positive,0.35,Positive,0.6235085725784302,Positive
me during isolation watch this because i got nothing else to do.,-0.4019,Negative,0.0,Netural,-0.2722431421279907,Negative
Despacito? or more like Despacito spider,0.4201,Positive,0.5,Positive,-0.3038998544216156,Negative
I hope you got good Justin Bieber with Haley,0.7003,Positive,0.7,Positive,0.3361920118331909,Positive
"I like the rhythm, catchy tune, but I feel uncomfortable with the very suggestive blatantly sexual dance movements.  I feel the women are only sexual objecrs, degraded, not deserving respect from the males.   Sad to see this.",-0.9304,Negative,-0.01428571428571429,Negative,-0.5080060958862305,Negative
*Alguien escuchandola en cuarentena??*,0.0,Neutral,0.0,Netural,-0.43706992268562317,Negative
"Despacito is like Corona virus.
It was abnormal wind",0.3612,Positive,0.0,Netural,-0.39535441994667053,Negative
Soy la unica española??,0.0,Neutral,0.0,Netural,-0.48321178555488586,Negative
Te amoooooo mucho  soy tu fan numero 1 😍😍😍  like por favor  .... .principe.... amigo pasame tu numero de telefono y temgo 10 años ........  tus videos son lo mejor  te amo,0.9855,Positive,0.45999999999999996,Positive,0.8665416836738586,Positive
Mooi,0.4215,Positive,0.6,Positive,0.5042991638183594,Positive
برافو,0.0,Neutral,0.0,Netural,0.2737239897251129,Netural
Justin Bieber❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😘❤️,0.4215,Positive,0.0,Netural,0.33445626497268677,Positive
ei justin copio la cancion,0.0,Neutral,0.0,Netural,0.2624422311782837,Netural
Vai no meu canal pvf,0.0,Neutral,0.0,Netural,-0.5169140100479126,Negative
If you are reading this then you can read,0.0,Neutral,0.0,Netural,0.2898293435573578,Netural
本人達(オリジナルの方)の色気がすごいw,0.7269,Positive,0.48750000000000004,Positive,0.354775995016098,Positive
2020😂,0.4404,Positive,0.0,Netural,0.30857792496681213,Netural
❤,0.6369,Positive,0.0,Netural,0.30857792496681213,Netural
VietNam nghe hay vc top1 the gioi roi,0.5777,Positive,0.7,Positive,0.609878659248352,Positive
Veri good justin,0.4404,Positive,0.7,Positive,0.4290098547935486,Positive
Say despacito .... corona .. quarantine,0.0,Neutral,0.0,Netural,-0.42132318019866943,Negative
this is Spanish song,0.0,Neutral,0.0,Netural,-0.2522580623626709,Negative
It's bad but the original is bests !!!  PS I don't like parody,-0.4293,Negative,0.016210937500000078,Netural,0.4512949287891388,Positive
3:46,0.0,Neutral,0.0,Netural,0.34241190552711487,Positive
"Veanlo, compartan y apoyenme please.. https://youtu.be/ZkzAOdxgZ2o",0.7351,Positive,0.0,Netural,0.4401873052120209,Positive
WTF! güero. no la cages!,-0.5052,Negative,-0.5625,Negative,-0.7050988674163818,Negative
Bro i'm not undestand this songs any things but i l❤ this song (who is like me like my com..),0.9538,Positive,0.0,Netural,0.3508340120315552,Positive
1:23,0.0,Neutral,0.0,Netural,-0.255286306142807,Negative
Cool,0.3182,Positive,0.35,Positive,0.4904145896434784,Positive
This is a very cool music. I love to subscribe to my channel. Be a friend. Please,0.9061,Positive,0.4775,Positive,0.8180111646652222,Positive
international song bro from stratford ontario canada,0.0,Neutral,0.0,Netural,0.25747206807136536,Netural
Que ascooo,-0.4767,Negative,0.0,Netural,0.2438662201166153,Netural
Shoutout to my 2019 Caribbean cruise on Carnival Sunshine!!,0.5837,Positive,0.0,Netural,0.5565832257270813,Positive
Daddy Yankee)))♥️🔥,0.4215,Positive,0.0,Netural,0.562488853931427,Positive
All he's seems to do is just make all the popular songs trash,0.4215,Positive,0.6,Positive,-0.5277674198150635,Negative
Fuck JB,-0.5423,Negative,-0.4,Negative,-0.7692574858665466,Negative
Som,0.0,Neutral,0.0,Netural,0.35117337107658386,Positive
Who seen chotu ke golgappe 900 million views,0.0,Neutral,0.0,Netural,-0.33922603726387024,Negative
coronavirus will never overwhelm us,0.1326,Positive,0.0,Netural,0.5186439156532288,Positive
Alguém em 2020 ? Curte aí,0.3612,Positive,0.0,Netural,-0.3276112675666809,Negative
Copyright,0.0,Neutral,0.0,Netural,-0.4664129614830017,Negative
