Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I am froom Brasil... i Love you michael,0.6369,Positive,0.5,Positive,0.8160073161125183,Positive
It's a shame we lost such a legend ;(,-0.6597,Negative,0.0,Neutral,-0.384020060300827,Negative
"Yor are the Best of all time love for lovr time........ 🤩🤗

🤩",0.9468,Positive,0.6666666666666666,Positive,0.885746955871582,Positive
Greates entertainer in the world even into death!!!!!!!❤️💕💗💗,0.9646,Positive,1.0,Positive,0.9213781356811525,Positive
I love my Michael,0.6369,Positive,0.5,Positive,0.7854153513908386,Positive
I am the one he song my life stories Bonnie Ruth Robison God I love Michael forever into EternityI am that girl!,0.7644,Positive,0.625,Positive,0.838896632194519,Positive
Me and my step brothers are really big fans and we know his cousin breathes the same time as Michael Jackson so we still know that he lives inside all of our and I just wish you could come back to life that's impossible and I wish it was possible that's true me and my step brother 🥺🥺🥺🥺🥺🥺🥺🥺😭,0.6249,Positive,-0.0527777777777777,Negative,0.5152741074562073,Positive
MUST  BE JEW TO HAVE MICHEAL AND CHANNEL BE LIVE,0.0,Neutral,0.1363636363636363,Neutral,-0.3531521558761596,Negative
i wanna say thanks,0.4404,Positive,0.2,Neutral,0.3978111147880554,Positive
🔊🎶🎵 Michael Jackson ♥️😭 in my ♥️ 😭 you have my ♥️ 😭 Michael Jackson ❣️❣️🤩,0.9287,Positive,0.0,Neutral,0.6762934923171997,Positive
Rip Michael Jackson ♥️😭 i love you Michael Jackson,0.743,Positive,0.5,Positive,0.8020908832550049,Positive
Click Bait - nothing after song 6,0.0,Neutral,0.0,Neutral,-0.5536487698554993,Negative
Hello,0.0,Neutral,0.0,Neutral,0.561444878578186,Positive
Bro what are these lies? It was MJ at first but then it changed,-0.2263,Negative,0.25,Neutral,-0.3627381920814514,Negative
Bro really 👱🏿‍♂️👱🏾‍♂️👱🏽‍♂️👱🏼‍♂️👱🏻‍♂️,0.0,Neutral,0.2,Neutral,0.375293880701065,Positive
Se fose eu asistia todo dia o Michael,0.0,Neutral,0.0,Neutral,0.2589611411094665,Neutral
Uhh no one gonna talk about how it stops playing Michael Jackson after black or white?,-0.25,Negative,-0.0833333333333333,Negative,-0.5862824320793152,Negative
He was a legend and will forever be a Legend,0.0,Neutral,0.0,Neutral,0.8167963624000549,Positive
"Omg there will never be another Michael Jackson, I will always enjoy his music! R I P Michael",0.5411,Positive,0.5,Positive,0.7070578336715698,Positive
👍😢😭😭💐💐🙏🥺,-0.8519,Negative,0.0,Neutral,0.3085779249668121,Neutral
"THIS PLAYLIST SUCKS! I CAME HERE TO HEAR MJ, AND YOU GIVE ME HALFWAY OF SHITINESS",-0.4199,Negative,-0.375,Negative,-0.8571336269378662,Negative
MJ songs until #6 then the rest are craps! Liar!!!,-0.6671,Negative,0.0,Neutral,-0.6327159404754639,Negative
O rei do pop vai voltar,0.0,Neutral,0.0,Neutral,0.236197367310524,Neutral
"Morty, Morty we found the dimension where Michael Jackson is still alive!",0.4389,Positive,0.125,Neutral,0.5637774467468262,Positive
Is no smooth criminal where,0.1471,Positive,-0.3,Negative,-0.3863416910171509,Negative
👼👼👼👼😞😔😭😭😭😭😭,-0.9538,Negative,0.0,Neutral,0.3085779249668121,Neutral
R.i.p michael jackson,0.0,Neutral,0.0,Neutral,0.307680070400238,Neutral
MJ is always in our heart and on heaven 💗,0.9246,Positive,0.0,Neutral,0.7559683918952942,Positive
Still the best song than today everyday stupid song....,0.2023,Positive,3.7007434154171876e-17,Neutral,0.5246448516845703,Positive
No one can ever be him. He was a legend and was one of the greatest people to have ever lived.,0.4588,Positive,1.0,Positive,0.9403652548789978,Positive
"What the fu*k I just clicked! The sh*t is not Michael Jackson performing songs!!! Who the hell thought that is O.K. to call it ""The Best of M.J.""?
Dislike! 🤬🤬🤬",-0.6331,Negative,1.0,Positive,-0.6215487718582153,Negative
"Not only the King of Pop but also the King of the World!!!!!!
Micheal the immortal!!!!@@",0.5673,Positive,0.0,Neutral,0.8406015038490295,Positive
This is my play list for everything,0.34,Positive,0.0,Neutral,0.8463529944419861,Positive
Michael Jackson will always be in our hearts  ❤️  🌹🕴🏻💋,0.7964,Positive,0.0,Neutral,0.7348524928092957,Positive
"michael jackson isnt gone :) he is in KNY, but then he died but i think hell come back :))",-0.933,Negative,0.3333333333333333,Positive,-0.2848192155361175,Negative
36:55,0.0,Neutral,0.0,Neutral,0.2195833176374435,Neutral
Who listened to all the songs 2wice,0.0,Neutral,0.0,Neutral,-0.2963939905166626,Negative
half way through it started playing music from another artist idk if that was purposely or not?🤷‍♀,0.1027,Positive,-0.1666666666666666,Negative,-0.539456844329834,Negative
真好听，,0.4927,Positive,0.7,Positive,0.6108288168907166,Positive
The legend will never be forgotten 😔👊,0.1139,Positive,0.0,Neutral,0.4817390739917755,Positive
"so this is supposed to be a MJ tribute, but over half of the songs aint by MJ. what the fuck. best of , surely.",0.7096,Positive,0.2333333333333333,Neutral,-0.390695184469223,Negative
What is yall favorite song?,0.4588,Positive,0.5,Positive,0.6678577661514282,Positive
