Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
this video is great.,0.6249,Positive,0.8,Positive,0.7692316174507141,Positive
"“We can leave the Christmas lights up till January” she says…. Try March, Lady.",-0.0516,Negative,0.0,Neutral,-0.3155384063720703,Negative
No dislikes yet!!,0.4295,Positive,0.0,Neutral,0.516136646270752,Positive
Alguien que hable español please I'm tired of being a gringa I need friends who speak Spanish,0.3612,Positive,-0.2,Negative,-0.4643656611442566,Negative
Wish ko lang~~~~,0.4019,Positive,0.0,Neutral,0.2975263893604278,Neutral
I’ve never been so poorly but I love you,0.7783,Positive,0.0499999999999999,Neutral,0.7667839527130127,Positive
The way she switches her sounds or registers in this song are really commendable! It's so difficult to sing this one like goodness her range is not a joke for it is too intricate!,0.3725,Positive,-0.1875,Negative,0.4621492624282837,Positive
Horrible guy,-0.5423,Negative,-1.0,Negative,-0.9277404546737672,Negative
Beautiful ❤️,0.5994,Positive,0.85,Positive,0.7691917419433594,Positive
Wish I could go back 2 years ago. Much better time.,0.6808,Positive,0.25,Neutral,-0.3043122291564941,Negative
AMOO neta amooo esta Cancion<33,0.8788,Positive,0.5,Positive,-0.2668584287166595,Negative
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Simply beautiful!🥰,0.9098,Positive,0.0,Neutral,0.9139494299888612,Positive
💘,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
you're my lover,0.5859,Positive,0.0,Neutral,0.5588937401771545,Positive
Song of my life 🤍,0.0,Neutral,0.0,Neutral,0.6634504795074463,Positive
"*When you watch this video over and over again on 0.5 speed for 2 hours and 47 minutes straight, just to catch every single Easter egg and reference in it:*",0.2263,Positive,0.0642857142857143,Neutral,-0.6200167536735535,Negative
"i love this song with my whole being. but sometimes i wish i never heard it. it reminds me of when i knew someone who i thought was my soulmate. on days where i missed him, i would play this song while tears welled up in my eyes. and i haven’t listened to it the same ever since we broke each other’s hearts. even though it makes me sad, it’s also beautiful because the song has a deeper significance now. ah, ily taylor :,)💕💕",0.9907,Positive,0.1541666666666666,Neutral,0.4057815968990326,Positive
"FUN FACT

most of the people who listens to this song has never been in a relationship.

Including myself, unfortunately.",0.3885,Positive,0.1,Neutral,0.4041540920734405,Positive
"I love this song, very nice...",0.807,Positive,0.64,Positive,0.8029057383537292,Positive
This give me imagination of emisue seeing them admining this two gorgeous sue and emily😭,0.2263,Positive,0.7,Positive,0.6940979361534119,Positive
