Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
9:43 el de atras😲😲😯☹😲☹😲☹,0.4939,Positive,0.0,Neutral,-0.3205307126045227,Negative
9:47 el chico de atras: ta bueno el chismesito 🤣,0.6901,Positive,0.35,Positive,-0.2614372670650482,Negative
y disen que las mujeres son las infieles jaja,0.4588,Positive,-0.1999999999999999,Negative,-0.3689672648906708,Negative
Ok pero no se puede evitar lo Hermosa que es *Lizbeth*,-0.7584,Negative,0.675,Positive,0.6098147630691528,Positive
Ahora le llaman la Arruina matrimonios,0.0,Neutral,0.0,Neutral,-0.4530381262302398,Negative
"Todo esto no es más que una obra de teatro, más falso que un billete de 5 pesos.",0.3947,Positive,0.1999999999999999,Positive,-0.6337895393371582,Negative
Me da risa el morro jajajajs es bien sínico jajajaja 🤣🤣🤣,0.9217,Positive,0.2249999999999999,Positive,0.3325562179088592,Positive
24:18 atrás de Lizbeth jajajajajaja no mame like quien se dio cuenta xd,0.1255,Positive,-0.4,Negative,-0.3996832072734833,Negative
Jjjj,0.0,Neutral,0.0,Neutral,0.2727770805358886,Neutral
El peibe al final del video que pro,0.0,Neutral,0.0,Neutral,-0.3551017045974731,Negative
"😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
Los fieles aca solitos😱😭😱😭😱😱😱😭😱😭😱😭😱😭😱😭😱😭😱😭😱😭😱😭😱😭😱😱😱😱😭😭😭😭😭😭😭😭😳😱😳😱😱😱😱😱😱😱😱😱",-0.9999,Negative,0.0,Neutral,0.5220143795013428,Positive
Hahhhahah sigan manteniendo a endejos,-0.5859,Negative,0.0,Neutral,0.2687991559505462,Neutral
"Donde.andas morra?? Como que las chicas allá están bien a la defenciba, no se dejan  de nadie ,ni del novio 🤣🤣",0.8405,Positive,0.0,Neutral,-0.422223150730133,Negative
Bisexual tenía que ser,0.0,Neutral,0.0,Neutral,-0.4335168302059173,Negative
Re linda la primera piba y el otro antiojudo le gustan los hombres jaja que desgracia 😂🤦‍♂️,0.8176,Positive,0.20625,Positive,0.3416667282581329,Positive
Yo en todo el video 🤣🤣🤣🤣,0.9153,Positive,0.2,Positive,0.4642027616500854,Positive
Jaja,0.0,Neutral,0.0,Neutral,0.2810060977935791,Neutral
Oigan por que siempre los chico son infieles visexsuales y eso,0.0,Neutral,-0.6,Negative,-0.4230970442295074,Negative
