Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
D girls boys roycewalker,0.0,Neutral,0.0,Neutral,0.2610097229480743,Neutral
The two daisies and the rainbow looks like a sad face 😇,0.34,Positive,-0.5,Negative,-0.5334287881851196,Negative
This brought memories I had no idea I had 😅🤣 loved this video! My first medical ASMR,0.8268,Positive,0.375,Positive,0.8457106947898865,Positive
Gibi cuando haces otro video en español :( muy buen asmr eres la.mejor 💖🤙,0.9336,Positive,0.29,Neutral,0.4823585152626037,Positive
who else is clicking on her youtube chanell after the honey ad??,0.0,Neutral,0.0,Neutral,-0.4780261218547821,Negative
Bring back the Luna character please ♥️,0.7579,Positive,0.0,Neutral,-0.2339643388986587,Negative
Hey Gibi! I follow an ASMR series called ASMR for short attention spans (5 seconds) and I was wondering if you could do something like that! <333,0.4738,Positive,0.0,Neutral,0.3218169212341308,Neutral
No more  Whispering I guess 😏,-0.296,Negative,-0.25,Negative,0.2901002466678619,Neutral
Why does gibi ASMR trynna wake me up and do 50 push ups like.. idk man,0.2732,Positive,0.0,Neutral,-0.4438522160053253,Negative
"0:43
POV: you’re in an orphanage",0.0,Neutral,0.0,Neutral,-0.542606770992279,Negative
Better one,0.4404,Positive,0.5,Positive,0.3511442244052887,Positive
11:40 can you d9 more of the headphone sounds including the beeps,0.0,Neutral,0.5,Positive,-0.3789620399475097,Negative
u brighten my day,0.4404,Positive,0.0,Neutral,0.5943838357925415,Positive
Please do a mom rp,0.3182,Positive,0.0,Neutral,-0.2627846598625183,Negative
Thanks gibi 🤗,0.802,Positive,0.2,Neutral,0.4727866351604461,Positive
You look like a pokemon trainer,0.3612,Positive,0.0,Neutral,0.3272292912006378,Neutral
relaxing,0.4939,Positive,0.0,Neutral,0.3885505497455597,Positive
Day 1 of asking gibi to do a starwars roleplay,0.0,Neutral,0.0,Neutral,0.2627918720245361,Neutral
You're the most beautiful doctor! I'm deeply sick Doctor. But i  Kindly request you to send dudes of Bob and vegane.,0.7088,Positive,0.3464285714285714,Positive,0.8793637752532959,Positive
Imagine the pediatrician used to do karate and they hit you in the chest....,0.0,Neutral,0.0,Neutral,-0.3692156374454498,Negative
Want to know how i discovered your channel? A honey ad. Yes a honey ad.,0.4588,Positive,0.0,Neutral,-0.3039749562740326,Negative
Luna bloom on top,0.2023,Positive,0.5,Positive,0.7266802787780762,Positive
"i loved this, also something hilarious, well not really, but remember the bit where she checks your back? i watched this the day before i go diagnosed with scoliosis, the chronic illness where your back grows in a curve. lol.",0.6124,Positive,0.3166666666666666,Neutral,0.4503843188285827,Positive
The caption at 22:25 xD,0.5859,Positive,0.0,Neutral,-0.2935657501220703,Negative
“Are you feeling a tummy ache or headache” yes yes yes yes yes,0.886,Positive,0.0,Neutral,-0.4370189309120178,Negative
"No yeah, we definitely got banned from Red River too. A few too many people got clotheslined 😅",0.0803,Positive,0.075,Neutral,-0.6866205334663391,Negative
paediatrician appointment but everything is wrong as a very important prequel. We need to know why everything is so wrong.,-0.8401,Negative,-0.16,Negative,0.4001236855983734,Positive
"Ahhh yes my ear is clean I clean it once a month



Edit: Wow this is the most liked comment",0.9324,Positive,0.3866666666666667,Positive,0.5129889249801636,Positive
"So glad this character came back, she was so sweet in the 'everything is wrong with you video.'",0.6198,Positive,0.0875,Neutral,0.5999256372451782,Positive
"My god your voice is like a feather blanket, i feel my heart rate change as i listen",0.8316,Positive,0.0,Neutral,0.4036487340927124,Positive
Since it almost June can we get a mid year worry removal video 🫶🏽🫶🏽,-0.4404,Negative,0.0,Neutral,0.2846404016017914,Neutral
Cool video! I have an idea! you can make a asmr video on covid test treatment ! haha,0.7332,Positive,0.441796875,Positive,0.6340340375900269,Positive
Yes Gibi ❣️ I love your hair clips they are beautiful 😍 awesome video 🤗,0.9774,Positive,0.7833333333333333,Positive,0.8498891592025757,Positive
You always remember me of money heist character tokyo....You are exactly the same 🤗😍,0.7003,Positive,0.125,Neutral,-0.3863042294979095,Negative
Gibi is Sooo cutie,0.6124,Positive,0.0,Neutral,0.3112683296203613,Neutral
"Gibi: How old are you? 
Me: Im 22 doctor",0.0,Neutral,0.1,Neutral,-0.2737663686275482,Negative
"Well. Feeling like a kid, but my appointments with doctor weren't that good jajajaja",-0.1429,Negative,0.7,Positive,0.5088099241256714,Positive
THE HEARING TEST IS SO GOOD BYE,0.5777,Positive,0.7,Positive,0.542133092880249,Positive
"Gigi: “knock knock knock, can I come in?” 
Me: “no.”
Gigi: (barges in anyways)",0.0,Neutral,-0.75,Negative,-0.5385894179344177,Negative
Everything was cute and all until the booster part. I just got vaccinated four times 2 days ago and I do not plan on watching someone going in my skin with a needle again. 😭😭,-0.4939,Negative,0.5,Positive,-0.350627988576889,Negative
This was such a cute and cool video. I have been going to the doctor's and hospital forever. I actually lived in the hospital for a little awhile to. I had three heart surgeries. Two ear surgeries and a clavicle surgery to. It's alot . But I'm alive and well. Very great ful for it too ♥️,0.9705,Positive,0.2517857142857143,Neutral,0.7628480792045593,Positive
SHE MAKES MEE FEEL SAFE🥰💝💖💗💕💜💛❤‍🩹❤‍🔥❣🫀🤍,0.9923,Positive,0.0,Neutral,0.4199510216712951,Positive
Can you please do another day spa video? That massage and wipser was french kiss 💋,0.7845,Positive,0.0,Neutral,-0.4463328421115875,Negative
THE SMUDGE IS GONE,0.0,Neutral,0.0,Neutral,-0.4286752939224243,Negative
"Hello Gibi, I have been watching your videos since about 2020. You are one of the only asmrtists that can actually relax me and help me sleep. I have trouble sleeping but I’m not going to say that I have insomnia because that would be self diagnosing, but I have a lot of trouble sleeping. I’m so glad that I found you when I did because you bring my stress level down so much and you help me sleep almost every night. I’m so great full for all the work you put into making these videos. Thank you so much Gibi for being one of the best asmrtists I’ve ever watched. Hope everyone has a wonderful rest of their day/afternoon/night <3.

P.S.
I never like going to the hospital/doctors but I absolutely loved this video, it relaxed me so much and brung down my stress level. Also I love the bunny and also your hair clips <3.",0.9925,Positive,0.3743827160493827,Positive,0.9205989241600036,Positive
How did you do the headphone ear test sounds?? So realistic!,0.0,Neutral,0.2083333333333333,Neutral,0.6415318250656128,Positive
"Can you make a part 2 on the ‘Fastest asmr, everything is wrong’ video. At the end of it you put us to sleep could you do anouther video where we wake up and you do the same stuff again to see if we improved?

I love your videos btw, and my favorites vids are the fast roplay ones! And you where one of the first asmrtists I started watching. If you see this have a good rest of your night/day/afternoon!!",0.931,Positive,0.25,Neutral,0.3795057237148285,Positive
Why do i love this so much omg,0.6369,Positive,0.35,Positive,0.7950750589370728,Positive
Anyone know where I can get hair clips? 😍,0.4588,Positive,0.0,Neutral,-0.3495279550552368,Negative
"The hearing test is AMAZING, perhaps a new rare/specific trigger? Brought back so much nostalgic elementary school nurse-checkups.",0.6739,Positive,0.1072727272727272,Neutral,0.4707647562026977,Positive
"""Can you tell me some of your friends names?"" 
me""um i dont have any""",0.4767,Positive,0.0,Neutral,-0.3200438916683197,Negative
When you do the little eye test thing and sorta fail it in one of your eyes. With your glasses on 😅,-0.1796,Negative,-0.34375,Negative,-0.4586531817913055,Negative
I feel like a kid again 😭❤️,-0.1531,Negative,0.0,Neutral,0.5786951184272766,Positive
"As a CNA working in a pediatric clinic, I WISH I had your level of bedside manner",0.5319,Positive,0.0,Neutral,0.3271402418613434,Neutral
Tu mando un abrazo,0.4767,Positive,0.0,Neutral,-0.4252906143665313,Negative
The hair accessories are on point! Good job 👏🏼 amazing video too,0.7901,Positive,0.65,Positive,0.6269292831420898,Positive
Gibi I would never ask you to do this because it would break you mentally but how many days do you think you could go doing a video a day,0.0,Neutral,0.2,Neutral,0.2440389394760131,Neutral
Can you make a everything is wrong version,-0.4767,Negative,-0.5,Negative,-0.5612986087799072,Negative
As a pediatric nurse I approve of this,0.0,Neutral,0.0,Neutral,0.51410973072052,Positive
I might have to go back for a physical for my camp  and I hate the doctors ( altho I love what they do) if my mom can't find the paperwork... I have to go back lol,0.5106,Positive,0.0833333333333333,Neutral,-0.3505211174488067,Negative
exactly what I wanted,0.0,Neutral,0.25,Neutral,0.8872789144515991,Positive
"Bro that height scale is not a a height scale in my eyes, if u know, u know…
Edit: also even tho i know I’m not healthy this made me feel I am so I appreciate it
And for some reason it makes me laugh thinking that u could be wearing PJs on ur bottom half",0.6509,Positive,-0.0388888888888888,Negative,0.4129074513912201,Positive
vaccines are bad for your health. wake up,-0.5423,Negative,-0.6999999999999998,Negative,-0.5681173205375671,Negative
I am a kid and I go to pediatrics a lot now I my ipad,0.0,Neutral,0.0,Neutral,0.5090797543525696,Positive
I wish my pediatrician looked like you. Mine looked more like a lunch lady and was named Beverly... She was actually really sweet and great though! 😁,0.958,Positive,0.6166666666666667,Positive,0.4303023815155029,Positive
So calming ❤️❤️❤️,0.4576,Positive,0.0,Neutral,0.6060929894447327,Positive
How is your day going,0.0,Neutral,0.0,Neutral,0.5428095459938049,Positive
Gibi: we already got your weigh. Your weight: 246lbs,0.0,Neutral,0.0,Neutral,0.2834504246711731,Neutral
I love your asmr's they're so calming and help me sleep when I really need it. Tysm❤️❤️,0.8923,Positive,0.35,Positive,0.8815452456474304,Positive
"Mmmm not accurate, I have a whole menagerie of issues. My blood pressure is reeeeeally low bc I don't drink enough and have a lightspeed metabolism, so it's not fun",-0.7404,Negative,-0.03,Negative,-0.5132113695144653,Negative
Friends names? I would tell u if I had any 🥲,0.4767,Positive,0.0,Neutral,0.3348486721515655,Positive
is it just me or is there something on the camera?,0.0,Neutral,0.0,Neutral,-0.3321957588195801,Negative
I can't figure out why but this is so relaxing for me! ❤️ The most soothing video I've listened to in a while,0.8848,Positive,0.5,Positive,0.7825229167938232,Positive
"I think u gotta add an emoji for saying ""ear to ear speaking sound"" or ""normal speaking sound"". Maybe you can add 📢 and 🎧",0.0,Neutral,0.3166666666666667,Neutral,0.4569619297981262,Positive
"Gibi: So you don't feel like you have a cold or anything
Me watching this video sick: I actually have a cold
Gibi: That's good, perfect

Thanks for the amazing videos!",0.8474,Positive,0.0919642857142857,Neutral,0.5801063179969788,Positive
How tall are you,0.0,Neutral,0.0,Neutral,0.3419515192508697,Positive
Gibi making a relaxing ASMR while simultaneously teaching about stranger danger. Iconic 💕 also red Rover brought back the memory of everyone playing it in my primary oh man,0.7096,Positive,0.225,Neutral,0.7832688689231873,Positive
Anyone else thought she had a haircut????,0.0,Neutral,0.0,Neutral,-0.5365926027297974,Negative
the sound testing one in left and right ear i couldnt do cause my right ear is deaf lmao,0.5994,Positive,0.3142857142857143,Neutral,-0.3810465633869171,Negative
"I work in a pediatric office, most of our patients are under 16 yrs, usually the medical assistant does asks the questions, check height/weight if youre the right weight with the average kids your age,  vision test, blood pressure(if needed), etc. then after thats done doctor comes in, sees the patient , talk with parent if theyre under/overweight, whatever problems they have etc.

edit: we check both the kid and parent's temperature before they enter our office space due to covid",-0.1779,Negative,0.0434523809523809,Neutral,0.3162786364555359,Neutral
Videos like this really help a lot with medical anxiety and bad childhood experiences. Thankyou ❤,0.6697,Positive,-0.1666666666666666,Negative,0.7425885200500488,Positive
I love how she sneaks in the actual breathing techniques that help u relax helps alot thx gibi,0.9313,Positive,0.25,Neutral,0.6772541403770447,Positive
Btw that pokemon headset ranges between $295.99-$495.99 USD,0.0,Neutral,0.0,Neutral,-0.4560905396938324,Negative
I am interested in what a everything is wrong (pediatrician version) would look like,0.2732,Positive,-0.125,Negative,0.3121923208236694,Neutral
"How cool I really liked your video my dear, you are special for taking good care of me!😗",0.9627,Positive,0.5017857142857143,Positive,0.8002751469612122,Positive
"How cool I really liked your video my dear, you are special for taking good care of me!😗",0.9627,Positive,0.5017857142857143,Positive,0.8002751469612122,Positive
THIS IS SO GOOD GIBI,0.5777,Positive,0.7,Positive,0.6574920415878296,Positive
"Gibi: Do you know how old you are?
Me: 23!
Gibi: …
Me: …
Gibi: Awesome.",0.8553,Positive,0.5625,Positive,0.7327200174331665,Positive
i don’t think anyone has seen the outro of gibi xd,0.5859,Positive,0.0,Neutral,-0.3500816226005554,Negative
Do a m.r bean roleplay Mr bean asmr 🤣🤣🤣😜,0.8625,Positive,0.0,Neutral,0.2714883089065552,Neutral
no off but this is kinda cringe....,-0.1531,Negative,0.0,Neutral,0.5302060842514038,Positive
3,0.0,Neutral,0.0,Neutral,0.3165130615234375,Neutral
What a legend,0.0,Neutral,0.0,Neutral,0.7782857418060303,Positive
"Omg thank you Gibi, I’ve asked you to do video with pediatrician and now I’m going to sleep❤️",0.3612,Positive,0.0,Neutral,0.4268031716346741,Positive
This makes me feel small and I love it~,0.6369,Positive,0.125,Neutral,0.7806962132453918,Positive
i love watching asmr where they talk to me like this. i feel like i could just forget about the worries and stress of life and school.,0.4019,Positive,0.5,Positive,0.7197227478027344,Positive
"I genuinely didn't think I would love this :D BUT I DID - it was amazing haha 
Big love <3",0.9784,Positive,0.525,Positive,0.6611087322235107,Positive
Good,0.4404,Positive,0.7,Positive,0.4969631731510162,Positive
Wow,0.5859,Positive,0.1,Neutral,0.6995608806610107,Positive
スゲー好きなんですけど～,0.3612,Positive,0.0,Neutral,0.5009097456932068,Positive
"WE NEED A VERSION WHERE EVERYTHING GOES WRONG (love the video and the concept of a fun, nice, bubbly pediatrician!)",0.7756,Positive,0.2625,Neutral,0.3415189385414123,Positive
"This was absolutely wonderful Gibi. There's just something magical about being able to be a child again, just for a little bit. Thank you so much.",0.7363,Positive,0.4025,Positive,0.8992850184440613,Positive
I love this so much. <3,0.8115,Positive,0.5666666666666667,Positive,0.8760198950767517,Positive
Your role play vids are my absolute fav ❤️,0.6597,Positive,0.2,Neutral,0.8759583234786987,Positive
Prompt for a new video: I did bad at the eyes test and u send me to the nice and sweet residence eye doctor! It would be super super relaxing,0.9273,Positive,0.1900883838383838,Neutral,0.482925534248352,Positive
That was wierd,-0.1779,Negative,-0.5,Negative,0.3080296516418457,Neutral
I absolutely love this gibi. As well those hair clips,0.7645,Positive,0.5,Positive,0.9271053671836852,Positive
What is the beeping trigger called? I need more of that huhu,0.0,Neutral,0.5,Positive,-0.309861809015274,Negative
We skipped our baby’s 10 month appointment and just watched this instead thanks gibi!,0.4926,Positive,0.25,Neutral,-0.5190877914428711,Negative
"I just realized how popular Gibi is, it’s kinda dawned past me but she gets millions of fews every video",0.2263,Positive,0.175,Neutral,0.293365865945816,Neutral
"Hi Gibi! ❤️
I’ve been watching your videos for a few years now, and I’ve heard you talk about your anxiety struggles. For the past couple of years I’ve been experiencing a ton of anxiety and I’ve really been struggling with it, and you seem very intelligent and like you know a lot about anxiety disorders and/or just anxiety in general, so could I please ask you for your advice in some sort of private chat? ❤️ I really admire you and I feel very close to you as you’re one of the only YouTubers who can calm my anxiety and give me nonstop relaxation and tingles, so I really trust you and I think that talking to you would really help me. Can we please do that? 💖💖💖❤️",0.9879,Positive,0.1583333333333333,Neutral,0.7120000720024109,Positive
Your voice is soooooo relaxing,0.4939,Positive,0.0,Neutral,0.3144014775753021,Neutral
