Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"My dear friend from India sent me this songs, and told me to listen to it. I will never regret this, he occupies a big spot in my heart and this song is so beautiful...just like his heart. 💕",0.9739,Positive,0.0,Netural,0.9095602035522461,Positive
Hmmm some international stuff with Bollywood 🎵,0.0,Neutral,0.0,Netural,0.3482528030872345,Positive
♥️♥️,0.8555,Positive,0.0,Netural,0.31539443135261536,Netural
Anyone in 2022🙋🏻‍♂️,0.4939,Positive,0.0,Netural,0.4235062301158905,Positive
"The originality in this song is so underrated. Well done gentleman, it's a complete *“masterpiece”* .",0.3353,Positive,0.1,Netural,0.8851965665817261,Positive
Hritik,0.0,Neutral,0.0,Netural,0.2346966713666916,Netural
"This is so in my childhood memories. Whenever this movie used to come on the TV, I used to just wait for this song, although I didn't understand a word, but anyways. Great song",0.7684,Positive,0.8,Positive,0.7618467807769775,Positive
Love the song,0.6369,Positive,0.5,Positive,0.6877331137657166,Positive
Wonderfull composition.....,0.0,Neutral,0.0,Netural,0.757599949836731,Positive
My favourite song 😍😍❤️❤️❤️,0.7184,Positive,0.0,Netural,0.8612696528434753,Positive
Anyone in 2022 🌝🌝❤️❤️,0.0,Neutral,0.0,Netural,-0.44223952293395996,Negative
FaRhAn akthar,0.4576,Positive,0.5,Positive,0.23586583137512207,Netural
😍😍😍😍..... In 2022 jan 5.....i listened it and then🤩🤩🤩🤩,0.9001,Positive,0.0,Netural,0.32866406440734863,Netural
Still 2022 listening this song 🎵 👌,0.7297,Positive,0.0,Netural,0.32288992404937744,Netural
Who is still listening this masterpiece 😍,0.8349,Positive,0.0,Netural,0.8149475455284119,Positive
This song is a masterpiece. I just love it. ❤️,0.8519,Positive,0.5,Positive,0.9104088544845581,Positive
Its 2022 who else watching this masterpiece,0.7073,Positive,0.0,Netural,0.5801470875740051,Positive
7:02 You’re my everything.,0.0,Neutral,0.0,Netural,0.7197926640510559,Positive
Romani dance,0.0,Neutral,0.0,Netural,0.2897700369358063,Netural
my childhood back in 2022 .wow,0.5859,Positive,0.0,Netural,0.7285856008529663,Positive
When can we again travel like this after Corona! 😌,0.6588,Positive,0.0,Netural,0.5751169323921204,Positive
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Bura tab lagta h jab itne acche songs par itne kam views ho aur wo gande se songs par itne sare views hote h 😔,0.0,Neutral,0.25,Netural,-0.36809042096138,Negative
We want hindu songs,0.0772,Positive,0.0,Netural,0.25308865308761597,Netural
Muslim song,0.0,Neutral,0.0,Netural,0.23738664388656616,Netural
❤️❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
"This song has been released about 2 years
But I have listened this song 4 years before how?",0.0,Neutral,0.0,Netural,-0.3042142391204834,Negative
This song sucks!,-0.4199,Negative,-0.375,Negative,-0.8641494512557983,Negative
Anyone at December 14 2021,0.0,Neutral,0.0,Netural,-0.6583360433578491,Negative
Spanish people can understand spanish indian can understand hindi but both enjoyed the song!,0.6948,Positive,0.20833333333333334,Netural,0.429961621761322,Positive
Seniorita,0.0,Neutral,0.0,Netural,0.3464718461036682,Positive
A man of rubber body,0.0,Neutral,0.0,Netural,0.45511338114738464,Positive
"Pas beaucoup de commentaires en français , alors je témoigne: ce clip, je l'écoute et le regarde tous les matins en tapant dans mes mains.Cela me met le coeur et le corps en joie, donc grand merci à tous ces visages joyeux qui boostent ma journée!!",0.9593,Positive,0.375,Positive,0.6675860285758972,Positive
"A música não tem fronteiras, voa com o vento, para todo o Mundo que goste dela como eu.
A música faz parte da minha alma e da minha respiração e hei-de a levar comigo no caixão!
A música faz parte da minha  vida que há de ser muito comprida.",0.2244,Positive,-0.065,Negative,0.7237768173217773,Positive
Op,0.0,Neutral,0.0,Netural,0.26986634731292725,Netural
I enjoy about the video,0.4939,Positive,0.4,Positive,0.5194825530052185,Positive
Amazing and that you can make it happen and I will send you an invite for my birthday celebration party on Sunday 12,0.7964,Positive,0.6000000000000001,Positive,0.8755673170089722,Positive
Masterpiece ❤️,0.6249,Positive,0.0,Netural,0.8407883644104004,Positive
Senoritaaa! Get me closee🌧,0.0,Neutral,0.0,Netural,0.563033401966095,Positive
Masterpiece,0.6249,Positive,0.0,Netural,0.8278747200965881,Positive
"Senorita Lyrics
Senorita Lyrics
Zindagi Na Milegi Dobara2011
Various Artists
3 min 49 sec
Play
Lyrics

Quien eres tu? (Who are you?)

Donde has estado? (where have you been?)

He removido cielo y tierra y no te encontre

(I moved heaven and earth and not find you)


Y llegas hoy (but you arrive today)

Tan de repente (So suddenly)

Y das sentido a toda mi vida con tu querer

(and give meaning to my life with your love)


Na main samjha, na main jaana

Jo bhi tumne mujhse kahaa hai Senorita

Magar phir bhi, na jaane kyun

Mujhe sunke, accha laga hai senorita


No desvies la mirada (do not look away)

Quedate cerca de mi (stay close to me)


Mujhko baahon mein tum ghero

Samjhi na senorita


Chaahat ke do pal bhi, mil paaye

Duniya mein yeh bhi kam hai kya

Do pal ko toh aao kho jaaye

Bhoole hum hota gham hai kya senorita

Suno suno senorita kehte hain hum kya


Jamas podre (i will never)

Interpretar (understand)

El sentido de las palabras que me dedicas

(the meaning of the words you dedicate to me)


Pero el calor (but the warmth)

De tu mirar (of your gaze)

Me hace sentir como la mas bella senorita

(Makes me like the most beautiful miss)


Nighaahon ne nighaahon se

Kahi armaano ki daastan hai senorita

Yeh chaahat ki, mohabbat ki

Saari duniya mein ek hi zubaan hai senorita


Mujhse ab nazar na phero, aao paas tum mere


Mujhko baahon mein tum ghero

Samjhi na Senorita


Chaahat ke do pal bhi, mil paaye

Duniya mein yeh bhi kum hai kya

Do pal ko toh aao kho jaaye

Bhoole hum hota gumm hai kya senorita

Suno suno senorita kehte hain hum kya


Jo bhi pal beeta

Hey senorita

Har pal tumne hai dil jeeta

Bus itni si toh baat hai


No desvies la mirada (don't look away)

Quedate cerca de mi (stay close to me)


Mujhko baahon mein tum ghero

Samjhi na senorita


Chaahat ke do pal bhi, mil paaye

Duniya mein yeh bhi kum hai kya

Do pal ko toh aao kho jaaye

Bhoole hum hota gham hai kya

Chaahat ke do pal bhi, mil paaye

Duniya mein yeh bhi kum hai kya

Do pal ko toh aao kho jaaye

Bhoole hum hota gham hai kya",0.9526,Positive,0.17592592592592593,Netural,0.24025315046310425,Netural
This masterpieces is so underrated,0.5423,Positive,0.0,Netural,0.8401708602905273,Positive
Kumaoni,0.0,Neutral,0.0,Netural,0.240613654255867,Netural
Legends don't know this song name they search it by lyrics,0.0,Neutral,0.0,Netural,-0.40336787700653076,Negative
Wow,0.5859,Positive,0.1,Netural,0.6995608806610107,Positive
Best song 💕,0.8591,Positive,1.0,Positive,0.8443126082420349,Positive
"9xm Childhood & School days 
Really Miss those golden days 😇❤",0.7436,Positive,0.25,Netural,-0.26840242743492126,Negative
Farhan Akhtar is such a talented guy,0.5106,Positive,0.35,Positive,0.7617911696434021,Positive
This is a fucking Crap...,-0.4391,Negative,-0.8,Negative,-0.9745688438415527,Negative
Cool song 🎵🎵🎵,0.3182,Positive,0.35,Positive,0.5469094514846802,Positive
🌄🤗🙂❤️🌹😍🥰😘😊😀🌜🌛🌝,0.9779,Positive,0.0,Netural,0.30857792496681213,Netural
😂😂😂😂😂😂,0.9468,Positive,0.0,Netural,0.30857792496681213,Netural
"Proud to be 
indian",0.4767,Positive,0.8,Positive,0.7226270437240601,Positive
"señorita - G-Idle, kpop, Corea
Señorita - Camila Cabello, USA
Señorita - Farhan akhtar, India
Que bonito escuchar que el español conquista muchos países",0.0,Neutral,0.3666666666666667,Positive,-0.24450811743736267,Negative
shanmukhpriya and Ashish sung this in Indian idol. they killed it. wonderful singing,-0.2023,Negative,0.4,Positive,0.8095110654830933,Positive
😍😍😍😍😍😍😍😍😍,0.9776,Positive,0.0,Netural,0.30857792496681213,Netural
Q,0.0,Neutral,0.0,Netural,0.2450127899646759,Netural
Nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice,0.9899,Positive,0.5999999999999999,Positive,0.5775924324989319,Positive
Nice nice nice song ♥️♥️♥️,0.9682,Positive,0.6,Positive,0.4768964648246765,Positive
Nice 🔥🔥🔥,-0.5267,Negative,0.6,Positive,0.43827590346336365,Positive
Agar ye movie aaj release hoti to 1000cr kamati ❤️,0.0,Neutral,0.0,Netural,-0.39026176929473877,Negative
WTF.. I ordered Kites movie songs,-0.6739,Negative,-0.5,Negative,-0.23700395226478577,Negative
Let's see how many people are coming in 2021,0.0,Neutral,0.5,Positive,0.2854398787021637,Netural
only legends understand the depth and quality of this song.....,0.0,Neutral,0.0,Netural,0.22939865291118622,Netural
Very Cutest Song 😍❤️😍,0.8849,Positive,0.2,Netural,0.764995276927948,Positive
Beautiful song,0.5994,Positive,0.85,Positive,0.7006238102912903,Positive
💖,0.7506,Positive,0.0,Netural,0.30857792496681213,Netural
😘,0.4215,Positive,0.0,Netural,0.30857792496681213,Netural
Wow yar what a song i love you this song 😘😘😘,0.9468,Positive,0.3,Netural,0.9155287146568298,Positive
I am like this song 💗💗🥰,0.9666,Positive,0.0,Netural,0.5788066387176514,Positive
Comon fodre,0.0,Neutral,0.0,Netural,0.3085612952709198,Netural
I love this song 💃💃💃💃💃💃💃💃💃❤️💝,0.8555,Positive,0.5,Positive,0.8624796271324158,Positive
Jab bhi thak jata hoon ye gana sunta hoon pata nahi kaise energy aa jati hain,-0.5739,Negative,-0.4,Negative,-0.31107068061828613,Negative
Chaht k do pal b mil paye duniya me  ye b  kam h kya,0.4019,Positive,0.0,Netural,-0.42431482672691345,Negative
Which film is that ?,0.0,Neutral,0.0,Netural,-0.3427075743675232,Negative
मैं भी नहीं समझा सेनोरिटा 😂😂😂😂😂,0.0,Neutral,0.0,Netural,-0.560465395450592,Negative
Fun fact: this song already owned by another senorita 😂😂😂,0.9001,Positive,0.3,Netural,0.4981667995452881,Positive
Never gets old💕,0.6486,Positive,0.0,Netural,-0.5954461693763733,Negative
balls in my jaws,0.0,Neutral,0.0,Netural,0.2961670458316803,Netural
1:30 this line has a seperate fan base 😂,0.6369,Positive,-0.8,Negative,-0.48504164814949036,Negative
Lovely,0.5859,Positive,0.5,Positive,0.5615791082382202,Positive
Write out a notice,0.0,Neutral,0.0,Netural,0.24646596610546112,Netural
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
so now i can say that this song is legendary 🔥🔥,-0.5859,Negative,1.0,Positive,0.6714751720428467,Positive
Love this song so much 🥰,0.9149,Positive,0.35,Positive,0.8937520384788513,Positive
बहुत बढ़िया!,0.6588,Positive,1.0,Positive,-0.4732637107372284,Negative
Beautiful version!!,0.6688,Positive,1.0,Positive,0.7265985012054443,Positive
When you banged a song very hard this song produced,-0.1761,Negative,-0.3791666666666667,Negative,-0.5882789492607117,Negative
😘😘😘😘😘😘,0.9413,Positive,0.0,Netural,0.30857792496681213,Netural
Moves of Hrithik 👌👌,0.9055,Positive,0.0,Netural,0.3103971779346466,Netural
wish I could watch this movie for the first time again,0.4019,Positive,0.25,Netural,0.5210957527160645,Positive
Hrithik Roshan ❤️❤️❤️,0.0,Neutral,0.0,Netural,0.3050327003002167,Netural
😛😝,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
0:15 maths teacher teaching be like😂😂😂😂,0.9201,Positive,0.0,Netural,0.27943509817123413,Netural
Really second sweetest language after bengali,0.0,Neutral,0.0,Netural,0.8217599987983704,Positive
Three actors sung for this song for real.. its not a lip sync... Damn good,0.0516,Positive,0.44999999999999996,Positive,0.2903946042060852,Netural
Well come n sing along with me dance with me morning vibes partner.,0.2732,Positive,0.0,Netural,0.6546233892440796,Positive
"Beautiful song, make even better by these actors.",0.7783,Positive,0.675,Positive,0.7523361444473267,Positive
Nice so,0.4215,Positive,0.6,Positive,0.48991140723228455,Positive
Good song,0.4404,Positive,0.7,Positive,0.5417960286140442,Positive
nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
"Had trouble finding this because of 

Senorita by shawn mendez and camilla cabello",-0.4019,Negative,-0.2,Negative,0.28858205676078796,Netural
Abhay Deol decently held up against Hrithik and Farhan in dancing,0.0,Neutral,0.16666666666666666,Netural,0.4317193329334259,Positive
"I love other languages songs, and spanish also like Despacito",0.7717,Positive,0.125,Netural,0.42684146761894226,Positive
"Hope you are are  still listening this one melodies song then you are legend .... So i came here only for this song when me and my friends goes elsewhere  so i'll play this one song and me and my friends will sing simultaneously . then we lost in this song and  Feel overwhelming ..

So i'll recommend to everyone when u go elsewhere with their friends ....so don't forget to play this song ....☺☺",0.9637,Positive,0.25,Netural,0.33509284257888794,Positive
Gracias amor bello 💕 Andy,0.9423,Positive,0.675,Positive,0.6119981408119202,Positive
I love this song and Hritik Rohan dance,0.6369,Positive,0.5,Positive,0.8158447742462158,Positive
"White guy to his friend: hey dude, Play senorita
Indian guy: *ok sure* 👌",0.9191,Positive,0.3333333333333333,Positive,0.29935505986213684,Netural
Very very very niceeeeeeeee,0.0,Neutral,0.26,Netural,0.6625814437866211,Positive
Outstanding Song,0.6124,Positive,0.5,Positive,0.8464704155921936,Positive
100 Percent Perfect,0.5719,Positive,1.0,Positive,0.9660883545875549,Positive
My favorite song forever ❤,0.802,Positive,0.5,Positive,0.9323296546936035,Positive
Favorite song always,0.4588,Positive,0.5,Positive,0.8829577565193176,Positive
Ok,0.296,Positive,0.5,Positive,0.49511444568634033,Positive
Nice song,0.4215,Positive,0.6,Positive,0.46624240279197693,Positive
Thanks span,0.4404,Positive,0.2,Netural,0.37335190176963806,Positive
"Those looking for Hindi Translation
Starts with [Spanish Part]
[Hindi] Neither I understand what you said
Nor I know what you mean, 
Still It's enticing to my ears oh Senyorita
[Spanish Part]
Hindi Part ""Take me in your arms""
Hope, You understood that Oh Senyorita
Even, If we get few moments of love, Isn't that too less in this world
Let's get lost for these moments,
Let's just forget what sadness is
Listen up Senorita, What we're saying.
[Spanish Part]
Hindi Part- My eyes to your eyes,
Have told the story of desires Senorita
For love and romance There is only language in the world,
Now don't look away from me
Come close to me
Take me in your arms
Did you understand that,Oh Senyorita... It's just repeating same lyrics in later half",0.8689,Positive,0.01284722222222223,Netural,-0.3615158796310425,Negative
Wow I am an indian and the mix with Spanish is awesome,0.836,Positive,0.3666666666666667,Positive,0.8677353858947754,Positive
This song is my childhood memorie 💜💜,0.8555,Positive,0.0,Netural,0.6239727735519409,Positive
Palle to nhi pda sasura...pr mza aaya 🙂,0.0,Neutral,0.0,Netural,0.25453534722328186,Netural
2021,0.0,Neutral,0.0,Netural,0.29819586873054504,Netural
Wow senorita maja a gaya☺️☺️☺️☺️👍👍👍👯👯😆😆,0.9628,Positive,0.1,Netural,0.6752838492393494,Positive
Love from Afghanistan 🇦🇫 ❤,0.8555,Positive,0.5,Positive,0.6116740703582764,Positive
I saw this song as a kid and after some years I remembered it again and here I am watching it 😁😁,0.7184,Positive,0.0,Netural,0.5206426978111267,Positive
Teeno actor jis tarah se gaaye hai. Gaana pe char chaand lag gaya.,0.0,Neutral,0.0,Netural,-0.5251075029373169,Negative
Most of the best movies of bollywood came before 2014!,0.6962,Positive,0.75,Positive,0.7896403074264526,Positive
Who is hear after seeing carryminati dance,0.0,Neutral,0.0,Netural,0.24412092566490173,Netural
Indian movie,0.0,Neutral,0.0,Netural,0.26952120661735535,Netural
❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Back when T series made songs like this🙂🔥,0.4715,Positive,0.0,Netural,0.3634265959262848,Positive
ⅈ ℓℴ⌵ⅇ ⅆⅈ↯ ↯ℴℼℊ,0.0,Neutral,0.0,Netural,0.39043518900871277,Positive
MOLTO BELLA,0.4754,Positive,0.78,Positive,0.65725177526474,Positive
1:37 he lowkey was doing dhoom step 😆😆😆,0.7579,Positive,0.0,Netural,-0.37493830919265747,Negative
my favourite  song,0.0,Neutral,0.0,Netural,0.8636926412582397,Positive
"No desvíe la mirada , quédate cerca de mi,buhat khusbrorat hai song",0.0,Neutral,0.0,Netural,-0.6165345907211304,Negative
Wow,0.5859,Positive,0.1,Netural,0.6995608806610107,Positive
"Honestly this song bring me out of the mood and me feel free out of burden.. 👏👏💕👏
Iam leaving this comment someone who like it and me get this song back.",0.8807,Positive,0.3333333333333333,Positive,-0.5334868431091309,Negative
Wow,0.5859,Positive,0.1,Netural,0.6995608806610107,Positive
The song is underated my dear ❤️,0.3818,Positive,0.0,Netural,-0.40657052397727966,Negative
So  amazing🤩😍👍,0.8104,Positive,0.0,Netural,0.5789486765861511,Positive
The girl likes Hrtihik more than ever,0.4215,Positive,0.5,Positive,0.5936467051506042,Positive
കൊള്ള m . മലയാളികൾ ഇല്ലാത്ത സ്ഥലോ🔥🤩👍👍👍👍👍👍👍👍👍👍💞💞💞💞💞💞💞💞💞💞💞💞,0.0,Neutral,0.0,Netural,-0.46754857897758484,Negative
This is a masterpiece,0.6249,Positive,0.0,Netural,0.8322694897651672,Positive
Incredible,0.0,Neutral,0.9,Positive,0.817739725112915,Positive
"2021 who is here😀
To listen this song 😍👍",0.6705,Positive,0.0,Netural,0.43195605278015137,Positive
😅😅😅😅😍😍♥️♥️♥️,0.981,Positive,0.0,Netural,0.30857792496681213,Netural
Awesome movie 🎥🍿 😁😁,0.8779,Positive,1.0,Positive,0.8143600225448608,Positive
"Bollywood is mother of cultures 😊😊 
You can find every culture in it 😉😉",0.9001,Positive,0.0,Netural,0.5850995182991028,Positive
this is the first song in which the actors are actually singing the song,0.0,Neutral,0.125,Netural,-0.2526049315929413,Negative
0:23 best voice ❤️,0.6369,Positive,1.0,Positive,0.7594361305236816,Positive
I no belive me,0.0,Neutral,0.0,Netural,-0.37241998314857483,Negative
My favorite song ever🤩,0.4588,Positive,0.5,Positive,0.9120352268218994,Positive
Listening this masterpiece in 2021??😷,0.6662,Positive,0.0,Netural,0.42706426978111267,Positive
A,0.0,Neutral,0.0,Netural,0.31870728731155396,Netural
"Me to online classes 
Na samjha na mein jaana 
Jo bhi tumne kaha mujhse senorita",0.0,Neutral,0.0,Netural,-0.2532806694507599,Negative
"Sound full rest in bed close Ur eyes and enjoy
You will feel like heaven!❤️😍
Don't FORGET to use earphones",0.926,Positive,0.3833333333333333,Positive,0.8395800590515137,Positive
Who knew that beautiful guy could also sing. Hritik,0.5994,Positive,0.85,Positive,0.29140761494636536,Netural
"That one friend who ruins your pics , Abhay Deol has successfully accomplished it in the form of singing it,  XD",0.8986,Positive,0.02500000000000001,Netural,0.6815758347511292,Positive
Awesome this song 3 actor's&singer's,0.6249,Positive,1.0,Positive,0.7901052236557007,Positive
The song is sung by the actors themselves .the scale is d major,0.0,Neutral,0.0625,Netural,0.42975035309791565,Positive
*can some one translate the Spanish verse to ENGLISH?*,0.0,Neutral,0.0,Netural,-0.27097851037979126,Negative
The best thing about this song is that it is sung by the actors themselves,0.6369,Positive,1.0,Positive,0.41359034180641174,Positive
are some mental peple not lisninig this some,0.0,Neutral,-0.1,Negative,0.4213261604309082,Positive
Sounds like (Bella ciao),0.3612,Positive,0.0,Netural,0.37561336159706116,Positive
"How dare 5k dislikes
Best song ever",0.3612,Positive,1.0,Positive,0.5493596792221069,Positive
I watched the movie for this and my favorite Hindi movie,0.4588,Positive,0.5,Positive,0.7614441514015198,Positive
I love it. It's awesome ❤️,0.8519,Positive,0.75,Positive,0.8992571830749512,Positive
0:23 same from India to bts💜,0.6369,Positive,0.0,Netural,-0.5392083525657654,Negative
Zingarella  spanish song .  Copy that song,0.0,Neutral,0.0,Netural,-0.6261562705039978,Negative
"Wowwww LOVED this video.  I'm a French, Spanish,  Brazilian, Mexican and show this video at a family gathering, EVERYONE loved it. You guys are GREAT❤❤❤",0.9817,Positive,0.27999999999999997,Netural,0.9010657072067261,Positive
My favorite song well Done,0.6249,Positive,0.5,Positive,0.8746601343154907,Positive
alv como llegue a esto,0.0,Neutral,0.0,Netural,0.35154980421066284,Positive
India with. Spanish-language,0.0,Neutral,0.0,Netural,0.2485838085412979,Netural
These 3 can beat Tony kakkar in singing.,0.0,Neutral,0.0,Netural,0.5629622936248779,Positive
Hrithik Sir to song bhi mast gate hai yarr 😎😎😍😍😘🤑,0.0,Neutral,0.0,Netural,-0.2718343436717987,Negative
This song deserving Billion's of views 😎😅,0.6705,Positive,0.6,Positive,0.7861263155937195,Positive
