Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Please add bangla Subtitle,0.3182,Positive,0.0,Neutral,0.2794147431850433,Neutral
Jin on thumbnail is so cute.,0.5949,Positive,0.5,Positive,0.4998544752597809,Positive
MY SEXY CUTE LOVELY GROUP💜💜💜🤩🤩🤩💜💜💜💜🤩🤩🤩🤩,0.9927,Positive,0.5,Positive,0.7656788229942322,Positive
20 minutes passed and i barely realized. i swear i could watch them for hours and never get tired,0.3548,Positive,-0.175,Negative,-0.3589933812618255,Negative
I miss RUN BTS :(,-0.5423,Negative,-0.75,Negative,-0.3060728311538696,Negative
Aaaaaaaa so excited!!!!!!!!!!,0.5942,Positive,1.0,Positive,-0.6481037735939026,Negative
All members wearing formal except V,0.0,Neutral,0.0,Neutral,0.2839296460151672,Neutral
Wait ep2 congrat genuis suga love idea name no wonder see this figure at yoongi lab,0.4588,Positive,0.5,Positive,-0.2522399425506592,Negative
Why do they always forget to tell V to wear casuals not formals 😂😂😂,0.7783,Positive,0.0,Neutral,-0.3655648529529571,Negative
I can't pre register 😢 and in playstore it is also not coming what do I do,0.3724,Positive,0.0,Neutral,-0.6729244589805603,Negative
هل يوجد ارمي هنا,0.0,Neutral,0.0,Neutral,-0.3675391376018524,Negative
Missing run bts,-0.296,Negative,-0.2,Negative,-0.5269632339477539,Negative
"Are we not going to talk about how hilarious and witty at the same time RM's ""ABC"" title is? TT",0.4019,Positive,0.3333333333333333,Positive,0.2432339936494827,Neutral
Omg whyy I'm so late,0.0,Neutral,-0.3,Negative,-0.3196091651916504,Negative
Bangga Bangga,0.7351,Positive,0.8,Positive,-0.2933874428272247,Negative
"7 game characters are cute 💜 And 7 people who explain are cute 🤭
I'm looking forward to the game 💕",0.9565,Positive,0.0499999999999999,Positive,0.45876345038414,Positive
Kapan eps 2 nya?,0.0,Neutral,0.0,Neutral,0.270683079957962,Neutral
💜💜💜,0.9274,Positive,0.0,Neutral,0.3085779249668121,Neutral
"12:57 billboard? Grammy ? No need 
RM iconic",-0.3736,Negative,0.5,Positive,-0.3468483388423919,Negative
"the ideas of the guys is great, because it was spontaneous! they are very intelligent people",0.8264,Positive,0.85,Positive,0.7031037211418152,Positive
i love korea,0.6369,Positive,0.5,Positive,0.7322652339935303,Positive
I teared up reading Taehyung's story of the 7 trees. He is not only creative but also one could feel his genuine love for his brothers. He is such a sweet person,0.8778,Positive,0.2916666666666667,Positive,0.6713837385177612,Positive
pls what is the name,0.0772,Positive,0.0,Neutral,0.2467989027500152,Neutral
"Bighit : Wear casually 
Others : ok
& V : no way.. 😂💥 
Always like this",0.5574,Positive,-5.551115123125783e-17,Negative,0.3612592220306396,Positive
"04/30/22
Watching this ☺",0.5423,Positive,0.0,Neutral,0.3612157702445984,Positive
7:43 v🤣🤣🤣,0.8625,Positive,0.0,Neutral,0.2651971876621246,Neutral
남주니 ABC 말할때 진이 초콜렛이야 나만 빵터졌냐 ㅋㅋㅋ,0.0,Neutral,0.0,Neutral,-0.4034263491630554,Negative
"La parte de HOBI jajajaja Biti. Biti 
Bangga Bangga 🤣💜",0.7351,Positive,0.8,Positive,-0.2995844185352325,Negative
"Aw, I liked 7 Trees for a name. It makes it sound relaxing 😎",0.8402,Positive,0.5,Positive,0.4753762483596802,Positive
BTS!!!,0.0,Neutral,0.0,Neutral,0.5201365351676941,Positive
💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜,0.9994,Positive,0.0,Neutral,0.3085779249668121,Neutral
omg I loved Tanie Town so muchh,0.5994,Positive,0.4499999999999999,Positive,0.50208979845047,Positive
Bangga bangga😂,0.4404,Positive,0.0,Neutral,-0.279908537864685,Negative
"13:56
rapper jin era 🤩🤩",0.0,Neutral,0.0,Neutral,0.2564003467559814,Neutral
hoseok's just talking and looking at everyone else instead of writing his poem pls fjksdfjkd,0.0772,Positive,0.0,Neutral,-0.5272205471992493,Negative
🥰💜💜💜💜💜💜💜,0.9904,Positive,0.0,Neutral,0.3085779249668121,Neutral
I think this kind of things is way more better for Jins hand to recover! Love the ABC!😂😂😂,0.9632,Positive,0.55625,Positive,0.7267223000526428,Positive
"ESTOY MUY EMOCIONADA!!
YA QUIERO JUGARLO!!! 😃",0.9315,Positive,1.0,Positive,0.8401204943656921,Positive
💜💜💜💜💜💜💜,0.9854,Positive,0.0,Neutral,0.3085779249668121,Neutral
😍😍😍😍😍😊😊😊☺☺😀😀😀DORIS    CADAY   JK  JIN,0.9928,Positive,0.0,Neutral,0.324229747056961,Neutral
"Ah, thanks Hobi, I needed that laugh. And Tae's 7 Trees was lovely. Tanie Town reminds me of Tiny Tan haha.",0.9231,Positive,0.24,Positive,0.3883766233921051,Positive
I wanna go to Giftland hahahaa,0.0,Neutral,0.0,Neutral,-0.3441104590892792,Negative
Love you guys so much 💜💜,0.9308,Positive,0.35,Positive,0.8786903619766235,Positive
"I'm game developer , it's nice to see bts to become a game developer!🤜",0.4753,Positive,-0.0666666666666667,Negative,0.5002657771110535,Positive
It felt so good watching Tannies sit and talk. On the other hand Hobi was hilarious 🤣🤣🤣,0.9598,Positive,0.3583333333333333,Positive,0.5057728886604309,Positive
straight in love with Taehyung once again T___T . But I love them all and thats why its so beautiful to me that he wrote 7 trees the way he did D' : 14:16 but the way he repeated RM's game titles in tiny made me rewatch over and over OHHHH hes so cuuuuute whhhyyyyy ..... 13:00 and 13:28,0.9574,Positive,0.2749999999999999,Positive,0.3733901679515838,Positive
Bangga bangga (Indonesia language) meaning proud 😍😍😍😍,0.9652,Positive,0.8000000000000002,Positive,0.5257764458656311,Positive
BTS are now game producer’s too! My boys are not just idols but multi-talented!! 💜,0.826,Positive,-0.78125,Negative,0.7498255968093872,Positive
