Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"The only reason I watch this video is to hear Drake say ""Off his rocker""",0.0,Neutral,0.0,Neutral,0.2927326261997223,Neutral
"ПАТРИОТЫ РОССИИ АМЕРИКАНСКОЙ НАРУЖНОСТИ.
ГНИЛЬ НА РАСПРОДАЖЕ СОВЕСТИ 25.04.2022 г.
https://youtu.be/vngK-oCjQAo",0.0,Neutral,0.0,Neutral,-0.7180426120758057,Negative
Justin salvou o clipe,0.4215,Positive,0.0,Neutral,-0.5822805762290955,Negative
Is this justin?,0.0,Neutral,0.0,Neutral,-0.3054949045181274,Negative
This shit needs timestamps,-0.5574,Negative,-0.2,Negative,-0.4250546395778656,Negative
Total PR move from bieber,0.0,Neutral,0.0,Neutral,-0.4227016568183899,Negative
Is that Adam,0.0,Neutral,0.0,Neutral,-0.265569269657135,Negative
Hey my guy i want that urus,0.0772,Positive,0.0,Neutral,0.5723286271095276,Positive
Drake Diiiiiiidddd,0.0,Neutral,0.0,Neutral,0.2587460279464721,Neutral
Giọng hát của ah Đức phúc hát đúng tâm trạng hay quá,0.0,Neutral,0.2857142857142857,Positive,-0.2836423814296722,Negative
Не люблю Дрейка но тут он раздал стиля 🔥,-0.5654,Negative,0.0,Neutral,-0.4468358755111694,Negative
Apu's father,0.0,Neutral,0.0,Neutral,0.3740063011646271,Positive
Drake sounds like my mom trying to sleep,0.3612,Positive,0.0,Neutral,0.2439964562654495,Neutral
Goa didddd,0.0,Neutral,0.0,Neutral,0.2722142338752746,Neutral
its a Big tune frr,0.5106,Positive,0.2,Positive,0.4144688844680786,Positive
DAMN THIS SONG !!!,-0.6496,Negative,0.0,Neutral,0.4886848628520965,Positive
òmöWw,0.0,Neutral,0.0,Neutral,0.2538251876831054,Neutral
"I wrote a guitar lick for this that's hidden from the world, and I'll keep it secret until DJ Khaled replies. But ill also annoy him with how passionate I am about said riff, u til he gives me the chance to hear me out! 
#onelove",-0.1882,Negative,-0.2822916666666666,Negative,0.2674307525157928,Neutral
If you dont mind 😂,0.4404,Positive,0.0,Neutral,0.2474303394556045,Neutral
I Just realized that Adam W is also there😆🤣,0.6908,Positive,0.0,Neutral,0.2450158596038818,Neutral
I can't stop listening to this song. So pure! Definitely a great vibe,0.8503,Positive,0.5339285714285714,Positive,0.9151854515075684,Positive
"Ariana, selena",0.0,Neutral,0.0,Neutral,0.3138158619403839,Neutral
I am mad at this move@3:40 🔥,-0.6808,Negative,-0.625,Negative,-0.614575982093811,Negative
SO FUNNY!!!!!!!🤣🤣🤣🤣🤣,0.9713,Positive,0.0,Neutral,0.8025751113891602,Positive
JUSTIN TAKES OVER,0.0,Neutral,0.0,Neutral,0.26241534948349,Neutral
Adam and Bach🔥🤣🤣🤣🤣,0.886,Positive,0.0,Neutral,0.3634526431560516,Positive
WIRO PEACHE'SS M UISCA!!,0.6351,Positive,0.0,Neutral,-0.3367879986763,Negative
4:08 is that Adam W at Mercedes,0.0,Neutral,0.0,Neutral,-0.2754409909248352,Negative
8:06 best part,0.6369,Positive,1.0,Positive,0.5371057391166687,Positive
I forgive thee. I am a gracious god. He could of done movies.,0.7783,Positive,0.0,Neutral,0.73531574010849,Positive
https://youtu.be/3CxtK7-XtE0,0.0,Neutral,0.0,Neutral,0.2266392409801483,Neutral
"Shit, watched this like 1000 times but never noticed vines at the end",-0.1406,Negative,-0.2,Negative,-0.7009912729263306,Negative
TEMON,0.0,Neutral,0.0,Neutral,-0.2829194068908691,Negative
"i tell ya what tho, this the best look I ever seen for Justin. #real #talk",0.6369,Positive,0.6,Positive,0.9309903979301452,Positive
4:16 xxx tentacion spotted in everybody,0.0,Neutral,0.0,Neutral,-0.3132341802120209,Negative
This song will never gets old,0.0,Neutral,0.1,Positive,0.5081880688667297,Positive
"eu só consigo reparar nos caras dançando no fundo.As minas mó dançando bonitinho e os caras tipo ""foda-se""",0.25,Positive,0.0333333333333333,Positive,-0.4024540781974792,Negative
3.51 adam what are you doing there,0.0,Neutral,0.0,Neutral,0.4081203937530517,Positive
"For whosoever shall call upon the name of the Lord shall be saved. (Romans 10:13)
I tell you, Nay: but, except ye repent, ye shall all likewise perish. (Luke 13:5)
The LORD is righteous in all his ways, and holy in all his works. The LORD is nigh unto all them that call upon him, to all that call upon him in truth. He will fulfil the desire of them that fear him: he also will hear their cry, and will save them. The LORD preserveth all them that love him: but all the wicked will he destroy. (Psalms 145:17-20)",-0.0772,Negative,0.15,Positive,0.5240851640701294,Positive
"Jesus Christ Saves

Jesus Christ, the Son of God, is returning very soon, and is the reason for all of the things that are happening on the Earth right now. This planet is on borrowed time.

Jesus Christ died on a cross, was buried in a tomb, and rose from the dead 3 days later, to pay for the sins of mankind, to give us eternal life and forgiveness from God.

EXACTLY how to be Saved by Jesus Christ, the Son of God:

1. Confess with your mouth that Jesus Christ is Lord.

2. Believe in your heart that God has raised Jesus Christ from the dead.

Biblical References:
1. Romans 5:9
2. Romans 3:23
3. Romans 6:23
4. Romans 10:9
5. Romans 10:13
6. Ephesians 2: 8 & 9
7. John 3:16

God bless you, peace be with you always. Thank you for your time.",0.8316,Positive,0.1169642857142857,Positive,0.6699942946434021,Positive
https://www.youtube.com/watch?v=F6k9bqj7qHY :),0.4588,Positive,0.5,Positive,0.3852570950984955,Positive
This song makes Justin Bieber look cool,0.3182,Positive,0.35,Positive,0.5890659689903259,Positive
I'm ON ONE! jaha a khaled!  Champgapapi!! JustB ?? Bieber ? Justin!! my girlfriend ? jahaha  love us!!,0.8089,Positive,0.78125,Positive,0.4638415575027466,Positive
"There really is nothing to dislike about this song, its so perfectly made. This is a true fight song.",0.8294,Positive,0.5166666666666666,Positive,0.9075220823287964,Positive
Eminem rey no está mierda,0.4449,Positive,-0.2,Negative,0.407648354768753,Positive
This is the entire reason I’m alive,0.3818,Positive,0.05,Positive,0.6435268521308899,Positive
I’m always wanted to listen to this song it’s straight up fire 🔥 through it’s very too catchy the entire song was going out good I’m supporting this song,0.4404,Positive,0.27,Positive,-0.4038884043693542,Negative
Thr ringtone at the end is fire,-0.34,Negative,0.0,Neutral,-0.3728297650814056,Negative
");’ . 										
  !KNM,ñ?",0.0,Neutral,0.0,Neutral,-0.3282568752765655,Negative
"Adam, 👑",0.0,Neutral,0.0,Neutral,0.3008772730827331,Neutral
Aww that throw back pic of him with his dog that passed away :(,-0.4404,Negative,-0.15,Negative,-0.5056912302970886,Negative
8,0.0,Neutral,0.0,Neutral,0.3862052261829376,Positive
Holla Brooooooos best Hannys,0.6369,Positive,1.0,Positive,0.3392815291881561,Positive
Es tan blanco Justin Bieber que me cuesta creerlo que rapea regular 🤣,0.4215,Positive,-0.0972222222222222,Negative,-0.2734203040599823,Negative
táo mặc đồ gì kì vậy,0.0,Neutral,0.0,Neutral,0.3467602133750915,Positive
Song starts @2:30,0.0,Neutral,0.0,Neutral,-0.3555819690227508,Negative
🐐🐐🐐🐐🐐🔥🔥💥🔥💥🔥💥🔥💥🔥💥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥💥🔥💥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥💥🔥💥🔥💥🔥🔥💥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥🔥💥💥🔥🔥💥🔥💥🔥💥🔥💥🔥💥🔥🔥💥🔥💥🔥🔥💥🔥,-0.9996,Negative,0.0,Neutral,0.3085779249668121,Neutral
"I rewatch this all the time its so fire 🔥
Hey people i recommend you to try *AUTHENTIC views* to legit YT Likes quickly..",-0.1267,Negative,0.4166666666666666,Positive,0.4826151430606842,Positive
https://youtu.be/K-FX5jk4dbY hip hop bro,0.0,Neutral,0.0,Neutral,-0.2245809137821197,Negative
Kingstons nrs 13th fuckthemoll,0.0,Neutral,0.0,Neutral,0.2840349674224853,Neutral
🧘🏾‍♂️♾❤️‍🔥,-0.34,Negative,0.0,Neutral,0.3085779249668121,Neutral
Absolutel favorite song,0.4588,Positive,0.35,Positive,0.9587041735649108,Positive
Ashley Kelly's son Justice Justin Kelly Bieber.,0.5267,Positive,0.0,Neutral,0.4736161231994629,Positive
How many of you noticed ADAM W at the background????!!!!!  I'm shocked 😲,0.5312,Positive,0.15,Positive,-0.5051828026771545,Negative
The scoota brun scene was so underrated,0.0,Neutral,0.0,Neutral,0.4666503667831421,Positive
I came because i thought i saw adam w and king bach in vh1🤣 and it was them🤣,0.7506,Positive,0.0,Neutral,0.3443174958229065,Positive
🏁🏁🏁🏁,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
🔥🔥🔥🔥🔥🔥🔥🔥🔥,-0.9559,Negative,0.0,Neutral,0.3085779249668121,Neutral
#bodyodor #jb,0.0,Neutral,0.0,Neutral,0.2855547070503235,Neutral
https://youtu.be/K-FX5jk4dbY.   hello,0.0,Neutral,0.0,Neutral,0.2628177404403686,Neutral
que clipe do krl,0.0,Neutral,0.0,Neutral,-0.2973150014877319,Negative
Shout out Khaled tho for pushing CLB to do a music video,0.0,Neutral,0.0,Neutral,-0.5615947246551514,Negative
😃😃😃🔥🔥🔥,0.0772,Positive,0.0,Neutral,0.3085779249668121,Neutral
8💯🖤🕳💣,0.25,Positive,0.0,Neutral,0.3085779249668121,Neutral
🥶,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
WTFmFreund heyBro⁰,0.0,Neutral,0.0,Neutral,0.3818114995956421,Positive
legendary...,0.0,Neutral,1.0,Positive,0.7641270160675049,Positive
💜,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
m²m,0.0,Neutral,0.0,Neutral,0.2619420886039734,Neutral
Lyf3v34,-0.1027,Negative,0.0,Neutral,0.2894743978977203,Neutral
Ksksksksks,0.0,Neutral,0.0,Neutral,0.3894180953502655,Positive
Eminem - Lose Yourself Remix Out Now 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥stream https://youtu.be/U8qFvotmrW4,-0.9816,Negative,0.0,Neutral,-0.3193331360816955,Negative
"Huhh.

Please go vegan if you are against animal abuse.",-0.4404,Negative,0.0,Neutral,-0.407855212688446,Negative
"Drake, Mr.kalid, Justin if ever give any free tickets away to fans, throw them this way! #SoDope.    #love.respect.loyalty215",0.5562,Positive,0.5,Positive,0.5062175989151001,Positive
Exactly how I give it....2 middle fingers up! #SoDope,0.0,Neutral,0.125,Positive,0.7579296231269836,Positive
"Drake the type of dude to say someones ""off their rocker""",0.0,Neutral,0.0,Neutral,0.2803795635700226,Neutral
How did I just find this 🙄😆,0.3612,Positive,0.0,Neutral,0.5622275471687317,Positive
#143,0.6369,Positive,0.0,Neutral,0.2406455725431442,Neutral
"Holdup, This came out a year ago? 😂",0.4404,Positive,0.0,Neutral,-0.3268861770629883,Negative
This is dangerous blast 😉😉😍😍😍😍,0.836,Positive,-0.6,Negative,-0.8789137601852417,Negative
"Hi @Aylin, I'm watching this video as I promised and also commenting for you 🤪",0.3612,Positive,0.0,Neutral,0.6356897950172424,Positive
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
Cô Mây hướng dẫn bài tết đong đầy đi ạ,0.1779,Positive,0.35,Positive,0.2664651870727539,Neutral
"I rewatch this all the time its so fire 🔥
Yo guys don't be fool !!! JUST go for *AUTHENTIC views* to get legit likes and views..",-0.3537,Negative,0.5,Positive,0.5188001394271851,Positive
jb,0.0,Neutral,0.0,Neutral,0.2728082835674286,Neutral
Drake make More videos with Justin,0.0,Neutral,0.5,Positive,0.2912909090518951,Neutral
🧢🧢🧢🛋️🛋️🛋️Yes,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Di kaled🤢🤢🤮🤮🤧🤧🤑,0.0,Neutral,0.0,Neutral,0.3361883461475372,Positive
"todos concordam que o Justin Bieber é o artista favorito dele p fazer Feat.??? 
KKKKKK",0.6531,Positive,0.35,Positive,-0.2993403375148773,Negative
his face at the endo 😍,0.4588,Positive,0.0,Neutral,0.2685104608535766,Neutral
I love this❤️❤️❤️❤️,0.6369,Positive,0.5,Positive,0.8423482775688171,Positive
This video is fire 🔥🔥🔥🔥 I love dj Khaled,-0.7003,Negative,0.5,Positive,0.778464138507843,Positive
It's hard!,-0.1759,Negative,-0.3645833333333333,Negative,0.3255171477794647,Neutral
Cool. Channel. New. Subscription.,0.3182,Positive,0.2431818181818181,Positive,0.4556628763675689,Positive
What is the point of khaled,0.0,Neutral,0.0,Neutral,-0.2557390034198761,Negative
I like it  but the second thing i like about it is that Justin bieber is in it i love Justin bieber wish  he was my bf but i am to young for him love u Justin bieber u are my favorite,0.978,Positive,0.32,Positive,0.6054356694221497,Positive
Justin’s ringtone is his “baby”😂🥰,0.8807,Positive,0.0,Neutral,0.4031879007816314,Positive
❤️❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
"This how I Feel,I need to make some real money what's up DJ?",0.0,Neutral,0.2,Positive,0.2866206765174866,Neutral
I can't believe Adam and his friend is also there,0.4939,Positive,0.0,Neutral,0.2465442568063736,Neutral
💖🤗🤗🤗🤗🤗🤗💖💖💖😘🤗🤗💜💖💖🤗🤗🤗🤗,0.9973,Positive,0.0,Neutral,0.3085779249668121,Neutral
2:30 for the start of the song,0.0,Neutral,0.0,Neutral,-0.3215838670730591,Negative
Always saying another one another one another one 🤣🤣🤣🤣 actually Drake ur right 🤣🤣 but I like it,0.9161,Positive,0.1428571428571428,Positive,0.5053873062133789,Positive
This is just brilliant,0.5859,Positive,0.9,Positive,0.9079527258872986,Positive
Funny thing Adam W is also there,0.4404,Positive,0.25,Positive,0.4274412989616394,Positive
I thought that security is also gonna dance,0.34,Positive,0.0,Neutral,0.3048297762870788,Neutral
"OMG I CAN´T STOP PRESS REPLAY AT 1:17, ONLY ME ???? DJK ´S SO FUCKING FUNNY 😆😆🤣🤣🍀🍀🍀",0.9581,Positive,0.125,Positive,-0.5161327719688416,Negative
👏👏👏👏👏👏👏👏👏👏👏👏👏👏 BEAULTIFUL BEAULTIFUL BEAULTIFUL BEAULTIFUL BEAULTIFUL MEUS AMORES,0.9423,Positive,0.85,Positive,0.6516937017440796,Positive
Damm this fucking song is so dope,0.0,Neutral,-0.6,Negative,-0.6692626476287842,Negative
"I saw kingbach in this lmaoooooo, love it",0.6369,Positive,0.5,Positive,0.8262239694595337,Positive
"Justin y love you,papasito",0.6369,Positive,0.5,Positive,0.6584831476211548,Positive
Tuyệt vời cô Mây,0.5423,Positive,0.8,Positive,0.6429924964904785,Positive
😁😁🤭🤭🌺🌺🌺🥰,0.9623,Positive,0.0,Neutral,0.3085779249668121,Neutral
I love Khalid,0.6369,Positive,0.5,Positive,0.7956345081329346,Positive
"""Freaky Friday"" is this video's Idea's brainchild.",-0.3612,Negative,0.0,Neutral,0.2890894114971161,Neutral
🔥🔥,-0.5859,Negative,0.0,Neutral,0.3085779249668121,Neutral
This shit still slaps,-0.5574,Negative,-0.2,Negative,-0.6351275444030762,Negative
Justin biber just say his ex gf Selena 3:42,0.0,Neutral,0.0,Neutral,0.2515015006065368,Neutral
"nunca vou esquecer isso aqui, icônico demais...",0.1695,Positive,0.5,Positive,0.3689902722835541,Positive
NICEEE,0.0,Neutral,0.0,Neutral,0.3205277621746063,Neutral
This song and “Did You Call Me?” by Lukaz are some of the only things getting me through tough times ❤️ I hope everyone is doing well. I love you ❤️,0.8271,Positive,0.037037037037037,Positive,0.7324890494346619,Positive
Drake is sooo whack,0.0,Neutral,0.0,Neutral,-0.2847158312797546,Negative
"In Jesus name I shall write a Christian remix to this instrumental and use it as a tool to lead people to Christ and do work for the Kingdom of God! Holy Spirit have your way I can't do it with out You! ""Greater is He who lives in me than He who is in the World"" ""Who is this uncircumcised philistine?""",0.7081,Positive,0.25,Positive,0.4142945110797882,Positive
Drake said call in a favor like he was gon have Khalid killed like he did X lol,0.6124,Positive,0.3,Positive,-0.4932355582714081,Negative
How bout the message of the video??? Anyone catch it,0.0,Neutral,0.0,Neutral,-0.6608220338821411,Negative
🗣Drake get me liT 💯 Trapstar not a Rapstar‼️ https://youtu.be/xcAHT0lb1Is,0.0,Neutral,0.0,Neutral,-0.4909252822399139,Negative
Wow annoying is not the word! Although I don’t like this music I have much respect for my fellow Canadians for getting it done out there!,0.8065,Positive,-0.2166666666666666,Negative,-0.6454723477363586,Negative
uau,0.5859,Positive,0.1,Positive,0.2605956494808197,Neutral
03:39 anyone else seen King Bach or am i just a racist lmfao,-0.128,Negative,0.0,Neutral,-0.7867759466171265,Negative
I noticed at last part that zane adam and kingbach are also in there,0.0,Neutral,0.0,Neutral,0.371193915605545,Positive
"Yeahhh,, Justin is a popstar",0.0,Neutral,0.0,Neutral,0.3913275599479675,Positive
Kingbatch in there💀💀😭😭,-0.7351,Negative,0.0,Neutral,0.3803140223026275,Positive
MOOD.,0.0,Neutral,0.0,Neutral,0.3052354753017425,Neutral
Drakeeeeeee IS THE MOST SMARTEST PERSON IN THE WORLD WOWWWWWWWW,0.7756,Positive,0.5,Positive,0.8280680775642395,Positive
Its verry bad,-0.5849,Negative,-0.9099999999999998,Negative,-0.432545393705368,Negative
