Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
1 century later if you are watching this then u are legend 🖤🖤,0.8555,Positive,0.0,Neutral,0.5699458122253418,Positive
"Muitas lembranças, eu amava ficar escutando essa Música no rádio com a minha irmã. Gostei da evolução vocal dele",0.7717,Positive,0.6,Positive,0.5392256379127502,Positive
May 2022 : Any Legends?? 😎,0.5204,Positive,0.0,Neutral,-0.4430445730686188,Negative
My Ringtone💥✌️,-0.3612,Negative,0.0,Neutral,0.5787277817726135,Positive
Justin Sigma male song even after 9 years I just love till date much love Justin and whole team of  boyfriend,0.8555,Positive,0.3,Neutral,0.7297976016998291,Positive
"My childhood :,)",0.0,Neutral,0.0,Neutral,0.5267572402954102,Positive
Awesome melody 💙,0.8519,Positive,1.0,Positive,0.7724089622497559,Positive
Who else with me here in 2022?,0.0,Neutral,0.0,Neutral,-0.3957322835922241,Negative
J.b always king...💙,0.6369,Positive,0.0,Neutral,0.5936711430549622,Positive
So as long as you don't speak about me to others..it will affect my health badly,-0.4767,Negative,-0.3749999999999999,Negative,0.4843218922615051,Positive
Apr 24 2022 let’s see how many legends came back to this masterpiece,0.7073,Positive,0.25,Neutral,0.6836186647415161,Positive
THEM BIEBS BETTER WATCH OUT FOR US COUGARS!!!!!!! WINK WINK WINCE LOL!!!!!!!!,0.7825,Positive,1.0,Positive,-0.3034254610538482,Negative
let's see how many legends and fans are still listening to this masterpiece🔥,0.5385,Positive,0.5,Positive,0.571803867816925,Positive
good,0.4404,Positive,0.7,Positive,0.4969631731510162,Positive
¡¡falta poco para que esta joyita cumpla sus 10 años!!,0.0,Neutral,-0.0546875,Negative,0.6127311587333679,Positive
He looked so cool as a teen! NGL that era was great… I’m nostalgic after watching this😩💖,0.8078,Positive,-0.05,Negative,0.7013853788375854,Positive
shit smacks,-0.5574,Negative,-0.2,Negative,-0.3689492046833038,Negative
Do you come to Thailand?,0.0,Neutral,0.0,Neutral,-0.3575098216533661,Negative
❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
2022？,0.0,Neutral,0.0,Neutral,-0.3460057079792022,Negative
WTF,-0.5859,Negative,-0.5,Negative,0.3218501508235931,Neutral
"2022, Still 🌹",0.0,Neutral,0.0,Neutral,0.2814262807369232,Neutral
9 years leater if u r still watching this then god bless you😊,0.872,Positive,0.0,Neutral,-0.4588302969932556,Negative
2022,0.0,Neutral,0.0,Neutral,0.2900533974170685,Neutral
"I hate the word boyfriend/girlfriend.
Better to say friends /partners.,.you are not with your soulmates",0.3182,Positive,-0.15,Negative,-0.4877975285053253,Negative
nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
"Heheh people somehow enjoy this
Heheh he can't sing",0.4939,Positive,0.4,Positive,0.3878977596759796,Positive
"-Зверопой?
-Да.",0.4019,Positive,0.0,Neutral,-0.331268310546875,Negative
Virar realidade,0.0,Neutral,0.0,Neutral,0.384778767824173,Positive
"I love you and love your songs so so much,",0.8555,Positive,0.3999999999999999,Positive,0.9275602102279664,Positive
the mixing mastering was messed up,-0.34,Negative,0.0,Neutral,-0.4187150299549103,Negative
2022??,0.0,Neutral,0.0,Neutral,-0.4259990453720093,Negative
9 years 🔥🔥,-0.5859,Negative,0.0,Neutral,0.605556845664978,Positive
"Fayway is Number 1 Construction Company which deals in all kinds of Home, Villa, Mansion, Hospital, Corporate Office, Manufacturing Plants and Industry Construction.Refer and Earn Money",0.0772,Positive,0.0,Neutral,0.7278047800064087,Positive
22nd April 2022 anyone?,0.0,Neutral,0.0,Neutral,-0.7683756947517395,Negative
Uptill today I don't why the first verse is repeated 😖😖🙈,0.0,Neutral,0.25,Neutral,0.3093121647834778,Neutral
this was his last good song in my opinion,0.4404,Positive,0.35,Positive,0.2728940546512604,Neutral
9 years feels like only 2 years if the song is good 🤔👍,0.6597,Positive,0.35,Positive,-0.2687503695487976,Negative
RIP Rocael! 💯🙏🏿✊🏿,0.0,Neutral,0.0,Neutral,-0.4487902224063873,Negative
0:21  That's how IPhone 14 lookalike after 10 years of MV released ......,0.0,Neutral,0.0,Neutral,-0.4627082347869873,Negative
I can’t believe we were all ashamed to admit that we liked this song back in the day,0.128,Positive,0.3,Neutral,0.545495331287384,Positive
So much cringe so iconic,0.0,Neutral,0.35,Positive,0.4974255859851837,Positive
LIKE SI LE ESTÁS ESCUCHANDO EN PLENO 2022🔥,0.2103,Positive,0.35,Positive,0.2754222452640533,Neutral
2022 💜,0.6369,Positive,0.0,Neutral,0.2993581593036651,Neutral
What do you mean 9 years ago? this song was literally my CHILDHOOD i was like 11...,0.3612,Positive,-0.3125,Negative,-0.3747318685054779,Negative
"9 years later , guys . Its as awesome as it was back then .🤩",0.6249,Positive,0.3333333333333333,Positive,0.8304061889648438,Positive
"it's only selena and i that hates this song?

anyway who is here because of jordan turpin?",-0.504,Negative,0.0,Neutral,-0.6068965196609497,Negative
"For Justin Bieber fans, let's listen to his song Beauty And A Beat which has now reached 997 million views, let's get 1 billion 🍺+🍺= 💦

And also listen to other Justin Bieber songs
- Sorry
- Cold water
- Let me Love You
- I show you
- Friends
- 2U
- 10000 Hours
- Intentions
(many other Justin Bieber songs)",0.9042,Positive,-0.0583333333333333,Negative,0.4146801233291626,Positive
