Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
io sono italiana,0.0,Neutral,0.0,Neutral,-0.3222101926803589,Negative
The remix with the weekend is the best thing ever,0.6369,Positive,1.0,Positive,0.7925152778625488,Positive
Que pro perro 🐕😎👌,0.8455,Positive,0.0,Neutral,0.3629402816295624,Positive
Wao 😍amo esta cancion.cuantas letras hermosa.me derrito cada vez que la escucho.❤da gusto escucharla😍❤,0.9783,Positive,0.6125,Positive,0.2754453718662262,Neutral
buena cancion xd,0.7717,Positive,0.7,Positive,0.4864544868469238,Positive
😱😱😱,-0.9468,Negative,0.0,Neutral,0.3085779249668121,Neutral
Yo también no escucho sus canciones pero esta canción me gusta,0.5023,Positive,0.0,Neutral,0.3458383083343506,Positive
Es ta ok,0.296,Positive,0.5,Positive,0.4224797189235687,Positive
"Quand on doit apprendre cette chanson pour un cours d'espagnol
When we have to learn this song fr a Spanish lesson
cuando tenemos que aprender esto para una lección de español",0.0,Neutral,0.0,Neutral,0.2402392774820327,Neutral
"Jaja mi ex me dijo que le gustaba esta canción ahora entiendo porque,aun quería a su ex novia 🥺😔",0.875,Positive,0.5,Positive,0.3333942592144012,Positive
sigue rompiéndola 🔥💕,0.4404,Positive,0.0,Neutral,-0.5178629159927368,Negative
Kxkxkzkdjudnsjfudkdhks,0.0,Neutral,0.0,Neutral,0.2363606840372085,Neutral
WEY SE LA DEDICO A MI EX TE AMO MALU MA,0.6369,Positive,0.5,Positive,-0.4215888977050781,Negative
Ok,0.296,Positive,0.5,Positive,0.4951144456863403,Positive
excilente,0.0,Neutral,0.0,Neutral,-0.2531196773052215,Negative
"I love this song so much its very catchy.
I love it so much, that I remixed it. Link below 
https://youtu.be/H3cfwQNJZ8Q
for anyone that would like to hear it. I made a hype epic reggaeton beat with brass n orchestral ensemble it.
Stay happy n safe everyone. Blessup Always",0.9569,Positive,0.375,Positive,0.8461355566978455,Positive
Buena canción.... admitelo....una vez escuchándola se queda en tu cabeza 🤯,0.5719,Positive,0.7,Positive,0.5129215121269226,Positive
nashe,0.0,Neutral,0.0,Neutral,0.2578298151493072,Neutral
no puedo parar de escuchar esta canción,0.2235,Positive,0.0,Neutral,-0.4378004074096679,Negative
"Esta era de las canciones favoritas de mi abuelo , el falleció hace 2 años no tiene ni un día que lo perdí yo a el y siento que me muero sin el :(",0.6814,Positive,-0.125,Negative,0.3967031836509704,Positive
Yo en noviembre 26 2021,0.0,Neutral,0.0,Neutral,-0.3987203538417816,Negative
:),0.4588,Positive,0.5,Positive,0.3749994933605194,Positive
Mis felicitaciones,0.5994,Positive,0.0,Neutral,0.5698539614677429,Positive
Amo esta cancion,0.6369,Positive,0.5,Positive,0.6954569816589355,Positive
¿Quien ve esta canción en noviembre 2021?,0.0,Neutral,0.0,Neutral,-0.5500043034553528,Negative
temazo,0.6249,Positive,0.8,Positive,0.2918783724308014,Neutral
Quien mas cuando escucha esta canción recuerda a Neymar?,0.0,Neutral,0.0,Neutral,-0.3762626945972442,Negative
Ya me desahogue con esa rola,0.0,Neutral,0.0,Neutral,-0.4721522927284241,Negative
No me gusta mucho maluma me gusta mas tini y maria becerra y lola indigo y belinda,0.1002,Positive,0.35,Positive,-0.6407070159912109,Negative
Mi novia le canta this song,0.0,Neutral,0.0,Neutral,0.5742954015731812,Positive
"Me gu
Me gusta la cancion",0.6486,Positive,0.6,Positive,0.4169493019580841,Positive
Lo amo,0.6369,Positive,0.5,Positive,0.5139033198356628,Positive
Me encanta esta canción 😃,0.7717,Positive,0.5,Positive,0.7863094806671143,Positive
"Tal cual , me encanta esa canción. Sin tener despecho la canto con amor y dolor",0.8854,Positive,0.5,Positive,0.8406066298484802,Positive
Jwwi,0.0,Neutral,0.0,Neutral,0.2431235313415527,Neutral
Yo la escucho con mi gatito siempre .. y es mi momento favorito porque tiene años que no veo  a mi gatito 🐱,0.4588,Positive,0.5,Positive,0.7302616834640503,Positive
😍🍷🥰😍😘🥰,0.9732,Positive,0.0,Neutral,0.3085779249668121,Neutral
Me gusta la letra pero¿ es necesario cortar las palabras?    Linda pero  bueno,0.7876,Positive,0.3999999999999999,Positive,0.5771213173866272,Positive
mi colegio me hiso escribir esta canción toda fea,-0.5106,Negative,-0.7,Negative,0.6596205830574036,Positive
🤗🤗🤗🤗🤗,0.9186,Positive,0.0,Neutral,0.3085779249668121,Neutral
Me encanta esta música es un temazo,0.6369,Positive,0.5,Positive,0.7523105144500732,Positive
Maluma mí nene,0.0,Neutral,0.0,Neutral,-0.4526395797729492,Negative
MUY BONITA,0.4754,Positive,0.78,Positive,0.6702181100845337,Positive
Su nombre es que estoy en el que me dijo,0.0,Neutral,0.0,Neutral,-0.2829194366931915,Negative
me gusta la canción,0.3612,Positive,0.0,Neutral,0.4743446111679077,Positive
lo mejor que ha sacado maluma sin duda,0.7438,Positive,1.0,Positive,0.8272355794906616,Positive
Q buena,0.4404,Positive,0.7,Positive,0.3959119319915771,Positive
such a good song bro,0.4404,Positive,0.35,Positive,0.5514364242553711,Positive
:'(,-0.4939,Negative,-1.0,Negative,0.2345849126577377,Neutral
Te envío los ángeles de Victoria's me voy al compas me voy de salida te quiero,0.6369,Positive,0.5,Positive,-0.6460390090942383,Negative
Buenas tarde adjunto y me trajeron los recursos para ti te gusta máscara para continuar cada día que me hasdddsddddddsd,0.6597,Positive,0.7,Positive,0.4650823175907135,Positive
Buenas tarde adjunto y me trajeron los recursos para ti te gusta máscara para continuar cada día que me hasdddsddddddsdd,0.6597,Positive,0.7,Positive,0.4725689888000488,Positive
Me encanta la canción,0.6369,Positive,0.5,Positive,0.6971766948699951,Positive
