Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
badass song,0.34,Positive,0.0,Netural,0.3532699644565582,Positive
@evolve i am from soul society,0.0,Neutral,0.0,Netural,0.6223416328430176,Positive
I love this song so much 🥰🥰🥰🥰😍😍😍😌,0.9929,Positive,0.35,Positive,0.8893097639083862,Positive
When you are listening to this 2022 with fake COVID -  19 things you are a actual legend <3,-0.0516,Negative,0.16666666666666666,Netural,-0.40247103571891785,Negative
I want a horse 🐎 😫,-0.3818,Negative,0.0,Netural,0.402397096157074,Positive
"I'm gonna take my hoes to the hotel room, I'm gonna ride 'til I can't no more😭",-0.3591,Negative,0.0,Netural,0.2503843307495117,Netural
BEST SONG SONG EVER,0.6369,Positive,1.0,Positive,0.9434181451797485,Positive
Thanks this is my favorite songs 😻😻💞💞💞💞,0.9836,Positive,0.35,Positive,0.8881988525390625,Positive
"""i'am gonna take my horse to the Indian road""",0.0,Neutral,0.0,Netural,-0.2179599106311798,Negative
One of the best songs I've heard😩💖😭👑,0.7506,Positive,1.0,Positive,0.9210242629051208,Positive
hat down town livin' like a rock star spent a lot of money on my new guitar....... this excerpt is popular on tik tok,0.6486,Positive,0.12020202020202019,Netural,0.5562410354614258,Positive
love  the  song 🤠🤠🤠🤠🤠🍹,0.6369,Positive,0.5,Positive,0.7003944516181946,Positive
good with headphones trust me,0.7351,Positive,0.7,Positive,0.45540758967399597,Positive
I sing it in super smash bros ultimate,0.5994,Positive,0.16666666666666666,Netural,0.6794349551200867,Positive
2020 or 2019 vibes,0.0,Neutral,0.0,Netural,0.28344789147377014,Netural
if you lestening to this in 2022 be my friend,0.4939,Positive,0.0,Netural,0.3433494567871094,Positive
Masterpiece never get old (April 2022)🔥🔥🔥,-0.2732,Negative,0.1,Netural,0.8674854040145874,Positive
Hits another level when Lil Nas kicks in 💯🥵,0.0,Neutral,0.0,Netural,0.27227258682250977,Netural
Dis is the best song i even made an animation with this song,0.6369,Positive,1.0,Positive,0.8694816827774048,Positive
Its 2022 and i still jam to this legendary song,0.0,Neutral,1.0,Positive,0.7589381337165833,Positive
Remember when billy ray had to be put on this song because it was too black ?,0.0,Neutral,-0.16666666666666666,Negative,-0.3037501573562622,Negative
Did billy ray and lil nas break up.,0.0,Neutral,0.0,Netural,0.26450592279434204,Netural
Yeah I'm gonna take my horse to the old town road .,0.296,Positive,0.1,Netural,-0.26834240555763245,Negative
USA,0.0,Neutral,0.0,Netural,0.2447315901517868,Netural
"To the people who commented 2 years before, This line: Hat down, Cross Town, living like a rockstar, spend alota money on my brand new guitar",0.3612,Positive,-0.006397306397306411,Negative,-0.4112354516983032,Negative
This really really reminds me of the 2019 days.,0.0,Neutral,0.2,Netural,0.7302478551864624,Positive
The Good old days....,0.4404,Positive,0.39999999999999997,Positive,0.40105345845222473,Positive
2017 vibes ❤️✨,0.3182,Positive,0.0,Netural,0.4203883707523346,Positive
🔥🔥never realized how good this is,0.128,Positive,0.7,Positive,0.6609908938407898,Positive
TO THE OLD TOWN,0.0,Neutral,0.1,Netural,0.4252539873123169,Positive
Balkan?Anyone,0.0,Neutral,0.0,Netural,-0.5265017151832581,Negative
1:35 listen😃,0.3612,Positive,0.0,Netural,-0.24635767936706543,Negative
Go to 1:23 its the most popular part,0.4754,Positive,0.55,Positive,0.30950260162353516,Netural
"Your kidding! This came out THREE years ago! Oh, the good 'ol days before Covid.",0.5972,Positive,0.7,Positive,-0.5292348861694336,Negative
uwulmbnvkvciof🏳‍⚧🏳‍⚧🏳‍⚧🏳‍⚧🏳‍⚧🏳‍⚧🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍⚧🏳‍⚧🏳‍⚧🏳‍🌈🏳‍⚧🏳‍⚧🏳‍🌈🏳‍🌈🏳‍🌈🏳‍⚧🏳‍⚧🏳‍🌈🔹🔹🔺🔺🔺🔺🔺🏳‍🌈🏳‍🌈🏳‍🌈🏳‍⚧🏳‍⚧🏳‍🌈🏳‍🌈🏳‍⚧🏳‍⚧🏳‍⚧🏳‍⚧🏳‍⚧🏳‍🌈🏳‍🌈🏳‍🌈,0.5859,Positive,0.0,Netural,0.30857792496681213,Netural
I love this so much and I LOVE horses AND I listen to this every morning 🌄 💗,0.9436,Positive,0.39999999999999997,Positive,0.9308135509490967,Positive
I accidentally click this song and this was my best accident!!!,-0.2905,Negative,1.0,Positive,-0.8315992951393127,Negative
Evloe we not saying where we live or where we come from,0.0,Neutral,0.13636363636363635,Netural,-0.3968000113964081,Negative
Ahhhh the good old days of everyone singing this at school,0.4404,Positive,0.39999999999999997,Positive,0.27450665831565857,Netural
I remember when everyone was singing this,0.0,Neutral,0.0,Netural,0.41090333461761475,Positive
If ur watching this in 2022 ur a Legend,0.0,Neutral,0.0,Netural,-0.2786065936088562,Negative
"Hi guys, in 2022 24martcğh  are you still listening this masterpiece?",0.7073,Positive,0.0,Netural,0.5400826334953308,Positive
1:38 is the best and my fav part! Keep it up Evolve!!! Keep it up!! Dont lose it! Stay safe and take care everyone!,0.9495,Positive,0.8125,Positive,0.8636406660079956,Positive
Good song,0.4404,Positive,0.7,Positive,0.5417960286140442,Positive
"John 3:16
Romans 10:9
John 3:3
Matthew 7:21",0.0,Neutral,0.0,Netural,0.25143757462501526,Netural
If some one is here from 2022 listing the music leave a 👍🏻❤️,-0.0516,Negative,0.0,Netural,-0.42521417140960693,Negative
Bad,-0.5423,Negative,-0.6999999999999998,Negative,-0.6820114850997925,Negative
Really I looked for this song long time ago,0.0,Neutral,0.07500000000000001,Netural,0.6213415861129761,Positive
The oof remix is even better,0.4404,Positive,0.5,Positive,0.25984716415405273,Netural
Lil nas x saying rasies words and he is that colour,0.0,Neutral,0.0,Netural,-0.35939860343933105,Negative
The armys this song reminds you of nothing 💜💜 with the members of BTS (Jimin's voice was doing the autotune and for once he managed not to fall out of his chair 😂😂),0.7672,Positive,0.0,Netural,-0.3181019127368927,Negative
This use to be the best song it still is in my opinion,0.6369,Positive,1.0,Positive,0.719784677028656,Positive
Hola,0.0,Neutral,0.0,Netural,0.25504207611083984,Netural
Who still listens to this in 2022😁,0.4588,Positive,0.0,Netural,0.515794575214386,Positive
1:37,0.0,Neutral,0.0,Netural,-0.21771550178527832,Negative
where are you from,0.0,Neutral,0.0,Netural,0.3281504213809967,Netural
I am gonna take my horse to the Seoul town road 🙃,0.0,Neutral,0.0,Netural,0.25876256823539734,Netural
L,0.4588,Positive,0.0,Netural,0.2571044862270355,Netural
This is so good try to make more good songs like this one,0.8657,Positive,0.6333333333333333,Positive,0.6723719835281372,Positive
It's been 3 years since the song was the best song in the world,0.6369,Positive,1.0,Positive,0.5922401547431946,Positive
INDIA,0.0,Neutral,0.0,Netural,0.23210957646369934,Netural
Indonesia🇮🇩,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
This is the pandemic hit song,0.0,Neutral,0.0,Netural,-0.3085666596889496,Negative
I LOVE LEAN,0.6369,Positive,0.5,Positive,0.7364014387130737,Positive
2022 gabg,0.0,Neutral,0.0,Netural,0.26638922095298767,Netural
2022,0.0,Neutral,0.0,Netural,0.2900533974170685,Netural
The BOOBIS PART,0.0,Neutral,0.0,Netural,0.2878839373588562,Netural
This is when lil nas x wasn’t gay lol,0.4215,Positive,0.6083333333333334,Positive,-0.3798714876174927,Negative
THIS IS AWSOME,0.6249,Positive,1.0,Positive,-0.5127847194671631,Negative
Childish rat bullshit,-0.7184,Negative,-0.2,Negative,-0.749816358089447,Negative
i am from vietnam,0.0,Neutral,0.0,Netural,-0.3882482349872589,Negative
YEAAAAAAA ILL GONNA TAKE MY HORSE 🤠🤠🤠🤠 TO THE OLD TOWN ROAD 😎😎😎😎😎😎😎 ILL GONNA RIDE TILL I CANT NO MORE 🥵🥵🥵🥵,0.9577,Positive,-0.21666666666666667,Negative,-0.39921316504478455,Negative
😍😍,0.7184,Positive,0.0,Netural,0.30857792496681213,Netural
Hiii,0.0,Neutral,0.0,Netural,0.27937567234039307,Netural
Hiii,0.0,Neutral,0.0,Netural,0.27937567234039307,Netural
Oms. It’s already 2 yrs?,0.0,Neutral,0.0,Netural,-0.3591563403606415,Negative
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
y’all can’t lie tho. this song was and will always be a bop,0.0,Neutral,0.0,Netural,0.5947383046150208,Positive
Damn straight lil nas X is freaky,-0.5106,Negative,0.2,Netural,-0.3903857469558716,Negative
i from Viet Nam,0.0,Neutral,0.0,Netural,-0.21852590143680573,Negative
Any time we had children's day in school we would listen to this song 🤣,0.4939,Positive,0.0,Netural,0.4386551082134247,Positive
I remember when this was popular,0.4215,Positive,0.6,Positive,0.317257821559906,Netural
BEST SONG EVER :) 😊😊,0.9635,Positive,0.75,Positive,0.9516696333885193,Positive
This Is fire,-0.34,Negative,0.0,Netural,0.5560777187347412,Positive
Not me listening to this before the pandemic when I was in 6 grade and I was depressed as shit and lonely,-0.8555,Negative,-0.15,Negative,-0.5251894593238831,Negative
bet I'm the only one here in 2022,0.0,Neutral,0.0,Netural,-0.3857802152633667,Negative
nice song and very catchy   :),0.7251,Positive,0.43333333333333335,Positive,0.4740951955318451,Positive
This song is one of my favorites ❤️,0.4215,Positive,0.0,Netural,0.8567717671394348,Positive
India ! bois,0.0,Neutral,0.0,Netural,0.3701508939266205,Positive
Anybody here after the astroworld deaths?,0.0,Neutral,0.0,Netural,-0.4799613952636719,Negative
This reminds me if when i was horse riding,0.0,Neutral,0.0,Netural,0.32581430673599243,Netural
QtahajaipehJ,0.0,Neutral,0.0,Netural,0.23919303715229034,Netural
Anyone here 2022???,0.0,Neutral,0.0,Netural,-0.7510294318199158,Negative
Brazil,0.0,Neutral,0.0,Netural,0.271924763917923,Netural
Yes,0.4019,Positive,0.0,Netural,0.3790786862373352,Positive
"I'm leaving this comment 
So that someone liked it after or 1 or 2 years and I can get the memories I have with this song",0.4703,Positive,0.6,Positive,0.3154752254486084,Netural
Lil nas x sucks,-0.3612,Negative,-0.3,Negative,-0.5336600542068481,Negative
This guy basically went from riding on horses and tractors to riding Satan...before killing him.,-0.6597,Negative,0.0,Netural,-0.6090208292007446,Negative
"man,feels like 10 years ago",0.3612,Positive,0.0,Netural,0.5261457562446594,Positive
Anyone here în 2022?? 💕,0.0,Neutral,0.0,Netural,-0.7086577415466309,Negative
How many people have sene this in 2022,0.0,Neutral,0.5,Positive,-0.5130304098129272,Negative
Me starting up red dead,-0.6486,Negative,-0.06666666666666667,Negative,-0.5104547142982483,Negative
This  song makes me remember my friends  in estaoc elementary  I remember my friends.,0.7351,Positive,0.3,Netural,0.6417056322097778,Positive
