Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
bfe is alicia keys,-0.5574,Negative,0.0,Neutral,0.3125692009925842,Neutral
This song is truly amazing 🤧❤️,0.7717,Positive,0.6000000000000001,Positive,0.8836576342582703,Positive
Damn I love this song,0.3612,Positive,0.5,Positive,0.8462854027748108,Positive
Me gusta,0.3612,Positive,0.0,Neutral,0.4238454401493072,Positive
"Como uno que tiene un welo y una wela nacido en Puerto Rico en El LADO de mi mama y un padre nacido en Puerto Rico yo estoy avitando favoritismo de independencia, estado, territorio, comprado y no comprado, estoy dejando la decision con otro territorio/commonwealth Puerto Ricanos si pueden decidir.",-0.1779,Negative,0.0,Neutral,-0.4096047580242157,Negative
Hola linda famili de 🙏🙇👑❤🌻🔥🎁🎄🎉🎈🎅 ☀🎼🎤🌅,0.9062,Positive,0.85,Positive,0.3948879539966583,Positive
❤️❤️❤️ LOVE LOVE LOVE MUSIC ...............,0.9501,Positive,0.5,Positive,0.7165608406066895,Positive
Love the original  sorry not sorry 🤎🤎✌🏾,0.8632,Positive,0.15625,Neutral,0.5761803984642029,Positive
I love this song 😍 I thought it was Nairobi ( money heist)  2:26 😅🤣,0.9169,Positive,0.5,Positive,0.7882180213928223,Positive
Hermosa música !,0.636,Positive,1.0,Positive,0.7700020670890808,Positive
I like alicia so much but sorry she is nothing in this sing nit sound good same the original,-0.0656,Negative,0.0958333333333333,Neutral,0.4111288189888,Positive
LA MEJOR MUSICA DEL 2021 UwU,0.7125,Positive,1.0,Positive,0.919828712940216,Positive
Super la alegría de Alicia Keys,0.8271,Positive,0.5666666666666667,Positive,0.7896279692649841,Positive
I lIVE for this version!! xo,0.0,Neutral,0.2130681818181818,Neutral,0.6500009298324585,Positive
"Para allá voy en 10 Dias, después de 9 lardons años!  Can’t wait! Playa, sol y Navidad!",0.0,Neutral,-0.09765625,Negative,0.7204971313476562,Positive
Hermosa Alicia,0.5994,Positive,0.85,Positive,0.6612326502799988,Positive
Muy bien! ¡Este remix es asombroso! ¡Amo sus voces juntas!,0.8161,Positive,0.46875,Positive,0.7660511136054993,Positive
Send me any amount of money into my account and I will refund you 4 times the amount back. Hu8,0.0,Neutral,0.0,Neutral,-0.8600866198539734,Negative
"Pollggjghyhhddfgggcgdfhadgfdfeeswwqqwerggrrdcffcvfs,nfxcfffggfgfff gbbghuytg",0.0,Neutral,0.0,Neutral,-0.3260568976402282,Negative
Me gusta la canción y con la Compañía y el acento de Alicia Keys Me encanta 😍😘😘,0.936,Positive,0.5,Positive,0.6007396578788757,Positive
Sol cool,0.3182,Positive,0.35,Positive,0.3668999969959259,Positive
Beautiful song from India,0.5994,Positive,0.85,Positive,0.6772644519805908,Positive
"554,544",0.0,Neutral,0.0,Neutral,0.2401637136936187,Neutral
Love island  it isn't easy  love more the world  it hard because you want to people live good,0.3018,Positive,0.3540043290043289,Positive,0.3558222353458404,Positive
This song go hard😘😘😘,0.7906,Positive,0.0,Neutral,0.5263102054595947,Positive
The Best music,0.6369,Positive,1.0,Positive,0.9245617389678956,Positive
Love,0.6369,Positive,0.5,Positive,0.6595039963722229,Positive
Sehat,0.4019,Positive,0.5,Positive,0.2335478663444519,Neutral
This od beautiful,0.5994,Positive,0.85,Positive,0.7196801900863647,Positive
"Alicia Keys sei bellissima, grosso bacio da VERONA (ITALY) 😘",0.8591,Positive,0.425,Positive,0.6971677541732788,Positive
OTRA cosa con A.K. !!!!! excelente !!!!!,0.7067,Positive,1.0,Positive,0.788977324962616,Positive
que tal descaro de photoshop xD!,0.0,Neutral,0.0,Neutral,0.3969329297542572,Positive
Alicia cantando español😳🔥,-0.34,Negative,0.0,Neutral,0.418604165315628,Positive
sonrisa de alicia es divina,0.7269,Positive,0.3,Neutral,0.6480239629745483,Positive
"Nope nope 
Nothing like the original",-0.3756,Negative,0.375,Positive,-0.7210233211517334,Negative
Alicia kays es hermosa😍💓🔥,0.9698,Positive,0.0,Neutral,0.2980819344520569,Neutral
Superrrrrr,0.0,Neutral,0.0,Neutral,0.7188376784324646,Positive
Presiosa linda flor,0.7783,Positive,0.5,Positive,0.4815927445888519,Positive
AMMAAZZIINNGG,0.0,Neutral,0.0,Neutral,-0.3938359022140503,Negative
Alicia Keys in spanish I love it !!    great song !!,0.8877,Positive,0.59375,Positive,0.8882812857627869,Positive
Amo muiiiiito o ritmo latino e a letra...,0.6369,Positive,0.35,Positive,0.2536610066890716,Neutral
i love it,0.6369,Positive,0.5,Positive,0.8333382606506348,Positive
What do you think about this ? https://www.youtube.com/watch?v=TCSUKIhjevo&t=9s&ab_channel=LivingWaters ??!,0.0,Neutral,0.0,Neutral,-0.4189998209476471,Negative
I love the collaboration sounds 👌👌👌 #PuroTalento,0.9705,Positive,0.5,Positive,0.7664096355438232,Positive
"Music is universal, i love spanish song",0.6369,Positive,0.1666666666666666,Neutral,0.5355535745620728,Positive
Basta de quemar y arruinar esta canción si de por si con farruco esta horrible tan bien que estaba así nadamas la versión de Pedro,-0.0667,Negative,-0.5,Negative,-0.7721009254455566,Negative
Que buena versión!!,0.4926,Positive,0.875,Positive,0.4600584506988525,Positive
Mais quem em pleno 2021?,0.0,Neutral,0.0,Neutral,-0.2929582595825195,Negative
Alicia is cool and all but she should’ve never got on the song 🤌🏼 tried to do what Justin Bieber did but killed the vibe. Ruined it,-0.8945,Negative,0.0749999999999999,Neutral,-0.4123961627483368,Negative
Home plane,0.0,Neutral,0.0,Neutral,0.3353040218353271,Positive
Vamo a Calmarno,0.0,Neutral,0.0,Neutral,0.4660797715187073,Positive
"q felicidad x deus, 3 titanesss",0.5574,Positive,0.7,Positive,0.6964662671089172,Positive
farruko genioooooo,0.0,Neutral,0.0,Neutral,0.347588449716568,Positive
fuaaaaaaaaaaaaaa q linda es y el tambien,0.4588,Positive,0.5,Positive,-0.5319392681121826,Negative
"genial capo ,la mas linda vos y vos sos genial peter",0.9169,Positive,0.8,Positive,0.8365952968597412,Positive
Whoa. Beautiful Song!,0.636,Positive,1.0,Positive,0.8040111064910889,Positive
😀😀😀😀😀🙂🙂😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀🙃🙃😉😉😉😉😉😉😉😉😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😘😘😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀,0.9992,Positive,0.0,Neutral,0.3085779249668121,Neutral
😅😅😅😅😅😅viel zu viel autotunes hört sich total scheisse an 🤢🤢🤢🤢🤮🤮☹☹☹☹☹☹☹☹☹☹🤣🤣🤣🤣🤣🤣🤣🤣🤢🤣🤣🤣🤣🤣HAHAHAHAHHA,-0.3384,Negative,-0.2,Negative,-0.6287962198257446,Negative
i love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
poimetokl,0.0,Neutral,0.0,Neutral,0.259003072977066,Neutral
i like all of the calma so good,0.7384,Positive,0.7,Positive,0.5921644568443298,Positive
LIKE!!,0.4738,Positive,0.0,Neutral,0.4837180376052856,Positive
I am Indian I do not understand the language of this song but whenever I hear the song I am fascinated🥀❤️🥰❤️🥀🥰❤️🥰❤️🥰❤️🥰❤️😍❤️🥰❤️🥰🥀😍🥀😍🥀♥️😊🥰😊🙏🥀💕💕🥀🙏❤️♥️♥️🥀🥰😍😊🥰🙏💕🥰💕🥀😊❤️♥️😍🥀♥️😊🥰😍🙏😍💕🙏😊🥰♥️🥀🥀😊❤️🙏💕❤️💕🥰😊♥️🥰🙏🥀💕,0.9999,Positive,0.0,Neutral,-0.3163522779941559,Negative
11/10/21 eu aqui,0.0,Neutral,0.0,Neutral,0.2940099537372589,Neutral
🏄💞,0.6486,Positive,0.0,Neutral,0.3085779249668121,Neutral
this is 2021 so i have to comment it like such.. this song is so racist..... half black/ half white singer sings latino song..... that's racist. ....ok now all of you lgbtqxhdaslkdfalfjasldfj  ppl hat eme....,-0.8232,Negative,-0.0833333333333333,Negative,-0.7741084694862366,Negative
🎶❤🎶,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
Musica gostosa muito bem,0.6361,Positive,0.4,Positive,0.5662084221839905,Positive
This song is just beautiful! Makes me want to go to Puerto Rico now!,0.6988,Positive,1.0,Positive,0.859902024269104,Positive
Alicia Keys 💯💯💯💯💯✔✔✔🌎👋,0.4939,Positive,0.0,Neutral,0.3769168853759765,Positive
