Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Justin beever,0.0,Neutral,0.0,Neutral,0.2824070155620575,Neutral
You AR cool,0.3182,Positive,0.35,Positive,0.4831552505493164,Positive
😃😀🙂😎😁😎😃😀🙂😎😎🙂😀😃😀😎😎😎😎😎😎😎😎😎😎🙂🙂🙂🙂🙂🙂🙂🙂,0.9978,Positive,0.0,Neutral,0.3085779249668121,Neutral
Keep up the good and ork,0.4404,Positive,0.7,Positive,0.2672198116779327,Neutral
Omg I love that song do not yummy  yum songs 😎🙂😀😃,0.8972,Positive,0.5,Positive,-0.2773720622062683,Negative
ดี,0.4404,Positive,0.7,Positive,0.3072602748870849,Neutral
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
He is lengent singer,0.0,Neutral,0.0,Neutral,0.2845813333988189,Neutral
sooo anyone here from danny gonzalez?,0.0,Neutral,0.0,Neutral,-0.4380278885364532,Negative
Гарний вступ мелодія скрипки!❣,0.8122,Positive,0.875,Positive,0.6193644404411316,Positive
https://youtu.be/oE0Gf2E7ViI,0.0,Neutral,0.0,Neutral,0.263895720243454,Neutral
"Sounds like ''Get Big, Get Big'' 😅😅😂😂




...Awesome song",0.9468,Positive,0.0,Neutral,0.8038012385368347,Positive
Super,0.5994,Positive,0.3333333333333333,Positive,0.7829087972640991,Positive
This song is amazing!!,0.658,Positive,0.9375,Positive,0.8464491963386536,Positive
You rock Justin Bieber,0.0,Neutral,0.0,Neutral,0.4887730181217193,Positive
He needed pastel pink pants. Commit to it.,0.296,Positive,-0.1,Negative,0.2963175773620605,Neutral
Cool song,0.3182,Positive,0.35,Positive,0.5042430758476257,Positive
JB 🔥🔥🔥🔥🎶🎶🎶🎶,-0.8225,Negative,0.0,Neutral,0.3224790096282959,Neutral
Im so satisfied with the song 😀🥰,0.9168,Positive,0.5,Positive,0.5676587820053101,Positive
❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
Big fan sir ❤❤❤❤❤,0.9758,Positive,0.0,Neutral,0.6489242911338806,Positive
i like the song 11m liks,0.6486,Positive,0.0,Neutral,0.4128319025039673,Positive
Mmm delicoius,0.5719,Positive,1.0,Positive,0.2876451313495636,Neutral
This song is literally just about food,0.0,Neutral,0.0,Neutral,-0.4416277110576629,Negative
Honest single after anbody here?,0.5106,Positive,0.2642857142857143,Neutral,-0.2565501630306244,Negative
