Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
the games calendar had the month and day of my birthday,0.0,Neutral,0.0,Netural,0.43078404664993286,Positive
Welcome back to three...scary...gaaaaaaaeee,0.4588,Positive,0.4,Positive,0.2797750234603882,Netural
That last jump scare finally got me. It's not easy to startle me like that and it's been a long time since one got me. But that mechanic of the enemy moving when you see them? I saw the scare coming and yet it still got me.,-0.8915,Negative,-0.06666666666666667,Negative,0.4579894542694092,Positive
"""GAAAAAAAAAAAAAAAAAAAYMMMMMMMSSSS"" 13:00",0.0,Neutral,0.0,Netural,-0.5379399657249451,Negative
"Markiplier: ""Seems to be a demon problem. I'm not uh, I'm not uh, I'm not educated in such matters. I'll leave that to the experts.""
With as many horror games as Mark plays, I would've thought he'd do some research/study on those matters...You know, *become* an expert. 😱",-0.8834,Negative,0.25,Netural,-0.37583187222480774,Negative
"21:12 actually got me, bruh",0.0,Neutral,0.0,Netural,-0.317690372467041,Negative
"1:13 ""Hey look! It's old 'Bold & Brash'!""",0.4912,Positive,0.061111111111111116,Netural,-0.5031232833862305,Negative
"Mark: Is that sand?
Me: I don't like sand. It's coarse and rough and irritating. And it gets everywhere.",-0.6261,Negative,-0.16666666666666666,Negative,-0.49727916717529297,Negative
the epsiode of 83?,0.0,Neutral,0.0,Netural,-0.304265558719635,Negative
"""i went on a crusade"" IS THAT A JOJOS REFERANCE???",0.0,Neutral,0.0,Netural,-0.4048408567905426,Negative
Your intros are always top notch,0.2023,Positive,0.5,Positive,0.7214609980583191,Positive
Is no one going to mention the eyeball that appeared on the brain at 11:24 ?,-0.296,Negative,0.0,Netural,-0.5172559022903442,Negative
"""How many times have I told the neighborhood kids...not to play with lightning?""     21:28
-Markiplier",0.34,Positive,0.5,Positive,-0.24003247916698456,Negative
"In the second game..., if there is a red orb then there has to be a blue on in the house right? Because in yhe begining thats how it was as well....., hmmmmm it has my brain really thinking🤔🤔🤔🤨🧠🧠🧠👀",0.2732,Positive,0.014285714285714282,Netural,0.2815614342689514,Netural
