Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Paw patrollers,0.0,Neutral,0.0,Netural,0.3117804229259491,Netural
This video was truly emotional and in the end i coudnt control myself,0.5423,Positive,0.0,Netural,0.7406153678894043,Positive
I love everyone on the lifesteal smp,0.6369,Positive,0.5,Positive,0.7575077414512634,Positive
Name will be spoke,0.0,Neutral,0.0,Netural,-0.2658780813217163,Negative
Name your base black base,0.0,Neutral,-0.5888888888888889,Negative,0.3098613917827606,Netural
The island should be called “Your moms shoe”,0.0,Neutral,0.0,Netural,0.33013734221458435,Positive
This coud have been a wonderfull friendship. Reddons and Spoke.,0.765,Positive,1.0,Positive,0.8470202088356018,Positive
Wow,0.5859,Positive,0.1,Netural,0.6995608806610107,Positive
"the legend, the king of destruction, the master of anarchy, and an amazing freind, Spoke.",0.0258,Neutral,0.6000000000000001,Positive,0.6679239273071289,Positive
THIS VID WAS 🔥🔥,-0.5859,Negative,0.0,Netural,0.37348681688308716,Positive
The name should be spoketopia,0.0,Neutral,0.0,Netural,0.30677151679992676,Netural
man u better than roshambo in history,0.4404,Positive,0.5,Positive,0.5467220544815063,Positive
Part 2!!!!!,0.0,Neutral,0.0,Netural,0.34975698590278625,Positive
Congrats on 500 k,0.5267,Positive,0.0,Netural,0.27476397156715393,Netural
Hi I am new and I don’t know the IP address,0.0,Neutral,0.13636363636363635,Netural,0.26927563548088074,Netural
So good,0.4927,Positive,0.7,Positive,0.6291981339454651,Positive
ima unsubscribe,0.0,Neutral,0.0,Netural,-0.4389832019805908,Negative
pp,0.0,Neutral,0.0,Netural,0.2713668644428253,Netural
AYY 500k! GGS SPOKE!,0.0,Neutral,0.0,Netural,0.6448520421981812,Positive
"Uh, bruh",0.0,Neutral,0.0,Netural,-0.4333550035953522,Negative
"Him: ""netherite armor is illegal""
Also him when grinding the wither: ""i survived the wither with 10 hearts and maxed out netherite""",0.6124,Positive,-0.5,Negative,-0.689741313457489,Negative
20:00,0.0,Neutral,0.0,Netural,-0.3507923483848572,Negative
