Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Jimin:this is the worst i don't think I'm prepared*looks happy*
Him:he's exited !",-0.1759,Negative,0.0,Netural,-0.9058563113212585,Negative
Son unos reyes ♡ cuanto me hubiese gustado estar manejando por ahi para encontrarmelos bailando en medio de la calle,0.4215,Positive,0.26666666666666666,Netural,0.626737117767334,Positive
the fact that this released at 17th december of 2021,0.0,Neutral,0.0,Netural,-0.5426821708679199,Negative
These guys are great. Multi talented👍👍👍,0.8126,Positive,0.8,Positive,0.8608273863792419,Positive
Meus lindos,0.5267,Positive,0.0,Netural,0.561133861541748,Positive
😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣I’m losing my mind this is so funny,0.9867,Positive,0.25,Netural,0.7021058201789856,Positive
“SUGA you’ve got 2 minutes for a quick sleep” lmao I love that part. It shows that the script writer did their research 😂😂,0.9313,Positive,0.4777777777777778,Positive,0.5477742552757263,Positive
I have been their fan from DAY 1 and I'm now just seeing this😭,-0.2023,Negative,0.0,Netural,0.6275922656059265,Positive
Es único 🎤👌,0.7297,Positive,0.375,Positive,0.312986820936203,Netural
Fico super emocionada! São os meus meninos! BTS BTS BTS BTS BTS BTS BTS!,0.8007,Positive,0.5328776041666666,Positive,0.8740172982215881,Positive
OMG so funny. James looks like mochi. Hahaha.,0.8516,Positive,0.225,Netural,0.5285310745239258,Positive
The magic cross walk lol where every singer and acter ends up lol,0.6808,Positive,0.525,Positive,0.5246069431304932,Positive
"Offspring: Mom, may I go to BTS concert?
Mom: No, we have BTS concert at home.
The BTS concert at home:",0.0,Neutral,0.0,Netural,-0.33608490228652954,Negative
Is it just me or Jimin’s hair looks like kazutora’s cosplays hair from Tokyo Revengers,-0.128,Negative,0.0,Netural,-0.3090725839138031,Negative
This masterpiece is for me.!!,0.6892,Positive,0.0,Netural,0.8715941905975342,Positive
When a boy band has enough guys to take up an ENTIRE crosswalk! Lol!,0.5242,Positive,0.3333333333333333,Positive,0.342594712972641,Positive
"0:35 and 0:45 is addicting even tho this was months ago im still here

James, that is not a venue, thats a…crosswalk - KIM TAEHYUNG 2021
We performed over 4000 people here in america, now he wants us to play next to some gas station? - KIM NAMJOON 2021
Iconic and Rich Expensive KIM BROTHERS",0.7184,Positive,0.11499999999999999,Netural,0.35887467861175537,Positive
