Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"The most attractive line is ,,baby tell me more beautiful lie ,one touch and I ignite,,,just awesome",0.9097,Positive,0.73,Positive,0.8425158858299255,Positive
1 thời mod skin game liên minh huyền thoại 😌😌😌,0.0,Neutral,-0.1,Negative,0.5288490056991577,Positive
ne dediği hakkında hiç bir fikrim yok ama melodisi çok güzel. bu şarkıyı dinleyince içimden koşmak geliyor nedense....,0.8402,Positive,0.85,Positive,-0.3110471963882446,Negative
Alan walker has the most deep and emotional music videos,0.2177,Positive,0.1666666666666666,Neutral,0.7796480655670166,Positive
Wow keep it up❤️,0.5859,Positive,0.1,Neutral,0.7444502711296082,Positive
Pov u are 3years late,0.0,Neutral,-0.3,Negative,-0.3520699143409729,Negative
0:57 God level 🥵❤️,0.2732,Positive,0.0,Neutral,-0.4972091317176819,Negative
Hi,0.0,Neutral,0.0,Neutral,0.2364865690469741,Neutral
This song toching my heart ❤️,0.6369,Positive,0.0,Neutral,0.69361412525177,Positive
Da hype is real,0.0,Neutral,0.2,Neutral,0.3913071453571319,Positive
berry good music thanks,0.7003,Positive,0.4499999999999999,Positive,0.4778133034706116,Positive
เพราะมาก👍,0.0,Neutral,0.2,Neutral,0.3085779249668121,Neutral
master pieces be lijke,0.7184,Positive,0.0,Neutral,0.6148011684417725,Positive
"*WW2 like war being started to hide WW2 like genocide.  Adolf Hitler exterminated 12000000 under the guise of a typhus epidemic, and now ​a corona virus pandemic.* Corona means crown, and a virus attacking the crown/government is some thing exposing government (2Corinthians4:4).  *Revelation/Apocalypse 17,18 can only apply to one place on earth.  Research it well to learn who has been behind slaughters for centuries!*  1John5:19 is trying to stop Daniel12:4,2:44,45.  *Hitler was an unexcommunicated Catholic, who rounded up to go to concentration camps because of a supposed typhus epidemic, and they were gassed on the way by vehicle exhaust, or by zyklon B rodent extermination gas(h#$%@3n)cyanide. Just like Hitler started a World War to hide the genocide, so are they now.*  NATO militerizing Ukraine against Russia for a long time.  *NATO changed the capital of Ukraine from a Russian word to a new name.  The West overthrew the Russian backed government less than 10 years ago and has been killing those still loyal to Russia and calling them separatists or Russian sympathizers.* There were massive quantities of UK/US rockets and rocket launchers, which regular Catholic Ukrainians use to destroy Russian military vehicles.  *NATO calls Russia stupid for having all there tanks in a row, but they were coming in to defend, but the leader(an actor), Nazi sympathizer, is either ignorant or planned the attack.*  Does any one remember World War Two?  Same happening. *Trump said 2 years ago,""We'll soon at war with Russia and China"". The virus disappeared, because they couldn't explain new vaccines for new variants with out testing.  To get a vaccine would be a miracle in short time, but 30 miracles in a row?  The virus wasn't able to lock you down and control you, so they are starting WW3.  Why did virus lockdown include only being able to talk to family?  To hide information.* The people of Mariopul left for Catholic Poland(the land of most WW2 exterminations of the Church of Rome's enemies). Once empty, you can see on videos that buildings are being blown up like there is carpet bombing happening, but there is no missile or rocket seen in the sky.  NATO invents the idea that Russia has supersonic missiles that go faster than you can see.  Why would Russia use such advanced weapons to destroy low value buildings?  The explosions were too big for mortar fire and in very close timing, like a controlled demolition.  *Meanwhile all the Catholics are safe in Poland, accept the civilians who stayed to use the NATO rocket launchers in surprise attack against an unsuspecting Russian column, there to protect Russian people. Military strategists say Russia was stupid and clumsy, how they just casually drove in.  That was because they weren't attacking until they were attacked by thousands of handheld missiles.  Russian media was blocked in NATO Countries(why?).  If you have the truth, there is no reason to run from information.  RT(Chinese CGTN also), was one of the Russian sources blocked.*  There was a world wide confiscation of Russian people's assets being confiscated. Russia had been asking for talks and security guarantees, but Joe said basically (@)U.  This is the same as during WW2. *You can not let the Church that rides the Roman Empire of Revelation Apocalypse 17,18, destroy Acts2:44(communism). *Most picked up for isolation, were dead with in 70 days.*  Revelation says, *leave the Revelation18:4 group if they don't want to receive her plagues.  (Hello, if you don't want to receive her plagues!)* 
​According to Revelation 18 this group wears *scarlet(Catholic Cardinals),* and *purple(Catholic Bishops).*  It refers to a city Kingdom *(Rome is the only city kingdom in the world), that rules over the Kings of the earth.*  Where are the Kings?  *The Roman Empire broke in 2 and from those 2 divisions came 10 Countries.  The Pope was the eleventh, but he got rid of 3, and from the 7 he is chosen, and there will be 10 again.*  5 Countries on each leg of the Roman Empire. *The (cross or X) is on the shields(British flag, same as Roman shield) of the Empire, and it symbolizes the ten Kingdoms(X in Latin=10), and their religious beliefs. According to official writings no one may buy or sell or say a greeting to any one who has left the cross.  The X or cross originates from the last letter of the Hebrew alphabet the tau, which means a mark, both literal and figurative.  In The Bible book of Ezekiel 9, God put a tau(mark) on the people, and it was not for salvation.  Revelation/Apocalypse **13:18** says you won't be able to buy or sell with out the tau(mark) of the beast(Empire).*  Knowingly accepting this falsehood gets you condemned. *Popes have always had a mitre(triple tiered crown) with 666 on it in Latin (Vicarivs Filli Dei).* Latin letters have a number associated with it. 1John5:19 attacking (Daniel12:4)  *Clear your browser history and cache, and YouTube search and viewing history!* Please pray for me and you!  *Study Revelation/Apocalypse 17,18 deeply, as people are putting their life on the line for you!*  **There is an unclaimed open offer of 1000 000 dollars to any one who can prove that Rome(Pope) is not the man in the Temple that rides the Roman Empire of Revelation 17,18.  In fact, that is why it is called the ""Roman""Catholic Church.*  Idols on Ste. Peter's Basilica(Rome), show that Rome is a complete fraud (Acts15, Exodus20, Deuteronomy 5). *Governments mandate vaccines all over the world, which causes sabotage, boycotts, protests, walk outs and people quittng, so as to destroy businesses.*  Those trying to Daniel12:4 about 1John5:19. *The Pope and the British Royals were found guilty of genocide, by the International Criminal Court, pre corona. Donald J. Trump attacked the International Criminal Court by the US financial system.* Joe Biden and Donald J. Trump betrayed America and both satanic puppets of Rome. *Revelation/Apocalypse17,18, 1John**5:19**, 2Corinthians4:4 is waring against God and humanity. Not NWO Daniel 12:4, but 1John**5:19** OWO. Same as the genocide and war of WW2, and plague of 1918.*  Think! *Copy and share this information!(video record, record in audio, text, or ?*  They are attacking because of information exposing them. **There are two realities playing out.**  *1.* A corona virus pandemic and a vaccine to stop its spread.  *2.* Corona means crown(government) and there is a virus(information exposing/attacking the crown/government) and there is a computer/device anti virus(vaccine)(which is supposed to protect from malicious computer code) and this anti virus deletes information from your view.(turn off antivirus software!) *Trade your digital vaccine pass for a paper one and they lose control!  Do it!  They will go in to a frenzy because of this information.*  UK just passing laws to lock people up indefinitely, with no trial, take your kids, force tests, and send to concentration camps. *UK has released tender for businesses to contract cadaver services for millions of human corpses.  Mass emergency poison purchase in Australia.  Hitler used rat poison.* Revelation/Apocalypse 17,18 ruled the world for 1260 years , as Bible foretold. Rome was beheading for observing the real Sabbath(not ((Sun)day) ""lord's day"" lord's day is a clever imposter of the Sabbath.) *Catholic Austrian Royals ruled Germany and Catholic Austrian Adolf Hitler authorized most exterminations, which were in Catholic Poland, which is now completely militarizing including school children.*  Revelation/Apocalypse17,18 eats it's children.  *××Every one needs a 2.5 micron air quality monitor, so you can see when you are being GASSED!xx*(Revelation13:15,18:5,*6*.)  *G7 nations are removing corona restrictions, to regain it by war powers, or a new bird flu plan.* G(7) of Revelation. Who will do the will of God? (*Revelation 18:6*) *Think about sabotaging NATO assets for sake of the world.  They are using hand held rocket launchers, so do the same.  Quit British Pound and US dollar, use Bitcoin or other!*  I've been warning for over two years that Rome would start a war with Russia and China to hide genocide.  *Roman Catholic Joe Biden attacking Acts2:44,45, Daniel2:44,45, bypassing US government for military equipment distribution.*  Gog and Magog are in Turkey, not Russia.  *Rome hates (Acts2:44,45; 4:32-35).*  Ukraine sinking their own ships and blowing up their own bridges.  *NATO has M.O.B. on flag, and goal is war on Acts2:44.* Rome planned Ukraine war for 2017(Pompeo).  *The Pope is the man of sin in the(false)temple with 666, and exterminating for generations, yet the US although it has the largest military, is naked and prostrated gratifying her Papal master, while UK readies her turn.  The world was counting on you.  Most cowardly in all history. America are you in agreement with Joe Biden using you to fight Rome's wars, and be at war with the entire world?????*  Ukraine war was started from Poland?(Italian/US forces were there) Who will obey God's Revelation18:4-8?  *I am not Russian.*  Fact finding mission finds Russia not guilty of genocide. 52 Nation Joint forces operation in Ukraine is Rome(since 2014).  *Ukrainian Azov Battalion (Nazis) killing those with out blue arm bands. Rome is staging the entire Ukraine scenario, pretending Zelensky is Mark who is an extreme athlete, or hoping he will be confused for Kiev Mayor.  Mark donated much wealth and science to the world and Rome stole it. Mark noticed a saturation of Nazism in parts of Ukraine. *This is a take over of Ukraine/war on Russia, by Rome.*  Imagine NATO Countries attacking your Country and blaming yours, so as to attack you!  Ukraine says they will join with the Catholic Church, leaving the Russian Church, and that is part of the reason Rome is attacking.  *All Countries of the world ask NATO military to leave your Countries or confiscate it, for war crimes in Ukraine, Afghanistan, Syria, Iraq etc etc etc!*   !(???",-0.9996,Negative,0.0102054422731992,Neutral,-0.3242339491844177,Negative
I want this headphone in my life... 💔,0.34,Positive,0.0,Neutral,0.7851819396018982,Positive
crazy,-0.34,Negative,-0.6,Negative,0.4918079674243927,Positive
I hope this legendary song never gets forgotten 😊😊,0.8775,Positive,1.0,Positive,0.6824871301651001,Positive
Tobu and Jim Yosef? Am I dreaming or what?,0.0,Neutral,0.0,Neutral,-0.324518471956253,Negative
Best of the best comp.,0.8555,Positive,1.0,Positive,0.8889958262443542,Positive
ok,0.296,Positive,0.5,Positive,0.4951144456863403,Positive
this music video is literally my imagination,0.0,Neutral,0.0,Neutral,0.6184744834899902,Positive
gate 8,0.0,Neutral,0.0,Neutral,0.3205610513687134,Neutral
33,0.0,Neutral,0.0,Neutral,0.2602990865707397,Neutral
So the headphone is nerve gear right ?,0.0,Neutral,0.2857142857142857,Neutral,0.3878793716430664,Positive
So good.,0.4927,Positive,0.7,Positive,0.5821126103401184,Positive
"Wait these people are too friendly :) 
I don't except this in comments 
Thanks community for not being toxic",0.8442,Positive,0.3583333333333333,Positive,-0.4299880564212799,Negative
Mark zkrbg got metavers theory from this song😂😂😂,0.8271,Positive,0.0,Neutral,0.2713504433631897,Neutral
Songs Like This are Never Getting Bored to Watch,0.5129,Positive,-0.5,Negative,0.5518532991409302,Positive
2022，仍然热爱这首歌。,0.6369,Positive,0.5,Positive,0.5741276741027832,Positive
Nơi chuyển hoá sát thương thành nội lực 🔥🔥🔥🔥🔥,-0.9217,Negative,0.0,Neutral,0.2609674632549286,Neutral
ok so people from 2023 like here,0.5719,Positive,0.5,Positive,0.6714852452278137,Positive
Nice song 😊,0.8316,Positive,0.6,Positive,0.4506402909755707,Positive
