Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
9000,0.0,Neutral,0.0,Netural,0.3002183735370636,Netural
4500,0.0,Neutral,0.0,Netural,0.2684955894947052,Netural
2180,0.0,Neutral,0.0,Netural,-0.31708699464797974,Negative
2150,0.0,Neutral,0.0,Netural,-0.2548065185546875,Negative
2120,0.0,Neutral,0.0,Netural,-0.2594769299030304,Negative
2090,0.0,Neutral,0.0,Netural,-0.3115101158618927,Negative
2060,0.0,Neutral,0.0,Netural,-0.22885853052139282,Negative
2030,0.0,Neutral,0.0,Netural,0.29762566089630127,Netural
2028,0.0,Neutral,0.0,Netural,-0.2995706796646118,Negative
2025,0.0,Neutral,0.0,Netural,0.29203134775161743,Netural
2023,0.0,Neutral,0.0,Netural,0.2792379856109619,Netural
2022,0.0,Neutral,0.0,Netural,0.2900533974170685,Netural
Por eso los brasileños no les gusta de Anitta,-0.2755,Negative,0.0,Netural,-0.46911367774009705,Negative
"⚆👄⚆Parecida com ""Envolver""-Anitta??
Jamaisss, misericórdia...💅",0.4329,Positive,0.0,Netural,-0.5704734325408936,Negative
"Não tem nada a ver com a música ""envolver"" da anitta",0.0,Neutral,0.0,Netural,-0.4110560715198517,Negative
"Me siento engañada, es el mismo ritmo de la canción Envolver de Anitta!! 😱",-0.8652,Negative,0.0,Netural,-0.6386375427246094,Negative
"Me siento engañada, es el mismo ritmo de Envolver de Anitta!! 😱",-0.8652,Negative,0.0,Netural,-0.6632202863693237,Negative
"Me imagino que envlolver de Annita se inspiro en esto, solo que tiene mas velocidad, los tonos me parecen los mismos",0.4939,Positive,0.16666666666666666,Netural,0.4666004776954651,Positive
vim só pra ver se parece com envolver da anitta e nada a ver kkkkk,0.0433,Neutral,0.8,Positive,-0.4191592037677765,Negative
"A diferencia de otros de su género, Ozuna es un artistas que tiene canciones sexies, pero sin llegar a un punto vulgar como con le tras de mam*r c*lo o así l, sino a un punto más nasty pero fino. 
Además es de los pocos reggaetoneros que puede sostener una canción por si solo, tanto que esta canción está mejor en original que en remix.",0.871,Positive,0.11916666666666667,Netural,0.4040738046169281,Positive
"Nada haver essa música com a música envolver da Anitta, esses hispânicos estão de brincadeira comparar essa música horrível com a envolver da Anitta ainda mais essa voz de pato 🦆 do ozuna",-0.3818,Negative,-0.25,Negative,-0.8419069647789001,Negative
A música não é tão boa e tem nada a ver com a música da Anitta rainha,-0.464,Negative,0.7,Positive,-0.5400559902191162,Negative
Que cancion de mrda,0.0,Neutral,-0.6,Negative,-0.39085492491722107,Negative
mucho mejor que la porquería de envolver,0.0772,Positive,-0.15000000000000002,Negative,0.684306800365448,Positive
Extraño hasta el Ozuna del 2020😢,-0.5719,Negative,0.0,Netural,0.4372040033340454,Positive
Nada a ver com Envolver da Anitta  kkkkkkk... Esses hispânicos tão forçando a barra,0.0,Neutral,0.0,Netural,-0.6116400361061096,Negative
e se fizerem um mashup com Envolver da anitta?,0.0,Neutral,0.0,Netural,-0.4082610607147217,Negative
Nada A ver com ENVOLVER da ANITTA  música ruizinha essa caramelo,-0.6428,Negative,0.0,Netural,-0.49482256174087524,Negative
"Anitta copió, mujer sin originalidad",0.0,Neutral,0.0,Netural,-0.4945218563079834,Negative
Alguno sabe cómo se llama la modelo proncipal del videoclip?,0.0,Neutral,0.16666666666666666,Netural,-0.3092934787273407,Negative
Guapo Ozuna,0.4939,Positive,0.5,Positive,-0.3439478874206543,Negative
Essa coisa aqui q eles tão falando q a anitta copiou?,0.0,Neutral,0.0,Netural,-0.4516381621360779,Negative
Não tem NADA haver com envolver,0.0,Neutral,0.0,Netural,-0.4252167046070099,Negative
Anitta copió esa canción.,0.0,Neutral,0.0,Netural,0.3526029586791992,Positive
Hola,0.0,Neutral,0.0,Netural,0.25504207611083984,Netural
"""Tá tan dura que como ella cada cien años nacen""",0.2665,Positive,-0.2916666666666667,Negative,0.558189332485199,Positive
I like caramelo,0.3612,Positive,0.0,Netural,0.3900219202041626,Positive
Parece con Envolver de Anitta,0.3612,Positive,0.0,Netural,0.31820788979530334,Netural
Este temaaaa es muy top en la vidaaaa !!!!,0.5042,Positive,1.0,Positive,0.795785129070282,Positive
Ozuna reguetonero romántico este tema es mejor k con karol g se tenía k decir y se dijo...,0.6808,Positive,0.25,Netural,0.3166500926017761,Netural
La ley,0.0,Neutral,0.0,Netural,0.3714953064918518,Positive
😞😞😞😞,-0.9081,Negative,0.0,Netural,0.30857792496681213,Netural
Que este bien tu hija Sofía,0.2732,Positive,0.0,Netural,0.4080057442188263,Positive
buenisima,0.6249,Positive,0.8,Positive,0.5363211631774902,Positive
Cara mia,0.5859,Positive,0.0,Netural,0.41745463013648987,Positive
Habla todo en código Ozuna,0.0,Neutral,0.0,Netural,0.3495538830757141,Positive
Me gusta tu canción te vuelvo a pagar esa canción es hermosa,0.7184,Positive,0.85,Positive,0.6511437296867371,Positive
Y tu q haces ta estas cosas 34443r4 que no te lo juro,0.0382,Neutral,0.0,Netural,-0.4402461647987366,Negative
Que flow que gran musica.,0.6249,Positive,0.8,Positive,0.45967379212379456,Positive
Y tu q haces ta estas cosas 34443r4 que no te lo juro q lo menos q quiero es,0.1149,Positive,-0.3,Negative,-0.49380603432655334,Negative
👍😂🐻❤️,0.4404,Positive,0.0,Netural,0.30857792496681213,Netural
"Yo me enamore de ozuna
Un beso 🇮🇹",0.7906,Positive,0.5,Positive,0.5121313333511353,Positive
hola,0.0,Neutral,0.0,Netural,0.25504207611083984,Netural
"Y estan muy buena el remix, pero si solo estuviera  karol y ozuna...",0.2382,Positive,0.35,Positive,0.49946728348731995,Positive
A velocidad 125 la canción está mejor,0.4404,Positive,0.5,Positive,0.3886984586715698,Positive
Quién es la modelo que toma la.manzana del árbol?,0.0,Neutral,0.0,Netural,-0.3869209289550781,Negative
Desde Guinea Ecuatorial(África Central)escuchamos tu flow esto pega muy fuerte por aquí.,-0.1761,Negative,-0.18958333333333335,Negative,0.4575209319591522,Positive
0:42,0.0,Neutral,0.0,Netural,-0.40632787346839905,Negative
Puede que pase todo el día pero con esta rola no me aburro,0.3007,Positive,-0.5,Negative,0.366382360458374,Positive
"yo l uso en mi intro
🤩",0.0,Neutral,0.0,Netural,0.4469091594219208,Positive
😭😭😭😭😭😍😍😍😍😍😍😍😍😍El que no te lo juro q lo menos q quiero es que te rtter tert y que te dice que no te lo juro q lo menos q quiero es que te rtter tert y que te dice que no te lo juro q lo menos q quiero es que te rtter tert y que te dice que no te lo juro q lo menos q quiero es que te rtter tert y que te dice que no te lo juro q lo menos q quiero es que te rtter tert y que te dice que no te lo juro q lo menos q quiero es que te rtter tert y que te dice que no te lo juro q lo menos q quiero es que te rtter tert y que te dice que no te lo juro q lo menos q quiero es que te rtter tert y que te dice que no,0.9133,Positive,-0.3,Negative,-0.6814687252044678,Negative
ANITTA- ENVOLVER,0.0,Neutral,0.0,Netural,0.2957368493080139,Netural
Esta canción me recuerda mi Crush ase un año lo conosi 💞💙,0.836,Positive,0.0,Netural,0.6645217537879944,Positive
Sou mais a cópia da Anitta 😘,0.6801,Positive,0.5,Positive,0.3772909939289093,Positive
La mejor bro  sigue así,0.6369,Positive,1.0,Positive,0.8116999268531799,Positive
Envolver de Anita tá diferente,0.0,Neutral,0.0,Netural,-0.37533506751060486,Negative
Ya pero pongan una canción de ozuna para que no de miedo,0.5334,Positive,0.0,Netural,0.27827560901641846,Netural
3️⃣4️⃣4️⃣🇪🇪🇪🇨🇪🇹🇪🇹🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸🇪🇸,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Y tu q haces ta estas cosas,0.0,Neutral,0.0,Netural,0.5193890333175659,Positive
"Noooo por qué??? Yo que había dejado el azúcar , tocará  un marshmallows bañado en chocolate, sólo hoy.",0.1877,Positive,0.0,Netural,-0.578670859336853,Negative
Buena rola saludos desde Zitácuaro Michoacán,0.6908,Positive,0.7,Positive,0.4852912724018097,Positive
Ozuna 😘🍬🍭,0.4215,Positive,0.0,Netural,0.2756120264530182,Netural
"Es cierto, esta canción no es grosera y es genial",0.8548,Positive,0.43333333333333335,Positive,0.33265388011932373,Positive
Teamo Miamooorsote,0.0,Neutral,0.0,Netural,0.248366579413414,Netural
2022? 👀,0.0,Neutral,0.0,Netural,-0.385463684797287,Negative
Me sorprendió mucho que este temazo lo pusieran en una de las estaciones de radio del fortnite,0.7425,Positive,0.465,Positive,0.41070470213890076,Positive
🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤗🤗🤗🤗🤗🤗🤗🤗🤗💜💜💜💜💜💜💜💜💜💙💙💙💙💚💚💚💚,0.9985,Positive,0.0,Netural,0.30857792496681213,Netural
Quien 2022 ?😍😍😍,0.8402,Positive,0.0,Netural,-0.41936641931533813,Negative
Quien 2022 ?😍😍😍,0.8402,Positive,0.0,Netural,-0.41936641931533813,Negative
LA MEJOR CANCION DEL MUNDO,0.6369,Positive,1.0,Positive,0.9416846632957458,Positive
Buena Musica en la Coaster La Pongo,0.4404,Positive,0.7,Positive,0.4345615804195404,Positive
😍😅😁😄😏,0.9186,Positive,0.0,Netural,0.30857792496681213,Netural
"Me gusta la canción es adorable, pero el video ascoooooooo",-0.4118,Negative,-0.25,Negative,0.5123364329338074,Positive
tttttttttttttttttttttttttttttttt,0.0,Neutral,0.0,Netural,-0.3912140727043152,Negative
Está canción es un meme popular.,0.4215,Positive,0.6,Positive,0.3650197386741638,Positive
"Música nefasta, las mujeres están de tapete. Google translate: Música nefalsta, la mujeles tan de tapeles.",-0.8126,Negative,-0.7,Negative,-0.7989495396614075,Negative
"Ozuna merece más la popularidad que tiene Bad Bunny. Aunque la mayoría de las canciones de ambos son muy sexuales, las de Ozuna tienen una letra que lejos de ser vulgares y guarras, son muy sexies. Porqué si fuera mujer preferiría que me cantaran ""Te volví a probar, tu boca no pierde sabor a caramelo"" a ""Si tu novio no te mama el culo"".",0.8012,Positive,0.050000000000000044,Netural,0.47801414132118225,Positive
esa modelo es hermosaaa,0.5994,Positive,0.85,Positive,0.7186770439147949,Positive
Mi tesoro,0.6369,Positive,0.5,Positive,0.7434183955192566,Positive
Me encanta,0.6369,Positive,0.5,Positive,0.7738614678382874,Positive
TÚ BOCA. NO PIERDE EL SABOR A. CARAMELO 🍬 😍,0.7004,Positive,0.0,Netural,0.24915117025375366,Netural
Ozuna es mejor que bad bunny porque el no insulta ni manda groserías a la mujer. OZUNA CUANDO VIENES AL PERÚ😘🤗😚,0.8898,Positive,-0.09999999999999992,Negative,0.5084620714187622,Positive
Estamos en el 2022 y sigue siendo mi canción favorita❤,0.802,Positive,0.5,Positive,0.6604833006858826,Positive
"Weird video, but a summer VIBE for sure!",0.4389,Positive,0.0625,Netural,0.4722731411457062,Positive
Cuanto tiempo lo,0.0,Neutral,-0.05,Negative,0.2602786123752594,Netural
A un diabético le daría un ataque de tan solo ver este video...,0.0,Neutral,0.0,Netural,-0.7564355134963989,Negative
Me encanta el regaeton y osuna que Dios te bendiga :'>,0.8442,Positive,0.5,Positive,0.8263272047042847,Positive
ozuna marco mi infancia y sigue marcando mi juventud con sus canciones gracias ozuna,0.4404,Positive,0.15000000000000002,Netural,0.6199482679367065,Positive
Al menos una vez más. 😍,0.507,Positive,0.1,Netural,-0.4075975716114044,Negative
Hola,0.0,Neutral,0.0,Netural,0.25504207611083984,Netural
Me encanta,0.6369,Positive,0.5,Positive,0.7738614678382874,Positive
quien en este puto 2022,0.0,Neutral,-0.6,Negative,0.37109649181365967,Positive
Disculpa glorificación disculpa no soy español solo un pobre alemán...aprende español gracias,0.5267,Positive,-0.04285714285714286,Negative,-0.6012915968894958,Negative
Un buen socorrista.. puede ser en la vida real o solo en este video tan tan grande...es solo arte..o más como solo arte es la sacrificacion del sexo más bonitos como nosotros pobres hombres internamente..,0.9376,Positive,0.39375000000000004,Positive,0.3900434970855713,Positive
En velocidad 1.5 es increíble,0.0,Neutral,0.9,Positive,0.7014532089233398,Positive
❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
😘😚😱☺️☺️☺️😘😍,0.9382,Positive,0.0,Netural,0.30857792496681213,Netural
Que bonita la canción 😻😻😃😻😃😻😃😻😃,0.9796,Positive,0.85,Positive,0.43964511156082153,Positive
muy buena está canción,0.4927,Positive,0.9099999999999999,Positive,0.6901611685752869,Positive
Fav song😭❤,0.6249,Positive,0.0,Netural,0.3214591145515442,Netural
Quien más en 2022 escuchando esté temon 😎🇵🇪,0.4588,Positive,0.0,Netural,0.42231661081314087,Positive
Que pelotud@ es esta canción...horrible para vos larita 😂😂😂😂😂,0.8225,Positive,-1.0,Negative,-0.8970710039138794,Negative
😘😘😘😘😘😘,0.9413,Positive,0.0,Netural,0.30857792496681213,Netural
jason😏😃,0.3612,Positive,0.0,Netural,0.30857792496681213,Netural
Love u frm India and I love ur song but i cant understand song but I do enjoy it😍😍😍😍,0.9788,Positive,0.4666666666666666,Positive,0.4958020746707916,Positive
"no pierde ese olor a caramelo siempre en alta  
alta gama no te quiero perder.  vámonos a viajar el mundo x mar x tierra en primera o segunda clase tú eres mi bandolera  yo soy tu bandolero",0.5096,Positive,0.1366666666666667,Netural,0.6485739946365356,Positive
Azuna es la mejor canción y mejor pero mejor canción,0.8126,Positive,0.6666666666666666,Positive,0.7564360499382019,Positive
Que bonita canción la caramelo,0.5994,Positive,0.85,Positive,0.3482833504676819,Positive
Ponganlo 1.25,0.0,Neutral,0.0,Netural,0.2557145357131958,Netural
"Soy crítico del reggaeton y trap por su letra banal y misógina! 
Es mi opinión!.

Pero ozuna y Paulo Londra!.
Son de los pocos que escucharía de ese género!",-0.5374,Negative,-0.2786458333333333,Negative,-0.527182400226593,Negative
Love 💏💏,0.8689,Positive,0.5,Positive,0.7371776700019836,Positive
Ozuna gracias amigo por mi música,0.7269,Positive,0.2,Netural,0.5231079459190369,Positive
te  amamos  Ozuna😍😍😍😍😍😍😍😍,0.9803,Positive,0.5,Positive,0.586617648601532,Positive
Tu Boca No Pierde Sabor Ah Caramelo😘😘🌷🙈😎,0.8707,Positive,0.0,Netural,-0.39549681544303894,Negative
Conocí esta canción porque Focus siempre la pone en sus streams,0.0,Neutral,0.0,Netural,0.6065623760223389,Positive
👌👌😘,0.9333,Positive,0.0,Netural,0.30857792496681213,Netural
👌✊ ✋,0.8531,Positive,0.0,Netural,0.34280773997306824,Positive
Enserio siguen a estos personajes ..lo peor que pude ver hoy...,-0.7003,Negative,-0.6666666666666666,Negative,0.40710631012916565,Positive
La rolita😌,0.3818,Positive,0.0,Netural,0.31796029210090637,Netural
Caramelo,0.0,Neutral,0.0,Netural,0.26021626591682434,Netural
❤❤💗💓,0.9477,Positive,0.0,Netural,0.30857792496681213,Netural
❤️❤️🤙🤙,0.7506,Positive,0.0,Netural,0.30857792496681213,Netural
"יש je skH
مزيان خويا كولشي زيين❤️",0.0,Neutral,0.0,Netural,-0.3038831353187561,Negative
"Ritmo, cambio de musica  y letra.  Una composición  de excelencia, calidad y perfección",0.8316,Positive,0.0,Netural,0.8252514004707336,Positive
"de locos, lo mejor que oi",0.4215,Positive,0.2,Netural,0.7889626026153564,Positive
Que  ckaln   cansion  999999,0.0,Neutral,0.0,Netural,-0.3133222460746765,Negative
🤩🤩😍😍♥️♥️👄👄,0.9371,Positive,0.0,Netural,0.30857792496681213,Netural
Tus canciones   Osuna. Son chidas te amo.  💕❤️😘😘❤️💕,0.9607,Positive,0.5,Positive,0.4679447114467621,Positive
Me encanta la musica de ozuna gracias desde Panamá,0.7964,Positive,0.35,Positive,0.753570556640625,Positive
Why you why you don't put songs new songs,0.0,Neutral,0.13636363636363635,Netural,-0.40169215202331543,Negative
You ok,0.296,Positive,0.5,Positive,0.557719349861145,Positive
"tutu5”))7,7 que",0.0,Neutral,0.0,Netural,0.5351535081863403,Positive
Aquí en 2022 con la cancion...esq sus canciones tienen un ritmazo!!!🔥🔥🔥,-0.4545,Negative,0.8,Positive,0.2666827440261841,Netural
"Me encantó lo que mas me gusto fueron los perritos y lo que me mato de la risa fue, el dibujo xd.",0.8834,Positive,0.5249999999999999,Positive,0.7445380687713623,Positive
A mí hija nos gusta  esa canción  está genial mucho éxito,0.891,Positive,0.55,Positive,0.7615576982498169,Positive
Extraño a este Ozuna.,-0.1531,Negative,0.0,Netural,0.2666448652744293,Netural
Like Si Quiere Está Música Llegué a 400 millón De Visita,0.4939,Positive,0.0,Netural,-0.31463563442230225,Negative
El negrito la sigue ronpiendo al divel mundial,0.0,Neutral,-0.16666666666666666,Negative,0.35798001289367676,Positive
🐻💗,0.7096,Positive,0.0,Netural,0.30857792496681213,Netural
🤩😘😍🥓🥞🥘🍔,0.7003,Positive,0.0,Netural,0.30857792496681213,Netural
Te amo mucho,0.6369,Positive,0.38,Positive,0.5865635871887207,Positive
🍳🥨😂🤩😘😍,0.8271,Positive,0.0,Netural,0.30857792496681213,Netural
Me  encanta  esta canción,0.6369,Positive,0.5,Positive,0.7601157426834106,Positive
Yo de estas canciones nunca me canso,0.3412,Positive,-0.4,Negative,0.6439816355705261,Positive
