Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
666 k likes,0.4215,Positive,0.0,Neutral,-0.4381731748580932,Negative
I'm making you in Minecraft I'm going to make you diamond fighting George you're the best,0.6249,Positive,1.0,Positive,0.7865010499954224,Positive
Hi,0.0,Neutral,0.0,Neutral,0.2364865690469741,Neutral
Hey you dream 1000 zumbi hahahah,0.25,Positive,0.0,Neutral,0.5684160590171814,Positive
The likes are at 666k 😳,0.4215,Positive,0.0,Neutral,-0.2963189780712127,Negative
I hope your fanbase goes extinct in a matter of seconds,0.4588,Positive,-0.4,Negative,-0.5380640625953674,Negative
Dream,0.25,Positive,0.0,Neutral,0.4882977604866028,Positive
rip stink <3,0.0516,Positive,1.0,Positive,-0.6111579537391663,Negative
Dream you’re almost up to 30 million subs I hope you get there.,0.5994,Positive,0.0,Neutral,0.3435975909233093,Positive
I want manhunt,0.0772,Positive,0.0,Neutral,0.3207994103431701,Neutral
OMG HE FINNALY CAME BACK OMG YAY,0.5267,Positive,0.0,Neutral,-0.4484605491161346,Negative
666k?,0.0,Neutral,0.0,Neutral,-0.4461296200752258,Negative
666k likes🕴,0.4215,Positive,0.0,Neutral,-0.2477750331163406,Negative
HELLO DREAM MY NEW YTBR HELP,0.5719,Positive,0.1363636363636363,Positive,0.7416210174560547,Positive
EZ!,0.0,Neutral,0.0,Neutral,-0.4448021948337555,Negative
can you promote my channel please☺,0.7845,Positive,0.0,Neutral,0.5330486297607422,Positive
Dream! What do you look like!!!???!!!!!!!????,0.7669,Positive,0.0,Neutral,0.41959348320961,Positive
Nice one Dream,0.5859,Positive,0.6,Positive,0.5520893335342407,Positive
Dream do this in a man hunt,0.25,Positive,0.0,Neutral,0.596604585647583,Positive
Ratio,0.0,Neutral,0.0,Neutral,0.3445233106613159,Positive
They should have gotten more food,0.0,Neutral,0.5,Positive,0.3957364559173584,Positive
rip stink :'(,-0.7096,Negative,-1.0,Negative,-0.5777998566627502,Negative
l love you,0.802,Positive,0.5,Positive,0.7662308216094971,Positive
