Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
risky*,-0.2023,Negative,0.0,Neutral,-0.5861045718193054,Negative
risky riskt wiggy wiggy this is an emergency,-0.5267,Negative,0.0,Neutral,-0.6979140043258667,Negative
red line,0.0,Neutral,0.0,Neutral,0.2655164003372192,Neutral
i cant stop me cant stop me,0.4168,Positive,0.0,Neutral,-0.7174215316772461,Negative
out of control,0.0,Neutral,0.0,Neutral,-0.5473054647445679,Negative
"425,166",0.0,Neutral,0.0,Neutral,0.2386103421449661,Neutral
425M,0.0,Neutral,0.0,Neutral,0.2330255955457687,Neutral
159,0.0,Neutral,0.0,Neutral,0.2671244144439697,Neutral
I can't stop me,0.2235,Positive,0.0,Neutral,-0.3600046038627624,Negative
Twice,0.0,Neutral,0.0,Neutral,-0.2542644739151001,Negative
I can't stop me from listening to this song,0.2235,Positive,0.0,Neutral,-0.5273017883300781,Negative
425M!!,0.0,Neutral,0.0,Neutral,-0.4179483950138092,Negative
We are proud of her.,0.4767,Positive,0.8,Positive,0.7457121014595032,Positive
TWICE has supported JYP.,0.3182,Positive,0.0,Neutral,-0.4055976271629333,Negative
this is art,0.0,Neutral,0.0,Neutral,0.5989426970481873,Positive
The editing of this song is one of the best in kpop mv's🤍,0.6369,Positive,1.0,Positive,0.6597616672515869,Positive
I can't stop prasing the singing and dance and mv. big salute to the mv editor's of this song and their visual everything is perfect in twice queens✨️✨️✨️,0.4094,Positive,0.3333333333333333,Positive,0.7934160232543945,Positive
STAN TWICE😩💖,0.6486,Positive,0.0,Neutral,0.3515611290931701,Positive
"My workout music when the cramps are coming and im like 'i can't stop me, i can't stop me' 😂😂

Love this song 💖💖👌",0.9864,Positive,0.5,Positive,0.8047816753387451,Positive
091,0.0,Neutral,0.0,Neutral,0.2769392430782318,Neutral
I can't stop me,0.2235,Positive,0.0,Neutral,-0.3600046038627624,Negative
Twice,0.0,Neutral,0.0,Neutral,-0.2542644739151001,Negative
Road to 6M likes,0.4215,Positive,0.0,Neutral,-0.2310381680727005,Negative
Sana is very beautiful 😍,0.8162,Positive,1.0,Positive,0.7371925711631775,Positive
Morning Dose!,0.0,Neutral,0.0,Neutral,0.4510489404201507,Positive
Road to 500M ! Fighting,-0.4199,Negative,0.0,Neutral,0.4703941345214844,Positive
Road to 70 million like ❤️‍🔥,0.0258,Neutral,0.0,Neutral,-0.2980967760086059,Negative
this is probably the best twice song,0.6369,Positive,1.0,Positive,0.2855715453624725,Neutral
",425M YOO JEONGYEON💚",0.6369,Positive,0.0,Neutral,0.2482420057058334,Neutral
I don't know why people hate this song this is so good,0.0107,Neutral,-0.05,Negative,0.661250114440918,Positive
"Ang kantang ito ay hindi tumatanda, anuman ang iniisip mo na ang kantang ito ay luma na, hindi mo dapat. ICSM fighting!!",-0.4738,Negative,0.15625,Positive,-0.5362071394920349,Negative
美の象徴,0.5859,Positive,0.0,Neutral,0.4639332890510559,Positive
中毒性すごい！,0.6588,Positive,1.0,Positive,-0.4060963988304138,Negative
425M達成おめでとう！,0.636,Positive,0.0,Neutral,0.6884781718254089,Positive
TWICE,0.0,Neutral,0.0,Neutral,-0.2542644739151001,Negative
I want I Can't Stop Me to reach 500 Million Views before or after Christmas 2022. 🎄🌲🎄,0.3156,Positive,0.0,Neutral,-0.3733823299407959,Negative
426M LET GO ONCEs,0.0,Neutral,0.0,Neutral,0.2690635323524475,Neutral
Play it non-stop so that one day it reaches 1 billion views 😭,-0.128,Negative,0.0,Neutral,0.3856577277183532,Positive
Vamos por los 500M,0.0,Neutral,0.0,Neutral,0.3771509528160095,Positive
1:34,0.0,Neutral,0.0,Neutral,0.2152417451143264,Neutral
25M to 450M!,0.0,Neutral,0.0,Neutral,-0.2342573553323745,Negative
El inicio es una canción de bts,0.0,Neutral,0.0,Neutral,0.2741855680942535,Neutral
ngl I found this song from a short talking about summoning cthulhu... I am now convinced that's what the lyrics are about and you can't change my mind.,0.4019,Positive,0.0,Neutral,0.2572566866874695,Neutral
Let's hit 500M oncesss,0.0,Neutral,0.0,Neutral,0.4479968249797821,Positive
