Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
26.04.2022 слушаю  уже наверно 14 раз,0.0,Neutral,0.0,Netural,-0.5581795573234558,Negative
Браво 👋 👋 👋 👋 👋,0.9432,Positive,0.0,Netural,0.6390705704689026,Positive
Vbbbbbbbbnbbbnbbbbnnnbnnnbnnnnnnnnbbbbbbbbbbbbbbbbbnbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbnbbbbbbbbbbbbbbbnbbbb,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Муррашши по спине ....,0.0,Neutral,0.0,Netural,-0.30959171056747437,Negative
Фреды тебе слышно...следь каторий ты оставыль вечний...ТЫ БЕССМЕРТНИЙ!!!,0.5587,Positive,0.0,Netural,0.46549978852272034,Positive
Forever Freddy,0.0,Neutral,0.0,Netural,0.6119557023048401,Positive
"Вот вам и Басков и Киркоров,рядом не стояли с таким чудом,которого всегда хочется слушать и слушать",0.6249,Positive,0.06666666666666667,Netural,0.5360006093978882,Positive
Fred  oh  melhor !!!!!!!!,0.7482,Positive,1.0,Positive,0.6368245482444763,Positive
3:17 а я на всю слушаю….,0.0,Neutral,0.2,Netural,0.42108988761901855,Positive
Великий♥️,0.8519,Positive,0.9,Positive,0.6369224190711975,Positive
"Всем привет
После фильма о нём..
Я поняла что это был за человек..
В хорошем смысле слова..
Светлая память...
Песни бомба...",0.3818,Positive,0.6666666666666666,Positive,0.677354097366333,Positive
WOW!,0.6239,Positive,0.125,Netural,0.8084940314292908,Positive
👍👍👍👍👍👍👍👍👍,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Он жив! Пока живёт память о нем!,0.4912,Positive,0.03125,Netural,0.6112006306648254,Positive
Песня- гимн отчаявшимся! Ты в моей памяти.,-0.3802,Negative,-0.75,Negative,0.8128387928009033,Positive
"Мне одному , кажется, что это не супер воодущевляющая песня , а очень и очень грустная",-0.8499,Negative,-0.10555555555555556,Negative,-0.37898194789886475,Negative
Когда слушаю эту песню-текут слезы...,-0.2263,Negative,0.0,Netural,-0.27833786606788635,Negative
25 апреля 1022,0.0,Neutral,0.0,Netural,-0.5087234973907471,Negative
The most unique and talented human in history,0.552,Positive,0.39375,Positive,0.9326038956642151,Positive
Красата,0.5859,Positive,0.0,Netural,0.5705987811088562,Positive
ОН...ПРЕКРАСЕН ... Фреди на века!@!!!!,0.765,Positive,1.0,Positive,-0.3016105592250824,Negative
🇪🇦🥘🇪🇸 pero que persona MAS BUENA 🇪🇦🇪🇸,0.714,Positive,0.7,Positive,0.40236467123031616,Positive
"Был в Занзибаре возле его дома,где родился.
Легендарная личность.
Шикарный и по истине крутой!!!",0.8161,Positive,0.6208984375,Positive,0.539908230304718,Positive
"Каким бы он ни был
. Он супер. Без фанеры пел. В живую.",0.5859,Positive,0.3681818181818182,Positive,0.7742929458618164,Positive
"Difficile ascoltarlo senza piangere la vita le aveva dato tutto, ma è diventato vittima di se stesso.",-0.3865,Negative,-0.2583333333333333,Negative,-0.36855950951576233,Negative
Это вечная память нет его но хит на всегда,0.0,Neutral,0.0,Netural,0.4587140381336212,Positive
"ГЕНИАЛЬНОСТЬ   это   всё   !!!!  Слов  нет,  эмоции не   передать. Абажаю  тебя  Фаррух   при  рождени , Фредди  по  жизни  !!!!",0.6331,Positive,1.0,Positive,-0.6128666996955872,Negative
"Grande.  Grande...que gran banda...Que voz  increibe a mis 65 años te tengo presente y sigo esuchando tus temas tu vida intima no me importa...no me interesa fuiste y seras el mejor...inmortal!!! Diste todo para tu gente de todas las generaciones....este tema ..
.que puedo decir? Lo mejor de vos qdep!",0.7361,Positive,0.5317708333333334,Positive,0.9094322919845581,Positive
Um dos melhores artistas de todos os tempos faz muita falta,0.4588,Positive,1.0,Positive,0.7555358409881592,Positive
дырка есть дырка,0.0,Neutral,0.0,Netural,-0.2853640615940094,Negative
Nessuno come te,0.3612,Positive,0.0,Netural,-0.4175260663032532,Negative
GREAT GREAT GREAT FREDDIE...,0.9231,Positive,0.8000000000000002,Positive,0.869849443435669,Positive
"This song reminds me so much of my father who passed away at 56. Life is so hard, let's be united to face the difficulty.",-0.1195,Negative,-0.04583333333333334,Negative,0.7129440307617188,Positive
Fred rules,0.0,Neutral,0.0,Netural,0.2394804060459137,Netural
💙💛❤,0.9274,Positive,0.0,Netural,0.30857792496681213,Netural
"Слезы, как я  слушаю и душа и плачут  !!!",-0.7074,Negative,0.0,Netural,0.7035186886787415,Positive
И красиве нет!!!,-0.6152,Negative,-0.5,Negative,-0.5208114981651306,Negative
Лучшего нет!!!,-0.5076,Negative,-0.48828125,Negative,-0.6520307660102844,Negative
Мед в уши,0.0,Neutral,0.0,Netural,-0.22529807686805725,Negative
Te quiero Fred💗,0.8779,Positive,0.5,Positive,0.5520654320716858,Positive
0:58,0.0,Neutral,0.0,Netural,-0.43556520342826843,Negative
"""Представление продолжается""!!!Лучше и не скажешь!Вечная память тебе ФРЕДИ!!!",-0.5535,Negative,1.0,Positive,0.7335934042930603,Positive
🏛🇺🇸👩‍👧‍👧🇺🇸🏛🤝🇦🇲👩‍👧‍👧🇮🇷,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Фредди.это.голос.20.века,0.0,Neutral,0.0,Netural,0.4637109935283661,Positive
"В короне вышел е зря, король было своего творчества хоть и умение соблазну к случайности",0.4767,Positive,0.6,Positive,-0.23298859596252441,Negative
https://youtu.be/4asMi_3KRCM,0.0,Neutral,0.0,Netural,0.22818198800086975,Netural
Que lui!!! 👏👍💕🇺🇦 Merci pour votre retour cordialement merci ❤️👏👍,0.7074,Positive,0.0,Netural,0.6531528830528259,Positive
Мировой шедевр.,0.6249,Positive,0.0,Netural,0.7555987238883972,Positive
Общество?Никогда не сделаем друг другу больно.,0.4168,Positive,-0.125,Negative,-0.5808820128440857,Negative
Ему ваши геномы не нужны.,0.0,Neutral,0.0,Netural,-0.4255790412425995,Negative
