Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
He killed this!! Man I love this guy…. He can freaking rap,-0.5696,Negative,0.09375,Neutral,0.8469772338867188,Positive
Take my whores to the hotel room,-0.6124,Negative,0.0,Neutral,0.3548761010169983,Positive
Come to Australia do a gig at me pub,0.0,Neutral,0.0,Neutral,0.4579030573368072,Positive
They need to put this on Amazon music!!!,0.3769,Positive,0.0,Neutral,-0.5207204222679138,Negative
This guy is fukin good !!!!2💪💪🔥🔥🔥,-0.6671,Negative,1.0,Positive,0.5556784868240356,Positive
Shits dope,-0.4767,Negative,0.0,Neutral,-0.3424696922302246,Negative
Better than the original by light years,0.6369,Positive,0.425,Positive,0.5401522517204285,Positive
"That y,y is y",0.0,Neutral,0.0,Neutral,0.3546689748764038,Positive
Epic !,0.0,Neutral,0.125,Neutral,0.8031706809997559,Positive
i fucking love you merkules,0.6697,Positive,0.5,Positive,0.8143655061721802,Positive
Only crappy thing about this....I gotta have youtube open to bang to you in the ride with this jam......><  Keep this shit up,-0.8338,Negative,-0.0666666666666666,Negative,-0.6482411026954651,Negative
This song is f****** awesome I don't give a s***,0.6249,Positive,1.0,Positive,0.3904051780700683,Positive
In the south eating moose?  Country mf right here!,0.0,Neutral,0.3571428571428571,Positive,0.2567338943481445,Neutral
Took me 0.0.1 to decide I like this 🎙️🔊🔊,0.3612,Positive,0.0,Neutral,0.4634357988834381,Positive
These Americans got good vocals well done G,0.6124,Positive,0.7,Positive,0.5211479663848877,Positive
I feel that if Merkules makes a song with Eminem it would hit big.,0.0,Neutral,0.0,Neutral,0.3271071910858154,Neutral
"Okay, this deserves a sub....",0.2263,Positive,0.5,Positive,0.7291625738143921,Positive
Way fucken better than the original track !!!! GOOD SHIT,0.6876,Positive,0.4788818359375,Positive,0.4799834787845611,Positive
please do a project with Tom Mcdonald ...,0.3182,Positive,0.0,Neutral,0.2538765668869018,Neutral
"I swear I've watched this video 10,000+ times, it's pure quality big love from the UK Merks",0.6124,Positive,0.2380952380952381,Neutral,0.8323389887809753,Positive
Legendary,0.0,Neutral,1.0,Positive,0.7853575348854065,Positive
Definitely better than the original song🤗,0.8658,Positive,0.4375,Positive,0.755257248878479,Positive
Merkules is the Goat 🐐,0.0,Neutral,0.0,Neutral,0.3321781754493713,Positive
Please release thid,0.3182,Positive,0.0,Neutral,-0.6447493433952332,Negative
