Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I really like that 😊❤😍,0.9456,Positive,0.2,Positive,0.5618165135383606,Positive
Me encanta,0.6369,Positive,0.5,Positive,0.7738614678382874,Positive
Nmmkk,0.0,Neutral,0.0,Neutral,0.2662499547004699,Neutral
It hits different when we heard this song in Japanese,0.0,Neutral,0.0,Neutral,-0.351870983839035,Negative
"2:11 This part of Rosé, is absolutely my favourite. 😍😍😍😍😍",0.9356,Positive,0.2,Positive,0.8413585424423218,Positive
Yall str3ammm du du du du we have to hit 2 bill first come on blinks don't be lazy lets do it for our girls we can do it,0.2755,Positive,0.0,Neutral,0.3296056687831878,Neutral
👏,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
I💘 YOU,0.6369,Positive,0.0,Neutral,0.4013252556324005,Positive
YG THEY'RE K-POPSTARS NOT JUST IG MODELS!!! ANYONE CAN MODEL BRANDS BUT NOT EVERYONE CAN PERFORM LIKE BLACKPINK!!! WE WANT BLACKPINK COMEBACK ASAP!!!,0.7067,Positive,0.0,Neutral,-0.3451257944107055,Negative
私は愛した❤️💖😍,0.9231,Positive,0.7,Positive,0.7159713506698608,Positive
"Me buena canción,me encantó",0.7783,Positive,0.7,Positive,0.6456695795059204,Positive
Aim of Indonesia 🇲🇨,0.0,Neutral,0.0,Neutral,0.5092953443527222,Positive
I love you Liza,0.6369,Positive,0.5,Positive,0.8318083882331848,Positive
🖤💕✨🛐,0.9186,Positive,0.0,Neutral,0.3085779249668121,Neutral
It feels so weird to listen  🎧 this song 🎶 in another language lol 😂,0.536,Positive,0.15,Positive,-0.2814783155918121,Negative
Oooo!Lisa Is fantastic,0.5983,Positive,0.4,Positive,0.7566002607345581,Positive
Eu acho que eu vou grita muito eu adoro  blackpink,0.3612,Positive,0.5,Positive,0.6343407034873962,Positive
Black pink you know Japanese 🖤💖🧐🧐,0.891,Positive,-0.0888888888888888,Negative,0.2680285274982452,Neutral
내 채ㅐㅏ,0.0,Neutral,0.0,Neutral,0.3490029573440552,Positive
0:41,0.0,Neutral,0.0,Neutral,-0.4367594420909881,Negative
So amazing,0.624,Positive,0.6000000000000001,Positive,0.8668607473373413,Positive
😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😍😍😍😍,0.9989,Positive,0.0,Neutral,0.3085779249668121,Neutral
日本語歌詞もまた良し,0.4404,Positive,0.35,Positive,0.3866266310214996,Positive
I love rosé vocal veryverymost💙💙💙..my dream to I can be vocalist...,0.9393,Positive,0.5,Positive,0.6640612483024597,Positive
Jisoo vocals❤,0.6369,Positive,0.0,Neutral,0.3059020936489105,Neutral
"BLACK PINK
｢喰わせすぎたMaria♪」 
真中古藤四郎藤咲
２０２２／４／１６：１２",0.0,Neutral,0.0444444444444444,Positive,0.2882912158966064,Neutral
"BLACKPINK 
僕は音楽に投資し無い結果となる。
真中古藤四郎藤咲
２０２２／４／１６：１１",0.0,Neutral,0.4,Positive,-0.3817362487316131,Negative
😍😍💗👍🏻,0.8979,Positive,0.0,Neutral,0.3085779249668121,Neutral
I want my Blackpink to come back with a new MV I've been waiting for so long,0.0772,Positive,0.0287878787878787,Positive,0.4841459989547729,Positive
WE LOVE YOU LISA 😻💛🐱,0.9206,Positive,0.5,Positive,0.8362349271774292,Positive
แบบว่าทำไมคำพูดไม่เหมือนที่รู้ทันเลยนึกขึ้นได้ว่ามันเขียนชื่อ JP แปลว่าญี่ปุ่น,0.1002,Positive,0.125,Positive,0.3153756558895111,Neutral
Lalisaaaaa♥️🎈🤧🥵🥵🥵🥵,0.6369,Positive,1.0,Positive,0.3085779249668121,Neutral
Rose💕,0.6486,Positive,0.0,Neutral,0.3085779249668121,Neutral
カッコいい　全部日本語かと思いきやハナドゥルセと韓国語が入っているのがサイコー,0.8074,Positive,0.3833333333333333,Positive,-0.3866923749446869,Negative
19.301,0.0,Neutral,0.0,Neutral,-0.2823137938976288,Negative
アンニョンハセヨ、ハヨキムチクワセロヨ,0.0,Neutral,0.0,Neutral,-0.2532655000686645,Negative
너무 사랑하고 노래도 아름답습니다 😭😭😭🔥,-0.3818,Negative,0.5166666666666666,Positive,0.734244704246521,Positive
