Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
2:03 when your mom tells you to do the dishes and you just did thrm,0.0,Neutral,0.0,Neutral,-0.2704470455646515,Negative
You are the bald guy.,0.0,Neutral,0.0,Neutral,0.4030840396881103,Positive
"White shirt, now red my bloody nose
Sleeping, you're on your tippy toes
Creeping around like no one knows
Think you're so criminal
Bruises, on both my knees for you
Don't say thank you or please
I do what I want when I'm wanting to
My soul? So cynical

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy, duh

I'm the bad guy

I like it when you take control
Even if you know that you don't
Own me, I'll let you play the role
I'll be your animal
My mommy likes to sing along with me
But she won't sing this song
If she reads all the lyrics
She'll pity the men I know

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy, duh

I'm the bad guy, duh

I'm only good at being bad, bad

I like when you get mad
I guess I'm pretty glad that you're alone
You said she's scared of me?
I mean, I don't see what she sees
But maybe it's 'cause I'm wearing your cologne

I'm a bad guy
I'm a bad guy
Bad guy, bad guy
I'm a bad-",-0.9967,Negative,-0.3505468447541617,Negative,-0.5756821036338806,Negative
Blood it looks real but not🔻🎚,0.0,Neutral,0.2,Positive,0.3378877341747284,Positive
IS THIS BLOOPERS🤣,0.4939,Positive,0.0,Neutral,0.4598459303379059,Positive
Make this more liked than Seth’s comment pls,0.5256,Positive,0.55,Positive,0.4969937205314636,Positive
2022 : Always a masterpiece 🔥,0.4019,Positive,0.0,Neutral,0.8837937712669373,Positive
i'm the bald guy,0.0,Neutral,0.0,Neutral,0.2701368331909179,Neutral
i'm the bald guy,0.0,Neutral,0.0,Neutral,0.2701368331909179,Neutral
Trying to find the bald guy comment to 😂,0.4404,Positive,0.0,Neutral,0.2811018526554107,Neutral
No i'm the bold guy.,0.1027,Positive,0.3333333333333333,Positive,-0.306140124797821,Negative
Beatfull,0.5994,Positive,0.85,Positive,0.3591445684432983,Positive
POV: Your trying to find the most popular comment on youtube,0.4754,Positive,0.55,Positive,0.3579479157924652,Positive
Let see how many coming for the bald guy not for may and bad guy itself😂😂,0.3182,Positive,-0.0999999999999999,Negative,-0.3009183704853058,Negative
"Ignore me, I'm just here to look for the bald guy",-0.3612,Negative,0.0,Neutral,-0.3616603016853332,Negative
Is anyone else listening to this song in 2022,0.0,Neutral,0.0,Neutral,-0.5794327855110168,Negative
Australian Pedestrian Crossing,0.0,Neutral,0.0,Neutral,0.2918567359447479,Neutral
i'm the bald guy,0.0,Neutral,0.0,Neutral,0.2701368331909179,Neutral
I can't get enough of this song,0.0,Neutral,0.0,Neutral,-0.3894751965999603,Negative
Seth Everman's comment should be pinned.,0.0,Neutral,0.0,Neutral,-0.3926286995410919,Negative
I am the PRo guy,0.0,Neutral,0.0,Neutral,0.5383718609809875,Positive
I’m the hairy guy,0.0,Neutral,0.0,Neutral,0.4378088116645813,Positive
"Behold this is what u call the ultimate bad guy without all da fancy bs from nicki minaj, rihanna, and cardi b. T.T",-0.5423,Negative,-0.3499999999999999,Negative,-0.6504479646682739,Negative
Billie eilish is trash 🗑,0.0,Neutral,0.0,Neutral,-0.3098920881748199,Negative
"Director: How weird do you want it to be?
Billie: y e s",-0.1027,Negative,-0.5,Negative,-0.3037696182727813,Negative
"White shirt now red, my bloody nose
Sleeping, you're on your tippy toes
Creeping around like no one knows
Think you're so criminal 😾",-0.7886,Negative,-0.3,Negative,-0.5742725133895874,Negative
-I’m the bald man-,0.0,Neutral,0.0,Neutral,0.3164924085140228,Neutral
"𝐈,𝐚𝐦 𝐭𝐡𝐞 𝐁𝐚𝐥𝐝 𝐆𝐮𝐲",0.0,Neutral,0.0,Neutral,0.4258463382720947,Positive
Where is the bald guy?,0.0,Neutral,0.0,Neutral,-0.2882847487926483,Negative
pourquoi ton nez cool du sang ??? (french),0.4291,Positive,0.175,Positive,-0.3179341554641723,Negative
pefect,0.0,Neutral,0.0,Neutral,0.2579664289951324,Neutral
I’m the bald guy,0.0,Neutral,0.0,Neutral,0.3371677696704864,Positive
Wow 1.1 billion at the time I am watching and not even 1 million comments,0.5859,Positive,0.1,Positive,-0.5190404653549194,Negative
Im the bald guy,0.0,Neutral,0.0,Neutral,0.2703900933265686,Neutral
im the guy,0.0,Neutral,0.0,Neutral,0.346942126750946,Positive
i love this sing !!!,0.7249,Positive,0.9765625,Positive,0.9066941142082214,Positive
Still vibing this song in 2022 🔥,-0.34,Negative,0.0,Neutral,0.3910263180732727,Positive
я люблю эту песню.,0.3612,Positive,0.0,Neutral,0.6041179299354553,Positive
I'm bad guy too.,-0.5423,Negative,-0.6999999999999998,Negative,-0.6302939653396606,Negative
Where's the bald guy,0.0,Neutral,0.0,Neutral,-0.272274374961853,Negative
Nvm me just testing out new feature 0:01,0.0,Neutral,0.1363636363636363,Positive,-0.3382681608200073,Negative
I'm sorry but I'm not the bald guy I'm the dog guy,-0.0387,Neutral,-0.5,Negative,-0.3278815746307373,Negative
"Day 5 of trying to find the ""bald guy"" comment.",0.0,Neutral,0.0,Neutral,-0.2536276876926422,Negative
Where is the bald guy?,0.0,Neutral,0.0,Neutral,-0.2882847487926483,Negative
最近のコメント多いね,0.0,Neutral,0.0,Neutral,0.3371467292308807,Positive
Wish I could see the blad guy comment,0.4019,Positive,0.0,Neutral,0.2580015957355499,Neutral
R.I.P bald guy comment,0.0,Neutral,0.0,Neutral,0.2358511686325073,Neutral
T E     A M O    B I L L I E,0.7184,Positive,0.0,Neutral,0.2649645507335663,Neutral
this song hits different on mute 🥶🥶🥶🥶💀💀💀💀💀😳😳😳😳😳😂😂😂😂😂🥶💀💀💀💀,0.926,Positive,0.0,Neutral,0.2487039715051651,Neutral
Where is im a bald guy,0.0,Neutral,0.0,Neutral,-0.2691282927989959,Negative
Pov: your trying to find bald guy.,0.0,Neutral,0.0,Neutral,-0.2124735116958618,Negative
Not me looking for the bald guy comment,0.0,Neutral,0.0,Neutral,-0.379724383354187,Negative
Since we cant find his comment here we go “im the bald guy”,0.0,Neutral,0.0,Neutral,0.2657390832901001,Neutral
Found it.,0.0,Neutral,0.0,Neutral,0.3482972979545593,Positive
IM THE BALD GUY,0.0,Neutral,0.0,Neutral,0.2703900933265686,Neutral
She cute is she famous,0.4588,Positive,0.5,Positive,0.4109492003917694,Positive
Divine.,0.5574,Positive,0.0,Neutral,0.6649591326713562,Positive
I'm not a bald guy 😔,0.0772,Positive,0.0,Neutral,0.3388007581233978,Positive
Lagu koho ngno kok sek nonton nganti 1m apikke opo jane,0.4404,Positive,0.5,Positive,-0.373515784740448,Negative
I love the song,0.6369,Positive,0.5,Positive,0.7057780027389526,Positive
Bald guy,0.0,Neutral,0.0,Neutral,0.2600012719631195,Neutral
im the bald guy,0.0,Neutral,0.0,Neutral,0.2703900933265686,Neutral
Where is the bald guy comment,0.0,Neutral,0.0,Neutral,-0.2864553332328796,Negative
WHERES THE BALD GUY COMMENT,0.0,Neutral,0.0,Neutral,-0.2433162480592727,Negative
Finally a music video to challenge Turn Down for What in levels of weirdness.,-0.1531,Negative,-0.0777777777777777,Negative,0.4322800040245056,Positive
"White shirt, now red my bloody nose
Sleeping, you’re on your tippy toes
Creeping around like no one knows
Think you’re so criminal
Bruises, on both my knees for you
Don’t say thank you or please
I do what I want when I’m wanting to
My soul? So cynical

So you’re a tough guy
Like it really rough guy
Just can’t get enough guy
Chest always so puffed guy
I’m that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I’m the bad guy, duh

I’m the bad guy

I like it when you take control
Even if you know that you don’t
Own me, I’ll let you play the role
I’ll be your animal
My mommy likes to sing along with me
But she won’t sing this song
If she reads all the lyrics
She’ll pity the men I know

So you’re a tough guy
Like it really rough guy
Just can’t get enough guy
Chest always so puffed guy
I’m that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I’m the bad guy, duh

I’m the bad guy, duh

I’m only good at being bad, bad

I like when you get mad
I guess I’m pretty glad that you’re alone
You said she’s scared of me?
I mean, I don’t see what she sees
But maybe it’s ’cause I’m wearing your cologne

I’m a bad guy
I’m a bad guy
Bad guy, bad guy
I’m a bad-",-0.9966,Negative,-0.3505468447541617,Negative,-0.5582197904586792,Negative
Billie eilish is the best,0.6369,Positive,1.0,Positive,0.6787058711051941,Positive
I love you Billie eilish,0.6369,Positive,0.5,Positive,0.7700788974761963,Positive
where the hell is the bald guy comment,-0.6808,Negative,0.0,Neutral,-0.3072367906570434,Negative
Real cologne don't wear men.,0.0,Neutral,0.2,Positive,0.5993927121162415,Positive
*totally tasteless. the highest level of degradation😠💩💩💩*,-0.7717,Negative,-0.6,Negative,-0.9050251245498656,Negative
Wht the depression is this song lol,-0.2263,Negative,0.8,Positive,-0.4150523543357849,Negative
https://www.youtube.com/watch?v=xR3xjEm6lPQ,0.0,Neutral,0.0,Neutral,0.2954970896244049,Neutral
Im the bald guy,0.0,Neutral,0.0,Neutral,0.2703900933265686,Neutral
