Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
des français ?,0.0,Neutral,0.0,Neutral,-0.3320895135402679,Negative
69M,0.0,Neutral,0.0,Neutral,0.2391045093536377,Neutral
Best song ever,0.6369,Positive,1.0,Positive,0.9553784728050232,Positive
"remember, this man is 49 and he still looks like he’s in his late 20’s early 30’s.",0.3612,Positive,-0.0999999999999999,Negative,0.3516210615634918,Positive
GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOD,0.0,Neutral,0.0,Neutral,0.2224380373954773,Neutral
This is one of the songs,0.0,Neutral,0.0,Neutral,0.4422527551651001,Positive
Thats what I love about eminem. He grew with the industry. He changed with the rap industry to stay relevant.,0.6369,Positive,0.45,Positive,0.5505122542381287,Positive
And the Game wants to go head to head with Em? Lol he's funny.,0.6908,Positive,0.2125,Neutral,0.2904512286186218,Neutral
I said butt pick.,0.0,Neutral,0.0,Neutral,-0.376670092344284,Negative
bornana,0.0,Neutral,0.0,Neutral,0.2789319157600403,Neutral
Kill.,-0.6908,Negative,0.0,Neutral,-0.5854663252830505,Negative
do we not see an telling us. trump is good fuk the vice president kimkiller???,0.533,Positive,0.7,Positive,-0.4194567799568176,Negative
Blue.,0.0,Neutral,0.0,Neutral,0.2600532174110412,Neutral
Song aged incredibly.,0.0,Neutral,0.4,Positive,0.3270706534385681,Neutral
2:52 the music is relaxing damn,0.128,Positive,0.0,Neutral,-0.2945621609687805,Negative
tremendo doble tempo,0.0,Neutral,0.1666666666666666,Neutral,0.3047939240932464,Neutral
"And to think Logic has stepped down from the game

Never Forget Lil' Bobby",0.1695,Positive,-0.2777777777777778,Negative,-0.5702947974205017,Negative
2:26 through 2:53 this has got to be my favorite part of the song because of the beat! the sound of loose strings being plucked is just *mwah* also who is the copper man playing the trumpet? i thought i hear boss music playing when he came on..,0.7959,Positive,0.316025641025641,Neutral,0.3948117196559906,Positive
Best flow in rap history,0.6369,Positive,1.0,Positive,0.8894712924957275,Positive
"The truth is that he mastered rapping, its a big gap between him and the other rappers.and he ist still doing it who knows what he will come up with in the next years",0.3182,Positive,-0.0416666666666666,Negative,0.426495760679245,Positive
He's a great rapper i love it is my life ❤❤❤❤❤❤😎😎😎💪🏻💪🏻,0.9925,Positive,0.65,Positive,0.8663033843040466,Positive
Give me your location marshall slim what did you guys do to that young woman you involved with her being hook up to a needle drugged left on a bed to be rapped,0.0,Neutral,0.05,Neutral,0.2337180227041244,Neutral
Ok let's be honest em has improved however can't explain how God can improve but you get it,0.6534,Positive,0.55,Positive,0.7356827259063721,Positive
3:19 he ugot I toalittle afan argument fkiwth heejdskkskloponina tsinner,-0.3612,Negative,0.0,Neutral,-0.4520136713981628,Negative
Lyrical!!!!!!,0.0,Neutral,0.0,Neutral,0.4598325192928314,Positive
Bye bye mgk,0.0,Neutral,0.0,Neutral,0.3700041770935058,Positive
Em is the God of rap ! no 🧢,-0.1007,Negative,0.0,Neutral,0.626882016658783,Positive
69m views,0.0,Neutral,0.0,Neutral,0.2708644866943359,Neutral
69 hahaha,0.5574,Positive,0.2,Neutral,-0.2604274749755859,Negative
Most underrated song ever,0.0,Neutral,0.5,Positive,0.9099593758583068,Positive
You're a genious!,0.0,Neutral,0.0,Neutral,0.8377121090888977,Positive
69m views les go,0.0,Neutral,0.0,Neutral,0.3309592008590698,Positive
Chess not checkers ♟,0.0,Neutral,0.0,Neutral,-0.3450554311275482,Negative
I love the chill voice it changes the entire tone of the song,0.6369,Positive,0.25,Neutral,0.5218210220336914,Positive
God Bless Everyone!!!,0.6981,Positive,0.0,Neutral,-0.6139035820960999,Negative
literally Eminem influenced the kids who then influenced him,0.0,Neutral,0.0,Neutral,-0.3945682346820831,Negative
2:52,0.0,Neutral,0.0,Neutral,0.2336792945861816,Neutral
nice throwback to my name is,0.4215,Positive,0.6,Positive,0.4878178238868713,Positive
I haven't listen to eminem sence d12 devils night. He lost it,-0.7184,Negative,0.0,Neutral,-0.6261494755744934,Negative
Fact: The dislikes are from mumble rap fans,-0.4019,Negative,0.0,Neutral,-0.3645541369915008,Negative
"Is it going down in the comments about 
Orange",0.0,Neutral,-0.1555555555555555,Negative,-0.3588096797466278,Negative
"1:19 to 1:24 
(Busted out laughing at the hair...lyrical genius!)",0.5411,Positive,0.0,Neutral,-0.3543890118598938,Negative
69milion views lets gooooo,0.0,Neutral,0.0,Neutral,-0.2673166990280151,Negative
Awesome song!,0.6588,Positive,1.0,Positive,0.8502832651138306,Positive
"He's almost 49, and he still got it! This song deserves a lot more views",0.0,Neutral,0.5,Positive,0.4859949946403503,Positive
69m views shit,-0.5574,Negative,-0.2,Negative,-0.6074596047401428,Negative
"I think I have listened to this song like more than 50+

The flow of em… man… how can he do it. it’s amazing",0.743,Positive,0.55,Positive,0.8377825021743774,Positive
This guy definitely has no ceiling,0.128,Positive,0.0,Neutral,-0.4332164227962494,Negative
"reads The Game say he is better than Eminem

watches this video

🤔",0.4404,Positive,0.0499999999999999,Neutral,0.370648592710495,Positive
"Maybe he's just getting older but he doesn't sound very great here. This song is good, but I still like all the old Eminem music more. He's going a little too low with his voice and he's not raising it high enough to where you can hear him, I mean like actually hear him. Here he just sounds like he's imitating kendrick lamar's voice.",0.7651,Positive,0.2105555555555555,Neutral,0.7117892503738403,Positive
At the time I'm watching this it has69million views,0.0,Neutral,0.0,Neutral,-0.3412068784236908,Negative
2:52,0.0,Neutral,0.0,Neutral,0.2336792945861816,Neutral
Wow 69m views,0.5859,Positive,0.1,Neutral,0.6408981084823608,Positive
"Curto muito as músicas do Eminem ,showwww",0.4201,Positive,0.2,Neutral,-0.5110588669776917,Negative
I love 2:52 this part,0.6369,Positive,0.5,Positive,0.7269465923309326,Positive
Eminem is immortal,0.25,Positive,0.0,Neutral,0.6436502933502197,Positive
С каждым годом хорошеет Эм,0.4767,Positive,0.0,Neutral,0.4968812763690948,Positive
2:29🤩,0.0,Neutral,0.0,Neutral,0.2420577406883239,Neutral
Cant get this out of my head 😂🤩,0.4404,Positive,0.0,Neutral,-0.4471192061901092,Negative
69M views 😈🥳,0.6808,Positive,0.0,Neutral,0.3226332366466522,Neutral
me and the boys are fans... what's good?,0.4404,Positive,0.7,Positive,0.2541896104812622,Neutral
... can't wait to show you hockey town fo real tho. eminem and kimberly.... your pictures are on my wall eh. and i'm desperate to be in the media and be safe yo...my sister kelley helps me in life.. doesnt hurt me  x,0.7163,Positive,0.0333333333333333,Neutral,0.3717212080955505,Positive
Damn you look sexy to me... ever met an abused retired nhl player before? Got some good music for ya... some good tv and movie scripts x,0.4939,Positive,0.6333333333333333,Positive,0.3600258529186249,Positive
This is so good homie. Me and the boys need some writing advice... my current A list network is boring me right now gee x,0.3488,Positive,-0.0035714285714285,Negative,0.283047467470169,Neutral
They just keep getting more extream,0.0,Neutral,0.1875,Neutral,0.4114627540111542,Positive
I just came back to compare this to any Game song.. and I have to admit .. ‘Em would CATCH A CLEAN BODY WITH HIS Flow alone. The game alight but not messing with Em on any level,0.277,Positive,-0.1083333333333333,Negative,0.3045874536037445,Neutral
The flow at the end is something else,0.0,Neutral,0.0,Neutral,0.3587025105953216,Positive
Em in the yellow hazard suit is a reference to Jesse Pinkman who's style was inspired by Eminem,0.4939,Positive,0.0,Neutral,0.2745276093482971,Neutral
2:52,0.0,Neutral,0.0,Neutral,0.2336792945861816,Neutral
69,0.0,Neutral,0.0,Neutral,0.2504540681838989,Neutral
"Tbh, some of Eminem's last songs sound like they are more like a ""lyrical flex"" rather than songs.",0.6478,Positive,0.3,Neutral,-0.4361773729324341,Negative
go to minute 3 and 20 seconds,0.0,Neutral,0.0,Neutral,-0.5000436902046204,Negative
I love you man 💚🍀💕,0.9287,Positive,0.5,Positive,0.849134624004364,Positive
this was only like 8 months into it... now were at 24...,0.3612,Positive,0.0,Neutral,-0.4819027781486511,Negative
God,0.2732,Positive,0.0,Neutral,0.5458810925483704,Positive
CORONAAAAAAAAAAAAAAAAAAAAAAAAAA BOIII,0.0,Neutral,0.0,Neutral,0.2618571519851684,Neutral
This Will Be The Next “ Not Afraid “ In 10 More Years 🙏,0.0,Neutral,0.2666666666666666,Neutral,0.7456878423690796,Positive
Em is goat,0.0,Neutral,0.0,Neutral,-0.4041574597358703,Negative
"I just noticed the bats, lol 😂😂😂😂",0.9246,Positive,0.8,Positive,-0.2688611149787903,Negative
slow and stead. is how im getting into music and sound production,0.0,Neutral,0.0888888888888888,Neutral,0.2612981796264648,Neutral
this guy loves pens,0.5719,Positive,0.0,Neutral,0.667001485824585,Positive
👍👍♥️♥️♥️,0.9274,Positive,0.0,Neutral,0.3085779249668121,Neutral
Eminem went 10 seconds without breathing👏👏,0.0,Neutral,0.0,Neutral,-0.7263727188110352,Negative
3:20,0.0,Neutral,0.0,Neutral,0.3082143664360046,Neutral
Eminem je najbolji kakav bre snoop doog kakav bre six6nine9 Eminem bre idemo aleo aleo aleo,0.6369,Positive,1.0,Positive,0.5453894138336182,Positive
2:52 eminem god mode enter,0.2732,Positive,0.0,Neutral,-0.2448640018701553,Negative
This song has aged well 🔥🔥,-0.4019,Negative,-0.1,Negative,0.4649563133716583,Positive
2.55 best part🔥,0.4215,Positive,1.0,Positive,0.4944540560245514,Positive
"2:39 
no words",-0.296,Negative,0.0,Neutral,-0.3237545192241668,Negative
he's not human he's an alien he still looks young,0.0,Neutral,-0.0499999999999999,Negative,-0.4555684030056,Negative
2:52 - 3:57 My favorite verse,0.4588,Positive,0.5,Positive,0.8442800641059875,Positive
All killed.,-0.6705,Negative,-0.2,Negative,-0.8757011890411377,Negative
Nobody is here for first time 😂,0.4404,Positive,0.25,Neutral,-0.707970380783081,Negative
You’re a dead man just wait,-0.6486,Negative,-0.2,Negative,-0.6131818294525146,Negative
this song is the reason why we survived 2020,0.5106,Positive,0.0,Neutral,0.5728198289871216,Positive
Whats the name of the beat change at 2:26,0.0,Neutral,0.0,Neutral,-0.3092033267021179,Negative
02:53,0.0,Neutral,0.0,Neutral,-0.2452422976493835,Negative
"Esse cara é muito brabo, namoral.",-0.5563,Negative,-0.65,Negative,0.486155092716217,Positive
"EMS lyrical ability is uncanny man, I can't even keep up with his lyrics half the time..it makes me laugh bc it's so fucking awesome",0.8903,Positive,0.3777777777777777,Positive,0.3532902002334595,Positive
Wave.,0.0,Neutral,0.0,Neutral,0.3709237277507782,Positive
2:52 timestamp for me,0.0,Neutral,0.0,Neutral,0.3080686628818512,Neutral
🐐🐐,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
2:39 and 2:48 is that what a 9 mil sounds like?,0.3612,Positive,0.0,Neutral,-0.3387564718723297,Negative
The thing that got me sad that got me in the my name is what show old times 😔,-0.4215,Negative,-0.2,Negative,-0.2251904159784317,Negative
He never get aged :),-0.357,Negative,0.2,Neutral,0.3431196808815002,Positive
69 million views be like,0.3612,Positive,0.0,Neutral,0.3039165735244751,Neutral
"Did y'all notice that since Em released this track,  Covid began to disappear? Just like the kid with the man bun, dude went full emo mode after being dissed in Killshot. Em can you diss my teacher?",0.2406,Positive,0.35,Positive,-0.457105278968811,Negative
The way he links lyrics is never going to be matched,0.0,Neutral,0.0,Neutral,-0.3266105651855469,Negative
does anybody else listen to this song as a lullaby before bed?,0.0,Neutral,0.0,Neutral,-0.3451336324214935,Negative
Yo yo yo sup stains?,0.0,Neutral,0.0,Neutral,-0.421073168516159,Negative
Rap god,0.2732,Positive,0.0,Neutral,0.2760210037231445,Neutral
It’s cool the the ramen cup said GNAT,0.3182,Positive,0.35,Positive,0.3992995619773865,Positive
Hey God how are u is me the devil oh yeah im in heaven snitching to God how and im back alive doing vacations damn lay in bed is not even my sht anyways how ya all share some of that Sun of nature there is some of my rain if ya dry ahh aye let me light here ah ah making clouds brb lol what when the cleaners arent cleaning they said there is another virus like covid maybe is the second time they pass that all i hear is Gun shots and one for me yeah im death i revived again who do i thats my powers why would i tell em lol messirve igual que ahh esta ahh aburrido me fui bay bay i skip my meditation again see ya around God 1 round u win ahaha.,0.9231,Positive,0.2925925925925925,Neutral,-0.6463738679885864,Negative
2:37 the best part,0.6369,Positive,1.0,Positive,0.5704549551010132,Positive
This is the most advanced rap song ever.,0.3167,Positive,0.45,Positive,0.779470682144165,Positive
I got shot with a paintball gun at the same exact place,-0.34,Negative,0.125,Neutral,-0.5160765647888184,Negative
Legend,0.0,Neutral,0.0,Neutral,0.432450532913208,Positive
Mumble Rap fans will never understand the greatness of Eminem!,0.0,Neutral,0.0,Neutral,-0.5013440847396851,Negative
ok thats  creep when he comes like hes saying rid of the dog then he moves then u see there blood and a thing from godzilla but diferent thats creepy,0.3291,Positive,0.0,Neutral,0.7304866909980774,Positive
The song destroyed the soul society,-0.4939,Negative,0.0,Neutral,-0.3515512645244598,Negative
Berz. Str8 berz.,0.0,Neutral,0.0,Neutral,-0.3724165260791778,Negative
Eminem predicted that Mike Pence would get kill.,-0.6908,Negative,0.0,Neutral,-0.4350816011428833,Negative
"My mom's played Eminem for me since I was born now I'm 14 and absolutely love him idk how people can't like him he's a good rapper, he's funny AF and a good person what more can u want in a artist lol❤️",0.9449,Positive,0.53,Positive,0.7575196027755737,Positive
D'aminem,0.0,Neutral,0.0,Neutral,0.2401430308818817,Neutral
What do you think is his love song unless hadn't made one yet,0.6369,Positive,0.5,Positive,0.412353903055191,Positive
5.9 words per second still not as fast as godzilla or speedom,0.0,Neutral,0.1,Neutral,0.437873899936676,Positive
just realising now that eminem doesn't stack his vocals anymore,0.0,Neutral,0.0,Neutral,-0.4229153096675873,Negative
"Still gets machine guns in his lyrics, won't let the people forget!",-0.2942,Negative,0.0,Neutral,0.3464006781578064,Positive
GOAT 🐐,0.0,Neutral,0.0,Neutral,0.2369868457317352,Neutral
"0:20 
(*flashback of My Name is*)",0.0,Neutral,0.25,Neutral,-0.5520417094230652,Negative
2:51 best part,0.6369,Positive,1.0,Positive,0.4487020075321197,Positive
Dude will still murder anyone on the mic.,-0.6908,Negative,0.0,Neutral,-0.6424117684364319,Negative
Holy...The beat change was incredible!,0.0,Neutral,1.0,Positive,0.8350483179092407,Positive
"That flow change at: dark horse cuz 
im a knight-mare is so god damn good",0.4454,Positive,0.2749999999999999,Neutral,0.3579626977443695,Positive
2:50. Fast part,0.0,Neutral,0.2,Neutral,-0.2941976189613342,Negative
"This one man, it's just unfair.  There is no way any other rapper out there can complete with the bars Em is still penning today. This one is so ridiculous it should make everyone else just wanna wad their paper up and forget the craft.",-0.857,Negative,-0.2145833333333333,Negative,-0.901693880558014,Negative
🔥🔥🔥🔥🔥,-0.875,Negative,0.0,Neutral,0.3085779249668121,Neutral
cant wait to lie about him in the media.. his schooling and his behavioural record and shit eh,-0.5574,Negative,-0.2,Negative,-0.3424643576145172,Negative
a mess,-0.3612,Negative,-0.175,Negative,0.3579402863979339,Positive
Whe he got shot in the vid he woke up in the backrooms,0.0,Neutral,0.0,Neutral,-0.5239324569702148,Negative
