Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Yo,0.0,Neutral,0.0,Neutral,0.2984107434749603,Neutral
Anyone else still listen to this?,0.0,Neutral,0.0,Neutral,-0.3119505047798157,Negative
0:00 when the song begins,0.0,Neutral,0.0,Neutral,-0.6440862417221069,Negative
This was everything growing up,0.1779,Positive,0.0,Neutral,0.7182785868644714,Positive
Life goes on and on and on and on,0.0,Neutral,0.0,Neutral,0.4737133681774139,Positive
playing the censored version is like playing Minecraft with out mining or crafting,0.5423,Positive,0.0,Neutral,-0.4071741998195648,Negative
3:50,0.0,Neutral,0.0,Neutral,0.3112447559833526,Neutral
Eminem god,0.2732,Positive,0.0,Neutral,0.3285541832447052,Neutral
the censored version is like coming to the dirty version and leaving a comment about the censored version,-0.3818,Negative,-0.6,Negative,-0.595568060874939,Negative
Clean version is slim shitty while dirty version is the real slim shady whoo explicit eminem,-0.5859,Negative,-0.0708333333333333,Negative,-0.4541733860969543,Negative
"He literally broke all the stereotypes.
And he recorded this song literally 2 hourd before due.
What a motherfucker.",-0.8126,Negative,-0.125,Negative,-0.8826695680618286,Negative
he didnt care about a grammy..now hes going to the hall of fame...  respect,0.5223,Positive,0.0,Neutral,-0.327520877122879,Negative
"i started with the censored.. Fuck that shit
I stopped it",-0.8625,Negative,-0.3,Negative,-0.8145821690559387,Negative
You! Yeah you! I see you watching a hood classic. Keep up the good work.,0.6892,Positive,0.4333333333333333,Positive,0.5686349868774414,Positive
"When this song came out, it changed music forever. That's how impactful this song is.",0.0,Neutral,0.0,Neutral,0.3695622682571411,Positive
I wonder if they ever fixed the problem there....,-0.4019,Negative,0.1,Positive,0.3612092137336731,Positive
2:18,0.0,Neutral,0.0,Neutral,-0.2712476551532745,Negative
2:13,0.0,Neutral,0.0,Neutral,0.2499096989631652,Neutral
2:09,0.0,Neutral,0.0,Neutral,-0.2733067572116852,Negative
0:29 said 0:31 first time tho but it got deleted!,0.0,Neutral,0.3125,Positive,-0.6557866334915161,Negative
Truly a masterpiece,0.7906,Positive,0.0,Neutral,0.9444798231124878,Positive
I'm actually surprised Eminem played Britney Spears in 1:57,0.5106,Positive,0.1,Positive,0.3118879497051239,Neutral
Like the song,0.3612,Positive,0.0,Neutral,0.4145690500736236,Positive
"This is kinda homophobic. Still a good song but it's pathetic how many rappers are homophobes. Especially when they're supposedly ""grown"" men.",-0.6249,Negative,0.0499999999999999,Positive,0.5334006547927856,Positive
one of the best rappers to ever hit the rap scene,0.6369,Positive,1.0,Positive,0.922494411468506,Positive
ITS DEMONIC MUSIC LIKE THIS LEADING SO MANY STRAIGHT TO HELL SO I TELL YOU ALL TO SEEK AFTER JESUS CHRIST OF NAZARETH AND REPENT OF YOUR SINS OR ELSE YOU WILL NOT MAKE IT TO HEAVEN AND WILL SUFFER HORRIBLY IN HELL BURNING IN THE FIRE WHICH WILL NEVER GO OUT FOREVER WITHOUT REST.,-0.9384,Negative,-0.1,Negative,0.6024567484855652,Positive
JESUS CHRIST IS COMING BACK PEOPLE REPENT OF YOUR SINS AND ACCEPT JESUS CHRIST AS YOUR LORD AND SAVIOR TODAY NOT TOMORROW PEOPLE WHICH IS PROMISED TO NOONE ON THIS EARTH AT ALL,0.2732,Positive,0.0,Neutral,-0.5421804785728455,Negative
I'm the real Slim Shady,0.0,Neutral,-0.0249999999999999,Negative,0.2609406411647796,Neutral
This song is so progressive for its time,0.0,Neutral,0.0,Neutral,0.502414882183075,Positive
This man is astonishing with his capabilities to make so many bangers all so unique to each other.,0.0,Neutral,0.3125,Positive,0.8825396299362183,Positive
still the only rapper i like,0.3612,Positive,0.0,Neutral,0.4150234758853912,Positive
"Glad he made it, To bad he forgot where he came from",-0.128,Negative,-0.0999999999999999,Negative,0.3722944855690002,Positive
"Listening to clean versions of Eminems song is like listening to Eminem without the rapping and bars, just a choir boy saying things with a royal accent and well-mannered language",0.6369,Positive,0.3666666666666667,Positive,0.3356399536132812,Positive
Me at 3 AM : *IM SLIM SHADY YES IM THE REAL SHADY*,0.5319,Positive,-0.3125,Negative,-0.2371331453323364,Negative
"Briliant 🐏, Lyric, message, funny,
Amazing",0.8885,Positive,0.5,Positive,0.7499653100967407,Positive
"I swear there was a version that just paused and said ""nutsack""",-0.0516,Negative,0.0,Neutral,-0.5053219795227051,Negative
The clean version is like wearing shoes without laces,0.6369,Positive,0.3666666666666667,Positive,0.3437811434268951,Positive
rn im 9 an i love eminem so everyone should love eminem,0.8646,Positive,0.5,Positive,0.6574182510375977,Positive
i love eminem,0.6369,Positive,0.5,Positive,0.7281844615936279,Positive
Who Is Better Marshall Mathers Eminem B-Rabbit Or Slim Shady 🤔,0.4404,Positive,0.125,Positive,0.2617998123168945,Neutral
He told us who he was,0.0,Neutral,0.0,Neutral,0.2695685625076294,Neutral
You no y m is always welcome in Holly wood because he wants nothing to do w it guki idiots,0.2023,Positive,0.0666666666666666,Positive,0.3874386548995971,Positive
I can't believe I almost killed you that nite had third row seats n I was gonna find a way thank God I've changed lol,0.2944,Positive,0.2,Positive,-0.4751235246658325,Negative
Who came after juices freestyle?,0.1779,Positive,0.0,Neutral,-0.348705530166626,Negative
"Without Eminem, there would be no modern hip hop. This dude changed pop from “pop” to rap. All modern rappers are forever indebted to the the one, the only, the real slim shady.",-0.296,Negative,0.01,Positive,-0.4080012738704681,Negative
This song is a masterpiece. Man it brings me back.,0.6249,Positive,0.0,Neutral,0.8631032705307007,Positive
I don't think songs should be censored for kids because they we eventually find out anyway,-0.1531,Negative,0.0,Neutral,-0.3567011654376983,Negative
"Also, for people who say they want old Eminem, then when he does that, they say they want new Eminem. It is confusing and he hates it. Thank you.",-0.1779,Negative,-0.0212121212121212,Negative,-0.7424554824829102,Negative
Hi,0.0,Neutral,0.0,Neutral,0.2364865690469741,Neutral
"I'm still creeped out cuz of the onion rings......


Disgusting af",-0.5267,Negative,-1.0,Negative,-0.7664700746536255,Negative
Who else is listing to this masterpiece in 2022❤️🖕🤟,0.7073,Positive,0.0,Neutral,0.6434621810913086,Positive
The only reason I listen to clean eminem is my kids but when I'm at work this is what I listen to,0.2144,Positive,0.1833333333333333,Positive,0.3591081500053406,Positive
"May I have your attention please?
Nope. 
Why?
I can’t 
Why?
Umm, cause I’m doing cpr
To whom?
You
No seriously, who?
I just said, you!
Wait, what happened ?
Oh, wait, she is dead
Wait what?",-0.5767,Negative,0.0041666666666666,Positive,-0.6726393103599548,Negative
A,0.0,Neutral,0.0,Neutral,0.3187072873115539,Neutral
Jeez he's good,0.4404,Positive,0.7,Positive,0.3835448920726776,Positive
Holy,0.0,Neutral,0.0,Neutral,0.5670112371444702,Positive
This song really does shoot shots at everyone,-0.3976,Negative,0.2,Positive,0.6732724905014038,Positive
Im not talk about finah i speak realistic! Real!!!,0.0,Neutral,0.2994791666666666,Positive,0.6187754273414612,Positive
🤣🤣🤣,0.8625,Positive,0.0,Neutral,0.3085779249668121,Neutral
Now i know where memes come from😂,0.4404,Positive,0.0,Neutral,0.2838189005851745,Neutral
There can be only ONE shady,0.0,Neutral,-0.125,Negative,-0.2816663682460785,Negative
"I hate rap, except Eminem....",-0.5719,Negative,-0.8,Negative,-0.5569775104522705,Negative
"now this is THE REAL SIM SHADY, not some censored shit pollutin' the airwaves",0.5216,Positive,-0.0833333333333333,Negative,0.4172819852828979,Positive
"The Censored version is like going to the movies, but there is no popcorn or drinks",-0.3291,Negative,0.0,Neutral,-0.3627014756202698,Negative
JUST HIT 1.7 MILLION VIEWS YaY,0.5267,Positive,0.0,Neutral,-0.6276220083236694,Negative
Emimem genius,0.0,Neutral,0.0,Neutral,0.5016629695892334,Positive
"Finally, here it is",0.0,Neutral,0.0,Neutral,0.5182176828384399,Positive
The clean version is like investing in oil on the internet,0.6369,Positive,0.3666666666666667,Positive,0.3931129574775696,Positive
Man I remember this came out my Freshman Year in High School 🏆,0.0,Neutral,0.16,Positive,0.6343650817871094,Positive
Doctor Dre listening from the basement,0.0,Neutral,0.0,Neutral,0.2525462806224823,Neutral
*The Clean Version is like Pizza 🍕without the toppings* 😂,0.7964,Positive,0.3666666666666667,Positive,0.3372569978237152,Positive
Eminem has nothing on the ISLAND BOYS,0.0,Neutral,0.0,Neutral,-0.3843891620635986,Negative
0:51 Who's the Mistress with the lucky slave?,0.4215,Positive,0.3333333333333333,Positive,-0.4910695850849151,Negative
"The Britney Spears, though.",0.0,Neutral,0.0,Neutral,0.4605395793914795,Positive
The Censored Eminem is like pineapples on pizza.,0.2263,Positive,0.0,Neutral,-0.6123932600021362,Negative
0:37 me everytime the car goes *_cue helicopter helicopter_* on the glitchy gta4 swings,0.0,Neutral,0.0,Neutral,-0.4450331926345825,Negative
Him and Tommy Egan kinda look alike,0.0,Neutral,0.0,Neutral,0.5111531615257263,Positive
"ahhh better, love this so much more then that shitty clean version",0.7128,Positive,0.4666666666666667,Positive,0.3363322019577026,Positive
Bin liaising ro him  since a kid and still now legend 💯,0.0,Neutral,0.0,Neutral,0.7235707640647888,Positive
My dog was fat after listening to this masterpiece it's slim shady now,0.7073,Positive,-0.25,Negative,-0.2927010357379913,Negative
Versión sucia,-0.4404,Negative,-0.6,Negative,0.3754570782184601,Positive
"Thats a lot of BS in this rap, but was quite funny though, the thing about em's slim shady persona is that he knows how to entertain ppl by speaking proper bullshit",0.2592,Positive,0.0,Neutral,0.5631516575813293,Positive
Clean lyrics and eminem just doesn't mix,0.4019,Positive,0.3666666666666667,Positive,-0.5258150100708008,Negative
How does this not have more views,0.0,Neutral,0.5,Positive,0.2454804182052612,Neutral
just sayin 2:17,0.0,Neutral,0.0,Neutral,-0.3154214918613434,Negative
This is just perfect!,0.6114,Positive,1.0,Positive,0.946214497089386,Positive
"1:45 ironic considering the clean """"version""",0.296,Positive,0.2833333333333333,Positive,0.2698533535003662,Neutral
BEST SONG EVR,0.6369,Positive,1.0,Positive,0.8496778011322021,Positive
Circling screaming I don’t give a fuck with his Windows down and his system up 🤣,-0.4404,Negative,-0.2777777777777778,Negative,-0.6788883805274963,Negative
holy shit thats such a relief,-0.128,Negative,-0.1,Negative,0.6565894484519958,Positive
I'm Shadys Ladylike,0.0,Neutral,0.0,Neutral,0.2433845549821853,Neutral
"standing
Love at first light",0.6369,Positive,0.3833333333333333,Positive,0.4221755564212799,Positive
Eminem still has some of the best music videos I’ve ever seen to this day,0.6369,Positive,1.0,Positive,0.8641337752342224,Positive
Dr Dre is locked in my basement,0.0,Neutral,0.0,Neutral,-0.2437726259231567,Negative
how much did he pay those dudes to head bop for like 30 minutes,0.2732,Positive,0.2,Positive,-0.628178596496582,Negative
0:40 my fave part of the video,0.4404,Positive,0.0,Neutral,-0.5679163932800293,Negative
2:23,0.0,Neutral,0.0,Neutral,-0.2529586851596832,Negative
Clean Eminem is like living but your not living👁👄👁,0.3818,Positive,0.3666666666666667,Positive,0.3237941563129425,Neutral
The Real Slim Shady ✌🖖🏾❤💯🙌,0.8126,Positive,-0.0249999999999999,Negative,0.4381522834300995,Positive
The Will Smith line is 🔥,-0.34,Negative,0.0,Neutral,0.3810549676418304,Positive
"Ha ha, I Guess there’s a Slim Shady in all of us",0.34,Positive,-0.25,Negative,-0.4025686979293823,Negative
👌 perfect,0.87,Positive,1.0,Positive,0.8384902477264404,Positive
didnt this video have like 160K views?,0.3612,Positive,0.0,Neutral,-0.4587454795837402,Negative
this is criminally under viewed.,0.0,Neutral,-0.4,Negative,-0.6668378710746765,Negative
"Now 100000 but before he was 100000000000000 in this Song???
They want him drown..",-0.7303,Negative,0.0,Neutral,-0.5234220027923584,Negative
The Clean Version Of The Real Slim Shady Is Like Eating a Burger Without Meat And Cheese...,0.6369,Positive,0.1055555555555555,Positive,0.3051536083221435,Neutral
1:17 Eminem 👑,0.0,Neutral,0.0,Neutral,-0.2854721248149872,Negative
That samesex marriage take was hot for 2000,0.0,Neutral,0.25,Positive,0.2764058411121368,Neutral
I forgot about that fat lady eating the Onion rigs 🤢🤢🤢🤮🤮🤮🤮🤮🤮,0.0,Neutral,0.0,Neutral,-0.3173170089721679,Negative
All my homies hate Clean Eminem,-0.25,Negative,-0.2166666666666666,Negative,-0.4400108456611633,Negative
The very first Eminem song I heard when I was a teen. One of my favourite songs to this day.,0.0,Neutral,0.1625,Positive,0.8187062740325928,Positive
Christina Aguilera and Eminen should do a song together 😆,0.3612,Positive,0.0,Neutral,0.3925782144069671,Positive
I  really hope that YouTube doesn't age restrict this video.,0.6572,Positive,0.2,Positive,-0.5223453044891357,Negative
I love the real slim chady,0.6369,Positive,0.15,Positive,0.7547304034233093,Positive
1:45,0.0,Neutral,0.0,Neutral,-0.3038152754306793,Negative
who's here in 2022,0.0,Neutral,0.0,Neutral,0.4469750523567199,Positive
2:20,0.0,Neutral,0.0,Neutral,-0.2618317902088165,Negative
3:00 - is that Steve Wilkos???,0.0,Neutral,0.0,Neutral,-0.3789672553539276,Negative
I was 6-7 years old and I swear I remember the spit scene to this day 🤢 but I’ve been shaped and character built but this man’s music ❤️,-0.0258,Neutral,0.1,Positive,0.3054104149341583,Neutral
2022.,0.0,Neutral,0.0,Neutral,0.2574217617511749,Neutral
But i can't listen to somthing that misses Words thats. Cringe,-0.3291,Negative,0.0,Neutral,-0.4267551898956299,Negative
Why they make clean version of songs is becuse we have kids i school that should 'nt here does Words.,0.4019,Positive,0.3666666666666667,Positive,-0.3295410275459289,Negative
Explicit Eminem for the 🥇 🔥 2022 beachesssss,0.1779,Positive,0.0,Neutral,-0.2192929685115814,Negative
Clean eminem is like doing the speed limit on the interstate in a super car,0.8442,Positive,0.35,Positive,0.5298069715499878,Positive
Yuck,0.0,Neutral,0.0,Neutral,0.2379894107580185,Neutral
He a sell out now,0.0,Neutral,0.0,Neutral,-0.481419950723648,Negative
Legand has it that Dr.Dre is still in the basement.,0.0,Neutral,0.0,Neutral,0.3084375560283661,Neutral
The chaos in this video. 🤣,-0.128,Negative,0.0,Neutral,-0.359182059764862,Negative
I always remembered the lady eating the onion rings was the last part of the video n they showed it alot longer. That part always had me so grossed out to the point I would gag. I always had to look away at that part lol,-0.1195,Negative,0.4,Positive,-0.3052444458007812,Negative
This is the real slim shady,0.0,Neutral,-0.0249999999999999,Negative,0.3534102141857147,Positive
😁,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
0_0,0.0,Neutral,0.0,Neutral,-0.8716638684272766,Negative
സെൻസർ ചെയ്ത വേർഷൻ ഒരുമാതിരി ഉപ്പില്ലാത്ത കഞ്ഞിപോലെയാ,0.2263,Positive,0.4,Positive,-0.3163508176803589,Negative
yo this sick stuff innit,-0.5106,Negative,-0.7142857142857143,Negative,-0.6292713284492493,Negative
The hook of this song alone is like a time machine to the early 2000s,0.128,Positive,0.1,Positive,0.2903066873550415,Neutral
The clean version is like having an xbox controller for a playstation,0.6369,Positive,0.3666666666666667,Positive,0.4083731770515442,Positive
Listening to clean Eminem is like watching censored porn,0.5574,Positive,0.3666666666666667,Positive,-0.6317896842956543,Negative
2022,0.0,Neutral,0.0,Neutral,0.2900533974170685,Neutral
Can't believe I just realized there were dirty versions of EM's songs,-0.4404,Negative,-0.6,Negative,-0.4648914337158203,Negative
