Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Love from INDIA🇮🇳🇮🇳🇮🇳,0.6369,Positive,0.5,Positive,0.614985466003418,Positive
Quien vuelve en 2022?,0.0,Neutral,0.0,Neutral,-0.4803862869739532,Negative
Smrnanwyr,0.0,Neutral,0.0,Neutral,0.2411077618598938,Neutral
Just love this song ❤️❤️❤️❤️,0.6369,Positive,0.5,Positive,0.8675106167793274,Positive
Yo la conocí por los vídeos de terror de tiktok xDDD,-0.5719,Negative,0.0,Neutral,0.4563641846179962,Positive
2022✌️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
"Yo escuchando estés tema en 2022, y me da la misma felicidad que cuando la escuché por primera vez está música es mi favorita",0.765,Positive,0.3625,Positive,0.7898852229118347,Positive
De ayven dats gotan akht,0.0,Neutral,0.0,Neutral,-0.2390760332345962,Negative
Alguien más escuchandola en 2022??,0.0,Neutral,0.0,Neutral,-0.3940419554710388,Negative
2022 anyone?,0.0,Neutral,0.0,Neutral,-0.5808016061782837,Negative
Que recuerdos,0.0,Neutral,0.0,Neutral,0.3143956661224365,Neutral
Very are you from,0.0,Neutral,0.2,Positive,0.4417174160480499,Positive
No me gusta el regueton pero esta rola esta bien chida,0.4281,Positive,0.35,Positive,-0.4388303458690643,Negative
!👀!هههه!؟؟؟؟والله ياالله انتى وكيلي دايم دوم وانا اعرف اتكلم واسين قبل الجيم 👀؟!,0.8035,Positive,0.3125,Positive,-0.5129538774490356,Negative
It’s this song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times.  I hope everyone is doing well. I love you ❤️💕,0.9186,Positive,0.037037037037037,Positive,0.7126774191856384,Positive
2022 reportandoce,0.0,Neutral,0.0,Neutral,-0.272755891084671,Negative
MaLuMa bEiBy 😭😍🤙,0.4767,Positive,0.0,Neutral,-0.3462744355201721,Negative
2022✨✨✨💕💕💕💕,0.9753,Positive,0.0,Neutral,0.3085779249668121,Neutral
Yo pero 2022,0.0,Neutral,0.0,Neutral,0.3390999734401703,Positive
"Nghe Phúc hát mà nước mắt rơi mãi ....quá nhiều cảm xúc ùa về, quá nhiều kỉ niệm. Cảm ơn Đức Phúc thật nhiều, giọng hát anh ấm tựa nắng mùa Thu vậy.",0.3612,Positive,0.36,Positive,-0.3495088815689087,Negative
Quien escucha este temazo en 2030,0.0,Neutral,0.0,Neutral,0.2977007925510406,Neutral
Alguien escuchando esto en 2022,0.0,Neutral,0.0,Neutral,-0.430997371673584,Negative
"Maluma te amamos, gracias por tu música 💞",0.9081,Positive,0.35,Positive,0.5544530153274536,Positive
♥️maluma todas tus canciones son adorables ❤️,0.8126,Positive,0.5,Positive,0.7760183215141296,Positive
❤️🎶🎶🎶🎶🎶🎶✨✨❤️,0.5574,Positive,0.0,Neutral,0.3085779249668121,Neutral
❤️un pedacito de corazón ♥️,0.8456,Positive,-0.1875,Negative,0.3454095125198364,Positive
PE CINE PULA MEA INTERESEAZĂ PE PLANETA ASTA DE ASA CEVA,-0.2023,Negative,-0.05,Negative,0.3952493965625763,Positive
2022?,0.0,Neutral,0.0,Neutral,-0.3836294710636139,Negative
MI CORAZONNN,0.6369,Positive,0.0,Neutral,0.6012657880783081,Positive
Alguien 2022?,0.0,Neutral,0.0,Neutral,-0.5968908667564392,Negative
Anh đức phúc hát hay quá 😍😍❤❤,0.9547,Positive,0.0,Neutral,0.2416736930608749,Neutral
Alguien X Acá en Abril 2022 XD,0.6739,Positive,0.0,Neutral,-0.5795137882232666,Negative
No sé qué hago aquí en 2022,0.0,Neutral,0.0,Neutral,-0.4144291877746582,Negative
"Gosto mto dessa versão da música da anitta e do nego  do borel, em espanhol ficou lindoooo. Amo maluma 💋💋💋💋",0.9686,Positive,0.3875,Positive,-0.6372919082641602,Negative
❤😊papasitoooooooo,0.8807,Positive,0.0,Neutral,0.3085779249668121,Neutral
wtf en la cancion aparece ronal diño,-0.5859,Negative,-0.5,Negative,0.2695974707603454,Neutral
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
❤❤,0.8555,Positive,0.0,Neutral,0.3085779249668121,Neutral
ESTUPENDO MALUMA LOV,0.5994,Positive,0.3333333333333333,Positive,0.5419766902923584,Positive
reunion de dioses digan prsentes,0.0,Neutral,0.0,Neutral,0.2609828412532806,Neutral
Asjdjsdjdjdbdxb,0.0,Neutral,0.0,Neutral,0.2868849635124206,Neutral
Te invito a que abras este enlace 👉 https://youtu.be/t_LREmEIzSE y te subscrivas para que estés informad@ de todas las canciones que suvamos,0.1531,Positive,0.0,Neutral,-0.377293199300766,Negative
Te invito a que abras este enlace 👉 https://youtu.be/t_LREmEIzSE y te subscrivas para que estés informad@ de todas las canciones que suvamos,0.1531,Positive,0.0,Neutral,-0.377293199300766,Negative
😍😍😍😍😍😍😍,0.9638,Positive,0.0,Neutral,0.3085779249668121,Neutral
E incluso la Y que no me lo creo en la ciudad y Á que no me lo creo en la ciudad y en los que no me lo creo en,0.0,Neutral,0.0,Neutral,-0.525296688079834,Negative
It’s this song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times.  I hope everyone is doing well. I love you ❤️💕,0.9186,Positive,0.037037037037037,Positive,0.7126774191856384,Positive
giọng của Đức Phúc nghe ấm và nhẹ nhàng nhưng vẫn đầy trầm tư nội lực!! Like this version!!,0.9025,Positive,0.2875,Positive,0.3699524402618408,Positive
I Lovee you,0.6369,Positive,0.5,Positive,0.7978048920631409,Positive
"Giọng Đức Phúc đỉnh quá đi mất. Nó kiểu mộc mạc, ko màu mè và nghe rất chân thành ấy ❤️❤️❤️❤️❤️ Mong 1 ngày sẽ được ngồi ở trời Đà Lạt và nghe Phúc hát 🎵",0.8947,Positive,0.4,Positive,-0.3710704445838928,Negative
https://youtu.be/avQlspZeK_g,0.0,Neutral,0.0,Neutral,0.2405534237623214,Neutral
"Wow que nostalgia cuando intentaba encajar con el resto de compañeros porque creía que lo bueno era agradarles a todos y tener muchos amigos 
Gracias My chemical romance por ayudarme a hacer catarsis porque sino seguiría escuchando estás cosas :)",0.9761,Positive,0.3285714285714285,Positive,0.727363109588623,Positive
Tu me 💔 el 💖👩➕👨⚌💔,0.8625,Positive,0.0,Neutral,0.3731166124343872,Positive
2022🔥,-0.34,Negative,0.0,Neutral,0.3085779249668121,Neutral
🥰🥰🥰🤣,0.9779,Positive,0.0,Neutral,0.3085779249668121,Neutral
A música até que é boa. Nego do borel foi quem estragou,0.4588,Positive,0.475,Positive,-0.2818999886512756,Negative
en donde fue grabado?,0.0,Neutral,0.0,Neutral,-0.4573293328285217,Negative
so nice,0.4754,Positive,0.6,Positive,0.4443694949150085,Positive
Siempre se la pongo a mi hermana cada vez que la dejan🤣🤣🤣🤣🤣,0.9413,Positive,0.0,Neutral,0.7111413478851318,Positive
Imaa li nas?,0.0,Neutral,0.0,Neutral,-0.2784487307071686,Negative
"cái hay của phúc đó giọng hất rất tình cảm , mỗi bài hát là bạn ấy thả hết tâm hồn và tình cảm vậy , và thể hết giống như mình đã từng trải nghiệm , i love you",0.9432,Positive,0.5,Positive,0.4270737767219543,Positive
como te extraño mucho este cantante maluma se parece mi profe mi colonia gonzalo se parece del vos ere muy lindo que tamazo me encanta hace mucho no escucho por primera vez es mejr este año el año 2022,0.9294,Positive,0.375,Positive,0.486105740070343,Positive
Ugogoogogugogogogog ugogogogog uguguguggugugugugug ugogogogog,0.0,Neutral,0.0,Neutral,-0.3171243369579315,Negative
me gusta tu music,0.3612,Positive,0.0,Neutral,0.4307772517204284,Positive
"Lit es la cancion fav de mis 2 mejoras ,mejoro y mía jdsjjs",0.802,Positive,0.0,Neutral,0.2891502678394317,Neutral
me gusta maluma,0.3612,Positive,0.0,Neutral,0.3693148195743561,Positive
Alguien que está escuchando esto en 2022?💃🏻🖤😎🔥🔥🎆,0.5267,Positive,0.0,Neutral,-0.5465705990791321,Negative
. Lelwlellw,0.0,Neutral,0.0,Neutral,0.2281360179185867,Neutral
melhhor que a musica ofcl kk,0.6908,Positive,0.65,Positive,-0.2378352135419845,Negative
😎🍓🍓,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
🇧🇬,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
2022?,0.0,Neutral,0.0,Neutral,-0.3836294710636139,Negative
una parte de mi infancia,0.0,Neutral,0.0,Neutral,0.4508964717388153,Positive
Alguien me puede explicar que hace Ronaldinho en un vídeo de maluma??,0.0,Neutral,0.0,Neutral,-0.4928475320339203,Negative
AYY MI CORAZOOON,0.6369,Positive,0.0,Neutral,0.2589212357997894,Neutral
WTF recien me doy cuenta q esta ronaldinho,-0.6739,Negative,-0.5,Negative,-0.3816666603088379,Negative
xd,0.5859,Positive,0.0,Neutral,0.4124718010425567,Positive
"N O S T A L G I A 100%
2  0  2  2",0.5766,Positive,0.0,Neutral,0.5236000418663025,Positive
2022,0.0,Neutral,0.0,Neutral,0.2900533974170685,Neutral
"Alguien del 2022 jajajajaj, esta canción es una joya que nunca pasa de moda.",0.0,Neutral,0.2,Positive,0.5580540895462036,Positive
"Quien lo escucha el 2022?



Like si tú también jaja",0.802,Positive,0.2,Positive,-0.4595829546451568,Negative
Yo la estoy escuchando en 2022,0.0,Neutral,0.0,Neutral,0.4045140147209167,Positive
"Tú me partiste el corazón (Maluma, baby)
Pero, mi amor, no hay problema, no no (Rudeboyz)
Ahora puedo regalar (Qué)
Un pedacito a cada nena, sólo un pedacito

Tú me partiste el corazón (Ay, mi corazón)
Pero, mi amor, no hay problema, no no
Ahora puedo regalar (Ya qué, ya qué)
Un pedacito a cada nena, sólo un pedacito

Ya no vengas más con esos cuentos, mami
Si desde el principio siempre estuve pa' ti
Nunca me avisaron cuál era el problema
Te gusta estar rodando por camas ajena'

Ahora me tocó a mí cambiar el sistema
Andar con gatas nuevas, repartir el corazón, sin tanta pena
Ahora te digo goodbye
Muito obrigado, pa' ti ya no hay

Uh woah uh woah uh woah
Uh woah uh woah uh woah
No tengo miedo de decir adiós
Yo quiero repartir meu coração

Uh woah uh woah uh woah
Uh woah uh woah uh woah
Ahora te digo goodbye
Muito obrigado, pa' ti ya no hay (Maluma, baby)

Você partiu meu coração (Aí, meu coração)
Mas meu amor não tem problema, não não
O que agora vai sobrar então (Que? O que?)
Un pedacito a cada nena, sólo un pedacito

Se eu não guardo nem dinheiro
Que dirá guardar rancor
Você vacilou primeiro
Nosso caso acabou

Uh woah uh woah uh woah
Uh woah uh woah uh woah
No tengo miedo de decir adiós
Yo quiero repartir meu coração

Uh woah, uh woah, uh woah
Uh woah uh woah uh woah
Ahora te digo goodbye
Muito obrigado, pa' ti ya no hay

Tú me partiste el corazón (Ay, mi corazón)
Pero, mi amor, no hay problema, no no
Ahora puedo regalar (Ya qué, ya qué)
Un pedacito a cada nena, sólo un pedacito

Tchau tchau
Eu não sei falar muito bem português
Mas quero aprender
Pretty boy, baby
Dirty boy, baby
Maluma, baby, muá

Tú me partiste el corazón (Maluma, baby)
Pero, mi amor, no hay problema (Rudeboyz)
Sólo un pedacito (Maluma baby)",0.999,Positive,0.0624621212121212,Positive,-0.2867644131183624,Negative
It’s this song and “Did You Call Me?” by Lukaz are some of the only things getting me through tough times.  I hope everyone is doing well. I love you ❤️💕,0.9186,Positive,0.037037037037037,Positive,0.6858478784561157,Positive
Wow!!!,0.6884,Positive,0.1953125,Positive,0.8064718246459961,Positive
Anybody Here In 2020!?,0.0,Neutral,0.0,Neutral,-0.5672809481620789,Negative
love from bangladsh,0.6369,Positive,0.5,Positive,0.5848394632339478,Positive
2022? 👀🤗,0.4215,Positive,0.0,Neutral,-0.385463684797287,Negative
"This is the song that you don't hear for a while but when you hear it, it feels like magic 💫❤",0.8271,Positive,0.5,Positive,0.4698027372360229,Positive
No dejó de escuchar este ♥️♥️♥️,0.9381,Positive,0.0,Neutral,-0.4964081645011902,Negative
yo   julian,0.0,Neutral,0.0,Neutral,0.3533659279346466,Positive
Im from indonesia but live in Spain and its my fav song ...latinas proud,0.8462,Positive,0.4681818181818182,Positive,0.4921578466892242,Positive
Alguien 2022 ? 🤣🤑,0.4939,Positive,0.0,Neutral,-0.5853601098060608,Negative
Te A mo     mucho,0.6369,Positive,0.35,Positive,-0.3965959548950195,Negative
Yop en 2022! 😅,0.4199,Positive,0.0,Neutral,-0.3057233691215515,Negative
Temazo,0.6249,Positive,0.8,Positive,0.2918783724308014,Neutral
Yo,0.0,Neutral,0.0,Neutral,0.2984107434749603,Neutral
Amooo a Maluma 😍😘,0.875,Positive,0.5,Positive,-0.3713193535804748,Negative
"*Did anyone just suddenly remember this song*
.
.
👇
*You’re amazing stay blessed, stay safe and have a amazing rest of your day*",0.9371,Positive,0.425,Positive,0.8227500319480896,Positive
Alguien en el 2022😃😃🥰,0.9062,Positive,0.0,Neutral,-0.410878449678421,Negative
Quien en el 2022,0.0,Neutral,0.0,Neutral,0.2995925545692444,Neutral
Ronaldinho lo mejor del vídeo 👌,0.8842,Positive,1.0,Positive,0.7478297352790833,Positive
Les algériens vous êtes là?? 🇩🇿,0.0,Neutral,0.0,Neutral,-0.4578224718570709,Negative
2022???,0.0,Neutral,0.0,Neutral,-0.4393912553787231,Negative
Alguien está escuchando esto en el 2022,0.0,Neutral,0.0,Neutral,-0.4864741861820221,Negative
"Alguien más esta escuchando está canción en pleno 2022😍❤
*MALUMA BABY TE AMO🔥*",0.8941,Positive,0.25,Positive,-0.3754675984382629,Negative
Los amó. Jehová ❤️,0.6369,Positive,0.5,Positive,0.3563161194324493,Positive
Yo no estoy escuchandolo en 2021 yo lo estoy escuchando en 2022,0.0,Neutral,0.0,Neutral,-0.5707469582557678,Negative
Não passa de moda nunca❤️,0.0,Neutral,0.0,Neutral,-0.5373886823654175,Negative
2022😂,0.4404,Positive,0.0,Neutral,0.3085779249668121,Neutral
Y,0.0,Neutral,0.0,Neutral,0.3310393095016479,Positive
Alguien escuchando en 2022,0.0,Neutral,0.0,Neutral,0.2740127742290497,Neutral
It’s this song and “Did You Call Me?” by Lukaz are some of the only things getting me through tough times.  I hope everyone is doing well. I love you ❤️💕,0.9186,Positive,0.037037037037037,Positive,0.6858478784561157,Positive
☝️👍🏄‍♂️🏄‍♀️🌏🌳🐬❤💑😁😎,0.9371,Positive,0.0,Neutral,0.3085779249668121,Neutral
Quien lo escucha en el 2022 del abril 20,0.0,Neutral,0.0,Neutral,-0.3799496293067932,Negative
2022 💥💥❤❤❤,0.8625,Positive,0.0,Neutral,0.2993581593036651,Neutral
