Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
My favourite 😍😍😍😍😍😍,0.9517,Positive,0.0,Neutral,0.8583036065101624,Positive
I love this song  💕💕💕💕💕,0.9812,Positive,0.5,Positive,0.8624796271324158,Positive
"2022,oh, man, sah dengan manusia hidup what god es nya usni, yanni husen bah orang batak dari kota Medan magnet bumi🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎, ü7 islam radikal kuasai Jakarta selatan⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇ amt",0.3182,Positive,0.0,Neutral,-0.4298808872699737,Negative
Hayret hiç Türkçe yoruma denk gelmedim. 😀,0.5719,Positive,0.7,Positive,-0.4973800480365753,Negative
2022 hwe you,0.0,Neutral,0.0,Neutral,-0.3086206614971161,Negative
How do you remix your songs?,0.0,Neutral,0.0,Neutral,0.2915871739387512,Neutral
paragraph 2:52 is the mountain of crowbar of Vietnam,0.0,Neutral,0.0,Neutral,-0.2381424754858017,Negative
"I haven't heard this song in a long time, it gives me a nostalgic felling",0.0,Neutral,-0.275,Negative,0.4290169477462768,Positive
✨✨✨✨✨✨✨,0.9201,Positive,0.0,Neutral,0.3085779249668121,Neutral
Many Thanxxx from France !!!,0.0,Neutral,0.9765625,Positive,-0.4484703242778778,Negative
Its April 2022 lets see how many people are watching this song,0.0,Neutral,0.5,Positive,-0.3835965096950531,Negative
Tôi cần giúp đỡ về chuyển máy móc,0.4019,Positive,0.0,Neutral,0.3498964607715606,Positive
Me: Vietnam,0.0,Neutral,0.0,Neutral,0.2658533155918121,Neutral
❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
CAN WE DO LIKES TO MILLION,0.4215,Positive,0.0,Neutral,0.2944679260253906,Neutral
Is that the largest cave in the world?,0.0,Neutral,0.0,Neutral,-0.313972145318985,Negative
How many of tou watching in 2022..😊❤️,0.7184,Positive,0.5,Positive,-0.350431740283966,Negative
Love   it  I don't  have any words for this  girl  🙌👏❤😍💕💗🙌👏❤😍💕💗🙌👏❤😍💕💗🙌👏❤😍💕💗🙌👏❤😍💕💗🙌👏❤😍💕💗🙌👏❤😍💕✨✨✨✨✨🥰🥰🥰🥰🥰🥰🥰🥰🥰💓💓💓💓💞💞💞💕💞💕💞💗💗💓💞💕💕❣❣💟❣💕❤💝💖💌💗💓💞💕💕🤎💗,0.9999,Positive,0.5,Positive,0.929543435573578,Positive
"Alan walker , cuteness with talking in heart breaking way 🥰😍🥰",0.9779,Positive,0.0,Neutral,0.3938500881195068,Positive
It's may 2022,0.0,Neutral,0.0,Neutral,0.2558177709579468,Neutral
LOve from Vietnam ❤️❤️❤️💕💕💕,0.959,Positive,0.5,Positive,0.6025200486183167,Positive
Who's listening this song in 2022 after watching short videos?,0.0,Neutral,0.0,Neutral,-0.5048131942749023,Negative
