Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"#MJFam We must listen to this gem every day, as well as TDCAU, THRILLER, BEAT IT, SMOOTH CRIMINAL, REMEMBER THE TIME, BLACK OR WHITE, BAD, EARTH SONG AND DON'T STOP TILL YOU GET ENOUGH to take them to #1Billion4MJ as we did with Billie Jean!.  Come on guys, together we can do it for #MichaelJackson!!!!",-0.7069,Negative,-0.1444444444444444,Negative,0.7210355401039124,Positive
que lindo,0.4215,Positive,0.6,Positive,0.3794561326503753,Positive
"It's 2022 this is still so good!!!!! ❤️😍💯
The way you make me feel!!! 🎤",0.8364,Positive,1.0,Positive,0.7859374284744263,Positive
So no one listens to Michael and 2022,-0.3597,Negative,0.0,Neutral,-0.3222169876098633,Negative
"I LOVE MJ, KING OF POP",0.6369,Positive,0.5,Positive,0.8140884041786194,Positive
I was not even born when he died but I still love MJ and his music,0.6705,Positive,0.5,Positive,0.5537975430488586,Positive
It is something else,0.0,Neutral,0.0,Neutral,-0.3271803855895996,Negative
Todas do Michael são excelentes mas essa 😍😍😍,0.9366,Positive,1.0,Positive,0.3447389006614685,Positive
This video is creepy 🤣,0.4939,Positive,-0.5,Negative,0.4129219949245453,Positive
Like like like alone ❤️🙌 maestro da tempestade sacudimos os reiras 🗝️ Ba D Boo 🤟,0.5859,Positive,0.0,Neutral,0.2906943261623382,Neutral
🤩🤟🤫🙌😍🔥😀💥💥🇦🇴🇦🇴,0.1531,Positive,0.0,Neutral,0.3085779249668121,Neutral
😇🇦🇴💥💥💥😀😍🙌🙌🙌🤟,0.25,Positive,0.0,Neutral,0.3085779249668121,Neutral
"This song and the song by Tears for fears: ""Everyone wants to rule the world"" sound alike. I don't know if I am the only person that's catching it 😂.",-0.2023,Negative,0.3,Positive,0.2677686512470245,Neutral
She is a fine looking woman🔥💯😍 that mocha skin💥,-0.0258,Neutral,0.4166666666666667,Positive,0.4799739718437195,Positive
He's with Whitney Houston is with Her in heaven. She was a talented woman,0.765,Positive,0.7,Positive,0.5859354734420776,Positive
Forever love Micheal Jackson,0.6369,Positive,0.5,Positive,0.7481305003166199,Positive
