Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Wow temazo ❤️❤️❤️❤️❤️❤️,0.5859,Positive,0.1,Positive,0.6446157097816467,Positive
Maluma te amomos todos tus videos son para nosotras un trofeo ❤️❤️❤️💖💖💖🏆🏆,0.9732,Positive,0.5,Positive,0.5051984786987305,Positive
Vani💝💝💝😎💖🧡💘,0.9854,Positive,0.0,Neutral,0.3085779249668121,Neutral
x d,0.0,Neutral,0.0,Neutral,0.248650923371315,Neutral
que temazo,0.6249,Positive,0.8,Positive,-0.2606920003890991,Negative
11pm,0.0,Neutral,0.0,Neutral,-0.3201551139354706,Negative
"malu perfecto tu cancion 
11pm",0.5719,Positive,1.0,Positive,0.7080678343772888,Positive
Como harcerte entender 🎶,0.0,Neutral,0.0,Neutral,0.505669891834259,Positive
،😭😭😭😭😭❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,-0.9382,Negative,0.0,Neutral,0.3461722433567047,Positive
"like lo que los que 
estan mirando en el 2022",0.3612,Positive,0.0,Neutral,0.5319200754165649,Positive
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
1B soon,0.0,Neutral,0.0,Neutral,0.2789345979690552,Neutral
VOLVIO EL MALUMA DE ANTES,0.0,Neutral,0.0,Neutral,-0.3371126353740692,Negative
me encanta MALUMA dejen un like si les gusta MALUMA y mas sus canciones dejen apoyo,0.8885,Positive,0.5,Positive,0.661247193813324,Positive
1:41,0.0,Neutral,0.0,Neutral,0.2155964523553848,Neutral
"Maluma nunca pierde el toque de hacernos sentir mejor que nunca todo el tiempi,🤩🤩🤩🤩🤩🤩🥳🥳🥳🥳🥳🥳🥳🥳🤘🤘🤘🤘🤘🤘🤘🤘👍👍👍👍👍👍👍👍👍",0.5943,Positive,0.325,Positive,0.6778733134269714,Positive
❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.9963,Positive,0.0,Neutral,0.3085779249668121,Neutral
mi cuarto huele.. a pino colbert... jajajaaa,0.7269,Positive,0.2,Positive,-0.2825207710266113,Negative
Que buen video el mejor cantante que he oido de todos eres el mejor maluma 11 de la noche y aun dandole a la rumba👍👍,0.9062,Positive,0.9,Positive,0.8435276746749878,Positive
maluma humilde 🤑,0.0,Neutral,-0.2,Negative,-0.648674726486206,Negative
2022 quien se lo solla aún??😮‍💨,0.0,Neutral,0.0,Neutral,-0.4077954292297363,Negative
Esta buernardo 💕😍 Maluma volvió  síii,0.875,Positive,0.0,Neutral,-0.717410683631897,Negative
❤️❤️❤️❤️❤️❤️❤️🔲👀,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
❤️❤️❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Comigo tu tem o melhor,0.6369,Positive,1.0,Positive,0.6954851746559143,Positive
😉😉,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
⁰,0.0,Neutral,0.0,Neutral,0.3460091352462768,Positive
👏👏👏👏👍👍👍🎁🎁🎁🎁💪,0.891,Positive,0.0,Neutral,0.3085779249668121,Neutral
te amo y te quiero mucho,0.8555,Positive,0.42,Positive,0.6816899180412292,Positive
Maluma is the best my friend 💪🙏,0.8126,Positive,1.0,Positive,0.7483734488487244,Positive
2022??,0.0,Neutral,0.0,Neutral,-0.4259990453720093,Negative
