Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
كون,0.0,Neutral,0.0,Neutral,0.3048602640628814,Neutral
دو دو دو,0.0,Neutral,0.0,Neutral,0.2626095414161682,Neutral
المال,0.0,Neutral,0.0,Neutral,0.2945982813835144,Neutral
لاليسا,0.0,Neutral,0.0,Neutral,0.2621774971485138,Neutral
السواد الزهري,0.0,Neutral,-0.1,Negative,0.2628479301929474,Neutral
فتيات متيمات للحب,0.6369,Positive,0.5,Positive,0.3201789855957031,Neutral
Don't leave me alone:(,0.2235,Positive,-0.75,Negative,-0.3016380965709686,Negative
كيف تحب ذلك ؟,0.3612,Positive,0.0,Neutral,0.5704038143157959,Positive
Hit u with that ddddu ah yeah ah yeah :),0.7506,Positive,0.5,Positive,0.5776643753051758,Positive
LILISA,0.0,Neutral,0.0,Neutral,0.2533727288246155,Neutral
Don't know what to do without you,0.0,Neutral,0.0,Neutral,-0.2220245748758316,Negative
Wanna listen a joke ?,0.296,Positive,0.0,Neutral,-0.710944652557373,Negative
♡,0.0,Neutral,0.0,Neutral,0.5759676098823547,Positive
"@rory why you don't come today
:'(",0.3875,Positive,-1.0,Negative,-0.3315881192684173,Negative
"421,515",0.0,Neutral,0.0,Neutral,0.2439193874597549,Neutral
❤❤❤❤❤❤❤❤🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️🥰🥰🥰🥰🥰,0.998,Positive,0.0,Neutral,0.3085779249668121,Neutral
Str3am fast blinks,0.0,Neutral,0.2,Neutral,-0.3350573480129242,Negative
VAMOS POR LOS 2B,0.0,Neutral,0.0,Neutral,-0.2651959061622619,Negative
Look up in the sky it's a bird it's a plane,0.0,Neutral,0.0,Neutral,-0.2772874534130096,Negative
1.9B Let's go !!!!!!,0.0,Neutral,0.0,Neutral,-0.4411163032054901,Negative
Hi,0.0,Neutral,0.0,Neutral,0.2364865690469741,Neutral
"Blackpink we all blinks appreciate your hardwork we love you so much .
They always provide me emotional support.  They really have a special place in my heart.  I will love you guys till the end of time. You guys made me involve in kpop . I don't know what would I do if you guys aren't here . I love you so much from my heart.  I will literally don't want to live if they disband.  I hope they will renew their contract",0.9868,Positive,0.2881673881673882,Neutral,0.8010441660881042,Positive
Hlo every one hlo,0.0,Neutral,0.0,Neutral,-0.4784920513629913,Negative
Satroopa behra are you here ?,0.0,Neutral,0.0,Neutral,-0.2311220914125442,Negative
Saamea Sarfaraz are you here ?,0.0,Neutral,0.0,Neutral,-0.2664753794670105,Negative
ِ,0.0,Neutral,0.0,Neutral,0.2846148908138275,Neutral
ج,0.0,Neutral,0.0,Neutral,0.2527409195899963,Neutral
م,0.0,Neutral,0.0,Neutral,0.2719296514987945,Neutral
عندنا الساعه 4:53,0.0,Neutral,0.0,Neutral,-0.2567877173423767,Negative
قاعد اس.ترم,0.0,Neutral,0.0,Neutral,0.2430024296045303,Neutral
Are yll here ?,0.0,Neutral,0.0,Neutral,-0.3463138937950134,Negative
Guysss pleaseeeee I begggggg you all to str3am it as much as you cannnnnn pleasessss <3,0.4404,Positive,0.6,Positive,0.472966581583023,Positive
Lisa,0.0,Neutral,0.0,Neutral,0.3173010349273681,Neutral
2b,0.0,Neutral,0.0,Neutral,0.3122630715370178,Neutral
Jennie's rap is faster than my internet connection,0.0,Neutral,0.0,Neutral,0.519210934638977,Positive
🍰🍰🍰🍰🍰🍰🍰🍰🍰🍰🍰🍰🍰🍰🍰🍰,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Anyone here??,0.0,Neutral,0.0,Neutral,-0.5595164895057678,Negative
str3aming,0.0,Neutral,0.0,Neutral,-0.2536984980106354,Negative
"Heyyy EVERYONE
I am back;",0.0,Neutral,0.0,Neutral,-0.3885252475738525,Negative
Guys don't give up . Keep str3aming,0.0,Neutral,0.0,Neutral,0.3048687875270843,Neutral
"15 complete
°°°°°°°°°°°°°°°°°°°",0.0,Neutral,0.1,Neutral,0.3924566507339477,Positive
"Blinks, Dudududu is very close to 2 billion!!
Let us stream it!!!
Go Blinks!!!",0.0,Neutral,1.0,Positive,-0.813161313533783,Negative
I LOVE YOU BLACPINK,0.6369,Positive,0.5,Positive,0.7346548438072205,Positive
واو,0.5859,Positive,0.1,Neutral,0.275315374135971,Neutral
I LOVE YOU LISA,0.6369,Positive,0.5,Positive,0.8346372842788696,Positive
I LOVE YOU JISOO,0.6369,Positive,0.5,Positive,0.8173805475234985,Positive
I like this duu du duu du song 😘,0.6486,Positive,0.0,Neutral,0.6448779106140137,Positive
I LOVE YOU ROSÈ,0.6369,Positive,0.5,Positive,0.836286723613739,Positive
I LOVE YOU JENNIE,0.6369,Positive,0.5,Positive,0.805708646774292,Positive
Stre@m we need atleast 900k everyday it is getting only 500k daily ;-;,0.0,Neutral,-0.0666666666666666,Negative,-0.3328370749950409,Negative
I am back,0.0,Neutral,0.0,Neutral,0.377678632736206,Positive
"1B, 860, 406
BLINKs, lets stream DDU-DU DDU-DU more. We only need 39.5M vi3ws to complete 1.9B and 139.5M vi3ws for 2B",0.0,Neutral,0.1999999999999999,Neutral,-0.3627248704433441,Negative
"How many are stea3ming ?
 Present !!",0.0,Neutral,0.25,Neutral,-0.3262921273708343,Negative
We want black pink x bts pls support blinks,0.5106,Positive,-0.1333333333333333,Negative,0.2381045222282409,Neutral
"401,374",0.0,Neutral,0.0,Neutral,0.2597134411334991,Neutral
Woww no one is $treaming,0.3818,Positive,0.1,Neutral,-0.4256228804588318,Negative
Hey hey any one here?,0.0,Neutral,0.0,Neutral,-0.4335781931877136,Negative
🙂🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,0.9987,Positive,0.0,Neutral,0.3085779249668121,Neutral
Yaaa fighting,-0.3612,Negative,0.0,Neutral,0.238546997308731,Neutral
Happy 73.9M subscribers,0.5719,Positive,0.8,Positive,0.6321983337402344,Positive
"1860M 
Blinks! Keep streaming.  Let's claim 2B asap! Let's make another history for our pinks!",0.0,Neutral,0.0,Neutral,-0.3772841989994049,Negative
Heyyyy,0.0,Neutral,0.0,Neutral,-0.2575046718120575,Negative
Slaypink,0.0,Neutral,0.0,Neutral,-0.3634638488292694,Negative
LOVE.   💗🖤🇰🇷📞📲🎁,0.9291,Positive,0.5,Positive,0.6842993497848511,Positive
"13 complete 
°°°°°°°°°°°°°°°°°°°",0.0,Neutral,0.1,Neutral,0.3883897364139557,Positive
"395,207",0.0,Neutral,0.0,Neutral,0.2564093768596649,Neutral
Let's get it to 2B,0.0,Neutral,0.0,Neutral,0.327402114868164,Neutral
Bye guys I will come later,0.0,Neutral,0.0,Neutral,0.4180079102516174,Positive
"We are very slow it look impossible to reach 1,000,000
Fighting blink",-0.34,Negative,-0.5283333333333333,Negative,-0.5094671249389648,Negative
Esa é minha música preferida do k pop coreano,0.4588,Positive,0.5,Positive,0.6251257061958313,Positive
Hãy tặng Blackpink món quà ý nghĩa nào Blink: 2 tỷ view nhân ngày 8/8😘,0.7906,Positive,0.5,Positive,-0.5611293911933899,Negative
