Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"I'm not gonna lie , that hand looks dead
💀",-0.2732,Negative,-0.2,Negative,-0.5658489465713501,Negative
So you’re telling that I could have gotten this test with cotton swabs instead of the doctor stabbing my wrist for 30 minutes when I was 5?,0.0,Neutral,-0.6,Negative,-0.314032107591629,Negative
wouldn’t winter in the US be around summertime/spring is asia ? just wondering bc she said it was weird she saw cherry blossoms in dec/jan,-0.1779,Negative,-0.5,Negative,-0.3640961647033691,Negative
"I went for an allergy test like that once and it was HELL. turns out I was allergic to all of them X-X cats, grass, dust, pollen… you name it ;-;",-0.7213,Negative,0.0,Neutral,-0.6410915851593018,Negative
Gibi: Ben I need you for 30 minutes ben: (•_•) why not,0.0,Neutral,-0.75,Negative,-0.4642629623413086,Negative
Am I the only one who actually does what she says like she says to look up I do like it's actually happening,0.6124,Positive,0.0,Neutral,0.3209200799465179,Neutral
"i am high asf listening to this cos for some reason i needed to hear asmr right now but the entire video i was just looking at that guys arm like ""why am i white"" 😭😭😭😭",-0.9366,Negative,0.1114285714285714,Positive,-0.3776205778121948,Negative
Awesome,0.6249,Positive,1.0,Positive,0.830653965473175,Positive
Fuck this,-0.5423,Negative,-0.4,Negative,-0.8083631992340088,Negative
Can you do a Gynecologist Plz,0.0772,Positive,0.0,Neutral,0.2844364047050476,Neutral
Sodom.,0.0,Neutral,0.0,Neutral,-0.3428066968917846,Negative
pog ben he did very well xD,0.7559,Positive,0.2,Positive,0.4536230564117431,Positive
"O
I",0.0,Neutral,0.0,Neutral,0.323967695236206,Neutral
Oops I dislike then I undo that,-0.3818,Negative,0.0,Neutral,-0.4149999022483825,Negative
I would order a box from boxsu but- i live in japan- lol-,0.5719,Positive,0.4681818181818182,Positive,0.2678301632404327,Neutral
This is actually very educational thanks for doing re search before thsi!,0.5378,Positive,0.2875,Positive,0.651511549949646,Positive
My pits are bushy,0.0,Neutral,0.0,Neutral,-0.3325864970684051,Negative
Did I just enjoy listening to a sponsor,0.4939,Positive,0.4,Positive,0.3781456649303436,Positive
if u watch naruto you know how usless sakura is and now its sakura seasone for bakksu,-0.4215,Negative,-0.5,Negative,0.2766645550727844,Neutral
Was that a dummy hand? cause if it wasn't holy cow that person it did not move a muscle very impressive 🙂👍👍,0.8678,Positive,0.4333333333333333,Positive,-0.5441696047782898,Negative
omg i love this video so much. love the low talking and the sound of the swabs in the test... vial.... tray things,0.8214,Positive,0.35,Positive,0.841230571269989,Positive
"He reached out for a hi 5 and got allergy tested 
Great work with both you and your husband tho Gibi 
Have a good night and sleep well",0.8591,Positive,0.75,Positive,0.691525936126709,Positive
Sponsor ends at 2:48,0.0,Neutral,0.0,Neutral,-0.5132951140403748,Negative
probably my favourite video from Gibi!,0.0,Neutral,0.0,Neutral,0.6939930319786072,Positive
Is that a real hand or a fake hand?,0.5106,Positive,-0.15,Negative,-0.7512701153755188,Negative
Can we talk abt how Ben was able to keep his arm and fingers from moving the entire time?!,0.0,Neutral,0.25,Positive,0.3176881074905395,Neutral
Me with social anxiety: Hurry the fuck up damnit.,-0.8225,Negative,-0.1833333333333333,Negative,-0.4948915541172027,Negative
lmao ive been using benadryl for my food allergy reactions omg idk how I am alive,0.7269,Positive,0.35,Positive,0.3441698849201202,Positive
"no one:
ben: i dont even understand what she is doing to me
gibi: *running crazy tests*",-0.5574,Negative,-0.6,Negative,-0.4976750016212463,Negative
Ben is very patient right now. I'M ✨👏🏻PROUD👏🏻✨,0.5574,Positive,0.2428571428571428,Positive,0.6437817215919495,Positive
NO WAY HOW DID HE KEEP HOS HAND SO STILL,0.25,Positive,0.0,Neutral,0.2717932164669037,Neutral
"great job, but was it awkward?🤣",0.714,Positive,0.8,Positive,0.5034471154212952,Positive
pov: you are Ben and he is 7 foot 5,0.0,Neutral,0.0,Neutral,0.2236930131912231,Neutral
So relaxing to watch 💖,0.8718,Positive,0.0,Neutral,0.5154123306274414,Positive
Sesame allergy gang,0.0,Neutral,0.0,Neutral,-0.4126060903072357,Negative
Video suggestion: I really like the medical videos and I would LOVE to see a video where we have a single medical problem or injury and you do an assessment with abnormals specific to that problem. I sorry if you’ve already done this ♥️♥️,0.8867,Positive,0.0183673469387755,Positive,0.3227834403514862,Neutral
"wait theres a sesame allergy?

you poor soul







well actually. im allergic to texas and ants so i believe that",-0.4939,Negative,-0.2,Negative,-0.5947010517120361,Negative
she lowkey cute,0.4588,Positive,0.5,Positive,0.3487022221088409,Positive
Gibi severed Ben’s arm,0.0,Neutral,0.0,Neutral,-0.4944339990615845,Negative
"Bro I have a sesame allergy too 😭 
as long as they’re cooked I’m fine but why Japan why
give me ramen pls",-0.0516,Negative,0.1833333333333333,Positive,-0.3124167621135711,Negative
My brother is new to asmr and I tried it on him and he was so tired after. Also he saw half of the advertisement and fell asleep!,-0.6166,Negative,-0.1573232323232323,Negative,-0.5549471378326416,Negative
I have a sesame allergy!!!!!!!!,0.0,Neutral,0.0,Neutral,-0.6216636896133423,Negative
😍😍😍😍😍😘🤗🤗😴😴😴,0.9698,Positive,0.0,Neutral,0.3085779249668121,Neutral
"Gibi has to be my comfort asmrist, her voice is just so calming for me",0.7177,Positive,0.0,Neutral,0.5991501808166504,Positive
I rate this video 8/10 but how her husband was just sitting there so quietly I give it a 10/10,0.0,Neutral,0.0,Neutral,0.293658047914505,Neutral
Did u go on Shinkansen that train has yummy snacks in food car go there😀,0.7096,Positive,0.0,Neutral,-0.3537179827690124,Negative
15:00,0.0,Neutral,0.0,Neutral,-0.2889037430286407,Negative
15:17,0.0,Neutral,0.0,Neutral,0.2414986491203308,Neutral
15:03,0.0,Neutral,0.0,Neutral,-0.2538098096847534,Negative
Who knows how I can figure out what products I’m allergic to because I’m allergic to a lot of skin stuff but can’t figure out what ingredients I’m allergic to 😂,-0.0387,Neutral,0.0,Neutral,0.3082893788814544,Neutral
Fr,0.0,Neutral,0.0,Neutral,0.304417073726654,Neutral
His hand hasn't moved,0.4939,Positive,0.0,Neutral,-0.3611167371273041,Negative
I hate to be that guy but is bokksu worldwide,-0.3291,Negative,-0.8,Negative,-0.2529199421405792,Negative
Very nice,0.4754,Positive,0.78,Positive,0.6515336632728577,Positive
My fav part is 29:30,0.4588,Positive,0.0,Neutral,0.2566182315349579,Neutral
Me LOve Thaïs,0.6369,Positive,0.5,Positive,0.6340072154998779,Positive
17:35 her hand look like a face lol,0.8176,Positive,0.8,Positive,-0.4203826785087585,Negative
What a Good Husband for letting her do that on Him What a good husband,0.7003,Positive,0.7,Positive,0.5795468688011169,Positive
Its funny because the allergrn cointainer are actualy just pill containers for each week day my father has a similar one,0.4404,Positive,0.0833333333333333,Positive,0.4432787895202636,Positive
"I love japanese food, you can thank my anime loving gf for that lol",0.9246,Positive,0.475,Positive,0.7458739876747131,Positive
I have the weirdest allergy you will ever hear. From  chalk. And the worst part is my teachers dont believe me i have allergy from that. 5 mins later after i write something at the board my hand just becomes all red and itchy. Thank god i dont need an epipen for that kind of allergy i just wash my hands.,-0.0772,Negative,-0.1,Negative,-0.8824772238731384,Negative
I’m allergic to Tigers.,-0.296,Negative,0.0,Neutral,-0.6066409349441528,Negative
Plot twist the patient is allergic to everything and dies,-0.296,Negative,0.0,Neutral,-0.4199571907520294,Negative
"Shout out to Ben for creepily not moving an inch somehow, but mainly for being such a good husband.",0.5927,Positive,0.2791666666666667,Positive,0.3189509212970733,Neutral
That has to be a fake arm,-0.4767,Negative,-0.5,Negative,-0.6499025821685791,Negative
Do you or you husband has a allergy cause I wonder where you got the expired pen?,0.0,Neutral,0.0,Neutral,-0.4513860642910003,Negative
What if he was just sleeping and she dragged him over there,-0.0516,Negative,0.0,Neutral,-0.4616266787052154,Negative
Dream job: be an ASMR arm model.,0.25,Positive,0.0,Neutral,0.4538185000419616,Positive
Gipan,0.0,Neutral,0.0,Neutral,0.2556926310062408,Neutral
Bro is literally dead he didn’t move the whole video,-0.6486,Negative,0.0,Neutral,-0.8239908814430237,Negative
"I would love to be an asmr practice dummy 🤣 for a video, practice, etc... dream come true 🥴",0.9042,Positive,0.425,Positive,-0.3596538305282593,Negative
"I love that she mentions her Sesame ALLERGY, When the video is about an allergy test",0.6369,Positive,0.5,Positive,0.3510196506977081,Positive
Asmr helps me calm down and relax so i think i need to start watching this more after screaming at this annoying kid on our bus,0.3008,Positive,-0.0388888888888888,Negative,0.4586111009120941,Positive
I didn’t know that I had hairy arms and big hands 😂,0.4404,Positive,0.0,Neutral,-0.3363051414489746,Negative
Having bens arm gave me so much gender envy,-0.3321,Negative,0.2,Positive,0.5672498345375061,Positive
Why is the camera so high? I barely see her,0.0,Neutral,0.105,Positive,-0.3748795092105865,Negative
"Gibi: Okay, so to get started on the test...

me: (looks down) ummmm I'm black.....",0.2263,Positive,-0.1430555555555555,Negative,0.5775678753852844,Positive
Imagine watching this in VR. That would be cool if I had a oculus,0.3182,Positive,0.35,Positive,0.3659889698028564,Positive
Imagine watching this in VR. That would be cool if I had a oculus,0.3182,Positive,0.35,Positive,0.3659889698028564,Positive
Rhysxxxx🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠😀😀😀😀😀😀👍😍😍😍,0.9682,Positive,0.0,Neutral,0.3085779249668121,Neutral
I USUALLY SKIP THIS PART,0.0,Neutral,-0.25,Negative,0.3643446564674377,Positive
Can you play around with some foam soap they are so tingly and I love it,0.765,Positive,0.5,Positive,0.7525450587272644,Positive
gibi is so fucking good at this type of asmr. SHE IS QUEEN,0.5379,Positive,0.7,Positive,0.6931190490722656,Positive
I have a sesame allergy ❤💜,0.8555,Positive,0.0,Neutral,-0.4912227988243103,Negative
we NEEED more writing triggers like at the start of the RP it was AMAZING 🤩,0.8072,Positive,0.55,Positive,0.6766786575317383,Positive
He's not even moving his hand at all,0.4939,Positive,0.0,Neutral,-0.6933847665786743,Negative
yeet,0.0,Neutral,0.0,Neutral,0.2531534135341644,Neutral
"Excellent job being authentic on the allergy testing and explanation of use and diff epi pens. My son has pn/ tn allergies so been thru that many times. Auvi Q is our fav. Also, ""intensely hairy arms"" hilarious!",0.8737,Positive,0.5650000000000001,Positive,0.9002202749252319,Positive
"Hey, just wanted to say i love your videos and they help me sleep and relax, but it is a bit annoying how i have to watch through three minutes of a sponsor i know i wont even buy or support. Maybe you could put it later on or at the end and shorten it a little, just saying, it would be nice. Thanks!",0.9223,Positive,0.0604166666666666,Positive,0.6076551079750061,Positive
Dude that sponsor is sweet,0.4588,Positive,0.35,Positive,0.3187498450279236,Neutral
Video starts at 249,0.0,Neutral,0.0,Neutral,-0.417151391506195,Negative
You should have done the poke tests,0.0,Neutral,0.0,Neutral,0.2693853378295898,Neutral
"Olá pessoal, tudo bem com vocês? Também posto vídeos de ASMR aqui no YouTube. Venham conhecer o meu conteúdo garanto que não irão se arrepender. 💆‍♂️🙏🏻♥️",0.8192,Positive,0.0,Neutral,0.3278895020484924,Neutral
Nooo Gibi you don't wipe away the alcohol you gotta wait for it to try on its own,0.0,Neutral,0.6,Positive,-0.3420237004756927,Negative
not me watching this while I literally have an infection,0.0,Neutral,0.0,Neutral,-0.4634425044059753,Negative
I was talking about about my knees and she said something about about my eyess,0.0,Neutral,0.0,Neutral,-0.3417882025241852,Negative
Fun fact gibi is using CVS gloves,0.5106,Positive,0.3,Positive,0.591060221195221,Positive
2:47 if you don’t want to see the sponsor,0.0772,Positive,0.0,Neutral,-0.2843656539916992,Negative
im so tall she has to look up at me,0.0,Neutral,0.0,Neutral,-0.3700812458992004,Negative
What’s taking so long  with sponsor,0.0,Neutral,-0.05,Negative,0.589628279209137,Positive
ben has my respect for being so quiet the whole video🥹,0.4767,Positive,0.1,Positive,0.6246228218078613,Positive
Gibi will hit 1000 videos before Christmas!!,0.0,Neutral,0.0,Neutral,0.563019871711731,Positive
"Wait, hold up, did she say 'stoel' and not chair??

Ayooooo Dutch vibes!

Time; 6:16",0.0,Neutral,0.0,Neutral,-0.4455961287021637,Negative
We like 7'2 in this video 😂,0.6597,Positive,0.0,Neutral,0.470000684261322,Positive
Lol everyone is talking abt Ben. 😂   👁👄👁,0.6908,Positive,0.8,Positive,0.4141904413700104,Positive
"Sit on the what
Are you dutch?",0.0,Neutral,0.0,Neutral,-0.3166452050209045,Negative
"Hola vi tu video y fue muy inspirador, yo también tengo algunas ideas geniales que me gustaría compartir con ustedes con lo que aprendí",0.8977,Positive,0.7250000000000001,Positive,0.623364269733429,Positive
ive done one of these before and i genuinely hated it,-0.5719,Negative,-0.8,Negative,-0.7061983942985535,Negative
b e n,0.0,Neutral,0.0,Neutral,0.2745722532272339,Neutral
