Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Freddy Mercury sei bravissimo,0.4927,Positive,0.91,Positive,0.5287607312202454,Positive
a be ce de é efi ge aga i jota ka eli emi eni ó pe que erre esi te u ve dabliu xis ypisolon ze,0.0,Neutral,0.0,Neutral,-0.3775091171264648,Negative
2022 Glory to Russia! Death to hahol,-0.1759,Negative,0.0,Neutral,0.5360075235366821,Positive
Official song of minnesota timberwolves ....,0.0,Neutral,0.0,Neutral,0.3945299983024597,Positive
أغنية فريدي جيدة جدا,0.4927,Positive,0.91,Positive,0.6582575440406799,Positive
Tengo meo,-0.4019,Negative,0.0,Neutral,-0.3571785986423492,Negative
ㅎㅎㅎ,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Á,0.0,Neutral,0.0,Neutral,0.3187072873115539,Neutral
Que temazo Ufff!!,0.0,Neutral,0.0,Neutral,-0.3109733760356903,Negative
Nostalgia Menag turnamen futsal 2019 di sekolah,0.5267,Positive,0.5,Positive,0.5307030081748962,Positive
"But it's been no bed of roses, no pleasure cruise.
I consider it a challenge before the whole human race, and I AIN'T gonna lose.",-0.5362,Negative,0.1,Positive,0.3500472605228424,Positive
I've done my sentence but committed no crime.,0.7632,Positive,0.0,Neutral,-0.2851872444152832,Negative
"Que presença de palco desse homem, voz perfeita, em perfeita sintonia com os instrumentos musicais, essa banda é toda perfeita!!! Esse seria um show que eu realmente faria questão de ver se ainda estivesse vivo! :(",0.94,Positive,0.3678571428571429,Positive,0.7003228068351746,Positive
UEFA Champions League,0.5267,Positive,0.0,Neutral,0.3469492793083191,Positive
Vine buscando UEFA champions League,0.5267,Positive,0.0,Neutral,0.2752997577190399,Neutral
Cómo están todos ☺️😃💟☺️😃😃💟 su amigo yimi a los saluda 😃💟😃😃😃💟☺️😃😃💟☺️ bien 👍😸👍😸👍😸 como a an está do ustedes también 🙉😐🤬🤬🤬😡😝🥰 son cabezones pero no se moleste no se moleste no se puede quedar nada más que agradecer por la vida y que tengan un abraso muy fuerte y ánimos de todo lo megor si okokokokokokokoeeyyy 😉😌😒🤗🤗🤗🤗😡🥺🤬😱 de,0.9977,Positive,0.5211111111111112,Positive,0.4261016547679901,Positive
"4 countries represented by one man -- Iran, India, Zanzibar, and, of course, the UK -- one greatly talented man, I might add!",0.5974,Positive,0.875,Positive,0.289209634065628,Neutral
if you are still listening to this song you are gold💍,0.0,Neutral,0.0,Neutral,0.2527979910373688,Neutral
"Unico, junto con Lennon, Sinatra, Elvis....,Beatles.!!!!!!!!!!",0.0,Neutral,0.0,Neutral,0.5971208214759827,Positive
Only Freddie will dare to go on stage with a bandanna and shorts on,0.0,Neutral,0.0,Neutral,0.2231087535619735,Neutral
Mon unique 🙏,0.0,Neutral,0.0,Neutral,0.7433469891548157,Positive
Class,0.0,Neutral,0.0,Neutral,0.4324474036693573,Positive
when my father told me about queen i became a big fan,0.3182,Positive,0.0,Neutral,0.4289563298225403,Positive
****SLAVA****,0.5423,Positive,0.0,Neutral,-0.2318749874830246,Negative
Ehh aquí el famoso efecto Mandela we are the champions (2:55),0.5267,Positive,0.5,Positive,0.3264484703540802,Neutral
"почему ни один человек не написал толерантнось, тут это не нужно.",0.296,Positive,0.0357142857142857,Positive,-0.7610544562339783,Negative
Emocionante!!!!,0.6562,Positive,0.732421875,Positive,0.7818667888641357,Positive
Amazing ♥️♥️♥️👋👋👋🙏🙏🙏,0.9799,Positive,0.6000000000000001,Positive,0.8492814898490906,Positive
Esta canción es muy buena no la paro de escuchar 🤡🤡😁,0.7953,Positive,0.91,Positive,0.6747385859489441,Positive
Queen forever,0.0,Neutral,0.0,Neutral,0.7898205518722534,Positive
I get ( of the world )  Mandela efect,0.0,Neutral,0.0,Neutral,0.6994553208351135,Positive
yooo fra ti ricordi di me??? Abbiamo creato questa musica insieme <3,0.6641,Positive,1.0,Positive,0.2666104137897491,Neutral
"An iconic band, with an iconic discography",0.0,Neutral,0.5,Positive,0.8070079684257507,Positive
❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
Everytime time i win a game of some sort this masterpiece reminds me of this song,0.8649,Positive,0.2,Positive,0.8073655366897583,Positive
Super Wow tu musica Bro,0.8271,Positive,0.2166666666666666,Positive,0.8095653653144836,Positive
Nel♥️,0.6369,Positive,1.0,Positive,0.2831395864486694,Neutral
Das baybay queen,0.0,Neutral,0.0,Neutral,0.4707033634185791,Positive
AMAZING,0.5859,Positive,0.6000000000000001,Positive,0.8426642417907715,Positive
BALI DEWATA🇮🇩,0.0,Neutral,0.0,Neutral,0.2673611640930176,Neutral
best of all time especially in live performance.  Freddie ❤,0.8555,Positive,0.6363636363636364,Positive,0.939524471759796,Positive
ñ,0.0,Neutral,0.0,Neutral,-0.2178967893123626,Negative
"0:27

0:29 

1:48",0.0,Neutral,0.0,Neutral,-0.525229275226593,Negative
Me gusta la parte de champiens,0.7096,Positive,0.0,Neutral,0.4867476522922516,Positive
muito bom,0.4927,Positive,0.91,Positive,0.6459388732910156,Positive
Si señor t agradezco señor mi DIOS,0.7925,Positive,0.0,Neutral,0.442181795835495,Positive
This is the great awesome song played by Westgate resorts every morning no matter what to bring us ready for a hard timeshare,0.9123,Positive,0.4270833333333333,Positive,0.867339015007019,Positive
That beezlebub DJ blood hasn’t earned silver.,0.0,Neutral,0.0,Neutral,-0.5251164436340332,Negative
Oooh shiiiii... 100 million views...,0.0,Neutral,0.0,Neutral,0.4345907568931579,Positive
Music reached at peak,0.1027,Positive,0.0,Neutral,0.3011457920074463,Neutral
2:45 they touch the god of music,0.2732,Positive,0.0,Neutral,0.4235656261444092,Positive
kkkkkkkkkk,0.0,Neutral,0.0,Neutral,0.2540178894996643,Neutral
I'm here for my school work 😭,-0.4767,Negative,0.0,Neutral,0.438595175743103,Positive
"Versão solada no violão muito bonito  veja lá👇
https://youtu.be/JzM5HWBAlT0",0.6361,Positive,1.0,Positive,0.4148183166980743,Positive
100m😀😀😃🥳🥳🥳,0.9231,Positive,0.0,Neutral,0.3085779249668121,Neutral
