Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
basket ball chese ball potato,0.0,Neutral,0.0,Neutral,0.2908205091953277,Neutral
"Axswe
Qwz",0.0,Neutral,0.0,Neutral,0.3322339057922363,Positive
Hi,0.0,Neutral,0.0,Neutral,0.2364865690469741,Neutral
Did lunar sware!!,0.0,Neutral,0.0,Neutral,-0.3503468036651611,Negative
😂😹🤣👍♥️♥️,0.9545,Positive,0.0,Neutral,0.3085779249668121,Neutral
Funny I’m so happy I just convinced my grandma by me when your plushy’s is the goal one coat tail go I’m a biggest fan I love her I love her queen plushy hat but I am your biggest fan laser name,0.9201,Positive,0.5125,Positive,0.6944743394851685,Positive
your kinda ignoring draco a bit🤔,-0.3415,Negative,0.0,Neutral,0.2290959358215332,Neutral
funnwh: wooooooo🤣,0.4939,Positive,0.0,Neutral,0.292003720998764,Neutral
hi funneh,0.0,Neutral,0.0,Neutral,0.2662593424320221,Neutral
I love itsfunneh !,0.6696,Positive,0.625,Positive,0.7936838269233704,Positive
Play floater again I miss it and droppers and challenges,0.2732,Positive,0.0,Neutral,0.267943412065506,Neutral
Totallly not lunar in the race after she lost she went “DAM IT” “dang…”,-0.3182,Negative,0.0,Neutral,-0.8022133111953735,Negative
when draco talks about food he always say “limited edition”,0.0,Neutral,-0.0714285714285714,Negative,0.2934923470020294,Neutral
Lunar be like: d Word it,0.3612,Positive,0.0,Neutral,0.26041179895401,Neutral
Do the hard mode,-0.1027,Negative,-0.2916666666666667,Negative,0.3603280186653137,Positive
Draco your mean,0.0,Neutral,-0.3125,Negative,0.281987726688385,Neutral
"(Fh’m


E;Fulham",0.0,Neutral,0.0,Neutral,0.2227762788534164,Neutral
At start there was a button why not get it it was stink bomb I think?,-0.7096,Negative,0.0,Neutral,-0.5933818817138672,Negative
I’m so glad y’all are YouTubers I’ve been watching y’all since 2014-2015 and they always make my day better!,0.7569,Positive,0.5625,Positive,0.9000241756439209,Positive
I love how rainbow cussed at 14:08 😂,0.7964,Positive,0.5,Positive,0.7549715638160706,Positive
Juegos,0.0,Neutral,0.0,Neutral,0.3909271955490112,Positive
I’ve been really sick lately and watching the krew my my day a lot better <3,0.2975,Positive,0.1214285714285714,Neutral,0.3501467704772949,Positive
After the race,0.0,Neutral,0.0,Neutral,0.2372247278690338,Neutral
i like lunars god blazer even she is so kind tottaly,0.8388,Positive,0.3,Neutral,0.384502649307251,Positive
"Krew makes all of are days special! 🌈 
They are so fun too!",0.8189,Positive,0.4107142857142857,Positive,0.7473653554916382,Positive
Game name?,0.0,Neutral,-0.4,Negative,-0.3797319233417511,Negative
"It was kinda funny how rainbow  can't do parkour  but she scored a one shot in the basket  ball hoop, it made my day",0.2031,Positive,0.25,Neutral,0.5823386311531067,Positive
