Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
GET SOME FROM AMAZON,0.1779,Positive,0.0,Neutral,0.2234927266836166,Neutral
"I love James, he is so full of energy!",0.7818,Positive,0.46875,Positive,0.905652105808258,Positive
you should do full face of forever 21 makeup,0.0,Neutral,0.35,Positive,0.380803644657135,Positive
use code BBL for 100% off has me dying,0.0,Neutral,0.0,Neutral,-0.3840498924255371,Negative
Hi my name is katalyna I am Kevin dodger 🚫 I  will not spec,0.0,Neutral,0.0,Neutral,-0.5373269319534302,Negative
You should try a full face of make up from Amazon and I love your videos so much💕💕,0.9409,Positive,0.425,Positive,0.7719636559486389,Positive
I love the new nail shake!,0.5848,Positive,0.3352272727272727,Positive,0.8885201811790466,Positive
5 below makeup !!,0.0,Neutral,0.0,Neutral,0.3926231861114502,Positive
Right..fashion nova are the ones who start trends when all they do is knock off designers 😭 cmon,-0.4767,Negative,0.0,Neutral,0.3620185256004333,Positive
Also you’re a make up artist,0.0,Neutral,0.0,Neutral,0.4247124493122101,Positive
Hello James I am new,0.0,Neutral,0.1363636363636363,Neutral,0.6899365186691284,Positive
GIVE ME THEM,0.0,Neutral,0.0,Neutral,0.4425528943538666,Positive
"Hiii, personally I like the “square nail moment” better❤️",0.6597,Positive,0.0,Neutral,0.4389791190624237,Positive
"Boys.......???
Grils........................???????
😲👋🏻🙏🏻",0.7757,Positive,0.0,Neutral,-0.4469068050384521,Negative
It was gorgeous but the price was 😶😶😶😶,0.3612,Positive,0.7,Positive,0.4332380294799804,Positive
"That price point is how much you would pay for some well known brands at ulta. I think everything was decent but the blush thru off the look 👀 

Love you James!!!",0.8412,Positive,0.4477430555555555,Positive,0.4087924361228943,Positive
To me the only REALLY bad thing is the blush waaay to vibrant! But It’s not your fault and you can pretty much make anything look good.,0.8949,Positive,0.1097222222222222,Neutral,0.491083562374115,Positive
I love the nails James,0.6369,Positive,0.5,Positive,0.6974104642868042,Positive
Hi omg can you do a full face of makeup from 5 below,0.0,Neutral,0.35,Positive,0.3829323947429657,Positive
"The nails look amazing, slayyyy",0.5859,Positive,0.6000000000000001,Positive,-0.2244768887758255,Negative
You are so awesome and beautiful 😍,0.9247,Positive,0.925,Positive,0.9380455017089844,Positive
Hi sister! Can you make a video of doing a full face of elf cosmetics or Dior beauty?,0.6239,Positive,0.35,Positive,0.3826855421066284,Positive
"I will always choose almond shaped nails, best thing ever.",0.6369,Positive,1.0,Positive,0.9343363046646118,Positive
"ayo, remember that time he said his least favorite singer or what ever was ariana grande bc she unfollowed him?",-0.357,Negative,0.1,Neutral,-0.4308135211467743,Negative
Yasssssssssss girl those nail look like mine,0.3612,Positive,0.0,Neutral,0.6213388442993164,Positive
9:36 WHAT!? JAMES KNOW ENCANTO!? I-,0.0,Neutral,0.0,Neutral,0.5138155221939087,Positive
I def like the square better,0.6597,Positive,0.5,Positive,0.4018763899803161,Positive
My name is Nova,0.0,Neutral,0.0,Neutral,0.3613060116767883,Positive
Yooo u should do target if they have they’re own make up..?🤷‍♀️🤷‍♀️,0.0,Neutral,0.6,Positive,0.2847397923469543,Neutral
JAmes was all happy until he heard how much he got,0.5719,Positive,0.5,Positive,0.2842678129673004,Neutral
"IN my opinion , your nails looks more fitting to your hands. The almond shape looks really good and is much better.Its giving classy vibes miss girl so its a yes for me , and I love the change and I would make the change as well.",0.9447,Positive,0.4166666666666667,Positive,0.5829739570617676,Positive
"James:when you turn your head the little glitters just twinkle ..just twinkle like this..

Simply nailogical :*HOLO*!",0.4199,Positive,-0.09375,Negative,-0.5433663129806519,Negative
You’re so good at make up I’m only nine I suck at it,0.0754,Positive,0.35,Positive,0.2419477999210357,Neutral
I love these videos!,0.6696,Positive,0.625,Positive,0.9093443751335144,Positive
we don't talk about brunoo no nooo 😭👍🏻,-0.6486,Negative,0.0,Neutral,-0.4725008308887481,Negative
Will you do the same thing you did was she in and try on clothes from fashion nova please.❤️❤️❤️,0.3182,Positive,0.0,Neutral,0.2685745656490326,Neutral
Poor James Charles money,-0.4767,Negative,-0.4,Negative,-0.6258726119995117,Negative
Well I like all his nail shape but James can pull off anything,0.3182,Positive,0.0,Neutral,0.4300839602947235,Positive
🤍💫,-0.2263,Negative,0.0,Neutral,0.3085779249668121,Neutral
I... own that exact guitar 15:29,0.0,Neutral,0.425,Positive,0.2837423980236053,Neutral
Love this series and the naiillllsss!!! Amazing!!! Love you sister,0.9368,Positive,0.8255208333333334,Positive,0.949797511100769,Positive
Soooooo…the intro was cool…,0.0,Neutral,0.0,Neutral,0.4177952408790588,Positive
Hi,0.0,Neutral,0.0,Neutral,0.2364865690469741,Neutral
Im sorry no hate but your nails look like chiken nails but i like every ting,0.81,Positive,-0.2333333333333333,Negative,0.2419351637363433,Neutral
Love the nails but be careful if u itch your eyes,0.5423,Positive,0.2,Neutral,0.3970958888530731,Positive
Are you a girl or a boy,0.0,Neutral,0.0,Neutral,-0.3005125522613525,Negative
"Try shop ""miss A"" makeup dollarstore online",-0.1531,Negative,0.0,Neutral,-0.4730217158794403,Negative
I love you James  Charles,0.6369,Positive,0.5,Positive,0.8217898607254028,Positive
"Honestly the nails do look nice but, if you like the square nails keep them its your nails anyway",0.7311,Positive,0.6,Positive,0.4826131463050842,Positive
It is so bad,-0.6696,Negative,-0.6999999999999998,Negative,-0.7160536646842957,Negative
At wy I don't like it,-0.2755,Negative,0.0,Neutral,-0.4747635722160339,Negative
“Burps” 😮‍💨,0.0,Neutral,0.0,Neutral,0.2442267835140228,Neutral
11:58 James your hair oml 💀😂😶,0.4404,Positive,0.0,Neutral,0.251257985830307,Neutral
I love the nails 💅,0.6369,Positive,0.5,Positive,0.7619911432266235,Positive
"I hope you see this JAMES CHARLES...YOU'RE GOING TO HELL MATE, AND that's a warning out of love, stop what you're doing, it's an absolute ABOMINATION",-0.4278,Negative,0.35,Positive,-0.8753212690353394,Negative
Love the nails and the necklace,0.6369,Positive,0.5,Positive,0.6798735857009888,Positive
Xd,0.5859,Positive,0.0,Neutral,0.4124718010425567,Positive
I love ur nails girl!,0.6696,Positive,0.625,Positive,0.8521029949188232,Positive
Sister plz YaSsSsSsSsSsSs,0.0772,Positive,0.0,Neutral,0.3660411536693573,Positive
"I always preferred the squared end, but it’s all about your preference. If the almond shape works for you, go with it. If you want a dash of the two together, get the coffin shape. In no way shape or form did your previous choice make your hands “manly”. If you want “manly” hands and nails, bite them down to the quick and change the oil on your car or go dig in some dirt 🤷🏻‍♂️.",-0.6124,Negative,0.0037037037037036,Neutral,0.312518298625946,Neutral
I’ve been subscribed for the longest. I’ve been missing out. I randomly thought about James and searched him up. IM LIVING,-0.296,Negative,-0.35,Negative,-0.3068253099918365,Negative
"this really helped alot, I love fashion nova, and i love james charles just as much!",0.8655,Positive,0.3625,Positive,0.9053837656974792,Positive
JAMES!!!! Please try the brand 'Sugar' it's my favourite Indian brand and i would love it if you review it!!!! Plz 😭❤️ i love you ❤️🥺,0.877,Positive,0.75,Positive,0.8288723230361938,Positive
nails should be longer and like bhaddie affied but i like the shape,0.6124,Positive,0.0,Neutral,0.5324143171310425,Positive
I like the new nails,0.3612,Positive,0.1363636363636363,Neutral,0.4834647178649902,Positive
HEY BEAUTIFUL💀💀💀,0.6841,Positive,0.0,Neutral,0.4031593799591064,Positive
Gurl u look gorg with whatever nails u get,0.0,Neutral,0.0,Neutral,-0.3215612769126892,Negative
now we need a full face from wish!,0.4574,Positive,0.4375,Positive,0.5261414051055908,Positive
"Just a video suggestion- could you do an affordable makeup video with products that are actually good from the drugstore, and then ( maybe in a different video not sure ) show us how to make an everyday look out of them look good and not rushed !!!",0.6921,Positive,0.25,Neutral,0.282786101102829,Neutral
You should do encanto,0.0,Neutral,0.0,Neutral,0.5738582611083984,Positive
wait but the foundation don’t look bad.🙃,-0.6956,Negative,0.0,Neutral,0.4063384532928467,Positive
Why so expensive,0.0,Neutral,-0.5,Negative,-0.5048968195915222,Negative
There is a Roblox game called survive James Charles the killer,-0.6486,Negative,-0.4,Negative,0.2260189652442932,Neutral
James Charles there is a game in Roblox called James Charles the killer I mean survive James Cu Charles the killer,-0.8625,Negative,-0.35625,Negative,-0.2649055421352386,Negative
use code BBL? LOL,0.5473,Positive,0.8,Positive,-0.3980241119861603,Negative
I think he should do an entire look from Facebook market place…idk but I think that would be so entertaining and entertaining! We also love to see James struggle but we still love you James! 💛 Also the friggin spray is just to much I can’t ✨ROSEWATER ROSEWATER✨💅,0.9853,Positive,0.4083333333333334,Positive,0.450482040643692,Positive
You know Bruno I did not know that I don’t want is a make up artist to watch my other make about it I didn’t know he watch Encanto,0.0772,Positive,-0.125,Negative,-0.3390756845474243,Negative
Amazing makeup 💄 🥰,0.9022,Positive,0.6000000000000001,Positive,0.8289505243301392,Positive
Can you please do a full makeup of Amazon,0.4588,Positive,0.35,Positive,0.3454606831073761,Positive
Lol literally my twins name maven and maeva,0.4215,Positive,0.8,Positive,-0.3396903872489929,Negative
Gotta stop the crack dude.,-0.296,Negative,0.0,Neutral,-0.4303919970989227,Negative
Love the new  nails,0.6369,Positive,0.3181818181818182,Neutral,0.7919934988021851,Positive
Hi,0.0,Neutral,0.0,Neutral,0.2364865690469741,Neutral
Hey James.,0.0,Neutral,0.0,Neutral,0.4441891610622406,Positive
Lovin the almond nails!!!,0.0,Neutral,0.0,Neutral,0.7459715008735657,Positive
the new nails are a yes ma’am 💗,0.8225,Positive,0.1363636363636363,Neutral,0.479270875453949,Positive
love the new nails!,0.6696,Positive,0.3352272727272727,Positive,0.8854379057884216,Positive
Love the nails,0.6369,Positive,0.5,Positive,0.6660996079444885,Positive
do makeup from romwe!!!!,0.0,Neutral,0.0,Neutral,-0.3082502782344818,Negative
Na I like the other ones better,0.6597,Positive,0.1875,Neutral,0.4921497702598572,Positive
Noooooooooooooooooooooooooooooooooooooooooo😍👍🏻😄,0.8176,Positive,0.0,Neutral,0.3085779249668121,Neutral
Can u do my makeup it’s literally a dream 😭😭😭😭ily James,-0.886,Negative,0.0,Neutral,0.5541993975639343,Positive
this is wrong,-0.4767,Negative,-0.5,Negative,-0.7901039123535156,Negative
Love,0.6369,Positive,0.5,Positive,0.6595039963722229,Positive
Love it!,0.6696,Positive,0.625,Positive,0.9114544987678528,Positive
No,-0.296,Negative,0.0,Neutral,-0.531922459602356,Negative
:-: I don’t think I do.. :l,-0.4019,Negative,0.0,Neutral,-0.3319530785083771,Negative
My brother and everyone at school says I look like James I do..,0.3612,Positive,0.0,Neutral,0.3668435513973236,Positive
🖕🖕🖕🖕🖕🖕💔💔💔💔💔💔🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕💔💔🖕🖕🖕🖕🖕🖕💔💔💔💔💔💔💔💔💔💔💔💔💔💔🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕👇🖕🖕,0.9995,Positive,0.0,Neutral,0.3085779249668121,Neutral
I like the new nails. The square ones didn't make your hands look manly. x,0.3612,Positive,0.1363636363636363,Neutral,0.562953770160675,Positive
hi sisters,0.0,Neutral,0.0,Neutral,0.3697890639305115,Positive
I luhv this shape,0.0,Neutral,0.0,Neutral,-0.2653918266296386,Negative
You should totally do a full face make up with Zara products!,0.0,Neutral,0.4375,Positive,0.4715528190135956,Positive
James belike We don't talk about BRUNO and  I be like but it was my WEDDING DAY!!! LOVE YOU JAMES xoxo💜🤍💙😂😘,0.9853,Positive,0.5,Positive,0.7722193002700806,Positive
"i like the new nails, i did think the square made them look manly",0.3612,Positive,0.1363636363636363,Neutral,0.5629066824913025,Positive
We don’t look up a poo no no no we don’t talk about done no no no Jenna Bruno don’t talk about them we go then is a hair girl from Roblox,0.6759,Positive,0.0,Neutral,-0.624218225479126,Negative
We like,0.3612,Positive,0.0,Neutral,0.4449960589408874,Positive
Come on tell me?,0.0,Neutral,0.0,Neutral,-0.3380470871925354,Negative
"NO BUT LIKE WHY ARE YOU SO PRETTY BESTIE 😭😭 I LOVE EVERYTHING ABOUT THE EYEEEE!!!! 
THE EYELINER?!? I’M GOING CRAZY",0.3859,Positive,0.2166666666666666,Neutral,0.5179224014282227,Positive
Omg I love ur videos so confident I wish I was I would love to do a tutorial one day x,0.9475,Positive,0.5,Positive,0.618959903717041,Positive
Bruh are you a guy or a girl,0.0,Neutral,0.0,Neutral,-0.5036971569061279,Negative
Do coffin shaped,0.0,Neutral,0.0,Neutral,0.305613249540329,Neutral
James no hate but you speak so fast it is difficult to understand what are you saying,-0.3074,Negative,0.0333333333333333,Neutral,0.3453965485095978,Positive
Shame,-0.4767,Negative,0.0,Neutral,-0.7299057841300964,Negative
The look is amazing especially the eyeshadow but idk about the blush sis,0.2023,Positive,0.3,Neutral,0.4722150862216949,Positive
Full face makeup from 5 below that’s would be iconic lol,0.4215,Positive,0.5499999999999999,Positive,0.3061105608940124,Neutral
Am I the only one who was adding up these prices just to make sure he got his money’s worth 💅🏾👀👀,0.4939,Positive,0.2666666666666666,Neutral,0.2695445716381073,Neutral
Ngl I saw the blush after it was on and immediately the only word I could think of was “child.”,0.0,Neutral,0.0,Neutral,-0.4073546826839447,Negative
Russia,0.0,Neutral,0.0,Neutral,0.2514209449291229,Neutral
i do like your new nails better than the squared ones,0.6597,Positive,0.3181818181818182,Neutral,0.4779567718505859,Positive
I'm not being rude but why do u hate ariana grande do u ???????,-0.7407,Negative,-0.55,Negative,0.3031873404979706,Neutral
Kunddan🤣👌,0.8531,Positive,0.0,Neutral,0.3085779249668121,Neutral
DO KOREAN MAKE UP ROUTINE RN!!!,0.0,Neutral,0.0,Neutral,-0.3470450043678283,Negative
Love the new nails,0.6369,Positive,0.3181818181818182,Neutral,0.7919934988021851,Positive
omg sis!!! you are looking good with that nail shape❤❤❤,0.9544,Positive,0.7,Positive,0.3498094379901886,Positive
9:35 watched a bit too much encanto James?? 🤣,0.5514,Positive,0.2,Neutral,0.3169039785861969,Neutral
Can you say hi sisters and hi brothers when intro please and create a hi brothers merch if you want because there are guys that watch your videos :),0.7717,Positive,0.5,Positive,0.3598649799823761,Positive
we like nails U-U,0.3612,Positive,0.0,Neutral,0.4578239619731903,Positive
You have to do a kylie cosmetics video,0.0,Neutral,0.0,Neutral,0.2921752631664276,Neutral
your nails are so amazing  tell the person who did your nails needs 99999999999999999 dollars,0.7065,Positive,0.6000000000000001,Positive,0.6471176147460938,Positive
The almond shape is a no.....looks like an elementary school teacher or my stepmothers nails. I LIVE for the square,0.3612,Positive,0.2181818181818181,Neutral,-0.3433766365051269,Negative
